Date,compound
24/10/2019,0.34
17/10/2019,-0.1027
9/5/2019,0
8/7/2019,0.3182
25/7/2019,-0.4939
7/4/2019,0
17/6/2019,0
30/4/2019,0
22/4/2019,-0.2263
17/4/2019,0
16/4/2019,0
24/2/2019,0.4404
21/2/2019,0.3612
21/2/2019,0.2023
20/2/2019,0
20/2/2019,0
1/8/2019,0.4019
1/7/2019,0
12/10/2018,0.4939
12/3/2018,0
23/11/2018,-0.3612
11/7/2018,0
11/1/2018,0.2023
24/10/2018,0
9/5/2018,0
8/9/2018,-0.1027
31/7/2018,-0.34
31/5/2018,0.357
25/5/2018,0.4019
14/5/2018,-0.3818
25/2/2018,0.5994
25/2/2018,0
21/2/2018,-0.3182
21/2/2018,0
30/10/2019,0.4588
29/10/2019,0.4019
29/10/2019,0
24/10/2019,0
18/10/2019,-0.2263
14/10/2019,0.4588
14/10/2019,0
10/11/2019,0.7096
10/9/2019,0
10/8/2019,0
10/3/2019,-0.1027
27/9/2019,0
17/9/2019,0
9/9/2019,0.4588
9/6/2019,-0.3412
9/5/2019,0.4588
9/5/2019,0
9/4/2019,0
28/8/2019,-0.3412
28/8/2019,0
27/8/2019,0.7096
24/8/2019,0
24/8/2019,0
23/8/2019,0
23/8/2019,0
22/8/2019,-0.3052
21/8/2019,0.5719
13/8/2019,0.3818
8/12/2019,0.2263
8/9/2019,0.4019
8/8/2019,0
8/7/2019,0
8/7/2019,0
8/6/2019,0.4019
8/5/2019,0.4019
8/3/2019,0
8/2/2019,0.1779
8/1/2019,0.4019
31/7/2019,0
30/7/2019,0.4019
26/7/2019,0
25/7/2019,0
23/7/2019,0.4019
23/7/2019,0
18/7/2019,0
18/7/2019,0
7/10/2019,0
7/2/2019,0
7/1/2019,0.7474
7/1/2019,-0.2023
7/1/2019,0
24/6/2019,0.34
19/6/2019,0.3612
19/6/2019,0.3612
15/6/2019,0
14/6/2019,0.3612
6/5/2019,0.5719
6/4/2019,0
6/4/2019,0
29/5/2019,0
28/5/2019,0
27/5/2019,0.8481
24/5/2019,0
24/5/2019,0.2732
21/5/2019,0.4404
20/5/2019,0
20/5/2019,0.5574
13/5/2019,0
5/10/2019,0
5/9/2019,0.3612
5/9/2019,0
5/9/2019,0.3612
5/7/2019,0.0772
5/6/2019,0
5/3/2019,0.3182
5/2/2019,0.4019
30/4/2019,0
23/4/2019,0.8126
23/4/2019,0
22/4/2019,0.4404
22/4/2019,-0.3182
22/4/2019,-0.2263
19/4/2019,0
18/4/2019,0.4404
16/4/2019,0
16/4/2019,0.4019
15/4/2019,0.4019
13/4/2019,0
4/12/2019,0
4/11/2019,0
4/11/2019,0
4/10/2019,0
4/9/2019,0
4/2/2019,0.34
28/3/2019,0
22/3/2019,0
22/3/2019,0
20/3/2019,0
19/3/2019,0
16/3/2019,0.3818
15/3/2019,0.25
15/3/2019,0
14/3/2019,0.6249
3/8/2019,0.5719
3/8/2019,0.6361
3/8/2019,0.4404
3/7/2019,0.4404
3/6/2019,-0.128
3/6/2019,0
3/5/2019,0
28/2/2019,0
27/2/2019,0
25/2/2019,0
25/2/2019,0
20/2/2019,0
20/2/2019,0.6369
20/2/2019,0
20/2/2019,0
20/2/2019,0
19/2/2019,0
19/2/2019,-0.34
19/2/2019,0
18/2/2019,0
16/2/2019,0
15/2/2019,0
13/2/2019,0
2/12/2019,0
2/12/2019,-0.0772
2/11/2019,-0.3182
2/9/2019,0.6124
2/7/2019,0.357
2/4/2019,-0.1779
2/2/2019,-0.296
2/1/2019,0
2/1/2019,0.3182
2/1/2019,0
31/1/2019,-0.296
31/1/2019,0
30/1/2019,0
30/1/2019,0.4404
29/1/2019,0.4404
29/1/2019,0
25/1/2019,0
24/1/2019,-0.5423
22/1/2019,0.296
14/1/2019,0
14/1/2019,-0.3182
1/11/2019,0
1/11/2019,0
1/11/2019,0
1/10/2019,0
1/10/2019,0
1/10/2019,0
1/7/2019,0
1/4/2019,0
1/3/2019,0
1/3/2019,0
1/2/2019,0
26/12/2018,0.2057
21/12/2018,0
21/12/2018,0.4019
19/12/2018,0
19/12/2018,0
12/12/2018,-0.4767
12/12/2018,0
12/11/2018,0.743
12/10/2018,-0.296
12/10/2018,0
12/5/2018,0.4404
12/5/2018,0
12/4/2018,0
12/4/2018,0
12/3/2018,0.1779
12/3/2018,0
30/11/2018,0
29/11/2018,0.7579
29/11/2018,0.34
29/11/2018,0
28/11/2018,0.7184
28/11/2018,0
28/11/2018,0.6369
26/11/2018,0.34
25/11/2018,0
23/11/2018,0.6369
22/11/2018,0
20/11/2018,0
20/11/2018,0
19/11/2018,-0.5267
19/11/2018,0.1779
18/11/2018,0
18/11/2018,0
16/11/2018,0
16/11/2018,0
16/11/2018,0.1027
15/11/2018,0
15/11/2018,0
15/11/2018,0.4728
14/11/2018,0
11/9/2018,0.5423
11/8/2018,0
11/8/2018,0.4939
11/8/2018,0
11/8/2018,0.4466
11/8/2018,0.6908
11/8/2018,0
11/7/2018,0
11/7/2018,0.0772
11/7/2018,0
11/7/2018,0.6705
11/7/2018,0
11/7/2018,0
11/7/2018,0.6124
11/7/2018,0
11/7/2018,0
11/6/2018,0
11/5/2018,0
11/5/2018,0
26/10/2018,-0.3182
26/10/2018,0.4404
28/10/2019,0
25/10/2019,0
10/7/2019,0.6369
10/4/2019,0
10/4/2019,0
10/3/2019,0.4588
10/1/2019,0.2057
30/9/2019,0.34
30/9/2019,0.3412
27/9/2019,0.34
27/9/2019,0
27/9/2019,0.5994
24/9/2019,0
23/9/2019,0
20/9/2019,-0.4215
20/9/2019,0.34
18/9/2019,0
13/9/2019,0
9/11/2019,0.2263
9/11/2019,0
9/10/2019,0
9/5/2019,0
30/8/2019,0.34
29/8/2019,0.3182
29/8/2019,0
29/8/2019,0
28/8/2019,0
26/8/2019,0.5334
23/8/2019,0
23/8/2019,0.34
23/8/2019,0
22/8/2019,0
22/8/2019,0.5574
21/8/2019,0
21/8/2019,0
20/8/2019,0
19/8/2019,0
14/8/2019,0.4754
8/12/2019,0.5994
8/12/2019,0.6369
8/8/2019,0
8/8/2019,0
8/8/2019,0.6369
8/8/2019,0.431
8/8/2019,0
8/8/2019,0
8/8/2019,0
8/7/2019,0
8/7/2019,0.4939
8/7/2019,0.0772
8/6/2019,-0.34
8/5/2019,0
8/2/2019,0.4939
8/1/2019,-0.34
8/1/2019,0.5367
8/1/2019,0
8/1/2019,-0.34
29/7/2019,0
29/7/2019,0
27/7/2019,0.4019
27/7/2019,-0.1531
26/7/2019,0.6808
26/7/2019,0.6369
26/7/2019,0
26/7/2019,0
25/7/2019,0.2975
25/7/2019,0
25/7/2019,-0.2263
24/7/2019,0.34
23/7/2019,0
22/7/2019,0
22/7/2019,0
20/7/2019,0.3612
19/7/2019,0.3612
16/7/2019,0
15/7/2019,0
14/7/2019,0
7/11/2019,-0.4215
7/11/2019,0
7/10/2019,0
7/2/2019,0.3182
7/2/2019,0
7/2/2019,0
28/6/2019,0
28/6/2019,0
27/6/2019,0.5859
27/6/2019,0
26/6/2019,0
26/6/2019,0
25/6/2019,0
21/6/2019,0
21/6/2019,0.0772
21/6/2019,0
20/6/2019,0
17/6/2019,0.34
14/6/2019,0.6369
6/12/2019,0
6/7/2019,0
6/7/2019,-0.1531
6/6/2019,0.4019
6/6/2019,0
6/5/2019,0
6/3/2019,0
30/5/2019,0
28/5/2019,0
28/5/2019,0.34
28/5/2019,0
22/5/2019,0.6124
21/5/2019,0
21/5/2019,0.34
16/5/2019,0
16/5/2019,0
15/5/2019,0
14/5/2019,0
5/8/2019,0.1779
5/7/2019,0.34
30/4/2019,0.5106
27/4/2019,0
26/4/2019,0
25/4/2019,0.4404
25/4/2019,0
25/4/2019,0
25/4/2019,0.7269
24/4/2019,0
24/4/2019,0
24/4/2019,-0.4767
23/4/2019,0
19/4/2019,0
18/4/2019,0
18/4/2019,0
17/4/2019,0
17/4/2019,0
16/4/2019,0
15/4/2019,0
15/4/2019,0.34
15/4/2019,0
4/12/2019,0
4/10/2019,0
4/10/2019,0.4019
4/9/2019,0
4/9/2019,0
4/9/2019,0
4/8/2019,0.6124
4/8/2019,0
4/8/2019,0
4/6/2019,0
4/5/2019,0
4/5/2019,0
4/5/2019,0
4/5/2019,0
4/5/2019,0
4/4/2019,0
4/4/2019,0
4/4/2019,0
4/3/2019,0.296
4/2/2019,0.34
4/2/2019,0.2263
4/2/2019,0
4/1/2019,0
4/1/2019,0
4/1/2019,0.34
29/3/2019,0.3182
29/3/2019,0
28/3/2019,0.5574
28/3/2019,-0.296
27/3/2019,-0.296
27/3/2019,0
27/3/2019,0
26/3/2019,0
26/3/2019,0
19/3/2019,0.4588
16/3/2019,0
15/3/2019,0.3182
15/3/2019,0.3612
15/3/2019,0.3182
15/3/2019,0
15/3/2019,0
14/3/2019,0.1779
13/3/2019,-0.128
3/12/2019,-0.128
3/12/2019,0
3/12/2019,-0.128
3/11/2019,0
3/11/2019,0.3182
3/11/2019,0
3/8/2019,0
3/8/2019,0
3/8/2019,0
3/8/2019,0
3/7/2019,0
3/7/2019,0
3/7/2019,0
3/6/2019,-0.2263
3/6/2019,0
3/6/2019,0
3/5/2019,0.5574
3/5/2019,0
3/5/2019,0.34
3/5/2019,0
3/5/2019,0
3/4/2019,0.4927
3/4/2019,0.5267
3/4/2019,0
3/2/2019,0
3/2/2019,0
3/1/2019,0
3/1/2019,0
3/1/2019,0
28/2/2019,-0.1027
28/2/2019,0.4404
27/2/2019,0.4404
27/2/2019,0.5859
27/2/2019,0.4404
26/2/2019,0.3612
26/2/2019,0
23/2/2019,0.7184
22/2/2019,0.3612
22/2/2019,0
22/2/2019,0.4939
22/2/2019,0
22/2/2019,0.7351
21/2/2019,0
21/2/2019,-0.5423
21/2/2019,0
21/2/2019,0
21/2/2019,-0.1027
21/2/2019,0
21/2/2019,0
21/2/2019,0
21/2/2019,0
21/2/2019,0.34
21/2/2019,0
21/2/2019,0
21/2/2019,0
21/2/2019,0
21/2/2019,0
21/2/2019,0
20/2/2019,0.34
20/2/2019,0
20/2/2019,0
20/2/2019,0
19/2/2019,0
19/2/2019,0
18/2/2019,0
18/2/2019,0
18/2/2019,0
15/2/2019,0
14/2/2019,0
14/2/2019,0
13/2/2019,0
13/2/2019,0
13/2/2019,0
2/12/2019,0
2/11/2019,0
2/7/2019,0
2/7/2019,-0.2887
2/7/2019,0
2/6/2019,0
2/6/2019,0
2/2/2019,-0.296
2/1/2019,0.5859
2/1/2019,-0.296
2/1/2019,0
2/1/2019,0
31/1/2019,0
31/1/2019,0
31/1/2019,0
31/1/2019,0
31/1/2019,0
30/1/2019,0
30/1/2019,0
30/1/2019,0
30/1/2019,0
25/1/2019,0
25/1/2019,0.6369
24/1/2019,0
24/1/2019,0
24/1/2019,0
23/1/2019,-0.34
23/1/2019,0
23/1/2019,0
22/1/2019,0.1779
22/1/2019,0
21/1/2019,0.34
21/1/2019,0
17/1/2019,0.4404
16/1/2019,0
15/1/2019,0
15/1/2019,-0.3182
1/11/2019,0.34
1/11/2019,0
1/5/2019,0
1/4/2019,0
1/4/2019,0
1/3/2019,0
21/12/2018,0.34
14/12/2018,0.34
12/11/2018,0
12/11/2018,0
12/4/2018,0.6369
29/11/2018,0
28/11/2018,-0.1531
27/11/2018,0.1779
26/11/2018,0.6124
21/11/2018,0
21/11/2018,0
20/11/2018,0
13/11/2018,0
13/11/2018,0
11/12/2018,0
11/12/2018,0
11/12/2018,0.6249
2/4/2019,0
29/10/2019,0
29/10/2019,0.4404
28/10/2019,0
26/10/2019,0
26/10/2019,0.6808
18/10/2019,-0.4019
17/10/2019,0
10/4/2019,0.7717
27/9/2019,0
23/9/2019,0
15/9/2019,0.4939
13/9/2019,0
9/5/2019,0
9/5/2019,-0.296
9/3/2019,0
29/8/2019,0
22/8/2019,0
26/10/2019,0.6808
10/12/2019,0
9/12/2019,0.4404
26/8/2019,0.6369
25/8/2019,0.25
24/8/2019,0
15/10/2019,0.8074
15/10/2019,0.6369
15/10/2019,0
15/10/2019,-0.296
16/10/2019,0.4404
10/9/2019,0
10/8/2019,0.4019
10/4/2019,0
24/9/2019,0
18/9/2019,0
18/9/2019,0
9/10/2019,-0.4404
9/5/2019,0.6633
9/5/2019,0
9/3/2019,0.4939
9/3/2019,0
29/8/2019,0
27/8/2019,0
19/8/2019,-0.4767
13/8/2019,0.4404
8/12/2019,0
8/8/2019,0
8/8/2019,0
8/7/2019,0
8/7/2019,0
8/7/2019,0
8/7/2019,0
8/7/2019,0
8/7/2019,0
8/7/2019,0
8/7/2019,0
8/7/2019,0.5994
8/7/2019,0
8/7/2019,0
8/1/2019,0
8/1/2019,0
8/1/2019,0
30/7/2019,0
25/7/2019,0
29/10/2019,-0.3976
24/10/2019,-0.4019
18/10/2019,0
17/10/2019,0
16/10/2019,0.3818
15/10/2019,0
14/10/2019,0
14/10/2019,0.6369
10/11/2019,0
10/11/2019,0.1027
10/9/2019,-0.1779
10/5/2019,0
10/1/2019,0
30/9/2019,0
30/9/2019,0.6369
30/9/2019,0
30/9/2019,0.2617
30/9/2019,0.6369
30/9/2019,0.6369
27/9/2019,0
26/9/2019,0
25/9/2019,0
24/9/2019,-0.3182
24/9/2019,0
19/9/2019,0
18/9/2019,0.128
18/9/2019,0.34
18/9/2019,0.128
18/9/2019,0
9/11/2019,0
9/9/2019,0
9/9/2019,0.3612
9/4/2019,0
9/2/2019,0.4019
30/8/2019,0
30/8/2019,0
27/8/2019,0.128
26/8/2019,0
22/8/2019,0.128
21/8/2019,0.3182
14/8/2019,0
14/8/2019,0
13/8/2019,-0.2023
8/9/2019,0
8/8/2019,0
8/8/2019,-0.1477
8/8/2019,0
8/7/2019,0
8/7/2019,0.2263
8/7/2019,0
8/7/2019,0
8/7/2019,0
8/7/2019,0
8/7/2019,0
8/6/2019,0
8/5/2019,0
8/4/2019,0
30/7/2019,0
28/7/2019,0
28/7/2019,0
26/7/2019,0.4019
25/7/2019,0
23/7/2019,0
18/7/2019,0
8/6/2019,0
22/7/2019,0
30/10/2019,0
29/10/2019,-0.296
29/10/2019,0
17/10/2019,0.3818
14/10/2019,0
13/10/2019,0
10/12/2019,0.5106
10/11/2019,0
10/2/2019,0
28/9/2019,0
24/9/2019,0
