,Date,compound
0,2018-07-01,
1,2018-07-02,
2,2018-07-03,
3,2018-07-04,
4,2018-07-05,
5,2018-07-06,
6,2018-07-07,
7,2018-07-08,
8,2018-07-09,
9,2018-07-10,
10,2018-07-11,
11,2018-07-12,
12,2018-07-13,
13,2018-07-14,
14,2018-07-15,
15,2018-07-16,
16,2018-07-17,
17,2018-07-18,
18,2018-07-19,
19,2018-07-20,
20,2018-07-21,
21,2018-07-22,
22,2018-07-23,
23,2018-07-24,
24,2018-07-25,
25,2018-07-26,
26,2018-07-27,
27,2018-07-28,
28,2018-07-29,
29,2018-07-30,
30,2018-07-31,-0.34
31,2018-08-01,
32,2018-08-02,
33,2018-08-03,
34,2018-08-04,
35,2018-08-05,
36,2018-08-06,
37,2018-08-07,
38,2018-08-08,
39,2018-08-09,-0.1027
40,2018-08-10,
41,2018-08-11,
42,2018-08-12,
43,2018-08-13,
44,2018-08-14,
45,2018-08-15,
46,2018-08-16,
47,2018-08-17,
48,2018-08-18,
49,2018-08-19,
50,2018-08-20,
51,2018-08-21,
52,2018-08-22,
53,2018-08-23,
54,2018-08-24,
55,2018-08-25,
56,2018-08-26,
57,2018-08-27,
58,2018-08-28,
59,2018-08-29,
60,2018-08-30,
61,2018-08-31,
62,2018-09-01,
63,2018-09-02,
64,2018-09-03,
65,2018-09-04,
66,2018-09-05,0.0
67,2018-09-06,
68,2018-09-07,
69,2018-09-08,
70,2018-09-09,
71,2018-09-10,
72,2018-09-11,
73,2018-09-12,
74,2018-09-13,
75,2018-09-14,
76,2018-09-15,
77,2018-09-16,
78,2018-09-17,
79,2018-09-18,
80,2018-09-19,
81,2018-09-20,
82,2018-09-21,
83,2018-09-22,
84,2018-09-23,
85,2018-09-24,
86,2018-09-25,
87,2018-09-26,
88,2018-09-27,
89,2018-09-28,
90,2018-09-29,
91,2018-09-30,
92,2018-10-01,
93,2018-10-02,
94,2018-10-03,
95,2018-10-04,
96,2018-10-05,
97,2018-10-06,
98,2018-10-07,
99,2018-10-08,
100,2018-10-09,
101,2018-10-10,
102,2018-10-11,
103,2018-10-12,
104,2018-10-13,
105,2018-10-14,
106,2018-10-15,
107,2018-10-16,
108,2018-10-17,
109,2018-10-18,
110,2018-10-19,
111,2018-10-20,
112,2018-10-21,
