Date,News_Senti,Volume,Stockname,Open_USD,High_USD,Low_USD,Close_USD,Adj_Close_USD,Twitter_Senti
2018-07-01,,,,,,,,,0.354321505
2018-07-02,,13112253.0,005930.ks,41.50824085,42.08846357,40.61559051,40.66022303,39.98403691,0.354321505
2018-07-03,-0.013257576,10959655.0,005930.ks,41.11286371,41.74191299,41.11286371,41.47232044,40.78262688,0.354321505
2018-07-04,,8776763.0,005930.ks,41.78307716,42.09622656,41.20151399,41.3804565,40.69228972,0.354321505
2018-07-05,,7039773.0,005930.ks,41.23391237,41.6364126,40.78668989,41.09974562,40.41624643,0.354321505
2018-07-06,,17843706.0,005930.ks,40.69218564,41.00520245,39.93200195,40.15558539,39.48779057,0.354321505
2018-07-07,,,,,,,,,0.354321505
2018-07-08,,,,,,,,,0.354321505
2018-07-09,,11602464.0,005930.ks,40.95027789,41.49028155,40.68027606,41.0402785,40.35776801,0.354321505
2018-07-10,,10528665.0,005930.ks,41.35168841,41.66495877,41.26218259,41.44119423,40.7520169,0.354321505
2018-07-11,,11224077.0,005930.ks,41.29190776,41.33640335,40.40199595,40.93594303,40.25517093,0.354321505
2018-07-12,,11828104.0,005930.ks,40.76907019,41.07994545,40.36937342,40.41378417,39.74169683,0.354321505
2018-07-13,0.07048425400000001,11543389.0,005930.ks,40.4068652,41.02443737,40.3627529,41.02443737,40.34219243,0.354321505
2018-07-14,,,,,,,,,0.354321505
2018-07-15,,,,,,,,,0.354321505
2018-07-16,,7678719.0,005930.ks,41.5234721,41.5234721,40.81366916,40.85803184,40.17855495,0.354321505
2018-07-17,,8892953.0,005930.ks,40.93852909,40.98288286,40.45063763,40.67240648,39.99601843,0.354321505
2018-07-18,,10952645.0,005930.ks,41.17375887,41.6145914,40.953342600000006,41.0415091,40.35897979999999,0.354321505
2018-07-19,0.03361631,9880128.0,005930.ks,41.28293001,41.41454402,40.88808795,41.15131599,40.466960799999995,0.354321505
2018-07-20,,10474547.0,005930.ks,41.46713943,41.99650717,41.20245556,41.86416524,41.16795706,0.354321505
2018-07-21,,,,,,,,,0.354321505
2018-07-22,,,,,,,,,0.354321505
2018-07-23,0.123650897,10823782.0,005930.ks,41.52327778,41.6114376,40.68575943,40.99431882,40.31257476,0.354321505
2018-07-24,,8261363.0,005930.ks,41.07757126,41.29913313,40.72307226,40.90032176,40.22014066,0.354321505
2018-07-25,,7222471.0,005930.ks,41.19427492,41.46148102,40.88253446,41.10520621,40.42161784,0.354321505
2018-07-26,,7374946.0,005930.ks,41.17238646,41.97618576,41.08307542,41.88687472,41.19028704,0.354321505
2018-07-27,,4762460.0,005930.ks,41.53126875,42.02302758,41.53126875,41.93361688,41.23625187,0.354321505
2018-07-28,0.323089478,,,,,,,,0.354321505
2018-07-29,,,,,,,,,0.354321505
2018-07-30,0.05,5723035.0,005930.ks,41.64581658,41.86947833,41.46688719,41.60108423,40.90924954,0.354321505
2018-07-31,,8033607.0,005930.ks,41.30159431,41.52508779,41.12279953,41.34629301,40.65869438,-0.34
2018-08-01,0.061635796,7484499.0,005930.ks,41.19632859,41.91200857,41.19632859,41.64362858,40.95108589,0.354321505
2018-08-02,0.120138889,8560924.0,005930.ks,41.19472165,41.41596075,40.2655174,40.30976522,39.63940727,0.354321505
2018-08-03,,8274944.0,005930.ks,40.7721315,40.81659402,40.41643133,40.68320646,40.00663626,0.354321505
2018-08-04,-0.003273496,,,,,,,,0.354321505
2018-08-05,,,,,,,,,0.354321505
2018-08-06,-0.036621024,6771979.0,005930.ks,41.00067346,41.00067346,40.64530467,40.68972577,40.01304669,0.354321505
2018-08-07,0.09270456699999999,9058174.0,005930.ks,41.34100372,41.74280613,40.98384602,41.69816142,41.00471393,0.354321505
2018-08-08,,6429338.0,005930.ks,41.94450862,41.94450862,41.54291226,41.76602135,41.07144441,0.354321505
2018-08-09,0.10177423599999999,12010886.0,005930.ks,41.97676479,42.02142092,41.48554733,41.88745252,41.19085523,-0.1027
2018-08-10,0.052210884000000006,16670643.0,005930.ks,40.87190191,41.09330983,39.72058073,40.20767815,39.53901586,0.354321505
2018-08-11,,,,,,,,,0.354321505
2018-08-12,,,,,,,,,0.354321505
2018-08-13,0.046790162,9803831.0,005930.ks,39.59650282,39.72863798,39.3322325,39.68459292,39.02462942,0.354321505
2018-08-14,0.072986053,6409259.0,005930.ks,39.76053941,40.24812685,39.76053941,40.02649619,39.3608493,0.354321505
2018-08-15,,,,,,,,,0.354321505
