Date,Sentiment,Final Sentiment
31/10/2019,11.375,Positive
31/10/2019,3.875,Positive
29/10/2019,0.25,Positive
29/10/2019,18,Positive
28/10/2019,1.5,Positive
24/10/2019,4.5,Positive
23/10/2019,8.75,Positive
22/10/2019,29.375,Positive
18/10/2019,2.875,Positive
16/10/2019,20.25,Positive
15/10/2019,2.5,Positive
14/10/2019,2.875,Positive
9/10/2019,10.5,Positive
9/10/2019,6.75,Positive
7/10/2019,3.581,Positive
7/10/2019,13.875,Positive
5/10/2019,-4.875,Negative
2/10/2019,10.5,Positive
1/10/2019,15.125,Positive
30/9/2019,7.5,Positive
26/9/2019,5.5,Positive
26/9/2019,73.375,Positive
25/9/2019,-0.75,Negative
20/9/2019,18.75,Positive
19/9/2019,8.875,Positive
18/9/2019,14.375,Positive
17/9/2019,22,Positive
16/9/2019,11.375,Positive
12/9/2019,16.5,Positive
10/9/2019,8.375,Positive
8/9/2019,-5.125,Negative
6/9/2019,1,Positive
4/9/2019,9.25,Positive
31/8/2019,0.625,Positive
27/8/2019,0.875,Positive
21/8/2019,22.125,Positive
19/8/2019,9.5,Positive
19/8/2019,-2.625,Negative
19/8/2019,-0.375,Negative
16/8/2019,18.375,Positive
14/8/2019,17.5,Positive
8/8/2019,2.25,Positive
7/8/2019,3.875,Positive
6/8/2019,-0.25,Negative
2/8/2019,0.625,Positive
29/7/2019,2.5,Positive
27/7/2019,8.625,Positive
26/7/2019,-3.931,Negative
25/7/2019,13.875,Positive
23/7/2019,62.125,Positive
18/7/2019,8.125,Positive
17/7/2019,12.875,Positive
10/7/2019,19.625,Positive
8/7/2019,14.625,Positive
5/7/2019,10.375,Positive
4/7/2019,5,Positive
4/7/2019,5.5,Positive
25/6/2019,6.25,Positive
21/6/2019,1.875,Positive
20/6/2019,5.25,Positive
19/6/2019,-1.625,Negative
18/6/2019,8.5,Positive
11/6/2019,0.25,Positive
8/6/2019,7.25,Positive
6/6/2019,16,Positive
1/6/2019,0.5,Positive
1/6/2019,8,Positive
31/5/2019,18.625,Positive
25/5/2019,6.125,Positive
23/5/2019,1.375,Positive
21/5/2019,4.375,Positive
17/5/2019,10.5,Positive
16/5/2019,1.25,Positive
14/5/2019,3.25,Positive
14/5/2019,18.375,Positive
13/5/2019,1.375,Positive
