,User,Date,Tweets
0,ChannelNewsAsia,2019-11-09 12:40:33,Leave Pant alone implores Indias standin captain Rohit  
1,ChannelNewsAsia,2019-11-09 12:07:03,AXA expects to book US31 billion gain from EQH exit  
2,ChannelNewsAsia,2019-11-09 11:31:05,First case of dengue spread by sex confirmed in Spain  
4,ChannelNewsAsia,2019-11-09 10:26:33,Football Wenger contradicts Bayerns claim they turned him down  
5,ChannelNewsAsia,2019-11-09 10:12:33,Alibaba hires more banks on up to US15 billion listing sources  
6,ChannelNewsAsia,2019-11-09 09:37:35,Cambodian opposition figure Sam Rainsy arrives in Malaysia  
7,ChannelNewsAsia,2019-11-09 09:37:34,Indonesian palm oil exec arrested over journalist killings  
8,ChannelNewsAsia,2019-11-09 09:09:07,Bangladesh evacuates 100000 as Cyclone Bulbul approaches  
9,ChannelNewsAsia,2019-11-09 09:09:05,Australia bushfires leave three dead at least 150 homes lost  
10,ChannelNewsAsia,2019-11-09 08:54:33,Novena crane accident MWC working with employers contractors to help Indian workers family 
11,ChannelNewsAsia,2019-11-09 08:29:04,Government pumps S100 million to help train rail workers  
12,ChannelNewsAsia,2019-11-09 07:39:05,Gardens by the Bay gets first Nordic theme with Poinsettia Wishes floral displays  
13,ChannelNewsAsia,2019-11-09 07:30:34,Indian Supreme Court clears way for Hindu temple at disputed site  
14,ChannelNewsAsia,2019-11-09 07:30:33,Alibaba hires more banks on up to US15 billion listing  sources  
15,ChannelNewsAsia,2019-11-09 07:00:35,Hong Kong prodemocracy lawmakers arrested as tensions soar  
16,ChannelNewsAsia,2019-11-09 07:00:34,Barty bagels Garcia as Australia level Fed Cup final  
17,ChannelNewsAsia,2019-11-09 06:39:05,JurongClementi Town Council gets warning from SCDF after firefighters unable to use hose reels during blaze 
18,ChannelNewsAsia,2019-11-09 05:55:32,Mladenovic gives France 10 lead in Fed Cup final  
19,ChannelNewsAsia,2019-11-09 05:05:03,Two dead at least 150 homes lost in Australia bushfires  
20,ChannelNewsAsia,2019-11-09 04:16:33,Maddinson out of Pakistan tour game on mental health grounds  
21,ChannelNewsAsia,2019-11-09 04:07:57,RT  I made another documentary Chinas Growing Appetite airs A WEEK FROM NOW 
22,ChannelNewsAsia,2019-11-09 03:38:33,Moodys downgrades Britain debt outlook to negative  
24,ChannelNewsAsia,2019-11-09 03:24:34,Courteney Coxs Mr and Mrs Bing Instagram post makes fans so happy  
25,ChannelNewsAsia,2019-11-09 02:56:35,Hong Kong faces 24th weekend of protest after students death  
26,ChannelNewsAsia,2019-11-09 02:56:34,NASA unveils its first electric airplane  a work in progress  
27,ChannelNewsAsia,2019-11-09 02:56:33,Kanye West wants to run for president in 2024  and change his name  
28,ChannelNewsAsia,2019-11-09 01:46:06,Southwest and American pull 737 MAX until early March nearly a year after grounding  
29,ChannelNewsAsia,2019-11-09 01:46:05,Activist investor Icahn sells nearly a third of his Occidental Petroleum stake  
30,ChannelNewsAsia,2019-11-09 01:46:04,Bond stayed for exTwitter employee accused of spying for Saudi Arabia  
31,ChannelNewsAsia,2019-11-09 01:34:58,WATCH Would you eat goats eyes ears or brain CNAs Nivell Rayda tried them in sop kaki kambing goats leg soup 
32,ChannelNewsAsia,2019-11-09 01:17:06,Two dead at least 100 homes destroyed in Australian bushfires  
33,ChannelNewsAsia,2019-11-09 01:09:33,Singles Day is coming How to get the best deals on Taobao  
34,ChannelNewsAsia,2019-11-09 01:03:08,Bloomberg files papers paving way for US presidential bid  
35,ChannelNewsAsia,2019-11-09 01:03:07,Facebook bars content claiming to name Trump impeachment whistleblower  
36,ChannelNewsAsia,2019-11-09 01:03:06,Americans spending more outofpocket on mental health than physical health  
37,ChannelNewsAsia,2019-11-09 00:10:33,US wants UN to take up Dalai Lama succession  
38,ChannelNewsAsia,2019-11-09 00:10:32,One person found dead and 100 homes destroyed in Australian bushfires  
39,ChannelNewsAsia,2019-11-09 00:04:06,Late Prodigy singer Flints belongings sell for nearly US450000  
40,ChannelNewsAsia,2019-11-09 00:04:04,Existing US antitrust laws can address tech monopolies DOJ antitrust chief says  
41,ChannelNewsAsia,2019-11-09 00:04:03,Not the first time Kate Moss ex detained by police for buying drugs  
42,ChannelNewsAsia,2019-11-08 23:36:03,White House official says he heard US envoy push for investigation of Bidens  
43,ChannelNewsAsia,2019-11-08 23:28:35,Olympic champion Joseph Schooling is now a beauty maven with his own skincare line  
44,ChannelNewsAsia,2019-11-08 23:28:34,De Minaur sets up final showdown with Sinner at Next Gen ATP Finals  
45,ChannelNewsAsia,2019-11-08 23:28:33,USOPC announces reforms in wake of Nassar sex scandal  
46,ChannelNewsAsia,2019-11-08 23:20:35,Sociedad top La Liga despite being held by lowly Leganes  
47,ChannelNewsAsia,2019-11-08 23:20:34,Amazon longtime executive Steve Kessel to step down  
48,ChannelNewsAsia,2019-11-08 23:20:33,Louis Vuittons Singapore ecommerce involves eco vehicles and men in suits  
49,ChannelNewsAsia,2019-11-08 23:13:08,IMF approves US450 million loan tranche for Pakistan  
50,ChannelNewsAsia,2019-11-08 23:13:07,ExTwitter employee accused of spying for Saudi Arabia granted bond  
51,ChannelNewsAsia,2019-11-08 23:13:06,Southwest pulls 737 MAX until March nearly a year after grounding  
52,ChannelNewsAsia,2019-11-08 23:04:35,Football Watford finally win after sinking lacklustre Norwich 20  
53,ChannelNewsAsia,2019-11-08 23:04:34,US wants to repatriate WWII soldiers remains from China  
54,ChannelNewsAsia,2019-11-08 23:04:33,General Dynamics wins US732 million US defense contract Pentagon  
55,ChannelNewsAsia,2019-11-08 22:43:34,WeWork to divest all noncore businesses  
56,ChannelNewsAsia,2019-11-08 22:37:36,Spirited away When Singapores opinion leaders bond over dialogue and drams  
57,ChannelNewsAsia,2019-11-08 22:37:35,More than vodka and schnitzel Exploring postSoviet Berlins kitschy side  
58,ChannelNewsAsia,2019-11-08 22:37:34,Creative Capital Jazzing up old neighbourhoods and brands with street art  
59,ChannelNewsAsia,2019-11-08 22:30:07,He went hungry as a teen Now Stuffd boss is feeding kids who cant afford a meal  
60,ChannelNewsAsia,2019-11-08 22:30:06,Brazils leftist icon Lula walks free from jail  
61,ChannelNewsAsia,2019-11-08 22:30:04,Blood supplies inadequate in many countries  
62,ChannelNewsAsia,2019-11-08 22:22:36,Dreams dashed for Terengganus aspiring female gymnasts as state bars them from competitions over attire concerns 
63,ChannelNewsAsia,2019-11-08 22:22:34,Commentary Thailand hasnt lost its lustre with travellers There are many undiscovered sights 
64,ChannelNewsAsia,2019-11-08 22:22:33,How much should maids be paid Half of Singaporeans say less than S600 a month new survey shows 
65,ChannelNewsAsia,2019-11-08 22:16:08,Commentary Hard choices await any postBrexit Britain  
66,ChannelNewsAsia,2019-11-08 22:16:07,Teslas Musk Greenlights Einhorn taunt each other on Twitter  
67,ChannelNewsAsia,2019-11-08 22:16:05,Bordeaux go third with 11 draw at Nice in Ligue 1  
68,ChannelNewsAsia,2019-11-08 22:07:35,Sexchange operations yield longterm mental health benefits for transgender people  
69,ChannelNewsAsia,2019-11-08 22:07:34,Ben amp Jerrys is sued over happy cows claim  
70,ChannelNewsAsia,2019-11-08 22:07:33,Southwest pulls Boeing Max jets until March nearly a year after grounding  
71,ChannelNewsAsia,2019-11-08 21:23:06,Fed sees climate change shaping economy policy  
72,ChannelNewsAsia,2019-11-08 21:23:05,US womens team granted class action status in equalpay lawsuit  
73,ChannelNewsAsia,2019-11-08 21:15:06,Remains of five more victims of Mexican Mormon killings are buried  
74,ChannelNewsAsia,2019-11-08 21:15:05,Football Chelseas Kante is more than a defensive midfielder says Lampard  
75,ChannelNewsAsia,2019-11-08 21:15:03,Football Arsenals Xhaka not in right frame of mind to play Leicester says Emery  
76,ChannelNewsAsia,2019-11-08 21:09:07,Southwest pulls Boeing Max jets until March in longest US delay yet  
77,ChannelNewsAsia,2019-11-08 21:09:06,Verdict due in landmark Indian holy site dispute  
78,ChannelNewsAsia,2019-11-08 21:09:05,US wants UN to take up Dalai Lama succession Envoy  
79,ChannelNewsAsia,2019-11-08 21:02:05,USOPC introduces reforms in response to Nassar scandal  
80,ChannelNewsAsia,2019-11-08 21:02:04,Trauma outcomes worse with risk factors for heart disease and stroke  
81,ChannelNewsAsia,2019-11-08 21:02:03,Celgenes drug for anemia in beta thalassemia priced at US3441 25 mg vial  
82,ChannelNewsAsia,2019-11-08 20:20:35,Uncharted territory as bushfires rage across Australias east  
83,ChannelNewsAsia,2019-11-08 20:12:35,Southwest extends Boeing 737 MAX cancellations until early March  
84,ChannelNewsAsia,2019-11-08 20:12:34,FCC orders station groups to negotiate with ATampT in DirecTV dispute  
85,ChannelNewsAsia,2019-11-08 20:12:33,Life in Communist East Germany was almost comfortable at times Merkel says  
86,ChannelNewsAsia,2019-11-08 20:04:36,US Supreme Court to consider blocking  trademark  
87,ChannelNewsAsia,2019-11-08 20:04:35,Safety data on AstraZeneca anemia drug points to potential use in dialysis  
88,ChannelNewsAsia,2019-11-08 20:04:34,Football Ozil Kolasinac attacker jailed for 10 years  
89,ChannelNewsAsia,2019-11-08 19:28:34,Basketball Heat lose playmaker Winslow to NBA concussion protocol  
90,ChannelNewsAsia,2019-11-08 19:28:33,Big Three hail future stars of mens tennis  
91,ChannelNewsAsia,2019-11-08 19:22:08,Bloomberg flirts with White House bid in challenge to Biden  
92,ChannelNewsAsia,2019-11-08 19:22:07,More than one in three in Haiti need urgent food aid UN  
93,ChannelNewsAsia,2019-11-08 19:22:06,Israeli PM appoints new defence minister boosting Likud party  
94,ChannelNewsAsia,2019-11-08 19:13:35,SampP 500 Dow take a breather on trade deal doubts  
95,ChannelNewsAsia,2019-11-08 19:13:34,Golf Austrias Schwab leads by one at halfway in Turkish Open  
96,ChannelNewsAsia,2019-11-08 19:13:33,US FDA approves Celgenes rare blood disorder drug  
97,ChannelNewsAsia,2019-11-08 19:06:35,Man jailed for 10 years for armed attack on Arsenal players  
98,ChannelNewsAsia,2019-11-08 19:06:34,Chilean doctors hit the streets amid violent protests  
99,ChannelNewsAsia,2019-11-08 19:06:33,Football Merseyside police give Man City safety assurances for Liverpool clash  
100,ChannelNewsAsia,2019-11-08 18:28:34,Video game Legends do battle for US1 million  
101,ChannelNewsAsia,2019-11-08 18:28:33,Football Balotelli left out of Italy squad by Mancini  
102,ChannelNewsAsia,2019-11-08 18:21:08,US CDC reports breakthrough in vaping lung injury probe as cases top 2000  
103,ChannelNewsAsia,2019-11-08 18:21:07,Arkansas joins states backing TMobiles deal to buy Sprint  
104,ChannelNewsAsia,2019-11-08 18:21:06,Activist investor Carl Icahn sells nearly a third of his Occidental Petroleum stake  
105,ChannelNewsAsia,2019-11-08 18:14:35,Madrid and Catalan separatists locked in online battle  
106,ChannelNewsAsia,2019-11-08 18:14:34,Assange may die in jail father warns  
107,ChannelNewsAsia,2019-11-08 18:14:33,Football Cavani to make first PSG start since August  
108,ChannelNewsAsia,2019-11-08 18:06:35,Trump says unconcerned by hoax impeachment bid as hearings come into public view  
109,ChannelNewsAsia,2019-11-08 18:06:34,Lebanese banks face threats Hariri said to want neutral government  
110,ChannelNewsAsia,2019-11-08 18:06:33,WeWork exCEO Neumann Softbank sued over botched IPO plummeting value  
111,ChannelNewsAsia,2019-11-08 17:37:32,North Korea says window of opportunity closing for outcome of talks with US  
112,ChannelNewsAsia,2019-11-08 17:08:35,Chelseas Kante is more than a defensive midfielder says Lampard  
113,ChannelNewsAsia,2019-11-08 17:08:34,Football Liverpool must be brave in summit clash against Man City says Klopp  
114,ChannelNewsAsia,2019-11-08 17:08:33,Football Morata recalled to Spain squad Ansu Fati and Ceballos miss out  
115,ChannelNewsAsia,2019-11-08 17:00:35,Arsenals Xhaka not in right frame of mind to play Leicester  Emery  
116,ChannelNewsAsia,2019-11-08 17:00:34,Hong Kong vigils for dead student turn to street clashes  
