,User,Date,Tweets
12,gadgetsnow,2019-11-13 05:30:00,Instagram is worried about TikTok heres whyutmsource 
13,gadgetsnow,2019-11-13 04:30:00,6 new Xiaomi phones that have become cheaper
14,gadgetsnow,2019-11-13 03:30:00,We take a quick look at Dells latest in the XPS ultrabook lineup the XPS 13 7390 that starts at Rs 114999 He 
30,gadgetsnow,2019-11-12 04:30:00,Our review of ROG Phone 2 rival Nubia Red Magic 3S gaming smartphone
31,gadgetsnow,2019-11-12 03:30:00,WhatsApp is on a spree to ban users heres how you can ensure you are not next 
32,gadgetsnow,2019-11-12 02:30:01,OnePlus has launched OnePlus Piano but its not for India
40,gadgetsnow,2019-11-11 13:30:00,WhatsApp is on a spree to ban users heres how you can ensure you are not next 
41,gadgetsnow,2019-11-11 12:30:00,Samsung Galaxy S11 series What we know so far
42,gadgetsnow,2019-11-11 11:30:00,This Apple device may be the first to get indisplay touch sensor 
43,gadgetsnow,2019-11-11 10:30:00,Be careful about these jobs offered by HR managers on WhatsApp 
44,gadgetsnow,2019-11-11 09:30:00,Apples most powerful device spotted ahead of launch
45,gadgetsnow,2019-11-11 08:30:00,Mi Days on Amazon Up to Rs 10000 off on Xiaomi Mi A3 Poco F1 Redmi Y3 and more 
46,gadgetsnow,2019-11-11 07:30:00,What is Mastodon and why it is trending on Twitter 
47,gadgetsnow,2019-11-11 06:30:00,Garbage fake degenerate How Donald Trump describes this venture owned by the worlds richest man 
48,gadgetsnow,2019-11-11 05:30:00,This is the secondmost successful game of alltime 
49,gadgetsnow,2019-11-11 04:30:00,9 companies disqualified from applying for H1B visas 
68,gadgetsnow,2019-11-09 09:30:00,Nubia Red Magic 3S review Power meets ease of gaming
69,gadgetsnow,2019-11-09 08:30:00,WhatsApp makes online shopping easier heres how
70,gadgetsnow,2019-11-09 07:30:00,Every second smartwatch sold in the world is an Apple Watch
71,gadgetsnow,2019-11-09 06:30:00,Google makes it easier to share GIFs with this app
72,gadgetsnow,2019-11-09 05:30:00,OnePlus smartphone users have this WhatsApp problem
73,gadgetsnow,2019-11-09 04:30:00,IIT Roorkee teams up with ISRO DRDO for space defence tech
74,gadgetsnow,2019-11-09 03:29:11,Chinas top chip maker urges US firms to help ease tensions
75,gadgetsnow,2019-11-09 03:23:54,Nubia Red Magic 3S review Power meets ease of gaming
76,gadgetsnow,2019-11-08 15:12:40,What is Mstdn or Mastodon and why it is trending on Twitter
77,gadgetsnow,2019-11-08 13:14:50,WhatsApp makes online shopping easier heres how
78,gadgetsnow,2019-11-08 12:11:36,Microsoft employees are banned from using these apps and software
79,gadgetsnow,2019-11-08 05:30:00,Yahoo Groups to shut down users have 5 weeks to save datautmsource 
80,gadgetsnow,2019-11-08 04:30:00,Apple iPhone 11 Pro Max vs Samsung Galaxy Note 10 Plus How the cameras compare
81,gadgetsnow,2019-11-08 03:30:00,Facebooks secrets get revealed in secret documents
82,gadgetsnow,2019-11-08 02:30:00,Got a smart bathtub or a faucet Google Assistant will now support them as well
83,gadgetsnow,2019-11-08 01:30:00,UP is using AI JARVIS in prisons
84,gadgetsnow,2019-11-08 00:30:00,OnePlus 7T gets new OxygenOS update with October Android security patch
85,gadgetsnow,2019-11-07 20:30:00,Indian startups can create 12 lakh direct jobs by 2025 Report
86,gadgetsnow,2019-11-07 18:30:00,BSNL extends validity of Rs 1699 prepaid plan again
87,gadgetsnow,2019-11-07 17:30:00,How Indian government may have an edge in its battle with WhatsApp
88,gadgetsnow,2019-11-07 16:30:00,Bill Gates on why he messed up Microsofts mobile business
89,gadgetsnow,2019-11-07 15:30:00,How hackers won Rs 1 crore thanks to Xiaomi Amazon Samsung and others
90,gadgetsnow,2019-11-07 14:30:00,How TikTok could have a big problem called the United States of America
91,gadgetsnow,2019-11-07 13:30:00,Apple has good news for employees who become parents
92,gadgetsnow,2019-11-07 12:30:00,How you can get flat Rs 2000 discount on purchase of latest OnePlus smartphones
93,gadgetsnow,2019-11-07 11:30:00,How Google plans to fight one of its biggest Android problem
94,gadgetsnow,2019-11-07 10:30:00,This bug in Google Chrome rival Firefox may freeze your Windows and Mac devices
95,gadgetsnow,2019-11-07 09:30:00,Apple has an important message for its users and rivals too
96,gadgetsnow,2019-11-07 08:30:00,14 golden rules Amazon wants employees to followutmsource 
97,gadgetsnow,2019-11-07 07:40:00,Apple iPhone 11 Pro Max vs Samsung Galaxy Note 10 Plus How the cameras compare
98,gadgetsnow,2019-11-07 06:30:00,14 golden rules Amazon wants employees to follow 
99,gadgetsnow,2019-11-07 05:30:00,Apple iPhone 11 Pro Max vs Samsung Galaxy Note 10 How the cameras compare
100,gadgetsnow,2019-11-07 04:30:00,Heres how Twitter CEO made fun of Facebooks new logo in three words
101,gadgetsnow,2019-11-07 03:30:00,Chinese CEO who wanted to buy Apple banned from taking flights planes
102,gadgetsnow,2019-11-07 02:30:00,Infosys may cut up to 10000 jobs 9 things to know
110,gadgetsnow,2019-11-06 05:33:48,Infosys may cut up to 10000 jobs 9 things to know 
111,gadgetsnow,2019-11-06 04:30:00,Coming soon OnePlus smartwatch
112,gadgetsnow,2019-11-06 03:30:00,8 myths about air purifiers you should stop believing right now
113,gadgetsnow,2019-11-06 02:30:00,Fitness band explodes mans wrist gets burned
114,gadgetsnow,2019-11-05 07:14:51,This tech giant makes a case for 4day working for its employees
115,gadgetsnow,2019-11-05 06:30:00,Heres why iPhone users are unhappy with Twitter 
116,gadgetsnow,2019-11-05 05:31:20,8 myths about air purifiers you should stop believing right now 
117,gadgetsnow,2019-11-05 04:30:00,Not Airtel or Jio this is the fastest broadband service provider Ookla
118,gadgetsnow,2019-11-05 03:30:00,Googles search for a smartwatch ends with spending 21 billion 
119,gadgetsnow,2019-11-05 03:30:00,All you need to know about the largestever job cut in IT sector in India
120,gadgetsnow,2019-11-05 02:30:00,How Amazon Alexa may become witness in a murder case
121,gadgetsnow,2019-11-05 02:30:00,Future Group Amazon Deal Futures Amazon deal set to close soon Kishore Biyani 
123,gadgetsnow,2019-11-04 18:30:00,Government may have good news for Airtel and Vodafone 
124,gadgetsnow,2019-11-04 17:30:00,WhatsApp Payments  WhatsApp fallout Govt flags risks to payments through social media companies 
125,gadgetsnow,2019-11-04 16:30:00,Top five Apple Arcade games of the week October 28  November 3 
126,gadgetsnow,2019-11-04 15:45:23,Heres a quick look for Samsung Galaxy Watch LTE 
127,gadgetsnow,2019-11-04 15:30:00,These two Vivo phones have got a price cut 
128,gadgetsnow,2019-11-04 14:30:00,Google Photos getting new this feature for Android users 
129,gadgetsnow,2019-11-04 13:30:00,OnePlus 6 and OnePlus 6T gets stable Android 10 based Oxygen OS update
130,gadgetsnow,2019-11-04 12:30:00,This is how the Samsung Galaxy S10 Lite may look like 
131,gadgetsnow,2019-11-04 11:30:00,TikTok parent ByteDance launches its first smartphone
132,gadgetsnow,2019-11-04 10:30:00,Googles search for a smartwatch ends with spending 21 billion 
133,gadgetsnow,2019-11-04 09:30:00,Realme 5 smartphone gets a price cut of Rs 1000 
134,gadgetsnow,2019-11-04 08:30:00,More details about Samsung Galaxy S11 surface online
135,gadgetsnow,2019-11-04 07:30:00,US may finally have some good news for Huawei 
136,gadgetsnow,2019-11-04 06:30:00,How Amazons Alexa may be a witness in a murder case
137,gadgetsnow,2019-11-04 05:37:53,All you need to know about the largestever job cut in IT sector in India 
138,gadgetsnow,2019-11-04 04:30:00,How to keep your photos private on Apple iPhone
139,gadgetsnow,2019-11-04 03:30:00,Googles 12 biggest acquisitions and what they mean for you
