,User,Date,Tweets
0,Mashable,2019-11-09 12:15:00,An epic unibrow sets this Instafamous model apart from the rest 
1,Mashable,2019-11-09 11:42:00,This 16yearold is on her way to becoming the first professional hijabwearingballerina 
2,Mashable,2019-11-09 11:32:00,This is what Michael Phelps diet was like during training  
3,Mashable,2019-11-09 11:15:00,This artist is building the love she deserves  someone who always texts back 
4,Mashable,2019-11-09 11:12:00,Your kids will never be afraid of the dark  or sleep  again 
5,Mashable,2019-11-09 11:07:26,In big step forward tampons in Germany wont be taxed as luxury items 
6,Mashable,2019-11-09 10:42:00,This cybersecurity expert has 1500 passwords Heres why and how 
7,Mashable,2019-11-09 10:22:00,Student engineers built an incredibly fast solarpowered car 
8,Mashable,2019-11-09 10:05:00,Sorry but you cant really erase yourself from the internet 
9,Mashable,2019-11-09 09:45:00,These dolls with vitiligo can help kids love the skin theyre in 
10,Mashable,2019-11-09 09:12:00,This girl is breaking Instagram norms and going viral 
11,Mashable,2019-11-09 08:49:00,Facial recognition could make your commute MUCH easier 
12,Mashable,2019-11-09 08:12:00,Does social media make us happier  
13,Mashable,2019-11-09 07:41:00,Now you can get your star sign tattooed as freckles 
14,Mashable,2019-11-09 07:14:00,Upgrade your latte game  
15,Mashable,2019-11-09 06:42:00,Google Lens AI tried and failed to identify 20 adorable Corgis 
16,Mashable,2019-11-09 06:16:00,A new way of cycling is coming with airless tires that never go flat 
17,Mashable,2019-11-09 05:47:00,This tiny robot is basically an allstar gymnast 
18,Mashable,2019-11-09 05:27:00,This smart luggage is a suitcase AND a scooter 
19,Mashable,2019-11-09 05:07:00,Bye bye germs  
20,Mashable,2019-11-09 04:54:00,Curious creatures 
21,Mashable,2019-11-09 04:34:00,AI just keeps getting cooler and cooler 
22,Mashable,2019-11-09 04:04:00,This underwater restaurant is also a marine life research center 
23,Mashable,2019-11-09 03:54:00,OK Amazon We see you 
24,Mashable,2019-11-09 03:34:00,This plane is not messing around 
25,Mashable,2019-11-09 03:14:00,A whole new way to grocery shop 
26,Mashable,2019-11-09 02:44:59,Airbnbs party house problems keep piling up 
27,Mashable,2019-11-09 02:44:00,This taxi is next level 
28,Mashable,2019-11-09 02:34:00,One small step for that robot one giant leap for automated deliveries 
29,Mashable,2019-11-09 02:14:00,This fullyelectric concept car could be the future of transportation 
30,Mashable,2019-11-09 01:54:00,These braille Lego bricks could have a serious positive impact on the way visuallyimpaired children are educated 
31,Mashable,2019-11-09 01:45:31,Say goodbye to public like counts 
32,Mashable,2019-11-09 01:24:00,Astronauts could be living in these 3Dprinted buildings on Mars one day 
33,Mashable,2019-11-09 01:14:00,How degradable are biodegradable shopping bags 
34,Mashable,2019-11-09 00:49:20,Facebook blocked Breitbart from posting the name of the alleged Trump whistleblower 
35,Mashable,2019-11-09 00:44:00,I thought RoboCop was taller 
36,Mashable,2019-11-09 00:38:04,Dont let it happen to you 
37,Mashable,2019-11-09 00:34:00,All the grating power youd expect from the latest Apple device that for some reason doesnt come with a Never Endi 
38,Mashable,2019-11-09 00:05:50,Finally 
39,Mashable,2019-11-09 00:04:00,Meet the fire stations latest recruit 
40,Mashable,2019-11-08 23:44:00,Would you take an Uber Air flying taxi 
41,Mashable,2019-11-08 23:34:00,Can you tell the difference 
42,Mashable,2019-11-08 23:23:06,Waymo says goodbye to Austin 
43,Mashable,2019-11-08 23:04:00,Strawberry robots forever  
44,Mashable,2019-11-08 22:54:00,Space is beautiful 
45,Mashable,2019-11-08 22:37:00,Algae shoes sounds like a SpongeBob episode 
46,Mashable,2019-11-08 22:34:59,12 gifts to give yourself because why not 
47,Mashable,2019-11-08 22:34:00,This robot could totally change gardening 
48,Mashable,2019-11-08 22:12:57,WeWork employees call out greed and deception in open letter
49,Mashable,2019-11-08 22:04:00,Sneaky octopus 
50,Mashable,2019-11-08 21:57:00,Well file this under creepy and inappropriate 
51,Mashable,2019-11-08 21:54:00,Yeah stars are pretty but can you count them all up 
52,Mashable,2019-11-08 21:50:30,Dont be fooled Twitter is still a hellscape
53,Mashable,2019-11-08 21:34:00,This drone could totally change the wireless charging game 
54,Mashable,2019-11-08 21:21:17,Escape the sensory world while you travel 
