,User,Date,Tweets
0,techradar,2019-11-14 01:02:10,The Disney Plus app has been downloaded an estimated 32 million times  
1,techradar,2019-11-14 00:02:00,Disney Plus review
2,techradar,2019-11-13 23:02:00,The 16inch MacBook Pro brings the companys lauded Retina display to a larger size as well as a brand new Magic 
3,techradar,2019-11-13 22:02:13,We went handson with the MacBook Pro 16inch 
4,techradar,2019-11-13 21:02:00,The Motorola Razr has been pretty thoroughly leaked at this point 
5,techradar,2019-11-13 20:02:00,Everything you need to know about the new Pokmon games 
6,techradar,2019-11-13 19:02:01,With specs dialed up to 10 the new 16inch MacBook Pro costs 6099  5769 or AU 9679 Whats that going to ge 
7,techradar,2019-11-13 18:02:03,These are the best weapons Death Stranding has to offer 
8,techradar,2019-11-13 17:02:05,The perfect gift this holiday seasonUse code XMASTW at checkout to get an additional 10 exclusively for reader 
9,techradar,2019-11-13 16:02:06,Superb LG soundbar gets huge 300 price cut in Currys Black Friday sales 
10,techradar,2019-11-13 15:02:04,The Mandalorian is the space Western Star Wars fans have been waiting for  
11,techradar,2019-11-13 14:37:56,Pokmon Sword and Shield seems to be a success 
12,techradar,2019-11-13 14:02:00,Apple TV is now on more Fire TV devices  including the 2ndgen Cube
13,techradar,2019-11-13 13:50:39,They all want to be the very best 
14,techradar,2019-11-13 13:43:14,MacBook Pro 16inch is real and available to buy right now 
15,techradar,2019-11-13 13:32:01,Black Friday vs Cyber Monday whats the difference
16,techradar,2019-11-13 13:02:03,This 4K TV from Samsung is 100 off in fantastic Currys Black Friday deal 
17,techradar,2019-11-13 12:32:02,Four missing Marvel movies on Disney Plus now have release dates  
18,techradar,2019-11-13 12:02:04,Windows 10 November 2019 Update is here  but you might be disappointed  
19,techradar,2019-11-13 11:02:00,Its no surprise that Samsung is going to improve the camera in the Galaxy S11 
20,techradar,2019-11-13 01:02:01,Whats in the pipeline 
21,techradar,2019-11-13 00:02:01,These are the best VR games on the market 
22,techradar,2019-11-12 23:02:00,Fingers crossed 
23,techradar,2019-11-12 22:02:01,Now that Disney Plus has launched in the US we can take a comprehensive look at its offerings and judge whether 
24,techradar,2019-11-12 21:02:02,What was Walmarts Black Friday like way back in 1989 
25,techradar,2019-11-12 20:02:03,Heres how you can catch all the action 
26,techradar,2019-11-12 19:02:08,Fonehouse just went live with its Black Friday iPhone deals and they are excellent 
27,techradar,2019-11-12 18:40:17,A silly Star Wars edit has created a new Greedo meme Maclunkey  
28,techradar,2019-11-12 18:02:22,Dell XPS 13 gets an 800 price cut in the US  the best deal yet on the worlds best laptop 
29,techradar,2019-11-12 17:02:40,Or something entirely different 
30,techradar,2019-11-12 16:02:00,Every MCU movie on Disney  today Iron ManThorIron Man 2Cap AmericaThe AvengersIron Man 3Cap The Winter So 
31,techradar,2019-11-12 15:02:21,Game Freak has stated that future Pokmon games will feature a reduced Pokdex 
32,techradar,2019-11-12 14:02:00,Intels nextgen tiny NUC PCs spotted with 10thgen Comet Lake CPUs 
33,techradar,2019-11-12 13:32:14,Samsung may move its punchhole to the middle 
34,techradar,2019-11-12 13:02:01,Nvidia RTX 3080 graphics card could be powering gaming PCs in June 2020 
35,techradar,2019-11-12 12:32:02,Todays Best Buy Black Friday doorbuster knocks 250 off a Dell Inspiron laptop  
