,User,Date,Tweets
6,gadgetsnow,2020-01-30 20:30:00,Doing these 10 things on WhatsApp may land you in jail
7,gadgetsnow,2020-01-30 18:30:00,This is how Oppos Apple Watch rival will look like
8,gadgetsnow,2020-01-30 17:30:00,COAI urges government to offer telcos 1015 yrs for dues settlement
9,gadgetsnow,2020-01-30 16:30:00,Huawei seeks app developers help in its to fight against Google ban
10,gadgetsnow,2020-01-30 15:30:00,Government to manage IMEIrelated processes removes private body
11,gadgetsnow,2020-01-30 14:30:00,These Realme phones will get the biggest Android update of 2020
12,gadgetsnow,2020-01-30 12:30:00,These 117 new emojis may come to your smartphones
13,gadgetsnow,2020-01-30 11:30:00,Samsung launches worlds first 5Genabled Android tablet
14,gadgetsnow,2020-01-30 10:30:00,This is the first Apple product to launch in India at a cheaper price than the US
15,gadgetsnow,2020-01-30 09:30:00,Coronavirus This is what Apple Facebook and other tech companies are doing
16,gadgetsnow,2020-01-30 08:30:00,Samsung Galaxy A51 vs Xiaomi Redmi K20 Pro vs Vivo V17 vs Oppo Reno 2F Best smartphone under Rs 25000
17,gadgetsnow,2020-01-30 07:14:41,Facebook to pay 550 million to settle facial recognition lawsuit
18,gadgetsnow,2020-01-30 04:30:00,Apple rolls out iOS 1331 update for iPhones Heres what it includes utmsource
19,gadgetsnow,2020-01-30 03:30:00,Amazon and Google may have a new smart worry and its called Apple
21,gadgetsnow,2020-01-30 02:30:00,10 ways government wants Facebook Google to help in its porn fight
26,gadgetsnow,2020-01-29 15:30:00,10 ways government wants Facebook Google to help in its porn fight 
27,gadgetsnow,2020-01-29 14:30:00,Global 5G smartphone market Huawei tops these are the other 4 
28,gadgetsnow,2020-01-29 13:52:23,Apples latest quarter reports are out and it looks like the Cupertinobased tech giant has hit an alltime high In terms of sales of devices revenues income as well as active user base Apple has announced that it set new records 
29,gadgetsnow,2020-01-29 13:30:00,Realme to expand its Cseries smartphone range
30,gadgetsnow,2020-01-29 12:30:00,Mi Super Sale Up to Rs 6000 off on Redmi Note 7 Pro Redmi K20 Redmi 8A and more 
32,gadgetsnow,2020-01-29 10:30:00,Why US Supreme Courts ruling is good news for Indians 
33,gadgetsnow,2020-01-29 09:30:00,This is why Apple has postponed the launch of its companyowned India store 
34,gadgetsnow,2020-01-29 08:30:00,Apple rolls out iOS 1331 update for iPhones Heres what it includes 
35,gadgetsnow,2020-01-29 07:30:00,OnePlus exexec to Poco Dont copy tagline 
36,gadgetsnow,2020-01-29 06:52:16,Amazon and Google may have a new smart worry and its called Apple 
37,gadgetsnow,2020-01-29 05:53:21,Apple sets new sales record iPhone Apple Watch hit alltime high and more 
38,gadgetsnow,2020-01-29 04:30:00,This antivirus software firm is allegedly selling users data
39,gadgetsnow,2020-01-29 03:30:00,Apple remembers Indias missile man APJ Abdul Kalam
41,gadgetsnow,2020-01-29 02:30:00,How to track coronavirus in realtime
47,gadgetsnow,2020-01-28 14:34:47,Samsung takes on iPhone 11 OnePlus 7T with GalaxyS10Lite 
50,gadgetsnow,2020-01-28 12:30:00,This billion dollar startup is giving Bschools a miss 
52,gadgetsnow,2020-01-28 10:30:00,This Google app gets disappearing messages feature Report 
53,gadgetsnow,2020-01-28 09:30:00,How Vodafoneideas loss may become Jios gain 
54,gadgetsnow,2020-01-28 08:30:00,How to track coronavirus in realtime 
55,gadgetsnow,2020-01-28 07:30:00,OnePlus promises to bring new videography features to its smartphones 
56,gadgetsnow,2020-01-28 06:30:00,Apple remembers Indias missile man APJ Abdul Kalam 
57,gadgetsnow,2020-01-28 05:30:00,These Google search mistakes may cost you a lot 
87,gadgetsnow,2020-01-26 04:30:00,How Samsung Galaxy Note 10 Lite compares to topend phones from OnePlus Xiaomi and Realme 
88,gadgetsnow,2020-01-26 02:30:00,Meet Indias latest billion dollar startup
89,gadgetsnow,2020-01-26 00:30:00,Indias mobile phone exports are on the rise
90,gadgetsnow,2020-01-25 20:30:00,Paytm gets tough against fraudsters
91,gadgetsnow,2020-01-25 18:30:00,5 biggest smartphone companies in India
96,gadgetsnow,2020-01-25 10:30:00,5 biggest smartphone companies in India
97,gadgetsnow,2020-01-25 08:30:00,Read our review of the latest Amazon Echo Dot with Clock
98,gadgetsnow,2020-01-25 06:30:00,Google promises to make Search better after users complaints 
99,gadgetsnow,2020-01-25 04:45:23,How Samsung Galaxy Note 10 Lite compares to topend phones from OnePlus Xiaomi and Realme 
100,gadgetsnow,2020-01-24 14:30:00,10 smartphones you should not buy from China
