,User,Date,Tweets
12,gigaom,2019-10-30 18:21:17, checks in on Day 2 at NetAppINSIGHT 2019 and shares his   on  announcements  their data 
13,gigaom,2019-10-30 14:03:52, takeaways from Day 1 at NetAppINSIGHT Keystone  a new consumption model  Enricos favorite  Al 
14,gigaom,2019-10-30 02:38:26, takeaways from Day 1 at NetAppINSIGHT  Keystone a new consumption model  Enricos favorite  Al 
15,gigaom,2019-10-28 19:15:55,Why do digital transformations fail  divertsfrom   raises 100M amp 
16,gigaom,2019-10-28 15:22:35,Have you ever lost  on a project because some didnt get delivered the schemas changed in the source data wareh 
17,gigaom,2019-10-26 00:33:00, next KeyCriteria report on objectstorage is in the works Watch this space for updates from Enric 
18,gigaom,2019-10-25 22:20:09, sharedinbox brief on   A fullfeatured standalone with great mobile apps solid automatio 
19,gigaom,2019-10-23 17:45:06,RT  In this episode of the  AIMinute host  talks about how people fear artificial intelligence more than they
20,gigaom,2019-10-22 23:16:10,RT  Hear  speak with Joe Amato and Stan Stevens about the new VSP 5000 and Hitachi Ops Manager and 
21,gigaom,2019-10-22 20:51:02,On the latest episode of VoicesinDevOps host  chats with  of  about how to modernize 
22,gigaom,2019-10-22 16:59:45, covers  foundations and waiting for the hidden 90 of the iceberg to come into view 
23,gigaom,2019-10-21 18:32:06,Read  latest report Data Storage Architectures for MachineLearning and ArtificialIntelligence 
24,gigaom,2019-10-21 15:15:52, brief on   A shared inbox app that offers deep automation builtin customer satisfaction su 
25,gigaom,2019-10-19 01:36:44,RT  ICYMI Two Different Approaches to Data Storage Analytics    TFDx VMworld 
26,gigaom,2019-10-18 22:07:06, This Week in Work Technology automation is front amp center for  and  while  
27,gigaom,2019-10-17 05:19:11, brief on  an emailfirst customer interaction app with solid reporting serious integrations 
28,gigaom,2019-10-16 17:58:07,Catch up on  latest article  vs  The War Wags On  Teams has a messy footprint 
29,gigaom,2019-10-16 03:45:30,What is the future of Kubernetes A cloud computing grid   of  discusses this and mo 
30,gigaom,2019-10-15 01:08:00, covers  a promising entrant in the G suite shared inbox market niche 
31,gigaom,2019-10-15 00:50:36, latest paper on Performance Management for Complex MultiCloud Deployments 
32,gigaom,2019-10-13 15:07:00,Try the GigaBrief for free and keep up with inmarket IT trends necessary to operate secure and monetize emergin 
33,gigaom,2019-10-11 18:45:21,In  This Week in Work Technology he covers  CEO quitting   C Round Valuation of 200M 
34,gigaom,2019-10-11 01:07:56, on the real value proposition of  and the rapid convergence toward omnichannel customer in 
35,gigaom,2019-10-10 05:23:10,80 of the global workforce doesnt sit behind a desk this frontline workforce is the focus of  
36,gigaom,2019-10-09 22:35:27, checks in from HitachiNext 
