,User,Date,Tweets
236,observer,2019-10-30 23:14:02,JetBlue Just Released 31 Fares for Every Single Flight Nationwide on Halloween  
237,observer,2019-10-30 22:45:02,Shopifys Q3 Earnings Fall Short Due to Fast International Growth  
238,observer,2019-10-30 22:02:02,Prince William and Kate Took George Charlotte and Louis to Anmer Hall for a Cozy Family Vacation 
239,observer,2019-10-30 21:39:01,Innovation Has a Managerial Problem  
240,observer,2019-10-30 21:26:02,How Did These Ancient Syrian Artifacts End Up at the Met A Candid Exhibition Reveals  
241,observer,2019-10-30 20:57:02,For His First Public Sculpture George Condo Matched His Concept With Its Grand Location  
242,observer,2019-10-30 20:07:04,Jason Statham and Rosie HuntingtonWhiteley Listed Their Malibu Beach Retreat for 1995 Million 
243,observer,2019-10-30 19:32:02,Beyond Meats Q3 Earnings Mark First Profitable Quarter for the Startup  
244,observer,2019-10-30 18:05:07,Amazon Is Offering Prime Members Free Fresh Grocery Delivery Service  
245,observer,2019-10-30 17:22:05,Bruno Beltros Critical Creative Take on HipHop Comes to BAM  
246,observer,2019-10-30 16:07:01,Halloween 2019 Spooky But Super Real Tech You Should Know About  
247,observer,2019-10-30 16:02:19,Artists Protest MoMAs New Gallery Named for Trustee With Ties to Epstein  
248,observer,2019-10-30 15:46:02,Naomi Watts Game of Thrones Prequel Not Moving Forward at HBO  
249,observer,2019-10-30 15:24:02,Secret Military Spaceplane Lands After RecordBreaking 780 Days in Orbit  
250,observer,2019-10-30 13:03:03,Alma Thomas Painting Formerly Belonging to Bill Cosby Expected to Break Records at Christies 
251,observer,2019-10-30 12:35:04,Whats Next for SoftBanks 100B Vision Fund 2 More Investments in Consumer Tech  
252,observer,2019-10-30 12:09:03,The Morning Show Review The News is Awful But Were All Addicted  
253,observer,2019-10-30 11:05:02,Here Is How Much Money SoftBank Has Spent on WeWork to Date  
254,observer,2019-10-30 00:53:01,Sothebys Replaces CEO With Longtime Ally of New Owner Patrick Drahi  
255,observer,2019-10-30 00:05:01,Street Artist BD White Expands the Scope of the Stencil  
256,observer,2019-10-29 23:14:02,Virgin Galactic Is Officially the First Space Tourism Company on the NYSE  
257,observer,2019-10-29 22:02:03,FBI Recovers Painting Stolen by Nazis From Upstate New York Museum  
258,observer,2019-10-29 21:39:02,Scariest Takeaways on the Current State of Smartphone Surveillance From Edward Snowden  
259,observer,2019-10-29 20:57:02,In Jami Attenbergs All This Could Be Yours a Family Confronts Its Patriarch  
260,observer,2019-10-29 19:32:02,What Are the Most Expensive Shows on TV and How Much Do They Cost  
261,observer,2019-10-29 18:56:01,LVMHs Tiffany amp Co Buyout Could Make Bernard Arnault the Worlds Richest Man  
262,observer,2019-10-29 18:32:02,AI Scientists Need Your Contribution to Worlds First Poop Image Database  
263,observer,2019-10-29 18:05:05,Lee Radziwills Classic Upper East Side Apartment Sold for 425 Million  
264,observer,2019-10-29 16:30:36,Uber Money Is Companys Latest Attempt at ProfitabilityBut Experts Have Some Concerns  
265,observer,2019-10-29 15:31:02,Why Billionaires Are Now in Panic Mode to Save Capitalism From Itself  
266,observer,2019-10-29 15:05:05,Bill Traylors Outsider Art Found a Devoted Admirer in William LouisDreyfus  
267,observer,2019-10-29 14:55:05,ABT Celebrates Everybodys Favorite the Dynamic Herman Cornejo  
268,observer,2019-10-29 14:05:03,Prince Harry and Meghan Are Considering a Very Long Trip to the United States  
269,observer,2019-10-29 13:48:02,Netflix Doubles Down Pushing 3 Originals for Best Picture Nominations  
270,observer,2019-10-29 12:35:02,In Jami Attenbergs All This Could Be Yours a Family Confronts Its Patriarch  
271,observer,2019-10-29 12:09:02,Googles DeepMind AI Beats Humans AgainThis Time By Deciphering Ancient Greek Text  
272,observer,2019-10-29 11:05:02,Gagosian to Show Supernatural Works by HR Giger the Artist Behind Alien  
273,observer,2019-10-29 00:05:02,Art for Tibet Auction Expands Into an Exhibition With Work by Shepard Fairey  
274,observer,2019-10-28 23:14:02,WarnerMedia Is Banking on Improvements From ATampT to Survive and Thrive  
275,observer,2019-10-28 22:45:02,Vigorous and Heartbreaking The Great Alaskan Race Will Leave You Cheering  
276,observer,2019-10-28 21:39:02,LVMHs Tiffany amp Co Buyout Could Make Bernard Arnault the Worlds Richest Man  
277,observer,2019-10-28 20:57:01,Whats Next for SoftBanks 100B Vision Fund 2 More Investments in Consumer Tech  
278,observer,2019-10-28 20:23:02,Sothebys Replaces CEO With Longtime Ally of New Owner Patrick Drahi  
279,observer,2019-10-28 20:05:02,Dakota Fanning Moved to a 295 Million Toluca Lake Home  
280,observer,2019-10-28 19:32:01,Prince Charles Busy Fall Travel Schedule Now Includes a Visit to India  
281,observer,2019-10-28 18:56:02,Virgin Galactic Is Officially the First Space Tourism Company on the NYSE  
282,observer,2019-10-28 18:32:01,Scariest Takeaways on the Current State of Smartphone Surveillance From Edward Snowden  
283,observer,2019-10-28 16:07:01,Here Is How Much Money SoftBank Has Spent on WeWork to Date  
284,observer,2019-10-28 15:53:02,The Morning Show Review The News is Awful But Were All Addicted  
285,observer,2019-10-28 15:46:02,In Jami Attenbergs All This Could Be Yours a Family Confronts Its Patriarch  
286,observer,2019-10-28 15:05:03,Street Artist BD White Expands the Scope of the Stencil  
287,observer,2019-10-28 14:25:03,Alma Thomas Painting Formerly Belonging to Bill Cosby Expected to Break Records at Christies 
288,observer,2019-10-28 14:05:03,What Are the Most Expensive Shows on TV and How Much Do They Cost  
289,observer,2019-10-28 13:48:02,Bill Gates turns 64 today Heres how the worlds richest man celebrates his birthday  
290,observer,2019-10-28 13:03:05,FBI Recovers Painting Stolen by Nazis From Upstate New York Museum  
291,observer,2019-10-28 12:09:03,The Most Luxurious Fall Candle Scents to Light at Home Right Now  
292,observer,2019-10-28 11:05:01,Kamel Mennour Reflects on Transforming Frances Art Scene  
293,observer,2019-10-27 23:02:02,Google Snub Means WeWork May Be Caught in a Silicon Valley Death Spiral  
294,observer,2019-10-27 21:50:02,QampA Kate Hoffman CEO of Spacey on Breaking Down the Barriers to Investing in Art  
295,observer,2019-10-27 19:20:03,Disneys Bob Iger Is Not Happy With Scorsese and Coppolas Marvel Hate  
296,observer,2019-10-27 18:14:02,Can NBCUs Peacock Strut Its Stuff in the Streaming Wars  
297,observer,2019-10-27 16:30:09,Star Singers Carry Uneven Revivals of Orfeo ed Euridice and Madama Butterfly  
298,observer,2019-10-27 15:14:01,What New York City Ballets Fall Season Reflects for the Companys Future  
299,observer,2019-10-27 14:00:02,Nike CEO Mark Parker to Be Replaced By Former eBay Exec John Donahoe  
300,observer,2019-10-26 23:02:03,Step Inside the World of Ultimate Christian Wrestling A Book Excerpt  
301,observer,2019-10-26 21:50:02,Brooklinen CoFounder Vicki Fulop Discusses New Spaces Launch  
302,observer,2019-10-26 19:20:02,Art for Tibet Auction Expands Into an Exhibition With Work by Shepard Fairey  
303,observer,2019-10-26 18:14:03,Twitter Disappoints Wall Street But CFO Says Hes Happy With Progress  
304,observer,2019-10-26 16:30:17,Chipotle Continues to See Major Digital Order Growth in 2019  
305,observer,2019-10-26 15:14:01,All of the LiveAction Star Wars Projects Arriving Between Now and 2026  
306,observer,2019-10-26 14:00:38,Poisonous Vapes Traced to CBD Pioneer Who Put Products in Oscars Swag Bags  
307,observer,2019-10-25 23:30:15,Elon Musks EV Bestie Volkswagen CEO Herbert Diess Praises Tesla After Q3 Results  
308,observer,2019-10-25 23:14:01,Amazons Q3 Earnings Show Company Invested Billions in Prime OneDay Delivery  
309,observer,2019-10-25 22:45:01,Gagosian to Show Supernatural Works by HR Giger the Artist Behind Alien  
