Tweets,Date
0,0
Trade War Starts Changing Manufacturers in HardtoReverse Ways  23594700000,2019-05-30
And from now on by order of decreeMexican Rice will now be called Freedom rice tariffs tradewar  20190530 23594200000,2019-05-30
Think trump understandsTrumps trade war is forcing American manufacturers to move production out of China  and into Mexico instead of the US  20190530 23592700001,2019-05-30
One trade war was too boring for captain spanky  20190530 23592400000,2019-05-30
Trade War Status oh it is ON  20190530 235921000042,2019-05-30
We have been losing the trade war particularly with China for decades The goal is for a favorable outcome20190530 23592000000,2019-05-30
Via IvisonJ Its apparent Trump has decided to pacify his northern neighbours in order to concentrate on a more portentous trade war with China Why then would Canada PM Trudeau deliberately antagonize the White House on abortion  20190530 23591500002,2019-05-30
Great another trade war Prices will go up for Americans again BTW its not Mexicos responsibility to stop people from entering the United States of America MoronInChief GovernNotTweet20190530 23591400000,2019-05-30
WhiteHouse What about the trade war with China which is now turning into a technological block you are better to circumvent the value of embargo then worrying about the Muller report20190530 23591200000,2019-05-30
China accuses US of economic terrorism as trade war tensions escalate   Must be remember that China has engaged in economic warfare for decades The US has to act now with pain or do nothing now but have much more pain when it does act20190530 23590700000,2019-05-30
Trade War with China isnt going so well especially since they hold leverage against us as has been discussed recently in the press so lets escalate one with Mexico You know just in case the coming Global Recession wasnt going to be bad enough20190530 23590000000,2019-05-30
We are in a full blown trade war with 2 of our 3 biggest trading partners  20190530 2358560000100,2019-05-30
Great another trade war Prices will go up for Americans again BTW its not Mexicos responsibility to stop people from entering the United States of America MoronInChief GovernNotTweet20190530 23583000000,2019-05-30
China taunts US over trade war Dont say we didnt warn you   via amermilnews20190530 23583000000,2019-05-30
Trade war beginning at the top of the Everything Bubble Thisll be one for the history books20190530 23582100000,2019-05-30
A trade war with Mexico would not cost us nearly as much as illegal immigrants do every year20190530 23575200000,2019-05-30
Mexican Deputy Foreign Minister Seade has stated that if the US follows through with its tariffs then Mexico would respond strongly USDMXN tradewar tariffs20190530 23574800001,2019-05-30
Construction LaborShortage RealEstateDevelopmemt TradeWar CRE commercialrealestate 23574200000,2019-05-30
You are absolutely out of your mind if you think a damn tariff is going to even marginally stop illegal immigration This aint a trade war20190530 23573700000,2019-05-30
Single oil tanker could be factor in China trade war and Iran tensions   pictwittercomzGOFhXy6bB20190530 23571600000,2019-05-30
US China Trade War Trump is Not Going to Back Down This is a War of ValuesCurtis Ellis  20190530 23570300000,2019-05-30
In the math add in how this will make US companies more dependent on Chinese goods during a trade war and the soon to be needed subsidies to offer tariffs imposed by Mexico Oh yeah our farm belt is under water so I wonder where we will turn to for farm goods20190530 23570300000,2019-05-30
A ship could become a factor in both the China trade war and Iran tensions CNBC 20190530 23565900000,2019-05-30
Mexico is benefiting from our trade war with China We are not20190530 23565700000,2019-05-30
