,0,0
0,FOREX-Dollar falls for 5th day as trade war fears ease – Reuters https://optionspro.net/forex-dollar-falls-for-5th-day-as-trade-war-fears-ease-reuters-3/ …2018-08-30 23:58:47+00:000,2018-08-30
1,"And agri trade isn’t easier. Trump owes something to rustbelt farmers, who suffer from the trade war with China. He needs to insist on better access to the EU market when actually moving towards (almost) free trade in industrial goods. /15 https://www.nytimes.com/2018/07/24/us/politics/farmers-aid-trade-war.html …2018-08-30 23:57:18+00:000",2018-08-30
2,#DonaldTrump reportedly wants to hit #China with #tariffs on another $200 billion worth of goods #tradewar #consumergoods https://article.worldnews.com/view/2018/08/31/Trump_Reportedly_Wants_To_Hit_China_With_Tariffs_On_Another_/ …pic.twitter.com/gUG9RFXFM22018-08-30 23:55:10+00:000,2018-08-30
3,ING CEO Warns Trade War Starting To Hit His Clients http://crookophobia.com/ing-ceo-warns-trade-war-starting-to-hit-his-clients/ …2018-08-30 23:54:52+00:000,2018-08-30
4,"I call it a subsidy/bailout as do most people. Trade, Not Aid:' Farmers Are Pushing Back Against Trump's $4.7 Billion Trade War Bailout http://fortune.com/2018/08/28/trump-trade-war-farmer-aid/ … Trump doesn't have a clue.2018-08-30 23:54:52+00:000",2018-08-30
5,"""The imposition of the $200 billion tranche would be the biggest so far & would mark a major escalation in the #TradeWar between the world’s two largest #economies"" https://bloom.bg/2MBtaXr #Trump #trade #tariffs #China #Commodities #agriculture #Manufacturing #Dollar #USD #OOTT2018-08-30 23:54:36+00:000",2018-08-30
6,"Thu, 30 Aug 2018 23:54:30 GMT - The trade deal before the trade war - #maga #TruthMatters #freeSpeech #1A #2A #Patriots -https://oneway.com/sasanews/3011890001000 …2018-08-30 23:54:30+00:000",2018-08-30
7,"And also a consequence of his sham tariffs/trade war which just cost billions to “bail out” farmers. Or, better yet, how much are we taxpayers spending for him to spend most of his time at his own properties? Get the fuck out of here with “a pay freeze to stabilize the budget”2018-08-30 23:53:27+00:000",2018-08-30
8,"Here we go. US is truly doing its best to try to destabilize China. They truly want to be the sole superpower in the world. Can't have WW3, start trade war. If you're losing, let UN do the work.2018-08-30 23:53:03+00:000",2018-08-30
9,Ba y a une sacrée baisse d'impôt notamment sur les entreprises donc sur ce point c'est pas mal. A voir si le début de trade war va pas foutre en l'air tout cela.2018-08-30 23:51:27+00:001,2018-08-30
