,0,0
0,How Companies Are Making Customers Pay for Trump’s Trade War http://toushi1news.com/how-companies-are-making-customers-pay-for-trumps-trade-war/ …2018-07-30 23:59:55+00:000,2018-07-30
1,How Companies Are Making Customers Pay for Trump’s Trade War http://toushi1news.com/how-companies-are-making-customers-pay-for-trumps-trade-war/ …2018-07-30 23:59:54+00:000,2018-07-30
2,"And it's not even just the war. It's what he's already doing--putting children in camps where they're given rotten sandwiches and not allowed to bathe, making it so LGBT people aren't even safe at the doctor's office, hurting farmers with his idiotic trade war, etc.2018-07-30 23:59:52+00:001",2018-07-30
3,"Trump’s Trade War To Kill 20,000 Jobs In The US Beer Industry - http://eepurl.com/dCDdSb2018-07-30 23:59:36+00:002",2018-07-30
4,"Ahead of Asia Trip, Business Lobby Gives Pompeo an Earful on Trade War https://leadgencompany.wordpress.com/2018/07/30/ahead-of-asia-trip-business-lobby-gives-pompeo-an-earful-on-trade-war/ …2018-07-30 23:58:26+00:000",2018-07-30
5,"The conservative donor network says it will sit on the sidelines in North Dakota, where the prospect of a trade war… https://twitter.com/i/web/status/1024078447512092672 …2018-07-30 23:58:01+00:000",2018-07-30
6,"Cont'd from @Cummins CEO's @nytimes column: ""This is what concerns me most. American workers and their families will be the real casualties of a trade war."" As I've said before no one wins a trade war, especially workers. Read it here: https://nyti.ms/2JURqh02018-07-30 23:57:51+00:002",2018-07-30
7,"Ahead of Asia Trip, Business Lobby Gives Pompeo an Earful on Trade War https://carpetingweb.wordpress.com/2018/07/30/ahead-of-asia-trip-business-lobby-gives-pompeo-an-earful-on-trade-war/ …2018-07-30 23:57:25+00:000",2018-07-30
8,Trade War Casualties: Factories Shifting Out Of China via @forbeshttps://www.forbes.com/sites/kenrapoza/2018/07/30/trade-war-casualties-factories-shifting-out-of-china/#4c4cc7ea103e …2018-07-30 23:56:33+00:000,2018-07-30
9,How Companies Are Making Customers Pay for Trump’s Trade War https://www.nytimes.com/2018/07/30/business/dealbook/trade-war-customers-pay.html?partner=rss&emc=rss … #businesspic.twitter.com/ad9DBZoeHZ2018-07-30 23:56:00+00:000,2018-07-30
10,Caterpillar aims to shrug off trade war impact with prices rises - https://www.ft.com/content/48e64ad6-93e6-11e8-b67b-b8205561c3fe … via @FT2018-07-30 23:54:51+00:000,2018-07-30
11,Trade War Casualties: Factories Shifting Out Of China https://www.forbes.com/sites/kenrapoza/2018/07/30/trade-war-casualties-factories-shifting-out-of-china/ …2018-07-30 23:54:47+00:0020,2018-07-30
12,"“ @POTUS #Trump didn’t start #tradewar w/ #China–he’s trying 2 end+win the trade war China launched vs the US,” per A.Puzder, former CEO of CKE Restaurants, in #FoxNews. “We now have a POTUS willing 2 take actions needed 2 stop Chinese #cheating & protect America’s nat'l interests”2018-07-30 23:54:18+00:000",2018-07-30
13,Wow grasping at straws to tweet something positive. Gambling debt of scotus nominee. President causing a trade war. Deficit growing at exponential rates. Should I continue?2018-07-30 23:54:15+00:000,2018-07-30
14,WTO Becomes Center Of China-US Trade War http://dlvr.it/QdHvRf pic.twitter.com/OsU2avt8pU2018-07-30 23:54:06+00:001,2018-07-30
15,"How Caterpillar is thriving in a trade war An oil and gas boom is helping Caterpillar. Three months ago, the heavy equipment maker spooked Wall Street with a warning that its earnings had reached a “high-water mark.” The Dow fel... http://www.moneyhealthfinance.com/how-caterpillar-is-thriving-in-a-trade-war/ … #bitcoin #stocks #money2018-07-30 23:53:59+00:000",2018-07-30
16,"Ahead of Asia Trip, Business Lobby Gives Pompeo an Earful on Trade War https://leadgenservices.wordpress.com/2018/07/30/ahead-of-asia-trip-business-lobby-gives-pompeo-an-earful-on-trade-war/ …2018-07-30 23:53:32+00:000",2018-07-30
17,"Ahead of Asia Trip, Business Lobby Gives Pompeo an Earful on Trade War …https://leadgenerationservicessite.wordpress.com/2018/07/30/ahead-of-asia-trip-business-lobby-gives-pompeo-an-earful-on-trade-war/ …2018-07-30 23:52:52+00:000",2018-07-30
18,Trump: My trade war will be the most astonishing display of economic ignorance imaginable. Democrats: Hold my avocado toast. https://twitter.com/KamalaHarris/status/1023013419761500167 …2018-07-30 23:52:31+00:000,2018-07-30
19,"Ahead of Asia Trip, Business Lobby Gives Pompeo an Earful on Trade War As Asian nations move away from the United States and its trade war with China, the U.S. Chamber of Commerce warned of fallout for American firms. https://ift.tt/2LEU7Jm2018-07-30 23:52:25+00:000",2018-07-30
20,"Ahead of Asia Trip, Business Lobby Gives Pompeo an Earful on Trade War As Asian nations move away from the United States and its trade war with China, the U.S. Chamber of Commerce warned of fallout for American firms. https://ift.tt/2LEU7Jm2018-07-30 23:52:11+00:000",2018-07-30
21,Trade war off? https://johnhcochrane.blogspot.com/2018/07/tarde-war-off.html … #econ #feedly2018-07-30 23:52:10+00:000,2018-07-30
22,"Perspective of @Cummins CEO in @nytimes (""Tariffs Are Taxes on Workers"") notes losers in trade war: workers ""What’s at stake is not just the company’s profits, but jobs in Seymour & other communities where we work, such as Rocky Mount, NC & Jamestown, NY. https://nyti.ms/2JURqh02018-07-30 23:52:00+00:003",2018-07-30
23,Soybean farmers are surviving Trump’s trade war — even without his $12 billion aid package https://wapo.st/2AmbJEq?tid=ss_tw&utm_term=.e5a232eea51f …2018-07-30 23:51:54+00:000,2018-07-30
24,"Ahead of Asia Trip, Business Lobby Gives Pompeo an Earful on Trade War …https://outsourcingleadgeneration.wordpress.com/2018/07/30/ahead-of-asia-trip-business-lobby-gives-pompeo-an-earful-on-trade-war/ …2018-07-30 23:51:42+00:000",2018-07-30
25,"Ahead of Asia Trip, Business Lobby Gives Pompeo an Earful on Trade War As Asian nations move away from the United States and its trade war with China, the U.S. Chamber of Commerce warned of fallout for American firms. https://ift.tt/2LEU7Jm2018-07-30 23:51:36+00:000",2018-07-30
26,http://www.expertise-asia.com/2018/07/renminbi-blues.html … Renminbi blues #china #renminbi #tradewar #pboc2018-07-30 23:51:28+00:000,2018-07-30
27,"Exactly. Trump is a complete train wreck who creates problems out of thin air (separations at the border, Dreamers status, trade war, etc.).2018-07-30 23:51:28+00:000",2018-07-30
28,"Trump’s Trade War To Kill 20,000 Jobs In The US Beer Industry - http://eepurl.com/dCDdSb2018-07-30 23:51:26+00:000",2018-07-30
29,"Ahead of Asia Trip, Business Lobby Gives Pompeo an Earful on Trade War https://ift.tt/2LEU7Jm2018-07-30 23:51:16+00:000",2018-07-30
30,"Ahead of Asia Trip, Business Lobby Gives Pompeo an Earful on Trade War As Asian nations move away from the United States and its trade war with China, the U.S. Chamber of Commerce warned of fallout for American firms. https://ift.tt/2LEU7Jm2018-07-30 23:51:16+00:000",2018-07-30
31,"Ahead of Asia Trip, Business Lobby Gives Pompeo an Earful on Trade War As Asian nations move away from the United States and its trade war with China, the U.S. Chamber of Commerce warned of fallout for American firms. https://ift.tt/2LEU7Jm2018-07-30 23:51:10+00:000",2018-07-30
32,"Ahead of Asia Trip, Business Lobby Gives Pompeo an Earful on Trade War As Asian nations move away from the United States and its trade war with China, the U.S. Chamber of Commerce warned of fallout for American firms. https://ift.tt/2LEU7Jm2018-07-30 23:51:05+00:000",2018-07-30
33,Dude... your boss just started a trade war... https://twitter.com/ChannelNewsAsia/status/1024066180259098624 …2018-07-30 23:51:01+00:000,2018-07-30
34,Local farmers are still concerned about the effects of President Trump's trade war. Many think the $12 billion aid plan will not suffice for the expected losses. http://www.wbko.com/content/news/Farmers-still-concerned-after-Trumps-12-billion-tariff-aid-plan-489570171.html …2018-07-30 23:50:57+00:001,2018-07-30
35,Commodities & the trade war in 10 charts http://anz.co/3Fkl30lbScL @ANZ_Researchpic.twitter.com/ouYJiUj9Tw2018-07-30 23:50:49+00:000,2018-07-30
36,"Ahead of Asia Trip, Business Lobby Gives Pompeo an Earful on Trade War As Asian nations move away from the United States and its trade war with China, the U.S. Chamber of Commerce warned of fallout for American firms. https://ift.tt/2LEU7Jm2018-07-30 23:50:49+00:000",2018-07-30
37,Trump: WHO'S GONNA PAY FOR THE WALL? MAGA: MEXICO! Trump: WHO'S GONNA PAY FOR THE WALL? MAGA: WE ARE! Trump: WHO'S GONNA PAY TAX CUTS FOR THE RICH? MAGA: WE ARE! Trump: WHO'S GONNA PAY TAX CUTS FOR THE RICH TWICE? MAGA: WE ARE! Trump: WHO'S GONNA FOR MY TRADEWAR? MAGA: WE ARE! pic.twitter.com/LucnVmZsrX2018-07-30 23:50:43+00:001,2018-07-30
38,"Just in case the trillion dollar deficit from the last tax cut wasn't big enough... Oh, and then there's the bailouts to everyone impacted by by his ill-conceived trade war. Tell me again how the GOP is the fiscally responsible party. https://www.washingtonpost.com/business/2018/07/30/after-trumps-farmer-bailout-manufacturers-ask-what-about-us/?utm_term=.d21fe47e5927 …https://twitter.com/nytimes/status/1024040348526538752 …2018-07-30 23:50:41+00:000",2018-07-30
39,"Ahead of Asia Trip, Business Lobby Gives Pompeo an Earful on Trade War https://homerenovation989.wordpress.com/2018/07/30/ahead-of-asia-trip-business-lobby-gives-pompeo-an-earful-on-trade-war/ …2018-07-30 23:50:31+00:000",2018-07-30
