,User,Date,Tweets
0,BBCTech,2019-11-07,bNetflix to disappear on older Samsung smart TVs 
1,BBCTech,2019-10-24,bRBS pulls Samsung Galaxy S10 app over security flaw 
2,BBCTech,2019-10-17,bAny fingerprint unlocks Galaxy S10 Samsung warns 
3,BBCTech,2019-09-05,bSamsung Galaxy Fold UK launch date revealed 
4,BBCTech,2019-08-07,bGalaxy Note 10 Samsung hopes to strike the right Note 
5,BBCTech,2019-07-25,bRT  Samsung says the Galaxy Fold will go on sale in September after faulty screens delayed the launch 
6,BBCTech,2019-07-04,bSamsung sued over waterresistant phone claims 
7,BBCTech,2019-06-17,bSamsung TVs should be regularly viruschecked the company says 
8,BBCTech,2019-04-30,bSamsung unveils TV that can switch to vertical mode 
9,BBCTech,2019-04-22,bSamsung Galaxy Fold launch events delayed in China 
10,BBCTech,2019-04-17,bSamsungs folding phone breaks for reviewers 
11,BBCTech,2019-04-16,bRT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold 
12,BBCTech,2019-02-24,bRT  Our folding phone is bigger and better than Samsungxe2x80x99s says Huawei 
13,BBCTech,2019-02-21,bSamsung on whether you can end calls on the GalaxyFold by snapping it shut like the old flip phones 
14,BBCTech,2019-02-21,bRT  Important can I answer calls with the phone unfolded and then hang up by snapping it shut   Samsungxe2x80xa6
15,BBCTech,2019-02-20,bSamsung Galaxy Fold The internet reacts 
16,BBCTech,2019-02-20,bSamsung reveals Galaxy Fold and S10 5G 
17,BBCTech,2019-01-08,bCES 2019 Samsung adds rival Apples iTunes to smart TVs 
18,BBCTech,2019-01-07,bRT  Samsung has revealed a 75in 190cm television made of modular panels you can rearrange xf0x9fx91x80 CES2019 
19,BBCTech,2018-12-10,bHuawei Honor View20 and Samsung A8s have holepunch cameras 
20,BBCTech,2018-12-03,bSamsung Nigeria tweets update using Apple iPhone 
21,BBCTech,2018-11-23,bSamsung apologises to sick factory workers 
22,BBCTech,2018-11-07,bRT  After 5 years of talking about folding devices Samsung unveiled theirs at SDC18 
23,BBCTech,2018-11-01,bSamsung agrees to payouts after worker deaths 
24,BBCTech,2018-10-24,bApple and Samsung fined by Italian authorities over slow phones 
25,BBCTech,2018-09-05,bSamsung Time for folding smartphones 
26,BBCTech,2018-08-09,bSamsung Galaxy Note 9 warns of wonky photos 
27,BBCTech,2018-07-31,bWhy is Samsungs Galaxy S9 flagship struggling 
28,BBCTech,2018-05-31,bSamsung wont be forced to update old phones 
29,BBCTech,2018-05-25,bApple awarded 539m in US patent case against Samsung 
30,BBCTech,2018-05-14,bAppleSamsung patent battle revived in California court 
31,BBCTech,2018-02-25,bSamsung Galaxy S9 gets super slowmo and AR emojis 
32,BBCTech,2018-02-25,bSamsung Galaxy S9 focuses on the camera 
33,BBCTech,2018-02-21,bSamsung Galaxy S9 smartphone images leaked by MWC app 
34,BBCTech,2019-10-24,bRBS pulls Samsung Galaxy S10 app over security flaw 
35,BBCTech,2019-10-17,bAny fingerprint unlocks Galaxy S10 Samsung warns 
36,BBCTech,2019-09-05,bSamsung Galaxy Fold UK launch date revealed 
37,BBCTech,2019-08-07,bGalaxy Note 10 Samsung hopes to strike the right Note 
38,BBCTech,2019-07-25,bRT  Samsung says the Galaxy Fold will go on sale in September after faulty screens delayed the launch 
39,BBCTech,2019-04-22,bSamsung Galaxy Fold launch events delayed in China 
40,BBCTech,2019-04-16,bRT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold 
41,BBCTech,2019-02-21,bSamsung on whether you can end calls on the GalaxyFold by snapping it shut like the old flip phones 
42,BBCTech,2019-02-20,bSamsung Galaxy Fold The internet reacts 
43,BBCTech,2019-02-20,bSamsung reveals Galaxy Fold and S10 5G 
44,BBCTech,2018-08-09,bSamsung Galaxy Note 9 warns of wonky photos 
45,BBCTech,2018-07-31,bWhy is Samsungs Galaxy S9 flagship struggling 
46,BBCTech,2018-02-25,bSamsung Galaxy S9 gets super slowmo and AR emojis 
47,BBCTech,2018-02-25,bSamsung Galaxy S9 focuses on the camera 
48,BBCTech,2018-02-21,bSamsung Galaxy S9 smartphone images leaked by MWC app 
49,BBCTech,2018-02-21,bGuardians of the Galaxy Vol 2 Visual effects revealed 
50,BBCTech,2019-10-24,bRBS pulls Samsung Galaxy S10 app over security flaw 
51,BBCTech,2019-09-05,bSamsung Galaxy Fold UK launch date revealed 
52,BBCTech,2019-04-22,bSamsung Galaxy Fold launch events delayed in China 
53,BBCTech,2019-04-16,bRT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold 
54,BBCTech,2019-02-20,bSamsung Galaxy Fold The internet reacts 
55,BBCTech,2018-08-09,bSamsung Galaxy Note 9 warns of wonky photos 
56,BBCTech,2018-02-25,bSamsung Galaxy S9 gets super slowmo and AR emojis 
57,BBCTech,2018-02-25,bSamsung Galaxy S9 focuses on the camera 
58,BBCTech,2018-02-21,bSamsung Galaxy S9 smartphone images leaked by MWC app 
59,BBCTech,2019-10-24,bRBS pulls Samsung Galaxy S10 app over security flaw 
60,BBCTech,2019-10-17,bAny fingerprint unlocks Galaxy S10 Samsung warns 
61,BBCTech,2019-09-05,bSamsung Galaxy Fold UK launch date revealed 
62,BBCTech,2019-07-25,bRT  Samsung says the Galaxy Fold will go on sale in September after faulty screens delayed the launch 
63,BBCTech,2019-04-22,bSamsung Galaxy Fold launch events delayed in China 
64,BBCTech,2019-04-16,bRT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold 
65,BBCTech,2019-02-20,bSamsung Galaxy Fold The internet reacts 
66,BBCTech,2019-02-20,bSamsung reveals Galaxy Fold and S10 5G 
67,BBCTech,2019-08-07,bGalaxy Note 10 Samsung hopes to strike the right Note 
68,BBCTech,2018-08-09,bSamsung Galaxy Note 9 warns of wonky photos 
