,User,Date,Tweets
0,TechCrunch,2019-10-30 17:03:46,Samsung ramps up its B2B partner and developer efforts  by  
1,TechCrunch,2019-10-29 21:14:09,Samsung teases a clamshell foldable form factor  by  
2,TechCrunch,2019-10-29 18:01:25,Samsungs new laptops charge phones with their touchpad  by  
3,TechCrunch,2019-10-17 13:59:42,Samsung confirms glaring S10 fingerprint reader flaw promises fix  by  
4,TechCrunch,2019-10-14 15:01:30,Samsung opens Android 10 One UI beta ahead of final launch  by  
5,TechCrunch,2019-10-13 13:51:53,Samsungs Galaxy Fold concierge service is live in the US for those who need it  by  
6,TechCrunch,2019-10-12 19:08:14,Samsungs Galaxy Watch Active 2 is a solid smartwatch for Android users  by  
7,TechCrunch,2019-10-11 20:18:12,Life with the Samsung Galaxy Fold  by  
8,TechCrunch,2019-10-02 23:38:36,Samsung pulls the plug on Chinese smartphone production  by  
9,TechCrunch,2019-09-28 18:50:02,Samsungs new rebooted Galaxy arrives this week with one job it just needs to not break 
10,TechCrunch,2019-09-24 10:02:19,Samsung Galaxy Fold take two  by  
11,TechCrunch,2019-09-23 15:12:46,Five months later Samsungs Galaxy Fold arrives this week  by  
12,TechCrunch,2019-09-16 13:37:00,Samsungs Galaxy Tab S6 combines creative flexibility with great design  by  
13,TechCrunch,2019-09-05 16:56:19,After announcing Galaxy Fold release date Samsung cancels older preorders  by  
14,TechCrunch,2019-09-05 02:12:14,Samsungs Galaxy Fold arrives in Korea September 6 US in coming weeks  by  
15,TechCrunch,2019-08-23 16:21:45,Samsungs Note 10 is available today starting at 949  by  
16,TechCrunch,2019-08-16 22:47:36,Samsung Galaxy Note 10 review  by  
21,TechCrunch,2019-09-27 14:40:43,The Galaxy Fold is now available for purchase in the US 
22,TechCrunch,2019-09-27 14:16:31,The Galaxy Fold is now available for purchase in the US  by  
23,TechCrunch,2019-09-26 16:55:33,My Galaxy Fold display is damaged after a day  by  
46,TechCrunch,2019-10-30 15:02:00,IoT security startup Particle has raised 40 million in its Series C round 
47,TechCrunch,2019-10-08 04:58:43,German tech investor leads Series A for Germanys first medical Cannabis startup  by 
48,TechCrunch,2019-08-24 00:27:28,Heres the first trailer for the upcoming Disney Star Wars series The Mandalorian  by  
49,TechCrunch,2019-10-25 07:02:26,Pixelbook Go review a Chromebook in search of meaning  by  
50,TechCrunch,2019-10-15 17:44:40,Up close with Googles budget Chromebook the Pixelbook Go  by  
51,TechCrunch,2019-10-15 14:32:36,Google launches the 649 Pixelbook Go Chromebook  by  
