Date,Tweets
24/10/2019,RBS pulls Samsung Galaxy S10 app over security flaw 
17/10/2019,Any fingerprint unlocks Galaxy S10 Samsung warns 
9/5/2019,Samsung Galaxy Fold UK launch date revealed 
8/7/2019,Galaxy Note 10 Samsung hopes to strike the right Note 
25/7/2019,RT  Samsung says the Galaxy Fold will go on sale in September after faulty screens delayed the launch 
7/4/2019,Samsung sued over waterresistant phone claims 
17/6/2019,Samsung TVs should be regularly viruschecked the company says 
30/4/2019,Samsung unveils TV that can switch to vertical mode 
22/4/2019,Samsung Galaxy Fold launch events delayed in China 
17/4/2019,Samsungs folding phone breaks for reviewers 
16/4/2019,RT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold 
24/2/2019,RT  Our folding phone is bigger and better than Samsungs says Huawei 
21/2/2019,Samsung on whether you can end calls on the GalaxyFold by snapping it shut like the old flip phones 
21/2/2019,RT  Important can I answer calls with the phone unfolded and then hang up by snapping it shut   Samsung
20/2/2019,Samsung Galaxy Fold The internet reacts 
20/2/2019,Samsung reveals Galaxy Fold and S10 5G 
1/8/2019,CES 2019 Samsung adds rival Apples iTunes to smart TVs 
1/7/2019,RT  Samsung has revealed a 75in 190cm television made of modular panels you can rearrange  CES2019 
12/10/2018,Huawei Honor View20 and Samsung A8s have holepunch cameras 
12/3/2018,Samsung Nigeria tweets update using Apple iPhone 
23/11/2018,Samsung apologises to sick factory workers 
11/7/2018,RT  After 5 years of talking about folding devices Samsung unveiled theirs at SDC18 
11/1/2018,Samsung agrees to payouts after worker deaths 
24/10/2018,Apple and Samsung fined by Italian authorities over slow phones 
9/5/2018,Samsung Time for folding smartphones 
8/9/2018,Samsung Galaxy Note 9 warns of wonky photos 
31/7/2018,Why is Samsungs Galaxy S9 flagship struggling 
31/5/2018,Samsung wont be forced to update old phones 
25/5/2018,Apple awarded 539m in US patent case against Samsung 
14/5/2018,AppleSamsung patent battle revived in California court 
25/2/2018,Samsung Galaxy S9 gets super slowmo and AR emojis 
25/2/2018,Samsung Galaxy S9 focuses on the camera 
21/2/2018,Samsung Galaxy S9 smartphone images leaked by MWC app 
21/2/2018,Guardians of the Galaxy Vol 2 Visual effects revealed 
30/10/2019,Samsung One UI 2 Gets an Official Reveal With Smarter Dark Mode More
29/10/2019,Samsung Unveils Another Smart Speaker That May Never Launch
29/10/2019,Samsung Showcases Foldable Phone Concept With Clamshell Design
24/10/2019,Pixel 4 XL Teardown Reveals Samsung Display Almost Decent Repairability Score
18/10/2019,Samsung Issues Statement on Fingerprint Vulnerability Software Update is Coming
14/10/2019,Samsung Galaxy S10 owners any luck enrolling in the Android 10One UI 20 beta yet The Samsung Members app appears to be having issues
14/10/2019,Samsung One UI Beta for Android 10 Arrives Today in US on Galaxy S10 Line
10/11/2019,DEAL Samsung Offers 500 Off Galaxy Note 10 With Select TradeIn Throwing in Free 200 Credit or Wearable Bundle 
10/9/2019,Samsung confirms Unlocked ATampT and TMobile Galaxy S10 S10 and S10e models will have first dibs at the Android 
10/8/2019,Samsung Confirms One UI 20 Coming Soon to Galaxy S10 Lineup
10/3/2019,Samsung Pay Gets International Money Transfers
27/9/2019,Lets unbox Samsungs 1980 Galaxy Fold galaxyfold 
17/9/2019,Report Samsung Launching Android 10 Beta Next Month
9/9/2019,Samsung Says Hundreds of Apps Now Optimized for Galaxy Fold galaxyfold 
9/6/2019,  what are the samsung issues as for iphone vs p4 we wont have any good idea until next m 
9/5/2019,Samsung Finally Cancels Original Galaxy Fold PreOrders Offers 250 Credit galaxyfold 
9/5/2019,Samsungs Galaxy Fold is Back Available for Purchase This Month galaxyfold 
9/4/2019,Discord Integration Arrives for Samsungs Game Launcher App
28/8/2019,Samsung Galaxy Note 10 Review It Doesnt Get Much Better Than This
28/8/2019,Samsung still offering 600 off Galaxy Note 10 purchases with eligible tradeins 
27/8/2019,Samsung Keeps Note 10s 600Off Trade Deal Alive Adds 4 Months Free YouTube Premium GalaxyNote10 
24/8/2019,Windows and Mac apps for Samsungs DeX arrive 
24/8/2019,If you own a Samsung Galaxy phone on Verizon youre likely getting the August patch right now
23/8/2019,Windows and Mac Apps for Samsungs DeX are Live 
23/8/2019,Video Appears to Show Off Samsungs One UI 20 Running Atop Android 10
22/8/2019,Samsung is so weird sometimes
21/8/2019,Samsung Wins Today With Their Green Bubble GIFs
