,User,Date,Tweets
0,Wired,2019-10-25 05:20:57,This folding phone costs 1980 Do you want one Our review of the Samsung Galaxy Fold  
1,Wired,2019-10-25 02:30:00,The folding phone of the future is finally here But with a price tag of 2000 is Samsungs Galaxy Fold worth it 
2,Wired,2019-10-24 15:50:42,RT  Ive used Samsungs expensive folding phone on and off for a month and havent been any more careful with it than I am wit
3,Wired,2019-10-24 13:45:11,The future is here and it wont fit in your pantsWe tested out the 1980 Samsung Galaxy Fold Heres what you s 
4,Wired,2019-10-06 22:49:21,Samsungs Galaxy Active2 is beautiful especially if you like the look of an analog watch instead of a teenytiny s 
5,Wired,2019-09-26 17:19:31,RT  Unlike Samsung and Apple Amazon made no mention of sustainability or recyclability at its product event yesterday 
6,Wired,2019-09-24 16:49:18,RT  Samsung handed out new Galaxy Fold units to writers amp editors yesterday myself included The new premiere unboxing exp
7,Wired,2019-09-01 09:27:58,Overkill has never been so beautiful Our review of the 1100 Samsung Galaxy Note10  
9,Wired,2019-08-21 22:58:14,RT  If you have questions about the Samsung Galaxy Note10 send them on over to  IG account and Ill answer them tomor
10,Wired,2019-08-21 17:01:43,Samsungs 1100 Galaxy Note10 is overkill But if thats what you want then youre going to love it Our review 
11,Wired,2019-08-18 02:24:15,In a relatively short period of time Apple has become the clear leader in smartwatches But Samsung isnt going do 
17,Wired,2019-09-20 19:51:20,RT  The jetset galaxymind lifeEpstein evopsych New Atheists Intellectual Dark Web TEDwas always a sausage party but in 2016
39,Wired,2019-09-22 19:39:34,Get your droolworthy architecture fix with this photos series 
40,Wired,2019-10-15 14:30:27,RT  I am genuinely curious so if you have strong feelings about a 649 Chromebook do let me know
