,User,Date,Tweets
0,tech2eets,2019-10-16 07:17:12, RedmiNote8Pro  uses a 64 MP Samsung ISOCELL Bright GW1 sensor Catch all the live updates 
1,tech2eets,2019-10-09 05:35:01,Samsungs GalaxyFold nightmare continues A user has reported that the company logo on the hinge of the folding 
2,tech2eets,2019-10-08 11:16:48,If youre interested in purchasing the  Galaxy Fold you can buy it from the official Samsung online s 
3,tech2eets,2019-10-04 08:18:53,Priced at Rs 164999 Samsung GalaxyFold is now open for prebooking Here is all you need to know 
4,tech2eets,2019-09-24 02:59:49,samsunggalaxys10 series gets Night sight mode for selfies live focus video and more Report 
5,tech2eets,2019-09-18 07:09:36, Samsung GalaxyM10s comes in a single variant with 3 GB RAM and 32 GB storage which is priced at Rs 
6,tech2eets,2019-09-18 07:07:42, Samsung GalaxyM30s has been announced in two variants  6 GB RAM  128 GB storage priced at Rs 1699 
7,tech2eets,2019-09-10 09:20:27,With its 6000 mAh battery the Samsung GalaxyM30s might just be the phone to end all your battery life woes Ther 
8,tech2eets,2019-09-05 09:42:51,Samsung launches GalaxyA905G in Korea at a price of 899900 WON which roughly translates to Rs 53000 
9,tech2eets,2019-09-05 05:44:41,Samsung confirms that GalaxyFold will be available for purchase in Korea starting tomorrow  
10,tech2eets,2019-09-03 10:56:35,Samsungs just launched GalaxyA90 brings 5G support and a topend Snapdragon 855 chipset along with a triple rear 
11,tech2eets,2019-09-03 10:23:26,Samsung GalaxyM30s with whopper of a 6000 mAh battery to arrive on 18 September  
12,tech2eets,2019-08-29 08:21:56,Samsung Galaxy S11 series leaks hint at another foldable phone and at least three 5G smartphones 
13,tech2eets,2019-08-27 14:39:39,The  GalaxyA10S can be purchased across all retail stores eShop Samsung Opera House and all major leadi 
14,tech2eets,2019-08-19 04:59:42, is worried that Samsung will benefit from the USChina trade war Report 
15,tech2eets,2019-08-13 08:12:32, s camera tests claim that Samsungs GalaxyNote10Plus shoots better photos than the HuaweiP30Pro
16,tech2eets,2019-08-12 07:08:41,Samsung just announced a 108 MP image sensor for smartphones
17,tech2eets,2019-08-08 06:22:26,Samsungs new SPen is more magic wand than stylus  
18,tech2eets,2019-08-08 06:01:05,Samsung just announced that the GalaxyNote10 series will be priced starting Rs 69999 in India Heres a specs com 
19,tech2eets,2019-08-07 21:18:21,     That was all from the Samsung Unpacked 2019 event We will send 
