,User,ID,Date,Text
90,SamsungMobile,1185224047535087618,2019-10-18 16:00:07,"b""RT @samsung_dev: Explore the latest sessions on #Tizen, #SPen Air Actions, #5G and more at Samsung Developer Conference. Plus, don't miss b\xe2\x80\xa6"""
820,SamsungMobile,1060394274624233473,2018-11-08 04:51:10,b'@albertart @samsung_dev IKR? \xe2\x9c\x8c\xef\xb8\x8f \xf0\x9f\x99\x8c https://t.co/255svlpiGD'
861,SamsungMobile,1058167194813517824,2018-11-02 01:21:33,b'RT @samsung_dev: Academy award-winning filmmaker Spike Jonze will share insights and inspiration behind his AI movie \xe2\x80\x9cHer\xe2\x80\x9d at #SDC18! Don\xe2\x80\x99t\xe2\x80\xa6'
1160,SamsungMobile,921486623748931585,2017-10-20 21:21:46,"b'RT @samsung_dev: ""I\'m excited to share that additional Samsung flagships including S8+ &amp; Note8 will run ARCore when it comes out of preview\xe2\x80\xa6'"
1161,SamsungMobile,921458647909138432,2017-10-20 19:30:36,"b'RT @samsung_dev: ""2018 will mark our 1st step towards this vision of creating a seamless exp across devices, even those w/ a diff. operatin\xe2\x80\xa6'"
1162,SamsungMobile,921428643469021184,2017-10-20 17:31:22,"b'RT @samsung_dev: ""I believe Bixby\'s cognitive tolerance, comprehensiveness and customization will form the principles of the modern, intell\xe2\x80\xa6'"
1265,SamsungMobile,880237874628644864,2017-06-29 01:33:57,b'RT @samsung_dev: Registration is #OPEN for this year\xe2\x80\x99s Developer Conference. Sign up before July 27 for early bird pricing https://t.co/67S\xe2\x80\xa6'
1429,SamsungMobile,811067489740165120,2016-12-20 04:35:33,b'RT @lonelyplanet: Looking for the perfect present for the explorer in your life? Check out our exclusive watch faces only on the @samsungmo\xe2\x80\xa6'
1785,SamsungMobile,705308736391241729,2016-03-03 08:28:01,"b""RT @ELLEUK: Have you seen our amazing 360 #ELLEStyleAwards video? Filmed on @samsungmobile's Gear 360 https://t.co/SlmReGiZtn https://t.co/\xe2\x80\xa6"""
2145,SamsungMobile,639480302923042816,2015-09-03 16:49:19,"b""@Batteryhq @samsung it's running like clockwork in here #GearS2"""
2317,SamsungMobile,606901087635939328,2015-06-05 19:11:09,b'RT @SamsungExynos: The beautiful design of the @samsungmobile #GalaxyS6 and #GalaxyS6edge + #Exynos7Octa = a match made in heaven.\nhttps://\xe2\x80\xa6'
2379,SamsungMobile,593882684218310656,2015-04-30 21:00:40,b'RT @ChrisEvans: In this film by @Marvel &amp; @SamsungMobile I\xe2\x80\x99ve been replaced as Captain America by a 9-year-old #ad #avengerssamsung https:/\xe2\x80\xa6'
2450,SamsungMobile,574496745436151809,2015-03-08 09:07:52,b'RT @LisetGC: Little pastel never hurt. #paris #samsung makeup #lisetgarza @thewallgroup #pfw @alianamoss https://t.co/cSR7kNKxG2'
2835,SamsungMobile,521316349466136576,2014-10-12 15:07:57,b'RT @samsung_dev: Check out the sessions that will be at #SDC2014 http://t.co/CTrAbpm8WP'
2846,SamsungMobile,515569375961972736,2014-09-26 18:31:32,b'RT @samsung_dev: Samsung Developer Conference 2014 - San Francisco is where you need to be on November 11!  http://t.co/79ENtR25l7 http://t\xe2\x80\xa6'
2886,SamsungMobile,508431590079594496,2014-09-07 01:48:31,b'RT @MBfashionweek: A moment in time with  @academy_of_art. effects #poweredbysamsung on a #galaxycamera #samsungS5 http://t.co/35J8P6CIZP'
2890,SamsungMobile,508019039168630784,2014-09-05 22:29:12,b'RT @MBfashionweek: Amazing Samsung sketches by Michael Hoeweler of Zac Posen and Heidi Klum on the Galaxy Note 4. #poweredbysamsung http://\xe2\x80\xa6'
