,0,neg,neu,pos
1,['0']-----------------------------------,0.0,1.0,0.0
2,['FOREXDollar falls for 5th day as trade war fears ease  Reuters  20180830 23584700000'],0.349,0.521,0.13
3,['And agri trade isnt easier Trump owes something to rustbelt farmers who suffer from the trade war with China He needs to insist on better access to the EU market when actually moving towards almost free trade in industrial goods 15  20180830 23571800000'],0.181,0.708,0.11
4,['DonaldTrump reportedly wants to hit China with tariffs on another 200 billion worth of goods tradewar consumergoods  pictwittercomgUG9RFXFM220180830 23551000000'],0.0,0.905,0.095
5,['ING CEO Warns Trade War Starting To Hit His Clients  20180830 23545200000'],0.346,0.654,0.0
6,['I call it a subsidybailout as do most people Trade Not Aid Farmers Are Pushing Back Against Trumps 47 Billion Trade War Bailout   Trump doesnt have a clue20180830 23545200000'],0.175,0.825,0.0
7,['The imposition of the 200 billion tranche would be the biggest so far  would mark a major escalation in the TradeWar between the worlds two largest economies  Trump trade tariffs China Commodities agriculture Manufacturing Dollar USD OOTT20180830 23543600000'],0.0,1.0,0.0
8,['Thu 30 Aug 2018 235430 GMT  The trade deal before the trade war  maga TruthMatters freeSpeech 1A 2A Patriots  20180830 23543000000'],0.163,0.837,0.0
9,['And also a consequence of his sham tariffstrade war which just cost billions to bail out farmers Or better yet how much are we taxpayers spending for him to spend most of his time at his own properties Get the fuck out of here with a pay freeze to stabilize the budget20180830 23532700000'],0.149,0.781,0.07
10,['Here we go US is truly doing its best to try to destabilize China They truly want to be the sole superpower in the world Cant have WW3 start trade war If youre losing let UN do the work20180830 23530300000'],0.125,0.656,0.218
11,['Ba y a une sacre baisse dimpt notamment sur les entreprises donc sur ce point cest pas mal A voir si le dbut de trade war va pas foutre en lair tout cela20180830 23512700001'],0.157,0.843,0.0
12,['USDJPY Price Fall May Resume on Emerging Markets Trade War Fears  Forex20180830 23502800000'],0.379,0.621,0.0
13,['Trade War Will Launch Bitcoin As The New Gold  20180830 23501600000'],0.281,0.719,0.0
14,['Trump ready to ratchet up China trade war with more tariffs report   20180830 23500400000'],0.212,0.652,0.136
15,['ING CEO Warns Trade War Starting To Hit His Clients  Investing20180830 23493600000'],0.346,0.654,0.0
16,['The trade deal before the trade war  Axios  20180830 23483700000'],0.302,0.698,0.0
17,['ING CEO Warns Trade War Starting To Hit His Clients  20180830 23482100000'],0.346,0.654,0.0
18,['42 billion to farmers for an ill conceived trade war and tax cuts for the rich rather than the a small increase for hard working middle class public servants Deplorable20180830 23481100000'],0.256,0.597,0.147
19,['Trump trade war is good for tech companies that compete with Chinese companies China exports r being restricted by countries worldwide20180830 23472800000'],0.237,0.657,0.106
20,['Aerospace Sector Posts Strong Q2 Results Amid Concerns Over Trade War    23460300000'],0.227,0.581,0.192
21,['Aerospace Sector Posts Strong Q2 Results Amid Concerns Over Trade War    23460300000'],0.227,0.581,0.192
22,['USDJPY Price Fall May Resume on Emerging Markets Trade War Fears  trading forex20180830 23460200000'],0.358,0.642,0.0
23,['Until you screwed around with it today and upped the ante in the trade war with China You really know how to brag about your screw ups20180830 23452300000'],0.254,0.746,0.0
24,['ING CEO Warns Trade War Starting To Hit His Clients  pictwittercomDQx1r3pOd620180830 23450600000'],0.346,0.654,0.0
25,['New post 31 Aug Trump escalates trade war fears EM markets under heavy pressure China PMIs Tokyo CPI in focus Friday has been published on Orchard Forex    The USis mixed to slightly firmer on Friday as the US prepares for the long 20180830 23450400000'],0.178,0.822,0.0
26,['New post ING CEO Warns Trade War Starting To Hit His Clients has been published on open mind news   pictwittercomxxheohBiHY20180830 23441800000'],0.218,0.782,0.0
27,['It seems to me that it will be very difficult to win a trade war with a communist country whose leaders term is for life eliminating any need for him to be responsive to popular complaints Retweet that POTUS I double dare you MAGA TrumppictwittercomcDVEszef6V20180830 23441500002'],0.168,0.664,0.168
28,['Kerry Logistics says Trumps trade war prompting China manufacturing shift  20180830 23441000000'],0.262,0.738,0.0
29,['In a new attack on one of the pillars of global economic governance as a deadline loomed for a deal to revamp NAFTA and he faced a decision on expanding tariffs on Chinese imports JamesPoliti  Trump trade economics China WTO TradeWar20180830 23440500000'],0.126,0.874,0.0
30,['Like i said from the start Recognizing that China is the puppetmaster with NK One cant expect china to move the pieces favorably while at the same time conducting a trade war against them You cant have your cake and eat it too  20180830 23434900000'],0.082,0.863,0.055
31,['The trade war wont cause any major hit to Chinas economy Morgan Stanley says  20180830 23434800000'],0.206,0.794,0.0
