,0,1
0,['FOREXDollar falls for 5th day as trade war fears ease  Reuters  20180830 23584700000'],"{'neg': 0.349, 'neu': 0.521, 'pos': 0.13, 'compound': -0.6369}"
1,['And agri trade isnt easier Trump owes something to rustbelt farmers who suffer from the trade war with China He needs to insist on better access to the EU market when actually moving towards almost free trade in industrial goods 15  20180830 23571800000'],"{'neg': 0.181, 'neu': 0.708, 'pos': 0.11, 'compound': -0.5893}"
2,['ING CEO Warns Trade War Starting To Hit His Clients  20180830 23545200000'],"{'neg': 0.346, 'neu': 0.654, 'pos': 0.0, 'compound': -0.6486}"
3,['I call it a subsidybailout as do most people Trade Not Aid Farmers Are Pushing Back Against Trumps 47 Billion Trade War Bailout   Trump doesnt have a clue20180830 23545200000'],"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.6486}"
4,['Thu 30 Aug 2018 235430 GMT  The trade deal before the trade war  maga TruthMatters freeSpeech 1A 2A Patriots  20180830 23543000000'],"{'neg': 0.163, 'neu': 0.837, 'pos': 0.0, 'compound': -0.5994}"
5,['And also a consequence of his sham tariffstrade war which just cost billions to bail out farmers Or better yet how much are we taxpayers spending for him to spend most of his time at his own properties Get the fuck out of here with a pay freeze to stabilize the budget20180830 23532700000'],"{'neg': 0.149, 'neu': 0.781, 'pos': 0.07, 'compound': -0.6908}"
6,['Ba y a une sacre baisse dimpt notamment sur les entreprises donc sur ce point cest pas mal A voir si le dbut de trade war va pas foutre en lair tout cela20180830 23512700001'],"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.6597}"
7,['USDJPY Price Fall May Resume on Emerging Markets Trade War Fears  Forex20180830 23502800000'],"{'neg': 0.379, 'neu': 0.621, 'pos': 0.0, 'compound': -0.7717}"
8,['Trade War Will Launch Bitcoin As The New Gold  20180830 23501600000'],"{'neg': 0.281, 'neu': 0.719, 'pos': 0.0, 'compound': -0.5994}"
9,['Trump ready to ratchet up China trade war with more tariffs report   20180830 23500400000'],"{'neg': 0.212, 'neu': 0.652, 'pos': 0.136, 'compound': -0.34}"
10,['ING CEO Warns Trade War Starting To Hit His Clients  Investing20180830 23493600000'],"{'neg': 0.346, 'neu': 0.654, 'pos': 0.0, 'compound': -0.6486}"
11,['The trade deal before the trade war  Axios  20180830 23483700000'],"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.5994}"
12,['ING CEO Warns Trade War Starting To Hit His Clients  20180830 23482100000'],"{'neg': 0.346, 'neu': 0.654, 'pos': 0.0, 'compound': -0.6486}"
13,['42 billion to farmers for an ill conceived trade war and tax cuts for the rich rather than the a small increase for hard working middle class public servants Deplorable20180830 23481100000'],"{'neg': 0.256, 'neu': 0.597, 'pos': 0.147, 'compound': -0.5267}"
14,['Trump trade war is good for tech companies that compete with Chinese companies China exports r being restricted by countries worldwide20180830 23472800000'],"{'neg': 0.237, 'neu': 0.657, 'pos': 0.106, 'compound': -0.5574}"
15,['Aerospace Sector Posts Strong Q2 Results Amid Concerns Over Trade War    23460300000'],"{'neg': 0.227, 'neu': 0.581, 'pos': 0.192, 'compound': -0.1531}"
16,['Aerospace Sector Posts Strong Q2 Results Amid Concerns Over Trade War    23460300000'],"{'neg': 0.227, 'neu': 0.581, 'pos': 0.192, 'compound': -0.1531}"
17,['USDJPY Price Fall May Resume on Emerging Markets Trade War Fears  trading forex20180830 23460200000'],"{'neg': 0.358, 'neu': 0.642, 'pos': 0.0, 'compound': -0.7717}"
18,['Until you screwed around with it today and upped the ante in the trade war with China You really know how to brag about your screw ups20180830 23452300000'],"{'neg': 0.254, 'neu': 0.746, 'pos': 0.0, 'compound': -0.8176}"
19,['ING CEO Warns Trade War Starting To Hit His Clients  pictwittercomDQx1r3pOd620180830 23450600000'],"{'neg': 0.346, 'neu': 0.654, 'pos': 0.0, 'compound': -0.6486}"
20,['New post 31 Aug Trump escalates trade war fears EM markets under heavy pressure China PMIs Tokyo CPI in focus Friday has been published on Orchard Forex    The USis mixed to slightly firmer on Friday as the US prepares for the long 20180830 23450400000'],"{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.836}"
21,['New post ING CEO Warns Trade War Starting To Hit His Clients has been published on open mind news   pictwittercomxxheohBiHY20180830 23441800000'],"{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.6486}"
22,['It seems to me that it will be very difficult to win a trade war with a communist country whose leaders term is for life eliminating any need for him to be responsive to popular complaints Retweet that POTUS I double dare you MAGA TrumppictwittercomcDVEszef6V20180830 23441500002'],"{'neg': 0.168, 'neu': 0.664, 'pos': 0.168, 'compound': -0.0076}"
23,['Kerry Logistics says Trumps trade war prompting China manufacturing shift  20180830 23441000000'],"{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.5994}"
24,['In a new attack on one of the pillars of global economic governance as a deadline loomed for a deal to revamp NAFTA and he faced a decision on expanding tariffs on Chinese imports JamesPoliti  Trump trade economics China WTO TradeWar20180830 23440500000'],"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.6369}"
