,0,neg,neu,pos
1,['0']-----------------------------------,0.0,1.0,0.0
2,[' JamesODonnellNY If you want to call it a trade war go ahead were winning realDonaldTrump NY1820181030 23594700000'],0.173,0.619,0.208
3,['long but food for thought American chaos is already oozing over the border the trickle of refugees crossing after Voldemorts election has swollen to a flood a trade war is underway with a US trade representative  20181030 23583600000'],0.24,0.76,0.0
4,['If you want to call it a trade war go ahead were winning realDonaldTrump20181030 23581000003'],0.199,0.561,0.24
5,['Blame Trumps voluntary Trade War20181030 23561600000'],0.0,1.0,0.0
6,['COSCO Shipping Ports Defies Trade War Fears  20181030 23560700000'],0.489,0.511,0.0
7,['Remember the anonymous OpEd Shithole countries ParisAgreement pullout Irannucleardeal pullout tradewar tariffs on friends  allies Khashoggi brushoff PipeBombs brushoff Charlottesville 5000 falsehoods NorthKorea blunder RussiaGate putinsummit blunder Pittsburgh visit20181030 23555200000'],0.0,0.903,0.097
8,['Yes Two prominent Chinese economists have broken with Communist party orthodoxy arguing that the trade war with the US is the result of Beijings stateled development model rather than Donald Trumps attempt to block Chinas rise   via FinancialTimes20181030 23552300000'],0.253,0.648,0.098
9,['They are not waiting to see who is in office They are waiting to see how this trade war you started will go If you want jobs and stronger economy vote for dems They will stabelize this mess trump is creating wtax scams and trade wars20181030 23552000003'],0.183,0.711,0.106
10,['US eyes more China tariffs if TrumpXi meeting fails reports Trade war may escalate unless progress made at meeting on the sidelines of Group of 20 leaders summit in November  pictwittercomxgDGp1C71520181030 23543300000'],0.174,0.753,0.073
11,['Opponenta of the trade war were the same when Clinton tried to restrict Chinese IP theft back in the 1990s as they are now Wall Street bigbusiness executives and other members of the US elite who made good money trading with China Trade friction would rock the boat  SCMP20181030 23541100000'],0.115,0.833,0.051
12,['Microchips are key to understanding Trumps trade war with China   via techreview20181030 23523700000'],0.245,0.755,0.0
13,['Oil holds losses on escalating trade war  pictwittercompqYa7OETW720181030 23513300000'],0.485,0.515,0.0
14,['We are the casualty in the Trade War TradeWar  20181030 23511100000'],0.448,0.552,0.0
15,['Vietnam ministry of trade urges footwear manufacturers to invest and grow exports VietnameseLanguage Footwear TradeWar  pictwittercom7nPI3Kq5k220181030 23510200000'],0.0,1.0,0.0
16,['US Companies in China Are Considering Relocating Manufacturing Due to Trade War Impacts  20181030 23505200000'],0.218,0.782,0.0
