,0,1
0,['the final laps if you will Ha What if you pumped a trade war headline and nobody was around to believe it spy dji esf 20190429 23590100000'],"{'neg': 0.129, 'neu': 0.792, 'pos': 0.079, 'compound': -0.3612}"
1,['  PlannedParenthood selects a Chinese to lead their organization in the middle of trade war with China In Canada we also have a like minded feminist who brags about taking the abortion position to the voters Election is in Oct Shell be gone then20190429 23572500000'],"{'neg': 0.082, 'neu': 0.865, 'pos': 0.053, 'compound': -0.34}"
2,['US Farmer Income Drops Most Since 2016 as Trade War Losses Mount In first quarter producers income declines 118 billion Personal income for farmers fell by the most in three years in the first quarter  pictwittercom5APDg5g0qx20190429 23525700000'],"{'neg': 0.159, 'neu': 0.841, 'pos': 0.0, 'compound': -0.765}"
3,['If anyone should have some dough socked away for a trade war its 3M20190429 23515200000'],"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5994}"
4,['U S Cut All Tie with China China Cut All Trade with U S Fucking STUPID USELESS Sucker D Trump of U S  Why talk Trade War will China Why  Why  Fucking STUPID USELESS Sucker D Trump of U S  23512800000'],"{'neg': 0.581, 'neu': 0.419, 'pos': 0.0, 'compound': -0.986}"
5,['US farmer income plummets 118 billion as Trump trade war drags on Farmers not to worrythe rest of us will pick up the tab as the GOP buys their vote and calls it subsidies  2350460000149'],"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.6808}"
6,['US Farmer Income Drops Most Since 2016 as Trade War Losses Mount  20190429 23484800000'],"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.765}"
7,['GOP destroys America US farmer income plummets 118 billion as Trump trade war drags on  20190429 23473500000'],"{'neg': 0.397, 'neu': 0.603, 'pos': 0.0, 'compound': -0.8481}"
8,[' 3M shows scars from Trumps harmful trade war  23470000002'],"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.5994}"
9,['Farmer Income Drops Most Since 2016 as Trade War Losses Mount    20190429 23462900001'],"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.765}"
10,['Seneca County farmers are feeling the pain from Trumps trade war via Bloomberg  23454800000'],"{'neg': 0.365, 'neu': 0.558, 'pos': 0.076, 'compound': -0.7717}"
11,['If youre looking at the short term sure But if youre looking at the longer term which the GOP never does btw then Trump is devastating every American citizen with his horrendous policies on climate change and the trade war America is gonna go broke real fast thanks to Trump20190429 23444700000'],"{'neg': 0.286, 'neu': 0.636, 'pos': 0.078, 'compound': -0.9565}"
12,['US farmer income plummets 118 billion as Trump trade war drags on  20190429 23440500000'],"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.6808}"
13,['US farmer income plummets 118 billion as Trump trade war drags on  20190429 23431100000'],"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.6808}"
14,['US Farmer Income Drops Most Since 2016 as Trade War Losses Mount  20190429 23430900000'],"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.765}"
15,['US Farmer Income Drops Most Since 2016 as Trade War Losses Mount Personal income for farmers fell by the most in three years in the first quarter as losses to US agriculture mount from President Donald Trumps trade wars  20190429 23415300000'],"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.9169}"
16,['US Farmer Income Drops Most Since 2016 as Trump Trade War Losses Mount  20190429 23413700002'],"{'neg': 0.337, 'neu': 0.663, 'pos': 0.0, 'compound': -0.765}"
17,['Personal income for US farmers fall by the most in three years as Trumps trade war losses mount   via bpolitics20190429 23411200000'],"{'neg': 0.258, 'neu': 0.742, 'pos': 0.0, 'compound': -0.765}"
18,['US farmer income plummets 118 billion as Trump trade war drags on  234040000016'],"{'neg': 0.337, 'neu': 0.663, 'pos': 0.0, 'compound': -0.6808}"
19,['paulkrugman Mr Krugman how do we have a record GDP first quarter with a smaller trade deficit when one of the months saw poor job growth and farmers are selling zero prduce to China due to trade war  20190429 23403300000'],"{'neg': 0.21, 'neu': 0.734, 'pos': 0.056, 'compound': -0.7964}"
20,['US farmer income plummets 118 billion as Trump trade war drags on  Axios  20190429 23391100001'],"{'neg': 0.301, 'neu': 0.699, 'pos': 0.0, 'compound': -0.6808}"
21,['US Farmer Income Drops Most Since 2016 as Trade War Losses Mount  pictwittercomj37m7lTwUh20190429 233832000022'],"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.765}"
22,['Trudeau started Trumps trade war with China Is this Admiral Scheer copying Trumps daily lie20190429 23375900000'],"{'neg': 0.19, 'neu': 0.682, 'pos': 0.128, 'compound': -0.3127}"
23,['US farmer income plummets 118 billion as Trump trade war drags on WINTER IS COMMING  20190429 23370600000'],"{'neg': 0.272, 'neu': 0.728, 'pos': 0.0, 'compound': -0.6808}"
24,['supportfarmers buylocal familyfarms educateyourself Personal income for US farmers fall by the most in three years as Trumps trade war losses mount   via bpolitics20190429 23354800000'],"{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.765}"
25,['I think if Trump policies and trade war etc bankrupt that state bankrupt his supporters they would still support him and place the blame on someone or something else and that is exactly what Trump doesblames someone else20190429 23354600003'],"{'neg': 0.259, 'neu': 0.633, 'pos': 0.107, 'compound': -0.836}"
26,['US farmer income plummets 118 billion as Trump trade war drags on  20190429 23335900000'],"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.6808}"
27,['We know you lover our farmers and what a way to so it realDonaldTrump US farmer income plummets 118 billion as Trump trade war drags on  23321000000'],"{'neg': 0.173, 'neu': 0.71, 'pos': 0.117, 'compound': -0.2023}"
28,['US farmer income plummets 118 billion as Trump trade war drags on  20190429 23310700000'],"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.6808}"
29,['I have heard that even farmers who lose their farms in the trade war will still sing Trumps praises I hope I heard wrong20190429 23305900000'],"{'neg': 0.207, 'neu': 0.596, 'pos': 0.197, 'compound': -0.0772}"
30,['The USChina trade war has severely crash on Hong Kong and China logistics companies Cases and debts from logistics companies received by RMS have more than doubled in the last two months tradewarimpactlogistics RMSHK  20190429 23301800000'],"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.8625}"
31,['TRADE WAR TARIFFS COMPOUND ECONOMIC PROBLEMS FOR WISCONSINS DECLINING INDUSTRIES Trump is making everything WORSE China is our largest goods trading partner Retaliatory tariffs target steel aluminum  Agri bus RonJohnsonWI GOP is wTrump not voters 20190429 23295800000'],"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.9169}"
32,['Farmer Income Drops Most Since 2016 as Trade War Losses Mount   via YahooFinance20190429 23282700000'],"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.765}"
33,['Farmer Income Drops Most Since 2016 as Trade War Losses Mount  23273400000'],"{'neg': 0.398, 'neu': 0.602, 'pos': 0.0, 'compound': -0.765}"
