,0,1
0,['Making America great again Trump MAGA farmers TradeWar resist 23534200000'],"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.6249}"
1,[' US investors confidently pouring money into China despite trade war   scmpnews20190429 23512500000'],"{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.7388}"
2,['I joined MelissaAFrancis on AftertheBell today to share my PoV on US trade  tariffs and key findings from my time spent W our alvarezmarsal Global TransactionAdvisory Group in Asia Thanks for hosting another thoughtprovoking discussion FoxBusiness BTS TradeWar pictwittercomdPuqBCzOpH20190429 23414800001'],"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.6249}"
3,['And Snowflake Trudope wont take action on Chinese trade war against Canada Why not ban Huawei 5G and slap some tariffs on Chinese imports for good measure No backbone  20190429 23384900000'],"{'neg': 0.154, 'neu': 0.658, 'pos': 0.188, 'compound': 0.0834}"
4,['Hi just a reminder that there are no winners in a trade war20190429 23312000000'],"{'neg': 0.144, 'neu': 0.654, 'pos': 0.203, 'compound': 0.2263}"
5,['The grain market is in the crapper Granted the trade war is not the only cause but it surely did not help matters20190429 22463700000'],"{'neg': 0.174, 'neu': 0.652, 'pos': 0.174, 'compound': 0.0034}"
6,['Why you should never start a trade war with an autocracy  22405000000'],"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.4847}"
7,['The SPX posted a new record intraday high overnight gaining an impressive 17 YTD Tradewar resolutions  upbeat earnings helping SPX rise 011 DJIA 004  NASDAQ 019 Doji star could be ominous here trading Losses may exceed depositspictwittercomv9AocJzMMZ20190429 22301200000'],"{'neg': 0.112, 'neu': 0.705, 'pos': 0.183, 'compound': 0.4939}"
8,['So easy to win a trade war20190429 22171100000'],"{'neg': 0.0, 'neu': 0.427, 'pos': 0.573, 'compound': 0.7717}"
9,['Trumps Trade War has pushed farmers incomes to a 3year low Rural voters are key to his support Most still believe hell help them But by 2020 they will realize they were conned Trumps only hope Give China whatever it wants in Trade Deal  20190429 22101500000'],"{'neg': 0.13, 'neu': 0.729, 'pos': 0.141, 'compound': 0.1576}"
10,['Unfortunately no but probably the trade war helps a bit That said resilience is always a virtue in us20190429 22095400000'],"{'neg': 0.248, 'neu': 0.499, 'pos': 0.253, 'compound': 0.0387}"
11,['HEY DOES ANYBODY KNOW HOW WELL WE ARE WINNING THAT EASY TRADE WAR CRIMINAL TRUMP STARTED20190429 22081200001'],"{'neg': 0.279, 'neu': 0.383, 'pos': 0.338, 'compound': 0.2103}"
12,['Besides making more profits for shareholders and CEOs where did our people benefit from this trade war The costs only effect the middlelow income households  20190429 22030100000'],"{'neg': 0.114, 'neu': 0.704, 'pos': 0.182, 'compound': 0.3167}"
13,['US farmer income plummets 118 billion as Trump trade war drags on Farmers should be happy Drumpfs economy is doing so good  20190429 21421400000'],"{'neg': 0.169, 'neu': 0.605, 'pos': 0.225, 'compound': 0.4294}"
14,['i have big power that can help trump to win the trade war and in many other fields such as north korea Please contact me via phone 8613252569608  i can talk with you baout these  will get mysterious ability20190429 21392900000'],"{'neg': 0.082, 'neu': 0.734, 'pos': 0.184, 'compound': 0.5994}"
