,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,['0']-----------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['realDonaldTrump again is Projecting his own mismanagement of our country onto Business owners the has negatively impacted with his Trade War20190830 23595900000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['Trump TradeWar With China Will Hit Apple for Real This Weekend   via GoogleNews20190830 23544600000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,['after Dorian go to China  wrap up this TradeWar please20190830 23494700000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,['TradeWar TariffMan TrumpIsAFraud Toymaker CEO If we move out of China Trump could just put a target on somebody elses back 23425800000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,['Trade war20190830 23310700000']-------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,['  China TradeWar20190830 23185400000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,['China Falls Out Of Fashion For Some US Brands   tradewar madeinchina20190830 23144600000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,['By what Trade war20190830 23052100000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,['Queen Taylor ending the USChina tradewar pictwittercom96rkhlVu4020190830 23032200000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,['Its magic altcoin mth Binance TradeWar Crypto 20190830 23032100000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
