,0,neg,neu,pos
1,['0']-----------------------------------,0.0,1.0,0.0
2,['Yes Lrihendry a stock market with a net gain of 0 for the previous year a trade war that had yet to bring down the cost of basic goods a govt shutdown that cost a million contractors a months salary  no back pay all thanks to Pres Trump Lucky us pictwittercommAjQa3mR9Q20190130 23593300001'],0.135,0.701,0.164
3,['See trade war shut down etc20190130 23592600000'],0.394,0.606,0.0
4,['Which is lower than it hit last year and where all the gains from last year were wiped out by the end of the year due to your tariffs trade war with China fake caravan invasion rhetoric THIRD TrumpShutdown of the year talking about things you know not which you speak of etc20190130 23591500000'],0.149,0.812,0.039
5,['HarleyDavidson says Trumps trade war wiped away all of its profits this year  20190130 23572600000'],0.197,0.657,0.146
6,['No deal China take your shit and F off US and Chinese officials try for truce in trade war at 2day meeting in Washington  20190130 23562200000'],0.246,0.754,0.0
7,['These are the GOP traitors that spent the 4th of July 2018 in the Kremlin What were they doing there Now each of their states FARMERS are in big trouble from the Trade War Only Daines can be voted out in 2020 the rest of them except Granger terms go until 2023 VoteThemOut 20190130 23561500005'],0.111,0.889,0.0
8,['The Dow of course is a great proxy for predicting future corporate profits of 30 big companies The corporate tax cut was a big windfall for them so it went up Trumps trade war and shutdowns are bad for profits and economy as a whole so Dows going down20190130 23560400002'],0.157,0.679,0.164
9,['Signed up for my soybean money today 165 per bushel for sales lost due to the trade war20190130 23554100000'],0.113,0.887,0.0
10,['pretty convincing statement from Venezuelan Ambassador Jorge Valero US that doesnt recognize any of the agreements made around Iran signed by various European countries that launches a trade war with China that has built a wall a criminal wall that sequesters children20190130 23543500000'],0.152,0.748,0.1
11,['Againbecause it tankedbecause of Trump Trade War20190130 23542700000'],0.0,1.0,0.0
12,['Powell is right in being cautious but has flipped flopped too much and worse now appears bowing to Trump  Lost credibility  that or Trump has requested some respite to go hammer and tongs at China on trade war  hence cannot afford a more hawkish FED further puncturing markets20190130 23541900000'],0.237,0.763,0.0
13,['More IntellectualProperty espionage targeting Apple This continues to highlight the China TradeWar MAGA KAG QAnon QArmy WWG1WGA 20190130 23534100000'],0.0,0.882,0.118
