,0,1
0,['Yes Lrihendry a stock market with a net gain of 0 for the previous year a trade war that had yet to bring down the cost of basic goods a govt shutdown that cost a million contractors a months salary  no back pay all thanks to Pres Trump Lucky us pictwittercommAjQa3mR9Q20190130 23593300001'],"{'neg': 0.135, 'neu': 0.701, 'pos': 0.164, 'compound': 0.3818}"
1,['The Dow of course is a great proxy for predicting future corporate profits of 30 big companies The corporate tax cut was a big windfall for them so it went up Trumps trade war and shutdowns are bad for profits and economy as a whole so Dows going down20190130 23560400002'],"{'neg': 0.157, 'neu': 0.679, 'pos': 0.164, 'compound': 0.1027}"
2,['More IntellectualProperty espionage targeting Apple This continues to highlight the China TradeWar MAGA KAG QAnon QArmy WWG1WGA 20190130 23534100000'],"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.34}"
3,['More IntellectualProperty espionage targeting Apple This continues to highlight the China TradeWar MAGA KAG QAnon QArmy WWG1WGA  20190130 23531000000'],"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.34}"
4,['I believe trade war is only there because one person wants it Hope new president brings about better DEAL for both country20190130 23482400000'],"{'neg': 0.131, 'neu': 0.673, 'pos': 0.195, 'compound': 0.2263}"
5,['TYTLive TheYoungTurks Another measure to limit out of control tRump The bills would require tRump to have congressional approval before taking trade actions like tariffs and quotas under Section 232 of the Trade Expansion Act of 1962 TradeWar  20190130 23395600000'],"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.6808}"
6,['Or 7 below its high Nice job trade war lover Nice job shutting down the govt and losing 1 of growth trumpfail gopfail traitor idiot 20190130 23351400000'],"{'neg': 0.246, 'neu': 0.452, 'pos': 0.302, 'compound': 0.296}"
7,['USA China tradewar Trump Do not expect too much from the current talks Diplomats say both sides will need more talks after negotiations finish in Washington Even if they reach a temporary deal to prevent tariff increases after March 1 much more talks would be neededpictwittercomLJj3FXEQ2m20190130 23350400001'],"{'neg': 0.0, 'neu': 0.951, 'pos': 0.049, 'compound': 0.0516}"
8,['Countrys most prosperous province Guangdong has set lower 2019 growth target that matches expected national target as fast growth fades and trade war clouds outlook  pictwittercom1jsH8P7KtW20190130 23300600000'],"{'neg': 0.166, 'neu': 0.6, 'pos': 0.234, 'compound': 0.3597}"
9,['Dear TrumpHow about the meeting between China and United States for the trade warIt is very good or not Tks20190130 23235800000'],"{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.7178}"
10,['So its still 1000 points below where it was a year ago And this is exciting because Maybe if you hadnt started a trade war to tank it in December to start with20190130 23203700000'],"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.7466}"
11,['Tremendous news for people that have tons of money tied up in stocks and bonds people like you Everywhere else theres businesses hurting andor closing due to your created trade war The 1percent win again20190130 23203000000'],"{'neg': 0.144, 'neu': 0.675, 'pos': 0.181, 'compound': 0.1779}"
12,['Tax cuts were meant to help bring jobs back from overseas  to allow companies to survive the tarrifs China went to zero  corporate tax after Trumps taxes and tarrifs If u liberals were smart u would join the trade war if we made products here instead of china less carbon20190130 23162200000'],"{'neg': 0.104, 'neu': 0.734, 'pos': 0.162, 'compound': 0.34}"
13,['The US China trade conflict has economic impacts  implications for Canada Join CIC in Yeg on Feb 6 for our 1st event of 2019 as we welcome Bart des from ADBHQ Washington DC office to explain this TradeWar  how it may be resolved To RSVP  pictwittercomdZmZHE6tRP20190130 23130900003'],"{'neg': 0.045, 'neu': 0.82, 'pos': 0.135, 'compound': 0.5574}"
14,['I just read that our trade war with China also has a winner  and it is neither usUS nor China Russia has stepped up their imports to China and sanctioned companies are profiting from it He even did this for Russia You cannot make this stuff up20190130 23095000001'],"{'neg': 0.072, 'neu': 0.81, 'pos': 0.118, 'compound': 0.3612}"
15,['Insights The rally in risk assets since late December has been supported by Fed commentary that they will be patient with further interest rate hikes and positive developments in the Chinese trade war  pictwittercomzc3LadrHNi20190130 23021300000'],"{'neg': 0.132, 'neu': 0.636, 'pos': 0.232, 'compound': 0.5574}"
16,['Trumps Trade War With China Makes Russia Great Again  via CFRorg20190130 23001400000'],"{'neg': 0.217, 'neu': 0.556, 'pos': 0.228, 'compound': 0.0516}"
17,['It was higher last year before you screwed up and started a trade war Perhaps I should celebrate having 10k in the bank I had 100k last year but success is all about the presentation right20190130 22505600001'],"{'neg': 0.108, 'neu': 0.715, 'pos': 0.176, 'compound': 0.5927}"
18,['Apple Says Profits Were Flat Citing Slump in China  WallStreet TradeWar pictwittercom7EMNoJSr3r20190130 22480200001'],"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}"
19,['Bailing out farmers hurt by Trumps trade war is socialist Providing sanitation safe roads and bridges are socialist programs    our tax dollars subsidize common essential services for the greater good and that is straight up socialism20190130 22473900000'],"{'neg': 0.151, 'neu': 0.639, 'pos': 0.21, 'compound': 0.2263}"
20,['Cohen knew trickle down doesnt work so the tax cut would not have worked as he and the administration said without the trade war Did the trade war exacerbate it probably but it was always meant as a means to give the large Republican donors corporations and top1 tax cuts20190130 22244800000'],"{'neg': 0.032, 'neu': 0.89, 'pos': 0.078, 'compound': 0.3536}"
21,['Okay so the logic youre using is Obama gets credit for the rise you blame Trumps trade war with china for the fall then by consistent logic you must be giving trumps policies the credit for this rise again20190130 22184300000'],"{'neg': 0.129, 'neu': 0.716, 'pos': 0.155, 'compound': 0.0772}"
22,['Looks like the trade war had no affect but the fed rate increase did20190130 22174600000'],"{'neg': 0.205, 'neu': 0.557, 'pos': 0.238, 'compound': 0.1655}"
23,['The Fed did their job and kept inflation in check Trade war alone is enough reason to pause on rates and continue QT QT is like fine tuning the economy from behind the scenes while nobody is paying attention20190130 22173700000'],"{'neg': 0.115, 'neu': 0.663, 'pos': 0.222, 'compound': 0.6669}"
24,['dkimguilfoyle I have a piece of legislation that would put the pres beyond Reagan and I need someone to help get it before to DJT  It knocks the trade war in the head and is a win win win for bus gov and jobs Please help20190130 22141000000'],"{'neg': 0.068, 'neu': 0.646, 'pos': 0.286, 'compound': 0.91}"
25,['That sounds logical You mean without the trade war the tax cuts wouldve produced the economic boon that was predicted despite the corporations had no other plans for the tax windfall other than to buy back their own stock and make themselves even richer Yup i see it all now20190130 22100800000'],"{'neg': 0.077, 'neu': 0.808, 'pos': 0.115, 'compound': 0.4847}"
26,['Gary Cohn Goldman Sachssays the tax cuts he helped architect havent produced the capital spending and investment the White House promised because of the trade war the administration launched simultaneously Enjoy Sunday20190130 22061300000'],"{'neg': 0.148, 'neu': 0.678, 'pos': 0.174, 'compound': 0.0258}"
27,['It was well above 25k before the trade warthat you started  20190130 22050700000'],"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.2732}"
28,['Why didnt tax cuts produce the promised economic boom and pay for themselves the last several times when there was no trade war20190130 22034400000'],"{'neg': 0.129, 'neu': 0.715, 'pos': 0.157, 'compound': 0.1994}"
29,['Lol Its been bouncing above and below 25000 for months How many times will you take credit And ironically this is evidence that your irrational trade war is making the market skittish It wouldnt have fallen back so many times if investors could trust you20190130 22012300000'],"{'neg': 0.114, 'neu': 0.741, 'pos': 0.145, 'compound': 0.1803}"
30,['He got what he wanteda compliant FOMCon to winning the TradeWar with China next POTUS s 20190130 22002300000'],"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.5267}"
31,['It has been there before Didnt the Stock Market lose all gains from last year Didnt your Trade War and your Tweets cause the losses earlier in the year20190130 21595200000'],"{'neg': 0.146, 'neu': 0.704, 'pos': 0.15, 'compound': 0.0377}"
32,['No thanks to you Mr Trade War20190130 21584800000'],"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
33,['Rufus Ebegba always grants interviews is always in the news speaking to press men You have been the head of a government body  understand how easily people lie against you when you dont work in their favour Truth is there is a trade war in that sector this fight has been on20190130 21522800000'],"{'neg': 0.112, 'neu': 0.733, 'pos': 0.155, 'compound': 0.1531}"
34,['GaryCohn on CNBC says the taxcuts he helped architect havent produced the capital spending and investment the White House promised because of the tradewar the administration launched simultaneously20190130 21515300000'],"{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.4588}"
35,['I mean he is right The trade war definitely mitigated a lot of potential growth from investment and capital spending20190130 21511500000'],"{'neg': 0.149, 'neu': 0.649, 'pos': 0.202, 'compound': 0.1027}"
36,['High stakes trade negotiations between China and United States underway Highstakes meetings between the United States and China began Wednesday at the White House as negotiators attempt to beat the clock in a 90day trade war truce  Politicspictwittercombvy4iCi0HJ20190130 21450600000'],"{'neg': 0.088, 'neu': 0.787, 'pos': 0.126, 'compound': 0.1779}"
37,['Leave with No common external tarriff No security justice or military partnership No joint Culture Technology or Immigration policy Its a TradeWar EU will loose20190130 21382300000'],"{'neg': 0.204, 'neu': 0.617, 'pos': 0.179, 'compound': 0.0516}"
38,['SPY since the opex high Jan 18 SPY is up 058 26698  26758 A lot of good things have happened since then  gov reopened good  trade war wins always good  tech monopolies EPS OK good  Fed complete aboutface from raise  QT to pause everything winning20190130 21361700000'],"{'neg': 0.062, 'neu': 0.59, 'pos': 0.347, 'compound': 0.9506}"
