,0,neg,neu,pos
1,['0']-----------------------------------,0.0,1.0,0.0
2,['Chinas Profit Warnings Signal More Gloom for the Economy China ChineseEconomy ChineseStocks earnings EarningsSeason TradeWar  20190730 23594500000'],0.265,0.609,0.126
3,['The biggest story in the world got barely any play in the first debates Will the ChinaUS trade war come up at all in Detroit DemDebate 23585900004'],0.126,0.806,0.068
4,['Then youll LIKE MoscowMich and traitorTrump ROB KentuckyFarmers and AmericanFarmers trade wars are easy to win THERE was no TradeWar before they STARTED ONE  Who are the VICTIMS American Farmers LOST NOT Globalist republicanspictwittercomsTkTrk5za320190730 23580500000'],0.305,0.508,0.187
5,['Trump shafted family farmers to give trade war bailouts to huge corporate farms instead report  20190730 23574100000'],0.184,0.708,0.108
6,['ChinaUS trade war Korean Peninsula to top agenda  via YouTube20190730 23573000000'],0.265,0.612,0.122
7,['Trump launches a trade war and you launch a sticker20190730 23571800000'],0.328,0.672,0.0
8,['Missals firing in NKorea NO deal obstruction of justice 3 times clearly in the Mueller Report racist attacks on 4 Congressional women and Cummings tax cuts making the wealthy richer Iran is a fools game trade war costing billions to consumers 2 more mass shootings FAIL20190730 23563800000'],0.329,0.488,0.183
9,['Rising tensions in the South China Sea and the fallout from the USAPRC trade war are set to dominate talks this week as top diplomats converge in Bangkok for a key ASEAN summit  BloombergAsia 20190730 23552000002'],0.198,0.758,0.044
10,['More than 50 of federal aid meant to help American farmers cope with the negative impacts of the USChina trade war went to the largest  wealthiest farms 82 farmers received 500K or more while the bottom 80 accepted payments averaging less than 5K 20190730 23540100000'],0.137,0.719,0.144
11,['Well you gonna bring Recession soonBecause of the Trade War You will Ruin our Country pictwittercomZ9AbRUUlHw20190730 23535900000'],0.429,0.571,0.0
12,['Trump threat to tax French wine completely moronic minister says   Our allies are fed up with Trump TrumpEffect TradeWar Wine20190730 23524800000'],0.28,0.72,0.0
13,['Oh yeah Sorry Far better to a allow China to hold innocent hostages in response to operation of rule of law in Canada b allow China to wage a one sided trade war against half of Canada completely unchecked c spy on us with their shitty huawei gear Great plan20190730 23523000000'],0.141,0.611,0.248
14,['Whats at stake in USChina trade war   via FinancialTimes20190730 23522600001'],0.302,0.698,0.0
