,0,1
0,['Oh yeah Sorry Far better to a allow China to hold innocent hostages in response to operation of rule of law in Canada b allow China to wage a one sided trade war against half of Canada completely unchecked c spy on us with their shitty huawei gear Great plan20190730 23523000000'],"{'neg': 0.141, 'neu': 0.611, 'pos': 0.248, 'compound': 0.6808}"
1,['1 Please point to the part of usmca that references soybeans 2 Would outstanding tariff issues include the gop trade war with China 3 Are you ready to back your constituents and call to end this harmful trade war20190730 23515300001'],"{'neg': 0.084, 'neu': 0.728, 'pos': 0.188, 'compound': 0.5994}"
2,['VC investment in China has consistently decreased year after year Investors credit the fall to factors such as lack of innovation in new Chinese techstartups USChina tradewar worries and cash burn concerns venturecapital 23451400000'],"{'neg': 0.127, 'neu': 0.744, 'pos': 0.129, 'compound': 0.0258}"
3,['Whoever has the risk incurred by the trade war gets the money except for people that dont need the money Its pretty simple If you make too much money you dont get the payment Was a breakthrough policy set by SecretarySonny who has done a great job despite tough sitch20190730 23352000000'],"{'neg': 0.102, 'neu': 0.75, 'pos': 0.148, 'compound': 0.396}"
4,['In the interim how much more money will he pledge to farmers who have been struggling to survive thanks to his trade war20190730 23275500000'],"{'neg': 0.101, 'neu': 0.794, 'pos': 0.105, 'compound': 0.0258}"
5,['USChina trade war  no American freedom gas to worlds biggest growth market  20190730 23243600000'],"{'neg': 0.266, 'neu': 0.437, 'pos': 0.297, 'compound': 0.1779}"
6,['Yall seem to like Socialism Government money paid to farmers without receiving goods Farmers please admit that some Socialism is good Repubs and Dems agree Not to be confused with Communism which is a horse of a different color Hope trade war ends soon God bless farms20190730 23243400000'],"{'neg': 0.063, 'neu': 0.584, 'pos': 0.353, 'compound': 0.9308}"
7,['Is this anything like giving farmers money after he screwed them with his trade war20190730 23181300000'],"{'neg': 0.152, 'neu': 0.616, 'pos': 0.232, 'compound': 0.1779}"
8,['Our people are well fed and we can withstand the impact of the trade war20190730 23115700000'],"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.2732}"
9,['This tradewar is a broad accommodation of special interests Warrens plan is more like Trumps than it is anything else An appeal to domestic special interests that advances no useful policy while immiserating foreigners and stifling domestic growth is immoral20190730 22561300000'],"{'neg': 0.042, 'neu': 0.617, 'pos': 0.341, 'compound': 0.9259}"
10,['Subs your HUGE markets newsletter is out today Today Trump leans on the Fed  signals tradewar continuance Bonds rallying stocks stall DAX especially  Forex moves GBPUSD EURUSD USDJPY AUDUSD Copper Gold Crudeoil China long game ausbiz  pictwittercomWshSTbHQcU20190730 22505700002'],"{'neg': 0.044, 'neu': 0.882, 'pos': 0.074, 'compound': 0.3034}"
11,['USDA gave almost 100 percent of Trumps trade war bailout to white farmers   WHITE WELFARE IS ALIVE AND WELL AND BENEFITING RICH WHITE GUYS20190730 22494800000'],"{'neg': 0.148, 'neu': 0.559, 'pos': 0.293, 'compound': 0.7351}"
12,['Seriously MAGA how do you support this grifterthank you GOP SenateGOP HouseGOP for putting rich people first MoscowMitchMcTreason GOPTaxScam Trump shafted family farmers to give trade war bailouts to huge corporate farms instead report  20190730 22440600001'],"{'neg': 0.088, 'neu': 0.719, 'pos': 0.193, 'compound': 0.5719}"
13,['and farmers of color have received almost nothing twitlers REDpubliKKKant Fascist Nazi Party Trump shafted family farmers to give trade war bailouts to huge corporate farms instead report  20190730 22404300000'],"{'neg': 0.103, 'neu': 0.687, 'pos': 0.209, 'compound': 0.4632}"
14,['It doesnt hurt to allow the Fed to help us fight China in this trade war Just dont abuse it20190730 22363500000'],"{'neg': 0.255, 'neu': 0.469, 'pos': 0.276, 'compound': 0.1724}"
15,['The biggest and wealthiest farms are getting the bulk of federal aid intended to support American farmers contending with fallout from the USChina trade war  20190730 2232340000216'],"{'neg': 0.115, 'neu': 0.71, 'pos': 0.175, 'compound': 0.25}"
16,['I thought this Trade War was supposed to be easy to win Have we got a date when that win is coming20190730 22305500000'],"{'neg': 0.12, 'neu': 0.556, 'pos': 0.324, 'compound': 0.765}"
17,['Your 2000 a month that was quickly eaten up by your healthcare cost increases via Trump high gas prices huge food price increases thanks to trade war and more If youre happy youre a fool Sorry but you are  22181000000'],"{'neg': 0.127, 'neu': 0.733, 'pos': 0.139, 'compound': 0.136}"
18,['USDA gave almost 100 percent of Trumps trade war bailout to white farmers Not only did almost all of the funds go to white operators but an overwhelming share of the funds appear to have gone to uppermiddleclass and wealthy families  20190730 22154500000'],"{'neg': 0.075, 'neu': 0.801, 'pos': 0.124, 'compound': 0.5267}"
19,['Socialism like youre giving farmers due to a presidential trade war socialism like paved roads Seems like you only like to put fear in the ignorant with words they dont comprehend20190730 22095800001'],"{'neg': 0.206, 'neu': 0.516, 'pos': 0.278, 'compound': 0.296}"
20,['there are early signs that business spending may be rebounding with core durable goods orders turning positive the past two months Clinton McGarvin CFA equities economy tradewar homesales Europe treasuries  20190730 22091100001'],"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.6705}"
21,['The EU wants to start a trade war we will just end up buying cars from the US or other non EU countries instead These days they are all designed for leftright hand drive fitment In fact such a trade embargo will help us kick start industry and new trade deals so bring it on20190730 22060400000'],"{'neg': 0.064, 'neu': 0.839, 'pos': 0.097, 'compound': 0.25}"
