,0,1
0,['Truce in USChina trade war as 2 rivals seek breakthrough  20190629 23592800000'],"{'neg': 0.281, 'neu': 0.719, 'pos': 0.0, 'compound': -0.5994}"
1,['USChina trade war cease fire doesnt bridge differences  23591200000'],"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.743}"
2,['Success Farmers are going due to Trumps dopey trade war  hes giving them a socialist bail out US has fallen economically in worldwide measures national debt highest ever pictwittercomPA64z5kaw520190629 23585100000'],"{'neg': 0.245, 'neu': 0.689, 'pos': 0.066, 'compound': -0.7579}"
3,['Chinese Tariff Rebate Plan How We Can Win the USChina Trade War  pictwittercomx1UBSPHx5b20190629 23583800000'],"{'neg': 0.198, 'neu': 0.609, 'pos': 0.193, 'compound': -0.0258}"
4,['Thawing USChina Trade War Tensions Not Hurting Bitcoin  pictwittercomAIThug7c0I20190629 23583500000'],"{'neg': 0.416, 'neu': 0.441, 'pos': 0.142, 'compound': -0.6533}"
5,['Trade war could wipe 455 billion off global GDP next year IMF warns  20190629 23573300000'],"{'neg': 0.29, 'neu': 0.71, 'pos': 0.0, 'compound': -0.6486}"
6,['The article suggests Trumps negotiations will  save  the world from his self inflicted trade war costing a potential 12T How upside down is that Trumpism at its best20190629 23573200000'],"{'neg': 0.118, 'neu': 0.785, 'pos': 0.097, 'compound': -0.1779}"
7,['The trade war is detrimental to national security China is nearly the largest refiner of rare earth elements We need those elements for jet engines  missile guidance systems The farmer may not recover for a generation20190629 23571500000'],"{'neg': 0.097, 'neu': 0.844, 'pos': 0.06, 'compound': -0.3612}"
8,['The price of toys could go up by 15 and as many as 68000 out of the more than 691000 employees in the industry could lose their jobs tradewar business 20190629 23551000003'],"{'neg': 0.08, 'neu': 0.92, 'pos': 0.0, 'compound': -0.4019}"
9,['Its a temporary timeout Trump and Xi agree to talks but offer no clear path to end trade war CNBC 20190629 23550900001'],"{'neg': 0.269, 'neu': 0.561, 'pos': 0.17, 'compound': -0.6124}"
10,['Trump Xi call truce on trade war  pictwittercomnu7XMQ17s020190629 235441000010'],"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}"
11,['Checkout this weeks FutureSandwich webisode  The Future of Manufacturing isnt in China  its where ever you live Its coming home due to AI  robotics  Trumps Trade war is speeding it up  20190629 23544100000'],"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.5994}"
12,['USChina trade war cease fire doesnt bridge differences  23532700000'],"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.743}"
13,['second thought   Its a temporary timeout but offer no clear path to end USChina trade war  23512800002'],"{'neg': 0.332, 'neu': 0.53, 'pos': 0.138, 'compound': -0.6956}"
14,['What a trade war with China would do to Canada  Macleans    China travel20190629 23501000000'],"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.5994}"
