,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,['0']-----------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['Let me analyze this question By my tally so far China gets 1no new tariffs 2access to US tech for Huawei 3better visa treatments for Chinese students 4truce on tradewar resumption of talks US gets 1bigger purchases for farmers China  3 US 1 413 Your welcome20190629 23472100000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['Trump says China trade talks back on track new tariffs on hold TradeTalks TradeWar tariffs TradeDeals trade 23411800000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,['Wall Street was ready for the latest twist in the trade war Heres how experts think Trump and Xis trade truce will play out  pictwittercomygyfZlpkxN20190629 23365500000'],"{'neg': 0.123, 'neu': 0.723, 'pos': 0.154, 'compound': 0.0}"
5,['Russia  China Keep Up Their Gold Buying In Q1 2019 Fed Bonds Gold Bitcoin TradeWar China RateCut 20190629 23224800000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,['Wall Street was ready for the latest twist in the trade war Heres how experts think Trump and Xis trade truce will play out  20190629 23212600000'],"{'neg': 0.123, 'neu': 0.723, 'pos': 0.154, 'compound': 0.0}"
7,['No deal Dealmaster President Still nothing but hot air and a trade war20190629 23182400000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,['IdiotInChief DonaldTrump Brags About TradeDeal Negotiations With China It Will Be Give  Take America Gives China Takes Economy tradewar tariffs XiJinping FBRParty Ccot Qanon DerangedDonald ComplicitGOP CorruptGOP huaweibanpictwittercoms8hp0M0U9420190629 23121100001'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,['Donald Trump declares that USChina would resume trade talks TradeWar DonaldTrump XiJinping UnitedStates China G20 G20Summit G20OsakaSummit 20190629 23000000000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,['Wall Street was ready for the latest twist in the trade war Heres how experts think Trump and Xis trade truce will play out  pictwittercompl2bSkbDZK20190629 22565800000'],"{'neg': 0.123, 'neu': 0.723, 'pos': 0.154, 'compound': 0.0}"
11,['Market rallies temporarily on news New highs p ingng tradewar  20190629 22204100000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,['Wall Street was ready for the latest twist in the trade war Heres how experts think Trump and Xis trade truce will play out  pictwittercom7uxiSklVXB20190629 22181100000'],"{'neg': 0.123, 'neu': 0.723, 'pos': 0.154, 'compound': 0.0}"
