,0,neg,neu,pos
1,['0']-----------------------------------,0.0,1.0,0.0
2,['Great Now do trade war induced farmer welfare20190330 23585000000'],0.328,0.672,0.0
3,['WTO plans ruling in blow to Trumps trade war against EU  IS TOO FAR OVER REACHING 20190330 23561100000'],0.174,0.713,0.113
4,['In 2018 the avg Minn farm had an income of 26055 an 8 decrease from 2017 Minn farmers in the lowest 20 averaged losing 72000 each The Trade war resulted in Minn Pork producers income falling from avg 101000 in 17 to 27739 in 2018  20190330 23554000000'],0.203,0.797,0.0
5,['Mine is The yealthCurve inverted this time because there are signs of implications from the tradewar for Amerika that started it and that the last rate rise was to much and that the US can not handle a small rate rise towards a falling rate plateau20190330 23521500000'],0.035,0.965,0.0
6,['What trade war20190330 23504500000']--,0.0,1.0,0.0
7,['Vietnams economy gains as companies flee China in trade war  20190330 23464900000'],0.239,0.613,0.147
8,['My paycheck is barely changed My tax bill will be higher this year thanks to Mr Trump Re Jobs so far Trump hasnt messed up the Obama economy hopefully he wont but his trade war is a huge drag on the economy Wait lower bills I havent seen that pictwittercom3bmpKr9UY520190330 23425100000'],0.173,0.691,0.136
9,['Iowans dont like socialismunless theyre getting billions from TraitorTrumps disastrous trade war  20190330 23352600004'],0.474,0.526,0.0
10,['Unemployment is down labor participation rate is up Those lost jobs have simply moved to other industries The trade war is forcing China to negotiate with none of the dire impacts the Left hyperventilates about And ISIS is defeated whether you admit it or not20190330 23321900000'],0.17,0.751,0.078
11,['Thank you for your question Here is the full article by Max Gulker The Trade War A OneYear Assessment  20190330 23313200001'],0.17,0.83,0.0
12,['A warning ignored  like ALL the other warnings Brazils TradeWar Is a Warning to America  20190330 23254000000'],0.408,0.482,0.11
13,['So glad he has solved North Koreas nukes and the trade war with China as well ending climate change and the war on coal and the war on Christmas Time to move on other matters toopresidential20190330 23225700000'],0.234,0.6,0.166
14,['Now our farmers are flooded out and they cant even plant their crops Trump just bailed them out because of his stupid trade war Hes gonna have to turn right around and do it again or our farmers will perish20190330 23200000000'],0.158,0.842,0.0
15,['US manufacturers have lost trillions and thousands have lost jobs because of that trade war People have lost jobs because of the tax cut since many corps spent it on buybacks Signs are pointing to a recession and time will tell Defeating ISIS is semantics and you know it20190330 23162400000'],0.303,0.697,0.0
16,['Who Is Winning Trumps Trade War with China So Far Its Mexico  Bloomberg  20190330 23083100000'],0.192,0.64,0.167
17,['No one ever wins a trade war  20190330 23033900000'],0.287,0.441,0.272
18,['How the ongoing tradewar may affect COSCOSHIPPINGs bid for shipping supremacy  pictwittercomQhEoDbCifY20190330 23003100000'],0.0,0.909,0.091
19,['Just like healthcare was easy the trade war was easy keeping factories open was easy The only easy thing is you opening your mouth to spew more lies20190330 22574200000'],0.095,0.561,0.344
