,0,1
0,['Great Now do trade war induced farmer welfare20190330 23585000000'],"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}"
1,['WTO plans ruling in blow to Trumps trade war against EU  IS TOO FAR OVER REACHING 20190330 23561100000'],"{'neg': 0.174, 'neu': 0.713, 'pos': 0.113, 'compound': -0.3328}"
2,['In 2018 the avg Minn farm had an income of 26055 an 8 decrease from 2017 Minn farmers in the lowest 20 averaged losing 72000 each The Trade war resulted in Minn Pork producers income falling from avg 101000 in 17 to 27739 in 2018  20190330 23554000000'],"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.8658}"
3,['Mine is The yealthCurve inverted this time because there are signs of implications from the tradewar for Amerika that started it and that the last rate rise was to much and that the US can not handle a small rate rise towards a falling rate plateau20190330 23521500000'],"{'neg': 0.035, 'neu': 0.965, 'pos': 0.0, 'compound': -0.1531}"
4,['Vietnams economy gains as companies flee China in trade war  20190330 23464900000'],"{'neg': 0.239, 'neu': 0.613, 'pos': 0.147, 'compound': -0.3612}"
5,['My paycheck is barely changed My tax bill will be higher this year thanks to Mr Trump Re Jobs so far Trump hasnt messed up the Obama economy hopefully he wont but his trade war is a huge drag on the economy Wait lower bills I havent seen that pictwittercom3bmpKr9UY520190330 23425100000'],"{'neg': 0.173, 'neu': 0.691, 'pos': 0.136, 'compound': -0.6407}"
6,['Iowans dont like socialismunless theyre getting billions from TraitorTrumps disastrous trade war  20190330 23352600004'],"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.8723}"
7,['Unemployment is down labor participation rate is up Those lost jobs have simply moved to other industries The trade war is forcing China to negotiate with none of the dire impacts the Left hyperventilates about And ISIS is defeated whether you admit it or not20190330 23321900000'],"{'neg': 0.17, 'neu': 0.751, 'pos': 0.078, 'compound': -0.7202}"
8,['Thank you for your question Here is the full article by Max Gulker The Trade War A OneYear Assessment  20190330 23313200001'],"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.5994}"
9,['A warning ignored  like ALL the other warnings Brazils TradeWar Is a Warning to America  20190330 23254000000'],"{'neg': 0.408, 'neu': 0.482, 'pos': 0.11, 'compound': -0.7003}"
10,['So glad he has solved North Koreas nukes and the trade war with China as well ending climate change and the war on coal and the war on Christmas Time to move on other matters toopresidential20190330 23225700000'],"{'neg': 0.234, 'neu': 0.6, 'pos': 0.166, 'compound': -0.7506}"
11,['Now our farmers are flooded out and they cant even plant their crops Trump just bailed them out because of his stupid trade war Hes gonna have to turn right around and do it again or our farmers will perish20190330 23200000000'],"{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.8074}"
12,['US manufacturers have lost trillions and thousands have lost jobs because of that trade war People have lost jobs because of the tax cut since many corps spent it on buybacks Signs are pointing to a recession and time will tell Defeating ISIS is semantics and you know it20190330 23162400000'],"{'neg': 0.303, 'neu': 0.697, 'pos': 0.0, 'compound': -0.946}"
13,['Who Is Winning Trumps Trade War with China So Far Its Mexico  Bloomberg  20190330 23083100000'],"{'neg': 0.192, 'neu': 0.64, 'pos': 0.167, 'compound': -0.128}"
14,['No one ever wins a trade war  20190330 23033900000'],"{'neg': 0.287, 'neu': 0.441, 'pos': 0.272, 'compound': -0.0516}"
15,['minister is trying to start a trade war like Trump but he forgets that he lacks the weaponry for such a war He should stop telling tales that doesnt make sense and make sure the cashew nuts at the port are exported and alsothe man don finally export the yams he was bragging20190330 22570400000'],"{'neg': 0.242, 'neu': 0.686, 'pos': 0.072, 'compound': -0.9042}"
16,['USChina soy trade war could destroy 13 million hectares of rainforest  20190330 22480000000'],"{'neg': 0.402, 'neu': 0.598, 'pos': 0.0, 'compound': -0.8126}"
17,['US and China Got Into a Trade War and Mexico Won 20190330 22455000000'],"{'neg': 0.222, 'neu': 0.568, 'pos': 0.21, 'compound': -0.0516}"
18,['We all work to have our Safety Net you can fix it but you do not have the right to repeal it Your so call Job Rate are 2 that not enough for 12 Million American in USA Jobs is walking out on USA Bc of Trump trade war with China See your short Victory was already plan2fail20190330 22364000001'],"{'neg': 0.085, 'neu': 0.885, 'pos': 0.03, 'compound': -0.6652}"
19,['Hmmmtell that to the farmers that are losing markets to sell their produce in due to your trade war pictwittercom3v4hO3noPh20190330 22343600000'],"{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.7579}"
20,['If were getting stronger all over the world why arent we winning the Trump trade war and why does the federal government have to continue to subsidize farmers with taxpayer dollars because of this trade war20190330 22323000000'],"{'neg': 0.154, 'neu': 0.786, 'pos': 0.06, 'compound': -0.6219}"
21,['We all lose in a trade war BlueUnity202020190330 22231500005'],"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.765}"
22,['The US needs to talk ForeignPolicy The US needs to talk TradeWar No Mexico Ambassadorwhere else are they missing But heh close the POEs to approx 2billion tradeday while complaining about people fleeing terrorism Escaping Venezuela  Bloomberg  20190330 22205500000'],"{'neg': 0.276, 'neu': 0.696, 'pos': 0.027, 'compound': -0.8957}"
23,['From Trade War To Tech War To ColdWar  OcasioCortez makes socialism sexy again  Ilhan Omar makes Islamism palatable  ForeignAffairs China  via hooverinst20190330 22170600000'],"{'neg': 0.238, 'neu': 0.579, 'pos': 0.183, 'compound': -0.4215}"
24,['There is a public server called PlayDatblockCom It has recently opened up a datearth server where the minecraft map is based off of the real world map and you can found a city andor nation anywhere on the world and trade war or just hang with other towns I enjoy it20190330 22135000000'],"{'neg': 0.073, 'neu': 0.866, 'pos': 0.06, 'compound': -0.1779}"
25,['Trumps Trade War and Political Marketing  via YouTube20190330 22050800000'],"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}"
26,['Chinese and US negotiators are working linebyline through the text of an agreement to end the trade war   via bpolitics20190330 22042200000'],"{'neg': 0.149, 'neu': 0.728, 'pos': 0.123, 'compound': -0.1779}"
27,['Trade war hurt and tax cuts for rich did nothing20190330 22003700000'],"{'neg': 0.473, 'neu': 0.348, 'pos': 0.179, 'compound': -0.7096}"
28,['Stock Of The Day Autohome Stock Breaks Out Amid Trump Trade War Optimism  Investors Business Daily  22002300000'],"{'neg': 0.174, 'neu': 0.67, 'pos': 0.156, 'compound': -0.1027}"
29,['The entire auto industry is being restructured A jobs massacre is under way at Ford VW Opel Audi and supplier plants Under global trade war General Motors and Ford are in the process of winding down their European operations SaveHondaSwindon 21572300000'],"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.5994}"
30,['So heres my question Bob If Trudeau is so crooked and we know that he is Why didnt he warn Huaweis Meng Wanzhou not to come to Canada He must have known that this would spark a trade war with China20190330 21553800000'],"{'neg': 0.086, 'neu': 0.843, 'pos': 0.071, 'compound': -0.4027}"
31,['You mean the detention areas where you allow children to die from preventable disease and then falsely blame their fathers You are sick And you have no understanding of trade Remember how you had to bail out the farmers after starting your trade war with China This is worse20190330 21435100000'],"{'neg': 0.288, 'neu': 0.681, 'pos': 0.03, 'compound': -0.946}"
32,['Study Trumps Trade War Cost US Economy 78 Billion in 2018  21421200000'],"{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.5994}"
33,['1000000 acres were flooded in Midwest America a region that never saw the face they voted to MAGA the flood may have washed away some crops for 2019 2018 crops were lost to mr trumps tariffs  trade war with China what crop do you think the farmers will not plant in 202020190330 21415400000'],"{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.7351}"
