,0,1
0,['How the ongoing tradewar may affect COSCOSHIPPINGs bid for shipping supremacy  pictwittercomQhEoDbCifY20190330 23003100000'],"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.0516}"
1,['Just like healthcare was easy the trade war was easy keeping factories open was easy The only easy thing is you opening your mouth to spew more lies20190330 22574200000'],"{'neg': 0.095, 'neu': 0.561, 'pos': 0.344, 'compound': 0.8481}"
2,['You mean like that trade war with Chinaor the real one with NKor the bodies that would pile up from the tax cutKrugmans prediction of recession we wont defeat ISIS and on and on Keep living in your fantasy world Well keep winning  20190330 22531900000'],"{'neg': 0.119, 'neu': 0.694, 'pos': 0.187, 'compound': 0.4176}"
3,['Almost as easy as winning a trade war20190330 22501500000'],"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.743}"
4,['Alas this point may be lost on a person who doesnt read briefing materials who thinks he understands economics but doesnt comprehend trade war results  who has to tell people how smart he is20190330 215201000012'],"{'neg': 0.041, 'neu': 0.767, 'pos': 0.192, 'compound': 0.7975}"
5,['Ask all those farmers and ranchers in the Midwest how that trade war is working for them But never fear they will be back to cast votes for him next year20190330 21453800000'],"{'neg': 0.068, 'neu': 0.836, 'pos': 0.096, 'compound': 0.2481}"
6,['So easy Really As easy as getting Mexico to fund the TrumpVanityWall  As easy as getting infrastructure done during infrastructure week As easy as repealreplace Obamacare As easy as NK denuclearizing As easy as the China trade war TrumpBrokenPromises TrumpConJob20190330 20435800000'],"{'neg': 0.071, 'neu': 0.615, 'pos': 0.315, 'compound': 0.91}"
7,['As easy as fixing the ACA As easy as a trade war As easy as fixing the economy As easy as getting rid of ISIS in 30 days Someone is stupid Dont think its necessarily the laws20190330 20343100001'],"{'neg': 0.146, 'neu': 0.621, 'pos': 0.232, 'compound': 0.5106}"
8,['So what happened to the easy to win trade war  20190330 19500200000'],"{'neg': 0.199, 'neu': 0.459, 'pos': 0.342, 'compound': 0.4215}"
9,['TradeWar Positive news for India on back of falling CrudeOil prices  government intervention via MakeInIndia 20190330 19500100000'],"{'neg': 0.079, 'neu': 0.743, 'pos': 0.178, 'compound': 0.4588}"
10,['Universal basic income universal healthcare free public colleges or vocational schooling will benefit the American people more than tax cuts for the rich a border wall a trade war with China and the Muslim ban20190330 18522100000'],"{'neg': 0.141, 'neu': 0.641, 'pos': 0.219, 'compound': 0.5478}"
11,['Trying to win the trade war without saying it China wants easy money they press a button We have to justify our actions for the easy money  Winning this trade war is a very important show of dominance20190330 18502200000'],"{'neg': 0.147, 'neu': 0.567, 'pos': 0.285, 'compound': 0.7425}"
12,['Trade War against the competition is going great MAGA TiredOfWinningpictwittercomjVIpEhZZsm20190330 18473600001'],"{'neg': 0.229, 'neu': 0.529, 'pos': 0.241, 'compound': 0.0516}"
13,['5 Trump pulled out of the Pacific trade agreement that gave US exclusive access to most Pacific markets and effectively shut China out replacing it with an agreement that lets China lead and shuts the US out Trumps trade war with China bankrupts thousands of US farmers20190330 18411700000'],"{'neg': 0.068, 'neu': 0.745, 'pos': 0.187, 'compound': 0.7096}"
14,['To the great wealth of our Trade War with them20190330 17503100000'],"{'neg': 0.203, 'neu': 0.417, 'pos': 0.38, 'compound': 0.5267}"
15,['Starting a tradewar is not Conservative  Flake said Conservatives have if there is any defining animating principle that we have had in the party for generations now its freetrade And the President has really tossed that overboard20190330 17483200000'],"{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.4019}"
16,['uk business investment slide but trade war optimism boosts stocks  business live  the guardian 16470100000'],"{'neg': 0.214, 'neu': 0.479, 'pos': 0.307, 'compound': 0.3291}"
17,['UK business investment slide but trade war optimism boosts stocks  business live  15001600000'],"{'neg': 0.232, 'neu': 0.434, 'pos': 0.334, 'compound': 0.3291}"
18,['Stop the Trump GOP Tariffs and Trade War Ken Read Then join Democratic efforts to bring America back to free trade  20190330 14172800001'],"{'neg': 0.133, 'neu': 0.68, 'pos': 0.187, 'compound': 0.1531}"
19,['Totally Its like they didnt see a trade war induced slowdown coming20190330 14063300000'],"{'neg': 0.0, 'neu': 0.639, 'pos': 0.361, 'compound': 0.6854}"
20,['Need to brush up on the latest from the trade war before that classy dinner this evening Check out the first of our SupChina Quarterly Red Papers with the latest on Sinoglobal relations 25 or FREE with ACCESS membership 888month or 88year  14015700000'],"{'neg': 0.077, 'neu': 0.787, 'pos': 0.136, 'compound': 0.4648}"
21,['There is plenty to support Vietnamese growth over the next few years As companies move out of Korea Japan Singapore or China Vietnam may be a beneficiary Vietnam China tradewar FDI supplychains SEAsia ASEAN  pictwittercomNrUhP7LPSb20190330 14003200000'],"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.8126}"
22,['I personally know 3 different families who had to close their businesses because of new steel tariffs I know farmers who lost their buyers since Trumps trade war started My taxes went up but for those more fortunate the cost of goodsservices is increasing faster than wages20190330 13441900000'],"{'neg': 0.08, 'neu': 0.837, 'pos': 0.083, 'compound': 0.2936}"
