,0,neg,neu,pos
1,['0']-----------------------------------,0.0,1.0,0.0
2,['Trade War Starts Changing Manufacturers in HardtoReverse Ways  23594700000'],0.328,0.672,0.0
3,['And from now on by order of decreeMexican Rice will now be called Freedom rice tariffs tradewar  20190530 23594200000'],0.0,0.811,0.189
4,['Think trump understandsTrumps trade war is forcing American manufacturers to move production out of China  and into Mexico instead of the US  20190530 23592700001'],0.145,0.855,0.0
5,['One trade war was too boring for captain spanky  20190530 23592400000'],0.408,0.592,0.0
6,['Trade War Status oh it is ON  20190530 235921000042'],0.328,0.672,0.0
7,['We have been losing the trade war particularly with China for decades The goal is for a favorable outcome20190530 23592000000'],0.254,0.625,0.121
8,['Via IvisonJ Its apparent Trump has decided to pacify his northern neighbours in order to concentrate on a more portentous trade war with China Why then would Canada PM Trudeau deliberately antagonize the White House on abortion  20190530 23591500002'],0.166,0.834,0.0
9,['Great another trade war Prices will go up for Americans again BTW its not Mexicos responsibility to stop people from entering the United States of America MoronInChief GovernNotTweet20190530 23591400000'],0.175,0.745,0.08
10,['WhiteHouse What about the trade war with China which is now turning into a technological block you are better to circumvent the value of embargo then worrying about the Muller report20190530 23591200000'],0.227,0.642,0.131
11,['China accuses US of economic terrorism as trade war tensions escalate   Must be remember that China has engaged in economic warfare for decades The US has to act now with pain or do nothing now but have much more pain when it does act20190530 23590700000'],0.304,0.662,0.033
12,['Trade War with China isnt going so well especially since they hold leverage against us as has been discussed recently in the press so lets escalate one with Mexico You know just in case the coming Global Recession wasnt going to be bad enough20190530 23590000000'],0.189,0.76,0.051
13,['We are in a full blown trade war with 2 of our 3 biggest trading partners  20190530 2358560000100'],0.218,0.782,0.0
14,['Great another trade war Prices will go up for Americans again BTW its not Mexicos responsibility to stop people from entering the United States of America MoronInChief GovernNotTweet20190530 23583000000'],0.175,0.745,0.08
15,['China taunts US over trade war Dont say we didnt warn you   via amermilnews20190530 23583000000'],0.214,0.714,0.071
16,['Trade war beginning at the top of the Everything Bubble Thisll be one for the history books20190530 23582100000'],0.18,0.737,0.083
17,['A trade war with Mexico would not cost us nearly as much as illegal immigrants do every year20190530 23575200000'],0.306,0.694,0.0
18,['Mexican Deputy Foreign Minister Seade has stated that if the US follows through with its tariffs then Mexico would respond strongly USDMXN tradewar tariffs20190530 23574800001'],0.0,0.92,0.08
19,['Construction LaborShortage RealEstateDevelopmemt TradeWar CRE commercialrealestate 23574200000'],0.0,1.0,0.0
20,['You are absolutely out of your mind if you think a damn tariff is going to even marginally stop illegal immigration This aint a trade war20190530 23573700000'],0.265,0.735,0.0
21,['Single oil tanker could be factor in China trade war and Iran tensions   pictwittercomzGOFhXy6bB20190530 23571600000'],0.337,0.663,0.0
22,['US China Trade War Trump is Not Going to Back Down This is a War of ValuesCurtis Ellis  20190530 23570300000'],0.315,0.685,0.0
23,['In the math add in how this will make US companies more dependent on Chinese goods during a trade war and the soon to be needed subsidies to offer tariffs imposed by Mexico Oh yeah our farm belt is under water so I wonder where we will turn to for farm goods20190530 23570300000'],0.094,0.866,0.04
24,['A ship could become a factor in both the China trade war and Iran tensions CNBC 20190530 23565900000'],0.306,0.694,0.0
25,['Mexico is benefiting from our trade war with China We are not20190530 23565700000'],0.245,0.755,0.0
26,['US Economy Slips From 1st to 3rd Place in Global Competitiveness Ranking Amid Trump Tariffs TariffsAreTaxes Trumps ongoing trade war with China a tantrum in the sense that it is hurting companies in the United States more than in any other country  20190530 23562900006'],0.184,0.762,0.055
27,['This isnt even close to the same as that trade war20190530 23562600000'],0.0,1.0,0.0
28,['This feels like a good time to plug my video Trump Trade War Explained which breaks down how tariffs work and how the US and China trade war is bad for consumers and business owners  TradeWar TrumpTradeWar 20190530 23561100000'],0.227,0.664,0.109
29,['Starting a trade war with one country wasnt enough you have to start one with another20190530 23560300001'],0.206,0.794,0.0
30,['To threaten tariffs on your principal commercial partner while waging a trade war with your third commercial partner is madness Mexico should not react to a madman20190530 235550000011'],0.29,0.71,0.0
31,['Evangelicals  all Trumpsters Look at decisions your Stable Moronic Genius made You aint seen nothing yet Stable horse genius Idiot will be trying to take your health insurance Tax plan was for rich only Watch what trade war will cost youSee unemployed in auto makers  20190530 23554700002'],0.182,0.684,0.134
32,['TradeWar Unleashes CSuite Chaos How Do You Plan  pictwittercom7Q333ixkSQ20190530 23554300000'],0.291,0.709,0.0
33,['How I am seeing the tradewar so far Tomato paste 6 oz for ever was 50 cents a can Now its 76 cents if im lucky but avg 100 a can The tomatoes come from Mexico I dont know where the can comes from20190530 23553700001'],0.0,0.954,0.046
34,['Trump trade war20190530 23550600000']-,0.0,1.0,0.0
35,['How soybeans became Chinas most powerful weapon in Trumps trade war  trade soybeans tradewar ConversationUS20190530 23550200000'],0.284,0.579,0.138
36,['China raises the stakes Farmers whove struggled because of Donald Trumps trade war with China are taking another hit as China has halted purchases of American soybeans So much winning More   20190530 23545300000'],0.158,0.75,0.092
37,['This trade war will hurt us as much as it hurts them Americans can not all afford increased prices on the MANY things that come from Mexico20190530 23544900000'],0.337,0.663,0.0
38,['China gears up to weaponize rare earths in trade war  20190530 23543700000'],0.262,0.738,0.0
39,['Trump says US will impose 5 tariff on all Mexican imports from June 10 CNBC TradeWar  20190530 23543400000'],0.121,0.879,0.0
40,['You get a Trump trade war tax You get a Trump trade war tax And you get a Trump trade war tax pictwittercomliNfmn6zAp20190530 23543400000'],0.394,0.606,0.0
41,['The US is putting more pressure on its own economy by opening a 2nd front in the trade war Gives China no incentive to rush into a deal while it damages itself Akin to invading Russia in winter20190530 23542100001'],0.25,0.696,0.054
42,['Does the rare earth media frenzy around the USChina trade war miss the mark  cc investorIntel20190530 23541700000'],0.358,0.642,0.0
43,['USChina trade war hurts Asia chemical markets  pictwittercomL2vHFxMSQX20190530 23540800000'],0.5,0.5,0.0
44,['Extreme weather is pummeling the Midwest and farmers are in deep trouble  given the president these red states helped elect had caused a trade war with China it is just as well China is not buying US soybeans  20190530 23540400000'],0.148,0.805,0.047
45,['Potus is opening too many trade war fronts  20190530 23540200000'],0.302,0.698,0.0
46,['You get a Trump trade war tax You get a Trump trade war tax And you get a Trump trade war tax  pictwittercom6TMIymw1Ei20190530 23535900000'],0.394,0.606,0.0
47,['This fucking trade war20190530 23535800000'],0.0,1.0,0.0
48,['CAD also hit as trade war intensifies CAD 021 against other currencies USDCAD 135245 018 CADJPY 80876 041 EURCAD 150536 02 GBPCAD 17053 02 CADCHF 074482 025 AUDCAD 093413 01220190530 23534900001'],0.115,0.885,0.0
49,['Imagine starting a trade war on TWO fronts Imagine that USApictwittercomqL8VHiD79k20190530 23533600001'],0.281,0.719,0.0
50,['Were starting a trade war with our 2 trade partner MagaNomics 20190530 23533500001'],0.281,0.719,0.0
51,['Genius idea A trade war will eventually tank the USAs economy too thus removing the incentive to immigrate here MAGA20190530 23533200000'],0.16,0.738,0.102
52,['WorstCase Trade War Lasting To 2020 Threatens To End Bull Market   May 23 20191215pm WallSt20190530 23532300000'],0.317,0.683,0.0
53,['Thoughts on this ThursdayThoughts Mexico Trade TradeWars tradewar  20190530 23532200000'],0.0,1.0,0.0
54,['Prepared for the trade war20190530 23531800000'],0.0,1.0,0.0
55,['Another manifestation of Trumps dumbfuck trade war policy realDonaldTrump PressSec KellyannePolls FakePresident LiarInChief BeBroke BillionDollarLoser FuckingMoron 20190530 23530800000'],0.187,0.813,0.0
56,['Because the China trade war wasnt enough uncertainty for markets to deal with20190530 23525200000'],0.217,0.669,0.114
57,['Trump slaps tariffs on MXN USDMXN flies 4000 pips thru 1910 res This is  winning the SB IRS this crash nets you from us  200 million 50 For damn sure exclaims our tax lawyer wo dropping a spill of champ Basics Exports threatened by trade war MXN goes south pictwittercomSg0O4IOW8P20190530 23525000000'],0.197,0.666,0.136
