,0,1
0,['Trade War Starts Changing Manufacturers in HardtoReverse Ways  23594700000'],"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}"
1,['Think trump understandsTrumps trade war is forcing American manufacturers to move production out of China  and into Mexico instead of the US  20190530 23592700001'],"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.5994}"
2,['One trade war was too boring for captain spanky  20190530 23592400000'],"{'neg': 0.408, 'neu': 0.592, 'pos': 0.0, 'compound': -0.7351}"
3,['Trade War Status oh it is ON  20190530 235921000042'],"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}"
4,['We have been losing the trade war particularly with China for decades The goal is for a favorable outcome20190530 23592000000'],"{'neg': 0.254, 'neu': 0.625, 'pos': 0.121, 'compound': -0.5267}"
5,['Via IvisonJ Its apparent Trump has decided to pacify his northern neighbours in order to concentrate on a more portentous trade war with China Why then would Canada PM Trudeau deliberately antagonize the White House on abortion  20190530 23591500002'],"{'neg': 0.166, 'neu': 0.834, 'pos': 0.0, 'compound': -0.8}"
6,['Great another trade war Prices will go up for Americans again BTW its not Mexicos responsibility to stop people from entering the United States of America MoronInChief GovernNotTweet20190530 23591400000'],"{'neg': 0.175, 'neu': 0.745, 'pos': 0.08, 'compound': -0.5106}"
7,['WhiteHouse What about the trade war with China which is now turning into a technological block you are better to circumvent the value of embargo then worrying about the Muller report20190530 23591200000'],"{'neg': 0.227, 'neu': 0.642, 'pos': 0.131, 'compound': -0.5994}"
8,['China accuses US of economic terrorism as trade war tensions escalate   Must be remember that China has engaged in economic warfare for decades The US has to act now with pain or do nothing now but have much more pain when it does act20190530 23590700000'],"{'neg': 0.304, 'neu': 0.662, 'pos': 0.033, 'compound': -0.9209}"
9,['Trade War with China isnt going so well especially since they hold leverage against us as has been discussed recently in the press so lets escalate one with Mexico You know just in case the coming Global Recession wasnt going to be bad enough20190530 23590000000'],"{'neg': 0.189, 'neu': 0.76, 'pos': 0.051, 'compound': -0.8156}"
10,['We are in a full blown trade war with 2 of our 3 biggest trading partners  20190530 2358560000100'],"{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.5994}"
11,['Great another trade war Prices will go up for Americans again BTW its not Mexicos responsibility to stop people from entering the United States of America MoronInChief GovernNotTweet20190530 23583000000'],"{'neg': 0.175, 'neu': 0.745, 'pos': 0.08, 'compound': -0.5106}"
12,['China taunts US over trade war Dont say we didnt warn you   via amermilnews20190530 23583000000'],"{'neg': 0.214, 'neu': 0.714, 'pos': 0.071, 'compound': -0.558}"
13,['Trade war beginning at the top of the Everything Bubble Thisll be one for the history books20190530 23582100000'],"{'neg': 0.18, 'neu': 0.737, 'pos': 0.083, 'compound': -0.4767}"
14,['A trade war with Mexico would not cost us nearly as much as illegal immigrants do every year20190530 23575200000'],"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.8176}"
15,['You are absolutely out of your mind if you think a damn tariff is going to even marginally stop illegal immigration This aint a trade war20190530 23573700000'],"{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.7863}"
16,['Single oil tanker could be factor in China trade war and Iran tensions   pictwittercomzGOFhXy6bB20190530 23571600000'],"{'neg': 0.337, 'neu': 0.663, 'pos': 0.0, 'compound': -0.765}"
17,['US China Trade War Trump is Not Going to Back Down This is a War of ValuesCurtis Ellis  20190530 23570300000'],"{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.8316}"
18,['In the math add in how this will make US companies more dependent on Chinese goods during a trade war and the soon to be needed subsidies to offer tariffs imposed by Mexico Oh yeah our farm belt is under water so I wonder where we will turn to for farm goods20190530 23570300000'],"{'neg': 0.094, 'neu': 0.866, 'pos': 0.04, 'compound': -0.4588}"
19,['A ship could become a factor in both the China trade war and Iran tensions CNBC 20190530 23565900000'],"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.765}"
20,['Mexico is benefiting from our trade war with China We are not20190530 23565700000'],"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.5994}"
