,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,['0']-----------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['Construction LaborShortage RealEstateDevelopmemt TradeWar CRE commercialrealestate 23574200000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['This isnt even close to the same as that trade war20190530 23562600000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,['Trump trade war20190530 23550600000']-,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,['This fucking trade war20190530 23535800000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,['Thoughts on this ThursdayThoughts Mexico Trade TradeWars tradewar  20190530 23532200000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,['Prepared for the trade war20190530 23531800000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,['Tradewar   ComfortablySmug20190530 23522500000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,['Theyre potentially about to be a target of the TrAdE wAr20190530 23502600000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,['Drumpfs trade war wChina Walmart products are primarily made in China With tariffs Walmart pays more for inventory cost increase passed to consumers thru higher prices A no win situation altho Drumpf claims zero sum  he wins20190530 23465000000'],"{'neg': 0.135, 'neu': 0.73, 'pos': 0.135, 'compound': 0.0}"
11,['New round of tariffs here you go south of the border tradewar20190530 23415700000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,['Trumps tradewar is forcing American manufacturers to move production out of China  and into Mexico instead of the US  20190530 23395200000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,['Cant you read Theres not going to be a wall Just a trade war20190530 23384700000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,['Hoy 30May la volatilidad en el mercadono fue estimulada por nerviosismo de compras ms bien por depresin en cuanto a comprs por parte de los pases consumidores de petroleo  Una de 4 en los por angustias de economia Economic por el tradewar oilgaspictwittercom67XluM5yQh20190530 23312500000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,['Boeing737 boeing737max8 boeing777 boeing airfoce USMCA tradewar HuaweiFacts huaweiban Pilot pilotunion RKelly Sesame50 johnrose JohnMcCain 20190530 23270900000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
