,0,1
0,['Hmm fewer tweets from trump lately Might actually be good for the markets tradewar  23462100000'],"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}"
1,['Himy name is wupeng from china I know president trump is organizing trade war against china  I am standing on trump side  I can help president trump realize his goal Please contact me via my phone8613252569608 I have mysterious experience in the past20191031 23402400000'],"{'neg': 0.085, 'neu': 0.806, 'pos': 0.109, 'compound': 0.0258}"
2,['Himy name is wupeng from china I know president trump is organizing trade war against china  I am standing on trump side  I can help president trump realize his goal Please contact me via my phone8613252569608 I have mysterious experience in the past20191031 23393500000'],"{'neg': 0.085, 'neu': 0.806, 'pos': 0.109, 'compound': 0.0258}"
3,['If you were representing the United States in the USChina trade war what decisions would you make What if you represented China Play the game  23300000000'],"{'neg': 0.121, 'neu': 0.717, 'pos': 0.162, 'compound': 0.0772}"
4,['Seems that the trade war is not easy to win Donnie  that why the stock market is shaky and you dont lower interest rates when you have a sound economy but you benefit with that because of your outstanding loans moron Its all about money for you20191031 23290400000'],"{'neg': 0.218, 'neu': 0.607, 'pos': 0.175, 'compound': 0.0683}"
5,['I wish Ray Dalio would run for president Not sure if you have the popularity to beat trump But I hope you do We gotta get along with china not fight with them Shouldnt be a trade war it should be trade negotiation20191031 23264800000'],"{'neg': 0.028, 'neu': 0.689, 'pos': 0.282, 'compound': 0.9226}"
6,['Chinas telecoms operators launch 5G tariff plans as network rollouts push ahead despite trade war  NEWPAPER24  20191031 23242700000'],"{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.4847}"
7,[' BennSteil D Trump wont get the results he expects The Chinese would have bought 27Bof US agriculture goods if we would not have entered in trade war Now the phase 1 agreement is opening the prospect for a 20Bdeal20191031 23202000000'],"{'neg': 0.088, 'neu': 0.79, 'pos': 0.122, 'compound': 0.128}"
8,['Chinas telecoms operators launch 5G tariff plans as network rollouts push ahead despite trade war  23094000000'],"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.4847}"
9,['Actually the real problem is verifying the agreement adequately Given the size and secretiveness of Chinas bureaucracy and stateowned and statecontrolled entities that seems impossible trade tradewar tradetalks 20191031 23084500001'],"{'neg': 0.08, 'neu': 0.826, 'pos': 0.094, 'compound': 0.128}"
10,['Chinas telecoms operators launch 5G tariff plans as network rollouts push ahead despite trade war  20191031 23072300000'],"{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.4847}"
11,['realDonaldTrump  Your tradewar with China is UGELY successful Apple sales are collapsing in China and Im sure other US brands are struggling as well Im guessing youre not smart enough to have grasped that sales if US products might suffer under your brilliant plan20191031 23024600000'],"{'neg': 0.18, 'neu': 0.619, 'pos': 0.201, 'compound': 0.3054}"
12,['Trade war with China takes toll on struggling Upstate NY dairy farmers It took Kevin Ellis more than two years to navigate Chinas trade barriers and win approval to export 25 million worth of dairy products from Central New York to the worlds   pictwittercomOOhlu8rYCj20191031 23003300001'],"{'neg': 0.121, 'neu': 0.721, 'pos': 0.159, 'compound': 0.2732}"
13,['23 countries blasted China at UN but India Indonesia Malaysia Bangladesh Sri Lanka Maldives remained absences Forget about other Asian nations but what was India thinking Was India trying to win Chinese favor on A370 Well it did not work China still hit India on A370 20191031 22571300003'],"{'neg': 0.041, 'neu': 0.762, 'pos': 0.197, 'compound': 0.8765}"
