,0,neg,neu,pos
1,['0']-----------------------------------,0.0,1.0,0.0
2,['Trumps trade war with China making it more expensive to raise kids   via nypost20190929 23582700000'],0.218,0.782,0.0
3,['Yes then lets ask China why theyre issuing Ivanka copyrights while were in the middle of a trade war and why her merchandise was exempt from tariffs And why the Qataris gave the Kushners a loan that no other bank would provide while Jared was conducting policy in the ME20190929 23561300000'],0.114,0.86,0.026
4,['Trade war update pictwittercomN5d89bozIz20190929 23533200000'],0.494,0.506,0.0
5,['Trumps trade war with China making it more expensive to raise kids   VIXC LatestComments20190929 23521900000'],0.218,0.782,0.0
6,['This is from a Murdoch paper The cost of raising your kids is about to tick higher if it hasnt already  thanks to President Trumps trade war with China tariffs china KOLA  20190929 23513800000'],0.169,0.831,0.0
7,['Trumps trade war with China making it more expensive to raise kids  pictwittercomM597o03WUA20190929 23511500000'],0.231,0.769,0.0
8,['ettd  parenthood edition Trump the family values candidate Trumps trade war with China making it more expensive to raise kids  TheRickWilson  20190929 23510200000'],0.141,0.761,0.098
9,['Friend or foe China asks state media to pick trade war battles carefully   via scmpnews20190929 23505700000'],0.41,0.524,0.066
10,['Trumps Global Trade War Comes to Alabama  Bloomberg Businessweek  20190929 23505500000'],0.281,0.719,0.0
11,['huawei 5g mengwanzhou renzhengfei spy tradewar china ccp pla prc  HongKong HongKongProtests HongKongIsNotChina HongKongers hongkongprotest hongkongpolice HongKongExtraditionLaw hongkong AntiELAB 20190929 23503600000'],0.0,1.0,0.0
12,['Socialism is great when you have to bailout farmers for Trumps failed trade war20190929 23502400000'],0.226,0.577,0.197
13,['Hot off the press Dronetech Terraview raises 815k Trade war economic impact bites  AsiaAI AI China India Singapore startups tradewar digitaleconomy SkillIndia20190929 23501500000'],0.151,0.849,0.0
14,['Chinas Vice com min weekend comments urges calm and rational resolution to trade war  pictwittercomSLmVMOvLqY20190929 23500400001'],0.193,0.693,0.114
15,['charliekirk11 spreading more bullshit than a soybean farmer You know the taxpayer subsidized ones because of Trumps trade war with China  20190929 23495100000'],0.286,0.714,0.0
16,['huawei 5g mengwanzhou renzhengfei spy tradewar china ccp pla prc  HongKong HongKongProtests HongKongIsNotChina HongKongers hongkongprotest hongkongpolice HongKongExtraditionLaw hongkong AntiELAB 20190929 23494900000'],0.0,1.0,0.0
17,['Only I can fix it Big beautiful wall Repeal Obamacare Jared  Middle East Peace Drain the swamp DeNuke North Korea China Trade war easy to win ISIS have been defeated America respected again Lock her up 20190929 23482800000'],0.129,0.554,0.317
18,['China urges calm and rational resolution to USSino trade war  23482700000'],0.257,0.592,0.151
19,['Yeah Alibaba and the trade war hasnt effected their business which is growing like crazy just the stock price has been hit20190929 23480100000'],0.214,0.644,0.142
20,['China moves to stem damage from trade war with US ahead of talks  20190929 23465200000'],0.353,0.647,0.0
21,['IHSG turun dalem nih kayaknya Trade war has evolved become financial war and today march protest Semoga ogut salah20190929 23462000000'],0.366,0.634,0.0
22,['Heres why Trump backed down from a trade war with Mexico over tomatoes pictwittercomiCUcZQK0UD20190929 234507000017'],0.229,0.706,0.065
23,['How many Billion have we lost since Trumps trade war  20190929 23411800000'],0.383,0.617,0.0
24,['Again as I stated before itd been a bit since I watched the film but regardless the plan was gonna fall through but this trade war has put it on hold20190929 23405500000'],0.16,0.84,0.0
25,['This trade war in the long run will help are childrenits long over due20190929 23402000000'],0.199,0.663,0.138
26,['Will China choose the easy path so that the US can continue to hold it over a barrel tradewar chip  AlibabaGrouppictwittercomj6rOicS1EO20190929 23400100000'],0.0,0.873,0.127
27,[' um enrolao este trade warrs20190929 23384100000'],0.0,1.0,0.0
28,['An escalation of the trade war between Japan and South Korea will have a greater ripple effect than is priced in markets as it could disrupt the technology supply chain starting with China SP Global Ratings warns  20190929 233837000017'],0.124,0.818,0.058
29,['Thanks Trumpers Trumps trade war with China making it more expensive to raise kids   via nypost20190929 23382900000'],0.196,0.804,0.0
30,['YOU GOT A MOON Chapter 4  Trade War pictwittercomHKoBsEpW9F20190929 23371400000'],0.358,0.642,0.0
31,['Trumps trade war has killed 300000 jobs  20190929 23370700000'],0.545,0.455,0.0
32,['Your petty trade war fake tax cut and outright lies to the public have destabilized the United States of America more than any other American President  if you really cared about America you would resign IMMEDIATELY for the good of America20190929 23353000000'],0.278,0.57,0.152
33,[' Stopped the IRS from giving his tax returns to a Congressional committee as required by law 2 Took funds appropriated by Congress for DOD to build the wall Mexico refused to fund 3 Handing 28B in welfare to farmers damaged by his trade war wo congressional approval20190929 23345600000'],0.201,0.755,0.044
34,['Fantastic QA transcript w NZS Capital on investment qualities they look for portfolio construction etc w commentary on APH ARM GWW AAPL cloud TXN ASML trade war game theory where disruption is coming next Must read via TheStockPodcast  pictwittercomn5Ka78PVxz20190929 233346000020'],0.151,0.849,0.0
35,['Trumps trade war with China making it more expensive to raise kids  20190929 23333300000'],0.231,0.769,0.0
36,['  Y   TradeWar20190929 23325300001']--,0.0,1.0,0.0
37,['Oil and Gas plus Mining projects continue on despite the ongoing trade war with PNG well placed to take advantage of the global investment spend  23324300000'],0.126,0.742,0.132
38,['So Tomi is using this poor injured police officer as part of her agenda to prove how much she pretends to care for her country while trying to sell cheap gun clothes that are stuck in China due to Trumps trade war20190929 23304900000'],0.232,0.707,0.061
39,['Not a tax scam for the rich Raise taxes on the rich raise the estate tax Stop the trade war20190929 23300300000'],0.203,0.55,0.247
40,['Really hope India stop dragging their feet with this its crucial the RCEP is passed to nullify the impact of the trade war on a regional level  20190929 23285700001'],0.179,0.735,0.085
41,['Trumps trade war with China making it more expensive to raise kids   via nypost ksleg20190929 23285200000'],0.206,0.794,0.0
42,['TradeWar US Small Chinese firms pursue these IPOs because they allow their founders and backers to cash out rewarding them with USD they cannot easily access because of Chinas capital controls 20190929 23274000000'],0.055,0.804,0.142
43,['Were borrowing billions from China to give farmers to cover their losses in a trade war with China that prevents them from selling their products   to China Perfectly logical to the giant brain of the stable economic genius20190929 23274000001'],0.14,0.698,0.163
44,['Trump Farmers who want me to end my trade war are dumb people  20190929 23265700000'],0.351,0.585,0.063
45,['Youll blame Dems but everyone else will blame Trump Nobody forced Trump to be corrupt and nobody forced Trump to start his stupid trade war which will likely be the cause if we have a recession20190929 23264900000'],0.431,0.569,0.0
46,['ICHEOKU says possibly working for China to distract and frustrate the president from laserfocusing his attention on the ongoing Trade War Their business interests as well as that of their donors are at stake so the decision to use the ruse of Ukraine conversation as a weapon20190929 23254700000'],0.165,0.761,0.074
47,['Three Cheers for the Trade War  20190929 23233700000'],0.3,0.462,0.238
48,['China urges calm and rational resolution to USSino trade war  23204900000'],0.257,0.592,0.151
49,['USDCNH Ya Ill show that Weekly in FACE Tomorrow YUAN TradeWar  20190929 23201800000'],0.189,0.811,0.0
50,['China No Longer A Developing Nation As One Look At US Exports During Trade War Clearly Shows via forbes 20190929 23195000001'],0.236,0.659,0.105
51,['Trumps trade war with China making it more expensive to raise kids  pictwittercommanbcyp0UG20190929 23190100000'],0.231,0.769,0.0
52,['Ive been working on a todo list Get back in Paris Climate pact see if Iran will let us go back to Nuke Agreement end trade war with China TPP review APOLOGIZE TO OUR ALLIES especially Canada and see if we can get some refund for all the golf outings we paid for weekly20190929 23155500000'],0.065,0.847,0.089
53,['Interestingly Reuters say the NASDAQ has already belled the cat on China companies in the US Exclusive Nasdaq cracks down on IPOs of small Chinese companies stocks tradewar markets  20190929 23155400000'],0.0,0.952,0.048
54,['Steve is the personal emissary for trump The Chinese trade war is very suspicious especially given how trump is making special exceptions to companies like Apple20190929 23155000000'],0.192,0.659,0.149
55,['The costs of your trade war  tarrif slapfigths with allies has boatraced any benefits that wouldve been seen by your tax cuts Literally why were slowing down Meanwhile banks are choking on your debt issuances  20190929 23151700000'],0.251,0.693,0.056
56,[' USChina tradewar has been tailwind for gold prices  is the storm abating  Positive US economic data could pressure gold if it eases Fed rate cut bets  Gold prices therefore are likely to seesaw between data and economic war xauusd 20190929 23132700004'],0.16,0.724,0.115
57,['You mean the President who is wasting on a wall paying out billions in taxpayer to farmers bc of a trade war you cant win calls murderous dictators friend fing over allies cant keep a cabinet  wont take advice from nobody bc you think you know more than anyone  20190929 23125900000'],0.163,0.726,0.111
58,['The trade war with China has been particularly painful for American farmers but a separate issue is currently straining their support for the administration biofuel   farmers Trump tradewar biofuel20190929 23114500000'],0.208,0.694,0.098
59,['China urges calm and rational resolution to USSino trade war    20190929 23112300000'],0.241,0.617,0.142
60,['Trumps 28 Billion Bet That Rural America Will Stick With Him Farmers caught in the trade war have become dependent on government payments  20190929 23110400000'],0.14,0.86,0.0
61,['CHINABEHIND IT ICHEOKU says is it possible that China is behind the current whistleblowers effort to keep the president distracted from the ongoing Trade War When everything else fails just manufacture one crisis to keep the president unfocused on winning the trade war SAD pictwittercomEfJ1vPIM7w20190929 23084700000'],0.363,0.584,0.052
62,['Trade War New Front in Trade War Means No Reprieve for Emerging Markets  Bloomberg  23070900000'],0.455,0.545,0.0
63,['trade Trump Trade War Spoils Billionaire Lohias Chemical Acquisitions Bloomberg  Indiaborn billionaire Aloke Lohias global acquisition spree for chemical plants was designed to give Thailandbased Indorama Ventures Pcl more pricing power But Donald Trumps trade wa20190929 23063700000'],0.064,0.936,0.0
64,['Gutted USDAgood Deregulation Agmarket will recover when we win trade warEnvir regs also free landowners from jail sentences for building livestock water pondsgood deregulationThat 1 that got cut creating jobslow unemployment is proof2sides to every storybut run away20190929 23055700000'],0.105,0.674,0.221
65,['Um hmm  China No Longer A Developing Nation As One Look At US Exports During Trade War Clearly Shows  20190929 2302410000112'],0.236,0.659,0.105
66,['MarketOutlook It will be a quiet week domestically but three macro events dampen local confidence NBR spoke with Habour Asset Managements Shane Solly about the USChina trade war Iran and the POTUS potential impeachment Watch TheNewNBR video  pictwittercomgvm5sDKdZU20190929 23023900000'],0.111,0.728,0.16
67,['Trump Farmers who want me to end my trade war are dumb people  20190929 23000800000'],0.351,0.585,0.063
68,['The SP 500 ends the third quarter with a 15 return despite trade war inverted yield curve and political crisis  pictwittercomtkLlZMrtDJ20190929 23000800000'],0.156,0.724,0.12
69,['Renewed concerns and rising friction around the USChina tradewar hang over investor sentiment with local stocks expected to open lower today With the RBA rate decision tomorrow there is a high level of caution in the market Trading SPI Losses may exceed depositspictwittercomnNQ6B0ceY020190929 23000800000'],0.107,0.893,0.0
70,['Merlin Rothfeld and other financial experts share some advice for capitalizing on trade war volatility  usnews tradewar stockmarketpictwittercomTSgYH8nWo420190929 23000600001'],0.169,0.736,0.095
71,['But does your decision affect the trade war or policies Nope So the wife has more power as it should be20190929 22594900000'],0.157,0.843,0.0
72,['What about brand damage If they bankrupt here 40000 people will lose their jobs The co is gonna lose lots of brand value Not an American company etc Plus the trade war20190929 22592800000'],0.286,0.657,0.056
73,['Funny Ive watched the Dem debates and havent seen them really even talk about this Not saying some farmers havent gotten caught in the crossfire but he was elected on the promise of fixing trade with China Think about that All those states voted for this trade war20190929 22590900000'],0.0,0.942,0.058
74,['Everything has to be wrapped by Halloween Trade war isnt gonna get this Santa down20190929 22590000000'],0.206,0.794,0.0
75,['US Chinese negotiators face off in Washington to talk trade war   via nypost20190929 22582000000'],0.231,0.769,0.0
76,['China urges calm and rational resolution to USSino trade war  22572500000'],0.257,0.592,0.151
77,['Trumps trade war with China making it more expensive to raise kids   via nypost20190929 22570900000'],0.218,0.782,0.0
78,['Dear god youre stupid Rosemont made a deal read your own article As far as Hunter Biden doing business in China lets talk about Ivanka Trump securing multiple trademarks in China including after trump engaged in a stupid trade war with China Specious at minimum20190929 22530000000'],0.192,0.681,0.127
79,['China urges calm and rational resolution to USSino trade war   VIXC LatestComments20190929 22514400000'],0.227,0.64,0.134
80,['Trumps Global Trade War Comes to Alabama  Bloomberg Businessweek  20190929 22512900000'],0.281,0.719,0.0
81,['at least there is no reason for a trade war Chinese parade may include glimpse at nuclearcapable missile that could reach US in 30 minutes  20190929 22501000000'],0.202,0.762,0.036
82,['We could have had no president at all and still rode that wave from Obamas administration All Trump has done is ruin us with a trade war but the momentum was too much to notice Now that it is slowing you are saying Dems are to blame for hoping for a recession Morons20190929 22484200000'],0.193,0.747,0.06
83,['Trumps trade war with China making it more expensive to raise kids   via nypost20190929 22483400000'],0.218,0.782,0.0
84,['NewFocus Join our indepth discussion with Dr Robin Niblett RobinNiblett the Director of Chatham House on NorthKoreas ongoing provocations while the US China trade war is persisting20190929 22471000000'],0.121,0.81,0.069
85,['I would add the fact that the auto bailout money was all paid back We will only continue to have to give more money for farm bailouts because of Trumps good and easy to win trade war  20190929 22460900000'],0.108,0.695,0.196
86,['Forbes China No Longer A Developing Nation As One Look At US Exports During Trade War Clearly Shows   via GoogleNews20190929 22452500000'],0.236,0.659,0.105
87,['The markets that farmers are losing thanks to trumps trade war may never be gotten back20190929 22445500000'],0.278,0.598,0.124
88,['Trumps Global TradeWar Comes to Alabama  Bloomberg Businessweek 20190929 22444800000'],0.0,1.0,0.0
89,['AUDUSD holds on to recovery gains as traders await Chinas PMI to predict RBA moves  AUDUSD China PMI TradeWar RBA20190929 22433700001'],0.0,0.833,0.167
90,['thinkaboutit bitcoin trade war debtpictwittercommC4TKbDk2E20190929 22425400000'],0.438,0.562,0.0
91,['The financial environment is dire yet we are all used to it The next trigger event could be trade war HK Iran Brexit news or something else Could happen in October20190929 22421500000'],0.187,0.813,0.0
92,['Three Cheers for the Trade War  20190929 22403800000'],0.3,0.462,0.238
93,['They have us now Trump has to end his trade war being under the microscope he has to do everything positive wether he wants to or not20190929 22401000000'],0.116,0.776,0.107
94,['You know much about farming from your cycling trail in Vail Haha good one My boyfriend runs a large farm and ranch in Montana Trade war is not helping but the real threat to US agricultural commodities is a ton of new competition from RussiaUkraine Brazil Argentinaetc20190929 22384100000'],0.159,0.767,0.074
95,['Lol what Dems attack him constantly on his failed trade war Farmers are going bankrupt and China is now buying things like soy from Brazil and Russia that they used to buy from US Also costing billions in bailouts He lost Big time20190929 22382900000'],0.286,0.67,0.044
96,['Sometimes I like to think about all the Republicans  including Pence  Romney  who wanted to let Detroit go bankrupt whove gone silent as Trump is paying corporate agribusiness tens of billions for a trade war that has done nothing but kill small farmers  20190929 2238000000207'],0.094,0.771,0.135
97,['The economy has everything to do with the trade war and withdrawal from the global community20190929 22355900000'],0.195,0.75,0.055
98,['EM Review Riskier Assets Battered by Trade War Political Drama  20190929 22353200000'],0.371,0.529,0.1
99,['Trumps Global Trade War Comes to Alabama  Bloomberg Businessweek  20190929 22344900000'],0.281,0.719,0.0
100,['Trade War With China Threatens To Make Problems With Generic Medicine Worse  20190929 22340100000'],0.552,0.448,0.0
101,['China urges calm and rational resolution to USSino trade war  22322600000'],0.257,0.592,0.151
102,['Did you know trump is using government funds to pay farmers who are losing money due to his trade war with china donald trump is a socialist20190929 22310800000'],0.248,0.752,0.0
103,['Another tradewar driven session pushed WallSt lower on Friday NASDAQ took the biggest hit down 113 SPX fell 053  DJIA dropped 026 News of plans to limit US fund flows to China reignited concerns on the tradedeal saga Indices Losses may exceed depositspictwittercomC0WaCjw5oL20190929 22301100000'],0.104,0.896,0.0
104,['Real tax reform not for the upper one percent Infrastructure a real health plan The trade war not hearting our Farmers Anything else20190929 22245000000'],0.151,0.849,0.0
105,['Trumps global trade war is coming for Alabama  222418000016'],0.328,0.672,0.0
106,['NAFTA20 hasnt even been ratified by Canada or US yet NAFTA is still the agreement in use Trump already hurt US workers with stupid trade war Farmers  truck drivers hurt terribly Exporting soybeans pork corn Import of Avocados other veggies severely damaged pictwittercomiyyfLSfzQY20190929 22235200000'],0.396,0.553,0.051
107,['Trumps trade war with China putting a tax on babies NYP   via nypost20190929 22225800000'],0.245,0.755,0.0
108,['Trumps trade war with China making it more expensive to raise kids   via nypost20190929 22225500000'],0.218,0.782,0.0
109,['American Consumers and the USChina Trade War  20190929 22175300000'],0.328,0.672,0.0
110,['but too bad TrumpTwits TradeWar lost so much of the soy export market to Brazil  no friend of agriculture ResignNow 20190929 22164000001'],0.274,0.616,0.11
111,['This Week at the Zoo  9282019   ImpeachmentInquiry Markets earnings recession Micron gold dollar cryptocurrencies stocks trading China tradewar opioidcrisis bearmarket semiconductors realestate pharmaceuticalspictwittercomdwOenloc7w20190929 22161100000'],0.109,0.891,0.0
112,['Trumps trade war with China making it more expensive to raise kids   via nypost20190929 22153900000'],0.218,0.782,0.0
113,['Theres no trade war now Wowinteresting20190929 22150300000'],0.55,0.45,0.0
114,['China urges calm and rational resolution to trade war  20190929 22140700000'],0.257,0.592,0.151
115,['Billionaire Aloke Lohias oncewinning expansion in acquiring chemical plants has been dampened by President Trumps trade war  22133800000'],0.187,0.813,0.0
116,['Trumps trade war with China making it more expensive to raise kids   via nypost20190929 22124000000'],0.218,0.782,0.0
117,['Trumps trade war with China making it more expensive to raise kids   via nypost20190929 22121400000'],0.218,0.782,0.0
118,['As effective as the trade war was at creating jobs20190929 22110500000'],0.227,0.465,0.308
119,['This is great Job growth slowing Debt at record high Mexico not paying for the wall Easy trade war not won Healthcare campaign promises failed Selling out national security to advance campaign interests Employing family members Sharpie games etc Embarassing20190929 22110200000'],0.211,0.514,0.275
120,['Trumps trade war with China making it more expensive to raise kids  20190929 22110100000'],0.231,0.769,0.0
121,['He also promised you a free wall And not set a record 1 trillion deficit Did you know he was going to have to create a new welfare program for the farmers hes bankrupting with his failing trade war Seems disappointing Didnt think you were voting for more welfare did you20190929 22094300000'],0.211,0.661,0.127
122,['China urges calm and rational resolution to USSino trade war So if there is a deal the US will have less concern over security Wanna bet  22091100000'],0.124,0.734,0.142
123,['Billionaire Aloke Lohias oncewinning expansion in acquiring chemical plants has been dampened by President Trumps trade war  220818000010'],0.187,0.813,0.0
124,['Trumps trade war with China making it more expensive to raise kids   via nypost20190929 22073700000'],0.218,0.782,0.0
125,['Ricadute sui pi deboliNew Front in Trade War Means No Reprieve for Emerging Markets  20190929 22070900000'],0.303,0.697,0.0
126,['Innocent Bystanders Why the USChina Trade War Hurts African Economies  Center for Strategic and International Studies  20190929 22061700000'],0.304,0.696,0.0
127,['Australian medias coverage of China soars in last year led by Hong Kong and USChina trade war  World News  ABC News Australian Broadcasting Corporation  20190929 22060300000'],0.135,0.865,0.0
128,['Trumps Global Trade War Comes to Alabama  Bloomberg Businessweek  20190929 22054700000'],0.281,0.719,0.0
129,['Oregon agricultural exports are critical to our economy and to the families and towns those exports support Oregon Agricultural Exports Hit Hard by USChina Trade War  Oregon News  US News  20190929 22054600001'],0.198,0.731,0.07
130,['success But instead China is simply turning to other countries to provide their farm goods ending relationships that had been nurtured for decades Even if Trump and China ended the trade war now the damage to our farmers will last for years Regarding the USMCA its a20190929 22054200000'],0.165,0.769,0.066
131,['MAGA  realDonaldTrump GOP FoxFriends  seanhannity  MoskowMitch Global Trade War Comes to Alabama  Bloomberg Businessweek  20190929 22054000000'],0.206,0.794,0.0
132,['I hope the farmers wake up to notice that this Pres is a con artist using their support while sinking our farm industry with this disaster of a trade war20190929 22045200002'],0.134,0.713,0.154
133,['Ya locking up kids and destroying our economy by having a trade war with China 2 great successes Trying to take away the ACA and make millions lose health insurance they are so close to another victory with that one as well if only they can win the house back20190929 22044200000'],0.155,0.638,0.207
134,['China urges calm and rational resolution to USSino trade war  Reuters   news breaking20190929 22043200000'],0.214,0.659,0.126
