,0,1
0,['Socialism is great when you have to bailout farmers for Trumps failed trade war20190929 23502400000'],"{'neg': 0.226, 'neu': 0.577, 'pos': 0.197, 'compound': 0.1027}"
1,['Only I can fix it Big beautiful wall Repeal Obamacare Jared  Middle East Peace Drain the swamp DeNuke North Korea China Trade war easy to win ISIS have been defeated America respected again Lock her up 20190929 23482800000'],"{'neg': 0.129, 'neu': 0.554, 'pos': 0.317, 'compound': 0.8807}"
2,['Will China choose the easy path so that the US can continue to hold it over a barrel tradewar chip  AlibabaGrouppictwittercomj6rOicS1EO20190929 23400100000'],"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4404}"
3,['Not a tax scam for the rich Raise taxes on the rich raise the estate tax Stop the trade war20190929 23300300000'],"{'neg': 0.203, 'neu': 0.55, 'pos': 0.247, 'compound': 0.3182}"
4,['TradeWar US Small Chinese firms pursue these IPOs because they allow their founders and backers to cash out rewarding them with USD they cannot easily access because of Chinas capital controls 20190929 23274000000'],"{'neg': 0.055, 'neu': 0.804, 'pos': 0.142, 'compound': 0.5047}"
5,['Were borrowing billions from China to give farmers to cover their losses in a trade war with China that prevents them from selling their products   to China Perfectly logical to the giant brain of the stable economic genius20190929 23274000001'],"{'neg': 0.14, 'neu': 0.698, 'pos': 0.163, 'compound': 0.0258}"
6,['Ive been working on a todo list Get back in Paris Climate pact see if Iran will let us go back to Nuke Agreement end trade war with China TPP review APOLOGIZE TO OUR ALLIES especially Canada and see if we can get some refund for all the golf outings we paid for weekly20190929 23155500000'],"{'neg': 0.065, 'neu': 0.847, 'pos': 0.089, 'compound': 0.1111}"
7,['Interestingly Reuters say the NASDAQ has already belled the cat on China companies in the US Exclusive Nasdaq cracks down on IPOs of small Chinese companies stocks tradewar markets  20190929 23155400000'],"{'neg': 0.0, 'neu': 0.952, 'pos': 0.048, 'compound': 0.128}"
8,['Gutted USDAgood Deregulation Agmarket will recover when we win trade warEnvir regs also free landowners from jail sentences for building livestock water pondsgood deregulationThat 1 that got cut creating jobslow unemployment is proof2sides to every storybut run away20190929 23055700000'],"{'neg': 0.105, 'neu': 0.674, 'pos': 0.221, 'compound': 0.6705}"
9,['MarketOutlook It will be a quiet week domestically but three macro events dampen local confidence NBR spoke with Habour Asset Managements Shane Solly about the USChina trade war Iran and the POTUS potential impeachment Watch TheNewNBR video  pictwittercomgvm5sDKdZU20190929 23023900000'],"{'neg': 0.111, 'neu': 0.728, 'pos': 0.16, 'compound': 0.3291}"
