,0,neg,neu,pos,compound
0,['Tweets']------------------------------,0.0,1.0,0.0,0.0
1,['bNetflix to disappear on older Samsung smart TVs '],0.164,0.603,0.233,0.2023
2,['bRBS pulls Samsung Galaxy S10 app over security flaw '],0.0,0.789,0.211,0.34
3,['bAny fingerprint unlocks Galaxy S10 Samsung warns '],0.167,0.833,0.0,-0.1027
4,['bSamsung Galaxy Fold UK launch date revealed '],0.0,1.0,0.0,0.0
5,['bGalaxy Note 10 Samsung hopes to strike the right Note '],0.113,0.677,0.211,0.3182
6,['bRT  Samsung says the Galaxy Fold will go on sale in September after faulty screens delayed the launch '],0.198,0.802,0.0,-0.4939
7,['bSamsung sued over waterresistant phone claims '],0.0,1.0,0.0,0.0
8,['bSamsung TVs should be regularly viruschecked the company says '],0.0,1.0,0.0,0.0
9,['bSamsung unveils TV that can switch to vertical mode '],0.0,1.0,0.0,0.0
10,['bSamsung Galaxy Fold launch events delayed in China '],0.192,0.808,0.0,-0.2263
11,['bSamsungs folding phone breaks for reviewers '],0.0,1.0,0.0,0.0
12,['bRT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold '],0.0,1.0,0.0,0.0
13,['bRT  Our folding phone is bigger and better than Samsungxe2x80x99s says Huawei '],0.0,0.805,0.195,0.4404
14,['bSamsung on whether you can end calls on the GalaxyFold by snapping it shut like the old flip phones '],0.0,0.884,0.116,0.3612
15,['bRT  Important can I answer calls with the phone unfolded and then hang up by snapping it shut   Samsungxe2x80xa6'],0.0,0.904,0.096,0.2023
16,['bSamsung Galaxy Fold The internet reacts '],0.0,1.0,0.0,0.0
17,['bSamsung reveals Galaxy Fold and S10 5G '],0.0,1.0,0.0,0.0
18,['bCES 2019 Samsung adds rival Apples iTunes to smart TVs '],0.0,0.787,0.213,0.4019
19,['bRT  Samsung has revealed a 75in 190cm television made of modular panels you can rearrange xf0x9fx91x80 CES2019 '],0.0,1.0,0.0,0.0
20,['bHuawei Honor View20 and Samsung A8s have holepunch cameras '],0.0,0.738,0.262,0.4939
21,['bSamsung Nigeria tweets update using Apple iPhone '],0.0,1.0,0.0,0.0
22,['bSamsung apologises to sick factory workers '],0.327,0.495,0.178,-0.3612
23,['bRT  After 5 years of talking about folding devices Samsung unveiled theirs at SDC18 '],0.0,1.0,0.0,0.0
24,['bSamsung agrees to payouts after worker deaths '],0.0,0.795,0.205,0.2023
25,['bApple and Samsung fined by Italian authorities over slow phones '],0.0,1.0,0.0,0.0
26,['bSamsung Time for folding smartphones '],0.0,1.0,0.0,0.0
27,['bSamsung Galaxy Note 9 warns of wonky photos '],0.167,0.833,0.0,-0.1027
28,['bWhy is Samsungs Galaxy S9 flagship struggling '],0.275,0.588,0.137,-0.34
29,['bSamsung wont be forced to update old phones '],0.0,0.763,0.237,0.357
30,['bApple awarded 539m in US patent case against Samsung '],0.0,0.769,0.231,0.4019
31,['bAppleSamsung patent battle revived in California court '],0.271,0.729,0.0,-0.3818
32,['bSamsung Galaxy S9 gets super slowmo and AR emojis '],0.0,0.698,0.302,0.5994
33,['bSamsung Galaxy S9 focuses on the camera '],0.0,1.0,0.0,0.0
34,['bSamsung Galaxy S9 smartphone images leaked by MWC app '],0.204,0.796,0.0,-0.3182
35,['bRBS pulls Samsung Galaxy S10 app over security flaw '],0.0,0.789,0.211,0.34
36,['bAny fingerprint unlocks Galaxy S10 Samsung warns '],0.167,0.833,0.0,-0.1027
37,['bSamsung Galaxy Fold UK launch date revealed '],0.0,1.0,0.0,0.0
38,['bGalaxy Note 10 Samsung hopes to strike the right Note '],0.113,0.677,0.211,0.3182
39,['bRT  Samsung says the Galaxy Fold will go on sale in September after faulty screens delayed the launch '],0.198,0.802,0.0,-0.4939
40,['bSamsung Galaxy Fold launch events delayed in China '],0.192,0.808,0.0,-0.2263
41,['bRT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold '],0.0,1.0,0.0,0.0
