,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,['Samsungs GalaxyFold nightmare continues A user has reported that the company logo on the hinge of the folding '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['Priced at Rs 164999 Samsung GalaxyFold is now open for prebooking Here is all you need to know '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['samsunggalaxys10 series gets Night sight mode for selfies live focus video and more Report '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,[' Samsung GalaxyM10s comes in a single variant with 3 GB RAM and 32 GB storage which is priced at Rs '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,[' Samsung GalaxyM30s has been announced in two variants  6 GB RAM  128 GB storage priced at Rs 1699 '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,['Samsung confirms that GalaxyFold will be available for purchase in Korea starting tomorrow  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,['Samsung GalaxyM30s with whopper of a 6000 mAh battery to arrive on 18 September  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,['Samsung Galaxy S11 series leaks hint at another foldable phone and at least three 5G smartphones '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,['The  GalaxyA10S can be purchased across all retail stores eShop Samsung Opera House and all major leadi '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,['Samsung just announced a 108 MP image sensor for smartphones'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,['Samsungs new SPen is more magic wand than stylus  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,['Samsung just announced that the GalaxyNote10 series will be priced starting Rs 69999 in India Heres a specs com '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,['     That was all from the Samsung Unpacked 2019 event We will send '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
