<<<<<<< HEAD
,0,neg,neu,pos,net
0,['Samsung One UI 2 Gets an Official Reveal With Smarter Dark Mode More'],0,0.786,0.214,-0.214
1,['Samsung Unveils Another Smart Speaker That May Never Launch'],0,0.748,0.252,-0.252
2,['Samsung Showcases Foldable Phone Concept With Clamshell Design'],0,1,0,0
3,['Pixel 4 XL Teardown Reveals Samsung Display Almost Decent Repairability Score'],0,1,0,0
4,['Samsung Issues Statement on Fingerprint Vulnerability Software Update is Coming'],0.174,0.826,0,0.174
5,['Samsung Galaxy S10 owners any luck enrolling in the Android 10One UI 20 beta yet The Samsung Members app appears to be having issues'],0,0.885,0.115,-0.115
6,['Samsung One UI Beta for Android 10 Arrives Today in US on Galaxy S10 Line'],0,1,0,0
7,['DEAL Samsung Offers 500 Off Galaxy Note 10 With Select TradeIn Throwing in Free 200 Credit or Wearable Bundle '],0,0.753,0.247,-0.247
8,['Samsung confirms Unlocked ATampT and TMobile Galaxy S10 S10 and S10e models will have first dibs at the Android '],0,1,0,0
9,['Samsung Confirms One UI 20 Coming Soon to Galaxy S10 Lineup'],0,1,0,0
10,['Samsung Pay Gets International Money Transfers'],0.219,0.781,0,0.219
11,['Lets unbox Samsungs 1980 Galaxy Fold galaxyfold '],0,1,0,0
12,['Report Samsung Launching Android 10 Beta Next Month'],0,1,0,0
13,['Samsung Says Hundreds of Apps Now Optimized for Galaxy Fold galaxyfold '],0,0.786,0.214,-0.214
14,['  what are the samsung issues as for iphone vs p4 we wont have any good idea until next m '],0.112,0.888,0,0.112
15,['Samsung Finally Cancels Original Galaxy Fold PreOrders Offers 250 Credit galaxyfold '],0.12,0.57,0.31,-0.19
16,['Samsungs Galaxy Fold is Back Available for Purchase This Month galaxyfold '],0,1,0,0
17,['Discord Integration Arrives for Samsungs Game Launcher App'],0,1,0,0
18,['Samsung Galaxy Note 10 Review It Doesnt Get Much Better Than This'],0.179,0.821,0,0.179
19,['Samsung still offering 600 off Galaxy Note 10 purchases with eligible tradeins '],0,1,0,0
20,['Samsung Keeps Note 10s 600Off Trade Deal Alive Adds 4 Months Free YouTube Premium GalaxyNote10 '],0,0.688,0.312,-0.312
21,['Windows and Mac apps for Samsungs DeX arrive '],0,1,0,0
22,['If you own a Samsung Galaxy phone on Verizon youre likely getting the August patch right now'],0,1,0,0
23,['Windows and Mac Apps for Samsungs DeX are Live '],0,1,0,0
24,['Video Appears to Show Off Samsungs One UI 20 Running Atop Android 10'],0,1,0,0
25,['Samsung is so weird sometimes']-------,0.359,0.641,0,0.359
26,['Samsung Wins Today With Their Green Bubble GIFs'],0,0.654,0.346,-0.346
27,['Samsung Said to be Readying Graphene Batteries Capable of Insanely Fast Charge Times'],0,0.822,0.178,-0.178
28,['Samsung Still Cutting 600 Off Note 10 With Select TradeIns Ups Galaxy S9 Value to 350 galaxynote10 '],0.075,0.804,0.121,-0.046
29,['Samsungs Galaxy Home smart speaker is still in development a year after being announced '],0,0.828,0.172,-0.172
30,['Samsung Still Working to Refine and Enhance BixbyPowered Galaxy Home Speaker'],0,1,0,0
31,['Samsung Galaxy Note 10 and Note 10 Official PreOrders Start Tomorrow for 949'],0,1,0,0
32,['Samsung Galaxy Note 10 Galaxy Note 10 Specs Official galaxynote10 '],0,1,0,0
33,['Samsungs Galaxy Watch Active 2 is now official launches next month '],0,0.787,0.213,-0.213
34,['Samsung Galaxy Watch Active 2 Official Priced Starting at 279 With PreOrders in September'],0,0.816,0.184,-0.184
35,['Samsung is watering down the Note line with the Galaxy Note 10'],0,1,0,0
36,['Samsung is Watering Down the Note Line for No Good Reason'],0.156,0.638,0.206,-0.05
37,['Samsung has a new 650 tablet for those interested in Android tablets'],0,0.787,0.213,-0.213
38,['Samsungs Galaxy Tab S6 is a 649 Tablet in a World Without Many Android Tablets'],0,1,0,0
39,['Samsung to Announce Galaxy Tab S6 Watch Active 2 Prior to Note 10 Event'],0,0.816,0.184,-0.184
40,['Samsung offers upto 600 off Note 10 with specific trades '],0,1,0,0
