,0,neg,neu,pos
0,['Tweets']------------------------------,0.0,1.0,0.0
1,[' checks in on Day 2 at NetAppINSIGHT 2019 and shares his   on  announcements  their data '],0.0,0.872,0.128
2,[' takeaways from Day 1 at NetAppINSIGHT Keystone  a new consumption model  Enricos favorite  Al '],0.0,0.812,0.188
3,[' takeaways from Day 1 at NetAppINSIGHT  Keystone a new consumption model  Enricos favorite  Al '],0.0,0.812,0.188
4,['Why do digital transformations fail  divertsfrom   raises 100M amp '],0.28,0.72,0.0
5,['Have you ever lost  on a project because some didnt get delivered the schemas changed in the source data wareh '],0.108,0.892,0.0
6,[' next KeyCriteria report on objectstorage is in the works Watch this space for updates from Enric '],0.0,1.0,0.0
7,[' sharedinbox brief on   A fullfeatured standalone with great mobile apps solid automatio '],0.0,0.659,0.341
8,['RT  In this episode of the  AIMinute host  talks about how people fear artificial intelligence more than they'],0.143,0.717,0.139
9,['RT  Hear  speak with Joe Amato and Stan Stevens about the new VSP 5000 and Hitachi Ops Manager and '],0.0,1.0,0.0
10,['On the latest episode of VoicesinDevOps host  chats with  of  about how to modernize '],0.0,1.0,0.0
11,[' covers  foundations and waiting for the hidden 90 of the iceberg to come into view '],0.0,1.0,0.0
12,['Read  latest report Data Storage Architectures for MachineLearning and ArtificialIntelligence '],0.0,1.0,0.0
13,[' brief on   A shared inbox app that offers deep automation builtin customer satisfaction su '],0.0,0.71,0.29
14,['RT  ICYMI Two Different Approaches to Data Storage Analytics    TFDx VMworld '],0.0,1.0,0.0
15,[' This Week in Work Technology automation is front amp center for  and  while  '],0.0,1.0,0.0
16,[' brief on  an emailfirst customer interaction app with solid reporting serious integrations '],0.087,0.805,0.107
17,['Catch up on  latest article  vs  The War Wags On  Teams has a messy footprint '],0.33,0.67,0.0
18,['What is the future of Kubernetes A cloud computing grid   of  discusses this and mo '],0.0,1.0,0.0
19,[' covers  a promising entrant in the G suite shared inbox market niche '],0.0,0.662,0.338
20,[' latest paper on Performance Management for Complex MultiCloud Deployments '],0.0,1.0,0.0
21,['Try the GigaBrief for free and keep up with inmarket IT trends necessary to operate secure and monetize emergin '],0.0,0.759,0.241
22,['In  This Week in Work Technology he covers  CEO quitting   C Round Valuation of 200M '],0.0,1.0,0.0
23,[' on the real value proposition of  and the rapid convergence toward omnichannel customer in '],0.0,0.862,0.138
24,['80 of the global workforce doesnt sit behind a desk this frontline workforce is the focus of  '],0.0,1.0,0.0
25,[' checks in from HitachiNext ']--------,0.0,1.0,0.0
26,[' latest   on MultiCloud Hybrid Cloud Public Cloud The New Role of Cloud Services in the Mode '],0.0,1.0,0.0
27,[' latest blog post on how   and   are Diverging and Why '],0.0,1.0,0.0
28,[' covers  a meeting avoidance tool that lets you sidestep status meetings and makes teams stay '],0.153,0.847,0.0
29,['This week in work technology  covers  augmenting companies hiring efforts by applying '],0.0,1.0,0.0
30,[' is  where he notes that The Centerpiece is Box Shield and Box Relay  Not much in collaborati '],0.0,1.0,0.0
31,[' Heading to Las Vegas for HitachiNEXT   shares what hes interested in seeing and his expectations '],0.0,0.754,0.246
32,['What challenges will we soon face when edge locations produce 40 of the total data that will need to be stored '],0.0,0.942,0.058
33,['RT  My annual rollup of news out of the Strata Data conference held in NYC this past week'],0.0,1.0,0.0
34,['Analyst  latest post on  Spaces and Dropbox Paper Not Totally Integrated Yet  Things That Ar '],0.0,1.0,0.0
35,['ICYMI Analyst   presentation on DataCatalogs   last week  these 2 slides got the most  '],0.0,1.0,0.0
36,['Do you have a bunch of work files crosslinked in a tangle of tasks  mentioned in a confusion of chat rooms or em '],0.099,0.901,0.0
37,['On this episode of  guest  from  discusses explainability and bias '],0.123,0.877,0.0
38,['From our friends at    Checkout the Disrupt startup event October 24 in San Francisco  Heres a 15 o '],0.0,0.838,0.162
39,[' on the impact of AI  and  stratadata '],0.0,1.0,0.0
40,[' discusses some notable  exhibitors   amp  who are applying AI and '],0.0,1.0,0.0
41,['Check out  latest blog post on  launching Smart Workspaces as  repositions the co '],0.0,0.828,0.172
42,[' from  discusses the future of surgical robots  applying AI to endoscopic surgery video to figur '],0.0,1.0,0.0
43,['In his latest Shared Inbox Series post  considers when will the big email vendors offer shared inbox cap '],0.0,0.78,0.22
44,['A very small subset of the population is creating AI technology for the world how should AI be architected respon '],0.0,0.901,0.099
45,['  on the  acquisition of  ']----------,0.0,1.0,0.0
46,['Check out  blog on data storage analytics and the role they can have in your data center '],0.0,1.0,0.0
47,[' launches his open research project on work management automation  Were moving away from just coordina '],0.0,1.0,0.0
48,[' talks with  about  Pureasaservice model with a single license  What is '],0.0,1.0,0.0
49,[' and  chat about  targeting the cloud with its FlashArray in the cloud making '],0.0,1.0,0.0
50,[' and  discuss  Direct Memory Module used as a readcache the interesting pr '],0.0,0.816,0.184
51,[' and  discuss the new  FlashArrayC its performance metrics price metrics a '],0.0,1.0,0.0
52,[' is gearing up for the upcoming PureAccelerate conference in Austin Hes interested in seeing more o '],0.0,0.856,0.144
53,[' spoke with   about searching across silos and reusing your unstructured data f '],0.0,1.0,0.0
54,[' on what happened this week In work technology           RPA  '],0.0,1.0,0.0
55,[' on    Entering the IT Infrastructure Composability Game  Will Startups Be Able '],0.0,1.0,0.0
56,[' on shared email inboxes like  are the smartest way to go for customer and partner communicatio '],0.0,0.628,0.372
57,[' interview with fellow GigaOm analyst  on his latest report on RPA  the rise of the cit '],0.0,1.0,0.0
58,[' thoughts on  entering the cloudstorage market with its  acquisition  a nice '],0.0,0.797,0.203
59,['Analyst  on why the Infrastructure management approach and communication models of 2005 or 2010 arent '],0.0,1.0,0.0
60,[' A quick chat with   about rendering large high resolution Medical MRIs from remote '],0.0,1.0,0.0
61,[' opinion on  2 new integration strategies for bringing together kubernetes and traditional v '],0.0,1.0,0.0
62,[' talks with    about extended data storage capabilities of HCI one of the ke '],0.0,1.0,0.0
63,[' just got to vmworld  Click this link to get FREE access to his Key Criteria for Evaluating Enterpri '],0.0,0.825,0.175
64,[' new report discusses how the BI arms race is on in the whitehot areas of cloud analytics and '],0.0,1.0,0.0
