,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,[' next KeyCriteria report on objectstorage is in the works Watch this space for updates from Enric '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['RT  Hear  speak with Joe Amato and Stan Stevens about the new VSP 5000 and Hitachi Ops Manager and '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['On the latest episode of VoicesinDevOps host  chats with  of  about how to modernize '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,[' covers  foundations and waiting for the hidden 90 of the iceberg to come into view '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,['Read  latest report Data Storage Architectures for MachineLearning and ArtificialIntelligence '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,['RT  ICYMI Two Different Approaches to Data Storage Analytics    TFDx VMworld '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,[' This Week in Work Technology automation is front amp center for  and  while  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,['What is the future of Kubernetes A cloud computing grid   of  discusses this and mo '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,[' latest paper on Performance Management for Complex MultiCloud Deployments '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,['In  This Week in Work Technology he covers  CEO quitting   C Round Valuation of 200M '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,['80 of the global workforce doesnt sit behind a desk this frontline workforce is the focus of  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,[' checks in from HitachiNext ']--------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,[' latest   on MultiCloud Hybrid Cloud Public Cloud The New Role of Cloud Services in the Mode '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,[' latest blog post on how   and   are Diverging and Why '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,['This week in work technology  covers  augmenting companies hiring efforts by applying '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,[' is  where he notes that The Centerpiece is Box Shield and Box Relay  Not much in collaborati '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
17,['RT  My annual rollup of news out of the Strata Data conference held in NYC this past week'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,['Analyst  latest post on  Spaces and Dropbox Paper Not Totally Integrated Yet  Things That Ar '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
19,['ICYMI Analyst   presentation on DataCatalogs   last week  these 2 slides got the most  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
20,[' on the impact of AI  and  stratadata '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
21,[' discusses some notable  exhibitors   amp  who are applying AI and '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
22,[' from  discusses the future of surgical robots  applying AI to endoscopic surgery video to figur '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,['  on the  acquisition of  ']----------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
24,['Check out  blog on data storage analytics and the role they can have in your data center '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,[' launches his open research project on work management automation  Were moving away from just coordina '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
26,[' talks with  about  Pureasaservice model with a single license  What is '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
27,[' and  chat about  targeting the cloud with its FlashArray in the cloud making '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
28,[' and  discuss the new  FlashArrayC its performance metrics price metrics a '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
29,[' spoke with   about searching across silos and reusing your unstructured data f '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
30,[' on what happened this week In work technology           RPA  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
31,[' on    Entering the IT Infrastructure Composability Game  Will Startups Be Able '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
32,[' interview with fellow GigaOm analyst  on his latest report on RPA  the rise of the cit '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
33,['Analyst  on why the Infrastructure management approach and communication models of 2005 or 2010 arent '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
34,[' A quick chat with   about rendering large high resolution Medical MRIs from remote '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
35,[' opinion on  2 new integration strategies for bringing together kubernetes and traditional v '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
36,[' talks with    about extended data storage capabilities of HCI one of the ke '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
37,[' new report discusses how the BI arms race is on in the whitehot areas of cloud analytics and '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
38,['  on how  is building a data crunching portfolio for hpc bigdata ai with a lot of cpu power '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
