,0,neg,neu,pos
1,['Samsungs second foldable is a flip phone with a nextgen design '],0.0,1.0,0.0
2,['Samsung brings big bright QLED displays to laptops for the first time '],0.0,0.805,0.195
3,['Samsungs space selfie satellite plummets from sky onto Michigan horse farm '],0.0,1.0,0.0
4,['One month with the Samsung Galaxy Fold Folding is believing'],0.0,1.0,0.0
5,['A month with the improved Samsung Galaxy Fold and I actually still like it '],0.0,0.682,0.318
6,['A bug lets any fingerprint unlock the Galaxy S10 and Note 10 and Samsung blames phone covers '],0.137,0.863,0.0
7,['Samsung Galaxy Tab S6 review The last of a dying breed  '],0.0,1.0,0.0
8,['This Samsung Galaxy Fold stunt filled me with hope and joy  '],0.0,0.599,0.401
9,['Samsung had to fix one thing with the Galaxy Watch Active2 '],0.0,1.0,0.0
10,['The Samsung Galaxy Fold finally goes on sale this week again '],0.0,1.0,0.0
11,['All the phone companies not named Apple and Samsung that you should care about '],0.0,0.814,0.186
12,['Samsung just released a smaller version of its famouslyhuge phone the Galaxy Note 10 Here are the differences be '],0.0,1.0,0.0
13,['Can you spot the upgrades on the new Samsung Galaxy Fold  '],0.0,1.0,0.0
14,['Samsung Galaxy Fold to launch in Korea on Sept 6 no official US release date listed yet  '],0.121,0.879,0.0
15,['Samsung is supposedly working on a much cooler folding phone  '],0.0,1.0,0.0
16,['Samsungs first Bixby speaker still isnt out but now theres a mini version '],0.0,1.0,0.0
17,['Samsung probably got a lot of wedgies in high school '],0.0,1.0,0.0
18,['One month with the improved Galaxy Fold and I actually still like it  '],0.0,0.663,0.337
19,['Hubble sees our galaxy sucking up a mysterious amount of gas  '],0.0,1.0,0.0
20,['Galaxy Note 10 Review A smaller Note makes for better handling '],0.0,0.775,0.225
21,['Galaxy Note 10 alternate internets and Bernies climate plan best Gizmodo stories of the week '],0.0,0.781,0.219
22,['The Galaxy Note 10 is damn near perfect '],0.201,0.522,0.276
23,['Should you buy the Galaxy Note 10  ']-,0.0,1.0,0.0
24,['Googles budget Chromebook might walk the fine line between high design and great value  '],0.0,0.591,0.409
25,['Could the Pixelbook Go be the best Chromebook of the year  '],0.0,0.724,0.276
26,['The Pixelbook Go is a smaller cheaper Googlemade Chromebook  '],0.0,1.0,0.0
27,['New Pixel phones buds Chromebook Nest products and Stadia pics flashed up on screen No watch madebygoogle '],0.115,0.885,0.0
