,0,1
0,['Samsung brings big bright QLED displays to laptops for the first time '],"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}"
1,['A month with the improved Samsung Galaxy Fold and I actually still like it '],"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6808}"
2,['This Samsung Galaxy Fold stunt filled me with hope and joy  '],"{'neg': 0.0, 'neu': 0.599, 'pos': 0.401, 'compound': 0.7717}"
3,['All the phone companies not named Apple and Samsung that you should care about '],"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4939}"
4,['One month with the improved Galaxy Fold and I actually still like it  '],"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.6808}"
5,['Galaxy Note 10 Review A smaller Note makes for better handling '],"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}"
6,['Galaxy Note 10 alternate internets and Bernies climate plan best Gizmodo stories of the week '],"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.6369}"
7,['The Galaxy Note 10 is damn near perfect '],"{'neg': 0.201, 'neu': 0.522, 'pos': 0.276, 'compound': 0.25}"
8,['Googles budget Chromebook might walk the fine line between high design and great value  '],"{'neg': 0.0, 'neu': 0.591, 'pos': 0.409, 'compound': 0.8074}"
9,['Could the Pixelbook Go be the best Chromebook of the year  '],"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.6369}"
