,0,neg,neu,pos,compound
0,['Tweets']------------------------------,0.0,1.0,0.0,0.0
1,[' RedmiNote8Pro  uses a 64 MP Samsung ISOCELL Bright GW1 sensor Catch all the live updates '],0.0,0.838,0.162,0.4404
2,['Samsungs GalaxyFold nightmare continues A user has reported that the company logo on the hinge of the folding '],0.0,1.0,0.0,0.0
3,['If youre interested in purchasing the  Galaxy Fold you can buy it from the official Samsung online s '],0.0,0.863,0.137,0.4019
4,['Priced at Rs 164999 Samsung GalaxyFold is now open for prebooking Here is all you need to know '],0.0,1.0,0.0,0.0
5,['samsunggalaxys10 series gets Night sight mode for selfies live focus video and more Report '],0.0,1.0,0.0,0.0
6,[' Samsung GalaxyM10s comes in a single variant with 3 GB RAM and 32 GB storage which is priced at Rs '],0.0,1.0,0.0,0.0
7,[' Samsung GalaxyM30s has been announced in two variants  6 GB RAM  128 GB storage priced at Rs 1699 '],0.0,1.0,0.0,0.0
8,['With its 6000 mAh battery the Samsung GalaxyM30s might just be the phone to end all your battery life woes Ther '],0.121,0.879,0.0,-0.4404
9,['Samsung launches GalaxyA905G in Korea at a price of 899900 WON which roughly translates to Rs 53000 '],0.0,0.783,0.217,0.6633
10,['Samsung confirms that GalaxyFold will be available for purchase in Korea starting tomorrow  '],0.0,1.0,0.0,0.0
11,['Samsungs just launched GalaxyA90 brings 5G support and a topend Snapdragon 855 chipset along with a triple rear '],0.0,0.781,0.219,0.4939
12,['Samsung GalaxyM30s with whopper of a 6000 mAh battery to arrive on 18 September  '],0.0,1.0,0.0,0.0
13,['Samsung Galaxy S11 series leaks hint at another foldable phone and at least three 5G smartphones '],0.0,1.0,0.0,0.0
14,['The  GalaxyA10S can be purchased across all retail stores eShop Samsung Opera House and all major leadi '],0.0,1.0,0.0,0.0
15,[' is worried that Samsung will benefit from the USChina trade war Report '],0.303,0.547,0.149,-0.4767
16,[' s camera tests claim that Samsungs GalaxyNote10Plus shoots better photos than the HuaweiP30Pro'],0.0,0.805,0.195,0.4404
17,['Samsung just announced a 108 MP image sensor for smartphones'],0.0,1.0,0.0,0.0
18,['Samsungs new SPen is more magic wand than stylus  '],0.0,1.0,0.0,0.0
19,['Samsung just announced that the GalaxyNote10 series will be priced starting Rs 69999 in India Heres a specs com '],0.0,1.0,0.0,0.0
20,['     That was all from the Samsung Unpacked 2019 event We will send '],0.0,1.0,0.0,0.0
21,['     The Samsung Galaxy Note 10 starts at a price of 949 whereas the '],0.0,1.0,0.0,0.0
22,['     The Samsung Galaxy Book S priced at 999 and it will be availabl '],0.0,1.0,0.0,0.0
23,['     Samsung claims the Galaxy Book S has a battery life of 23 hours'],0.0,1.0,0.0,0.0
24,['    Samsung just announced a new laptop called the Galaxy Book S powered by th '],0.0,1.0,0.0,0.0
25,['    Samsung DeX can now work with Windows laptops and MacBooks with just a USBC cable'],0.0,1.0,0.0,0.0
26,['   With the tap of a button Samsung users will be able to mirror their screens on '],0.0,1.0,0.0,0.0
27,['  Samsung is partnering with  for integrated experiences between mobile and laptop dev '],0.0,1.0,0.0,0.0
28,[' Samsung partnered with  so that gamers can communicate with their friends while playing multipl '],0.0,0.741,0.259,0.5994
29,[' Samsung is opening the S Pen SDK for developers to implement more functionality Note 10 users will also b '],0.0,1.0,0.0,0.0
30,['Samsung GalaxyUnpacked event will be held on 8 August at 100 am IST here is how you can watch it live '],0.0,1.0,0.0,0.0
31,['The 5G variant of the upcoming Samsung GalaxyNote10Plus gets an unofficial release date '],0.0,1.0,0.0,0.0
32,['From Samsung GalaxyM40 to RedmiY3 here are all the smartphones will be available on discount during the upcoming '],0.0,1.0,0.0,0.0
33,['Samsung GalaxyA80 is now on sale It comes with a flip camera 3700 mAh battery more Before you make the purcha '],0.0,1.0,0.0,0.0
34,['Samsung Galaxy Tab S6 might feature an AMOLED display and latest Qualcomm Snapdragon 855 chipset Read more details '],0.0,1.0,0.0,0.0
35,['Samsung GalaxyA80 with a rotating camera is now open for prebooking on  and the company website '],0.0,1.0,0.0,0.0
36,['In what is possibly the most unnecessary leak of the year its been suggested that GalaxyS11 will be powered by t '],0.118,0.882,0.0,-0.3976
37,[' has updated software to fix problems with fingerprint recognition features on GalaxyS10 and '],0.162,0.838,0.0,-0.4019
38,[' has posted a statement suggesting Galaxy S10 and Note10 users remove the screen protectors and reregiste '],0.0,1.0,0.0,0.0
39,[' is working on a fix that allowed any fingerprint to unlock the Galaxy S10 It uses an indisplay ult '],0.0,1.0,0.0,0.0
40,[' has captured a stunning image of a spiral galaxy NGC 3717 that resides in the Hydra constellation '],0.0,0.86,0.14,0.3818
41,[' GalaxyS10 series has reportedly already started receiving OneUI2 in the US'],0.0,1.0,0.0,0.0
42,['iPhoneXR OnePlus7Pro GalaxyNote9 all selling at Rs 42999 at GreatIndianFestival on  '],0.0,1.0,0.0,0.0
43,['AmazonGreatIndianFestival 2019 is live now From iPhonexr to Galaxynote9  here are the best deals that you will '],0.0,0.802,0.198,0.6369
44,[' unveiled GalaxyWatchActive2  GalaxyWatch4G  GalaxyTabS6 in India To starting selling today on '],0.0,1.0,0.0,0.0
45,['From OnePlus7TPro iPhone11Pro  galaxynote10Plus and huaweip30pro  lets see which one is the Flagship King'],0.0,0.903,0.097,0.1027
46,['The IMEI manipulation security vulnerability affects the  Galaxy S8 S9 S10 S10e S10 Plus S10 5G '],0.2,0.683,0.117,-0.1779
47,['The  GalaxyA20s has been announced in India for a starting price of Rs 11999'],0.0,1.0,0.0,0.0
48,['GalaxyFold is finally arriving in India today Here is all you need to know  '],0.0,1.0,0.0,0.0
49,['You can buy GalaxyFold starting tomorrow Here is all you need to know  '],0.0,1.0,0.0,0.0
50,['From VivoV15Pro to GalaxyA50s here are the best smartphones under 25k to buy in October'],0.0,0.769,0.231,0.6369
