,User,Tweets,Date
0,OfficiallyOllie,RT @danvy__: Chinese people be panicking about the virus.    Meanwhile the malays: https://t.co/SsgtcbXOfy,2020-02-10 15:49:14
1,OfficiallyOllie,RT @zane: kissing the homies https://t.co/AKJqGjlsT5,2020-02-10 15:46:15
2,OfficiallyOllie,RT @HaleighHoffman: 15/10 for this absolute superstar https://t.co/Vn8FlwdqQa,2020-02-09 14:46:14
3,OfficiallyOllie,RT @Rocioceja_: This really is how it goes when you have brothers lmaooooo https://t.co/dYvMIsAqrt,2020-02-09 07:02:11
4,OfficiallyOllie,"RT @batenjeen: Unpaid internships should be illegal
Unpaid internships should be illegal
Unpaid internships should be illegal
Unpaid intern…",2020-02-09 06:57:43
5,OfficiallyOllie,RT @bretmanrock: Baddies recognize baddies !! Omg tell her I love her please !! ❤️✨ https://t.co/cDVaO9JSgM,2020-02-09 05:36:35
6,OfficiallyOllie,RT @rahm3sh: It was at that moment she knew she messed up 🤣🤣💀 https://t.co/4FYt8QYoZz,2020-02-08 14:34:44
7,OfficiallyOllie,RT @marcrebillet: LET ME IN I’M TRYNA FUCK https://t.co/hd4aPwTlpE,2020-02-08 09:14:33
8,OfficiallyOllie,RT @lordeispoc: THIS VIDEO- https://t.co/2iYcdFIBnc,2020-02-07 14:18:53
9,OfficiallyOllie,RT @fahaadk_: bet his artificial intelligent ass didn’t see that coming https://t.co/8bgjhpaYto,2020-02-07 14:15:58
10,OfficiallyOllie,RT @robhimsis: Nobody ever understands when I say “you’re welcome” like this. Here is the gem that started it all. https://t.co/7ZTEsdIwfZ,2020-02-07 14:12:21
11,OfficiallyOllie,"RT @smithmarion: Sad news:  Li Wenliang, the Wuhan doctor who first sounded alarm about #coronavirus, has died. 

Instead of listening to h…",2020-02-07 12:03:22
12,OfficiallyOllie,RT @IvanChakhov: What's this?🤗🍓 https://t.co/i85io7qEcR,2020-02-07 03:12:02
13,OfficiallyOllie,"RT @ColdZero29: Damn kid!! Give me those runs man!!
Ang galing 👏 👏 👏 https://t.co/kObJGc4Cvx",2020-02-06 23:23:44
14,OfficiallyOllie,RT @7Korod: https://t.co/zo78Xc7zZR,2020-02-06 13:56:56
15,OfficiallyOllie,RT @nisha_naidoo_: Remember when you stayed up till 3AM talking to someone? Where are they now? You should have just slept. https://t.co/Vi…,2020-02-06 00:15:00
16,OfficiallyOllie,RT @theydeadinside: Fake passed out to see how my cat would react &lt;3 https://t.co/cbvLpxqeau,2020-02-06 00:11:33
17,OfficiallyOllie,RT @sextyourdaddy: NSFs walking out of their camp shouting ORD LO with no plans for their future https://t.co/fTi3yZN7rL,2020-02-04 08:28:31
18,OfficiallyOllie,RT @CaucasianJames: i’m just happy that she’s happy https://t.co/pgqRmSpvT5,2020-02-04 08:28:17
19,OfficiallyOllie,"RT @MvsonMae: I wanted to get some nice happy photos of my girl on the swing, but she was hangry

Now I just got cute photos of her mad asf…",2020-02-02 17:09:02
20,OfficiallyOllie,RT @goutohelI: 😭😭😭😭😭😭 https://t.co/T1oeAL6L9f,2020-02-02 17:08:44
