,User,Tweets,Date
0,gadgetsnow,"Lyft lays off 90 employees on journey to profitability

https://t.co/qoe5v2vN9P",2020-01-31 04:30:00
1,gadgetsnow,"Poco to Realme: You have lost your ‘X factor’, boss

https://t.co/UWTvxZk08h",2020-01-31 03:30:00
2,gadgetsnow,"Google launches TikTok rival, Tangi: 9 things to know before you download

https://t.co/mMLQgJZczm",2020-01-31 02:30:00
3,gadgetsnow,"This is why Xiaomi thinks smartphone users need to wait more for under display camera technology

https://t.co/C0h2pjyZsj",2020-01-31 01:30:00
4,gadgetsnow,"Here's how coronavirus may hurt mobile and TV companies in India

https://t.co/c29nBo8Cvj",2020-01-31 00:30:00
5,gadgetsnow,"Doing these 10 things on WhatsApp may land you in jail

https://t.co/s8RfAvlmts",2020-01-30 20:30:00
6,gadgetsnow,"This is how Oppo's Apple Watch rival will look like

https://t.co/pdDIXJIPhf",2020-01-30 18:30:00
7,gadgetsnow,"COAI urges government to offer telcos 10-15 yrs for dues settlement

https://t.co/cVNMr4yYig",2020-01-30 17:30:00
8,gadgetsnow,"Huawei seeks app developers help in its to fight against 'Google ban'

https://t.co/4L0oseCvWk",2020-01-30 16:30:00
9,gadgetsnow,"Government to manage IMEI-related processes, removes private body

https://t.co/K3tzBHnHYb",2020-01-30 15:30:00
10,gadgetsnow,"These Realme phones will get the 'biggest Android update of 2020'

https://t.co/uewkVX7vpj",2020-01-30 14:30:00
11,gadgetsnow,"These 117 new emojis may come to your smartphones

https://t.co/4eRWY8Vi3Q",2020-01-30 12:30:00
12,gadgetsnow,"Samsung launches world’s first 5G-enabled Android tablet

https://t.co/TTo6UJLS3O",2020-01-30 11:30:00
13,gadgetsnow,"This is the first Apple product to launch in India at a cheaper price than the US

https://t.co/cSmWC6FYDP",2020-01-30 10:30:00
14,gadgetsnow,"Coronavirus: This is what Apple, Facebook and other tech companies are doing

https://t.co/EqI12OOeC6",2020-01-30 09:30:00
