,User,Tweets,Date
0,itschingwen,Somehow u have a problem with everyone but not urself,2020-02-07 00:50:03
1,itschingwen,RT @recravings: who checked up on you today? exactly,2020-02-03 04:12:33
2,itschingwen,@leaf_Jiajie U leave ur mark in the seas ok NDU waiting for u 😉,2020-01-24 00:05:40
3,itschingwen,LOL the fking reason why i got trust issues,2020-01-22 15:53:37
4,itschingwen,@_eugxnx_ 🙄🙄 ah fk u,2020-01-20 01:24:17
5,itschingwen,At this point i am kinda scared of what the future has for me 🤔,2020-01-18 13:54:50
6,itschingwen,@_eugxnx_ You 😉,2020-01-16 23:53:02
7,itschingwen,I am excited HEHEXD 🤪,2020-01-16 13:13:21
8,itschingwen,"RT @BookCameo: Like many of you, we felt the need to do something to help Australia.

For every RT this gets we’ll donate $0.50 to @WIRES_N…",2020-01-13 07:03:02
9,itschingwen,"RT @XRYOUTHNYC: give jakarta the same energy y’all gave australia.

66 people have died. the city is underwater. this is an EMERGENCY.

peo…",2020-01-12 13:01:12
10,itschingwen,I aint even attached and i am facing this kind of problems too LMAO the more I wanna stay single,2020-01-08 14:49:18
11,itschingwen,RT @kiankunta: me supporting my friends even tho I have no idea what they're going through,2020-01-08 00:49:34
12,itschingwen,My life is a mistake lol,2020-01-06 13:13:18
13,itschingwen,RT @TheCutePlug: Just a family reuniting at an airport https://t.co/32S7Hqjjaj,2020-01-05 00:49:55
14,itschingwen,"RT @goingslighlymad: -australia has been burning for over a month now
-the fires are significantly worse then the ones that were in the ama…",2020-01-04 12:44:04
15,itschingwen,What a bad idea to drink 🙂,2019-12-29 15:30:23
16,itschingwen,Got the feels to go drinking,2019-12-25 16:36:44
17,itschingwen,I want to travel 🙁,2019-12-22 15:48:12
18,itschingwen,RT @apiecebyguy: This dude is tryna jumpstart his computer... https://t.co/kNo9y7rZSZ,2019-12-19 08:26:40
19,itschingwen,Can you get out of my head 🙂,2019-12-18 19:27:34
20,itschingwen,RT @aethosnia: Pay attention to who’s happy for you when you’re happy,2019-12-16 10:55:38
21,itschingwen,Zzz damn sian sia work 5 days in a row haiz :(,2019-12-15 13:07:51
22,itschingwen,"RT @cheerylex: i know it might seem absolutely impossible now but you will find your place in the world, you will see beauty in things you…",2019-12-15 02:13:51
23,itschingwen,"RT @michxelqjl: there are 2 types of tired. one is the dire need of sleep &amp; one is the dire need of peace. 
i guess i’m both.",2019-12-15 00:26:48
24,itschingwen,RT @cheerylex: it’s not your job to be likable. it’s your job to be yourself. the right people will gravitate.,2019-12-14 17:29:50
25,itschingwen,"RT @heavenbrat: ur friends should influence healthy habits for u, they should be part of the growth and remind u to do better - if they are…",2019-12-14 17:28:20
26,itschingwen,RT @SuppYADIhere: Me currently in singapore weather. https://t.co/EwtZKO0nDU,2019-12-14 11:11:29
27,itschingwen,RT @samperez_xoxo: I appreciate low maintance friendships where you can live your life and do ur thing &amp; still be just as close,2019-12-14 06:57:58
28,itschingwen,RT @kaylanicolejo: I Ain’t lose no friends🤞🏾I lost bitches who ain’t like me in the first place 🗣🤣,2019-12-14 02:13:54
29,itschingwen,RT @AcoIades: love getting left on read 🥰,2019-12-13 11:51:23
30,itschingwen,RT @potatopatatas1: https://t.co/Vv6wY9Uosf,2019-12-13 06:36:43
31,itschingwen,RT @dior2k: i want to remove myself from everyones memory,2019-12-12 14:37:20
32,itschingwen,RT @softsadsatan: existing is so dumb let me die,2019-12-12 05:23:31
33,itschingwen,"RT @hardbodyna: I’m not your backup plan luv, but good luck with whatever you got going on tho.",2019-12-12 05:22:45
34,itschingwen,"RT @MuhamadSyfiq: I'll distance myself when I'm mad. And sometime I'll keep it silent. Even if it hurts. Trust me, you should control your…",2019-12-12 05:22:07
35,itschingwen,RT @burvvv: Even the logos are saying ‘NO’ https://t.co/eUTDMqq6oX,2019-12-11 15:13:04
36,itschingwen,RT @hcllenhaal: his wittle hands aren’t long enough for his wittle coat i’m gonna fucking cry my eyes out 🥺 https://t.co/KLWdNbJTR7,2019-12-11 00:55:26
37,itschingwen,I kinda wish people understood me better but at the same time i don understand myself HAHA lmao ok good nights,2019-12-10 16:45:32
38,itschingwen,"RT @gwypzn: i'm actually a different person when i'm REALLY mad. once i open my mouth, it's over. https://t.co/fC51uKjcuu",2019-12-10 16:11:21
39,itschingwen,I just want to sleep 🙂,2019-12-10 14:54:04
40,itschingwen,"Once you tilt the fk out of me, u aint considered my friend anymore 🙂",2019-11-27 12:53:58
41,itschingwen,"RT @danialzz__: why are you still hurting?

1. you’re attached to people who have been distant with you.

2. you put effort on people who d…",2019-11-26 01:03:57
42,itschingwen,"RT @currtnayy: FYI, “FRIENDS” that COMPETE with you, EMBARRASS you publicly, BELITTLE your thoughts/opinions, discuss YOUR business with ot…",2019-11-22 10:41:36
43,itschingwen,RT @UnusualVideos: https://t.co/5WFjKpkFLt,2019-11-12 00:59:50
44,itschingwen,RT @MISSARAP: 😭😭😭😭😭😭😭😭😭😭😭😭 https://t.co/OXn3YJlS1q,2019-11-11 04:04:21
45,itschingwen,RT @cheerylex: funny how people think ur life is easy just because u don't talk about the things u go through,2019-11-07 00:36:06
46,itschingwen,"RT @janicaeleria_: ""You will be shocked when you discover how easy it is in life to part ways with people forever. That's why when you find…",2019-11-07 00:35:03
47,itschingwen,"RT @MKBHD: Alright, it's true. I have an extra pair of these AirPods Pro to give away. Just RT and you're in. Will pick a winner in 24 hour…",2019-11-07 00:34:04
48,itschingwen,RT @amrh_firos: We are all bad in someone’s story,2019-11-06 14:11:43
49,itschingwen,RT @kaylawaalkens_: i wake up on time but i stay in bed until i’m late https://t.co/QHA4Zrpj6C,2019-11-06 02:52:25
50,itschingwen,RT @inhibition: having someone you can tell every detail of your day to without feeling like you are being clingy or boring is such a great…,2019-11-06 00:37:05
51,itschingwen,RT @KathleenLights1: Be careful who you trust. Salt and sugar look the same.,2019-11-06 00:32:04
52,itschingwen,"RT @cheerylex: when u notice ur mental health declining, do one small thing that brings you peace. take a shower, text a loved one, step ou…",2019-11-05 15:12:02
53,itschingwen,RT @animqlvids: wait for it... https://t.co/7hz8ekSetl,2019-11-05 14:18:45
54,itschingwen,"RT @Iowkeymood: “are you sure you won’t fall asleep??”

me: yeah i’ll be fine 

also me 4 minutes into the movie:  https://t.co/vAuU0NfwwH",2019-11-05 14:18:34
55,itschingwen,RT @Insideandria: When I say “I want a baby” this is what I mean https://t.co/YYxAs5DaKC,2019-10-31 09:51:58
56,itschingwen,RT @AndreaRussett: life became so much less stressful when i decided to just let people misunderstand me.,2019-10-31 00:15:48
57,itschingwen,RT @onlineryn: guys are all talk and no venmo and i’m sick of it,2019-10-30 14:59:03
58,itschingwen,This is very funny i know you lying but at the same time idw to expose you coz watching you lie while i know you lying actually very entertaining sia lit bro entertain me somemore eh,2019-10-30 13:43:19
59,itschingwen,RT @MommyParrie: Goofy 💀💀 spot on 😂 https://t.co/iq5mikwTms,2019-10-30 11:47:38
60,itschingwen,RT @annegeLic____: Me. Tbh. https://t.co/mIU0T8Gk5b,2019-10-29 15:41:49
61,itschingwen,RT @sadspeIl: lately there have just been too many days like in a row,2019-10-28 16:05:29
62,itschingwen,RT @SaeedDiCaprio: This is the funniest thing I’ve seen 💀 https://t.co/LetCIWHJB9,2019-10-28 05:41:42
63,itschingwen,RT @SaintXae: u ever be so stressed and u look in the mirror and ur like wow ok great im fucking ugly too,2019-10-27 15:52:33
64,itschingwen,Dk how to feel abt you but kk noted thanks fk off from my life now 🙂,2019-10-26 15:58:55
65,itschingwen,RT @queenmxha: Me omw to annoy my mom when I’m bored https://t.co/4Ra8kxtDWy,2019-10-24 11:19:25
66,itschingwen,RT @DeppaBreesh: Who else be doing this dumb shit? https://t.co/YNkNWftu6y,2019-10-21 00:12:54
67,itschingwen,RT @cheerylex: my cousin went on 3 dates with a dude and then ended it. two weeks later he requested $200 for all the money he spent on tho…,2019-10-20 04:57:57
68,itschingwen,"RT @danialzz__: girls, every man can tell you:

“you’re the only girl i talk to.”
“you’re the prettiest girl i’ve ever known.”
“i will stay…",2019-10-20 04:55:57
69,itschingwen,"RT @emileighsrose: why are huskies like this, they’re literally the weirdest breed of dogs, like most huskies are fucking weird but i still…",2019-10-19 10:24:22
70,itschingwen,RT @bretmanrock: Drinking a lot of water is cute and all... but peeing every 20 minutes... is not the fucking vibe,2019-10-16 11:57:13
71,itschingwen,My bro’s gf keeps taking my clothes without asking 🙂 i am so fking annoyed no wonder i keep feeling like my clothes are missing 🙄🙄,2019-10-14 09:15:56
72,itschingwen,"RT @iiamshu: Bitches be jealous of their own friends, I pray all my bitches succeed",2019-10-13 00:20:35
73,itschingwen,RT @basedlizard: some girls really need to realize why they’re mad at other girls ...... here i’ll help u it’s bc ur insecure learn how to…,2019-10-13 00:16:51
74,itschingwen,"RT @careforyaa: does anyone else find it crazy that you can be so fucking depressed and no one around you even notices? not your parents, n…",2019-10-12 09:52:32
75,itschingwen,RT @speishi: Surround yourself with positive people. It makes a whole lot of difference.,2019-10-11 16:24:10
76,itschingwen,Knn I swear u cancel on me on more time I gonna cancel ur fking ass ccb TILT,2019-10-11 15:40:56
77,itschingwen,RT @miazaben: My ex is probably out there telling his new girl about how ‘badly’ I treated him and she’s thinking about how lucky she is. T…,2019-10-11 15:04:13
