,User,Tweets,Date
0,leaf_Jiajie,RT @theydeadinside: https://t.co/4h8LICv6JR,2020-02-10 08:59:50
1,leaf_Jiajie,Just want to say hi,2020-02-09 17:28:57
2,leaf_Jiajie,RT @TheDeeKosh: 👏🏽👏🏽👏🏽 https://t.co/E9j2sa1XG8,2020-02-09 16:24:39
3,leaf_Jiajie,RT @Luxury_WorId: Audi technology 🧐 https://t.co/PtpTHQr3pl,2020-02-09 15:00:44
4,leaf_Jiajie,RT @realmemeskids: 😂 https://t.co/Tz2Nnp1J5D,2020-02-09 14:21:39
5,leaf_Jiajie,The feeling of wanting to see you but knowing you won’t want to. So ironic how i didn’t want to when you did and now I want to and you don’t,2020-02-08 17:59:38
6,leaf_Jiajie,In need for soju,2020-02-08 11:54:11
7,leaf_Jiajie,RT @thatafakasigirl: You fakas never tell me was supposed to be uncooked rice,2020-02-07 03:17:20
8,leaf_Jiajie,"RT @iGumdrop: to my communityy

Read: https://t.co/kAIW4fipRZ",2020-02-06 09:59:21
9,leaf_Jiajie,It’s not about being firm and “by the book”. It’s about the mutual understanding and encouragement.,2020-02-05 13:05:06
10,leaf_Jiajie,I.d.w.t.l.a.m,2020-02-05 08:30:27
11,leaf_Jiajie,"RT @rinnezxt: imagine spending the rest of your life with someone that loves you no matter what you become, motivates you to try your best…",2020-02-04 09:55:08
12,leaf_Jiajie,Dancing with your ghost,2020-02-03 12:50:46
13,leaf_Jiajie,It’s been so Long yet I can’t get over you.,2020-02-02 18:12:23
14,leaf_Jiajie,Can we meet again?,2020-02-01 07:45:42
15,leaf_Jiajie,RT @ChannelNewsAsia: The death toll from the #WuhanCoronavirus is now 80 https://t.co/7lTQESX0e0 https://t.co/micQfkdOWx,2020-01-27 04:31:15
16,leaf_Jiajie,"RT @MothershipSG: 4th person infected with Wuhan virus in S’pore took public transport, but risk of infection ‘low’: MOH
https://t.co/5cB5l…",2020-01-26 15:39:46
17,leaf_Jiajie,I still want to look at you like how I did every 730am and 230pm,2020-01-26 15:33:30
18,leaf_Jiajie,RT @cIutchs: me on valentine’s day when all the couples are posting cute vids  https://t.co/iSVSM2sDO1,2020-01-26 14:11:03
19,leaf_Jiajie,RT @bestfriendze: New High Score!😂😂 https://t.co/w3E7zmDhhq,2020-01-26 14:05:18
20,leaf_Jiajie,RT @iGumdrop: 新年快乐happy new year!! ❤️ https://t.co/X8mxLdi7fU,2020-01-26 12:09:10
21,leaf_Jiajie,RT @STcom: Singapore confirms 4th case of Wuhan virus; patient from Wuhan stayed at Sentosa hotel https://t.co/D7AIveMx2B https://t.co/KxV3…,2020-01-25 17:31:05
22,leaf_Jiajie,"At the end of the day, we are going to be reduced to ashes. Instead of doing what is WANTED. Why not do what is NEEDED. Need to leave a mark in the world somewhere",2020-01-23 14:11:55
23,leaf_Jiajie,RT @Pro_Memeing: Classic https://t.co/z9Rec7bRkt,2020-01-21 11:44:33
24,leaf_Jiajie,RT @j_a_c_q_u_e_z_: @eltomsin 😑 thanks for making me look dumb https://t.co/RiT1zBa3Wv,2020-01-20 16:01:09
25,leaf_Jiajie,i.w.t.k.m.s.b,2020-01-20 08:55:29
26,leaf_Jiajie,Too jaded for anything,2020-01-19 00:22:11
27,leaf_Jiajie,All I ever wanted was just to be happy.,2020-01-18 08:31:58
28,leaf_Jiajie,RT @fatimUGH__: This is just too cute not to share https://t.co/AX6cPpFOFQ,2020-01-17 03:10:45
29,leaf_Jiajie,RT @DisguisedToast: Special delivery featuring @LilyPichu https://t.co/g7sPaY1uHL,2020-01-17 01:04:34
30,leaf_Jiajie,"If I can’t avoid it, I shall just prepare for it.",2020-01-16 14:56:29
31,leaf_Jiajie,"RT @STcom: More students choosing poly route over JC
https://t.co/xJTyRVcPck",2020-01-16 09:34:28
32,leaf_Jiajie,Can’t wait for placements,2020-01-16 02:15:15
33,leaf_Jiajie,Hush hush,2020-01-16 02:12:27
34,leaf_Jiajie,"RT @9GAG: So smooooooool

📹 deborkader | IG https://t.co/NkbMXD0plZ",2020-01-15 14:45:36
35,leaf_Jiajie,RT @theydeadinside: https://t.co/6k6Blf8bn1,2020-01-15 07:20:41
36,leaf_Jiajie,半情歌,2020-01-14 02:52:50
37,leaf_Jiajie,Shhhhh.,2020-01-13 06:17:21
38,leaf_Jiajie,"RT @starsmitten_: Do you ever just wake up feeling anxious?

And then you try a bunch of things to make it go away but you still feel unset…",2020-01-13 04:11:30
39,leaf_Jiajie,"If you are reading this tweet, I hope you retweet this because I miss you",2020-01-13 03:58:27
40,leaf_Jiajie,"Looking years back, we would be waiting for results today.",2020-01-13 00:39:34
41,leaf_Jiajie,"RT @AbgShazrul11: That's why bbdc teach you how to check blindspot kk sorryy

Ps not my video https://t.co/R3HG5Dcn5p",2020-01-12 06:50:58
42,leaf_Jiajie,Can’t even rest. Tilt.,2020-01-10 09:29:55
43,leaf_Jiajie,Waiting for a Long Long time,2020-01-10 04:40:13
44,leaf_Jiajie,"RT @TheDeeKosh: In 2020 Im all about equality. You treat me like a #1, I'll treat you like my #1. You treat me like a #34 ill treat you lik…",2020-01-09 14:11:21
45,leaf_Jiajie,RT @9GAG: MUST. NOT. SLEEP https://t.co/lzCsoPmb87,2020-01-09 01:04:12
46,leaf_Jiajie,Reading your letters that were meant to be opened in the future.,2020-01-08 14:39:16
47,leaf_Jiajie,It has been more than a year. Yet I still can’t seem to give it up.,2020-01-08 05:36:14
48,leaf_Jiajie,I just want to stay away from you. You don’t want to change but expect me to change everything for you. Ironic but expected.,2020-01-07 13:31:09
49,leaf_Jiajie,Highly uncomfortable.,2020-01-07 09:18:15
50,leaf_Jiajie,Seven morning eight morning,2020-01-07 01:11:43
51,leaf_Jiajie,Sometimes you have stand in the storm alone to be able to walk with others in the sun,2020-01-06 15:44:13
52,leaf_Jiajie,RT @fuckxaee: tired of these mfs https://t.co/31raPySyuh,2020-01-06 15:43:21
53,leaf_Jiajie,RT @Fujyno: Say no more mf https://t.co/laCP5qSj98,2020-01-06 11:51:26
54,leaf_Jiajie,If these sheets were the states and you were miles away. I will burn it all away and hope u are far away from me.,2020-01-05 16:53:53
55,leaf_Jiajie,Actually malding.,2020-01-05 08:21:45
56,leaf_Jiajie,RT @TypicalMsian: Me when World War 3 happens  https://t.co/fwRL6O6ZRW,2020-01-04 10:33:08
57,leaf_Jiajie,I drink. I drank. I’m drunk.,2020-01-04 10:03:58
58,leaf_Jiajie,@jcaesarea 🧐🧐🧐,2020-01-04 07:17:11
59,leaf_Jiajie,RT @Fact: People who are more intelligent tend to go to bed later and get up later.,2020-01-03 13:59:39
60,leaf_Jiajie,@jcaesarea LOL I told you so,2020-01-03 06:47:04
61,leaf_Jiajie,"RT @jcaesarea: When I was/am younger/young...

My dad: DONT DATE NOW LA STUDY FINISH GO WORK AND EXPLORE THE WORLD DONT GET URSELF TIED DOW…",2020-01-03 06:46:38
62,leaf_Jiajie,2 decades. Accomplishment? Relatively none.,2020-01-02 13:26:05
63,leaf_Jiajie,Does my limitations bother you?,2020-01-01 14:53:09
64,leaf_Jiajie,Speechless.,2020-01-01 11:21:07
65,leaf_Jiajie,"RT @Fact: In 2013, a man bought a house next to his ex-wife just to install a giant middle finger statue for her to see every day.",2019-12-31 17:00:28
66,leaf_Jiajie,"RT @thxxrxdora__: I can hear this picture . 

The opening bgm was more than enough to end me . https://t.co/WsmyDRGDL2",2019-12-31 17:00:08
67,leaf_Jiajie,New year resolutions? None.,2019-12-31 16:44:56
68,leaf_Jiajie,Potato.,2019-12-30 00:13:39
69,leaf_Jiajie,Hate me. Because I love it when you do.,2019-12-29 22:27:55
70,leaf_Jiajie,Someone take the steering wheel.,2019-12-27 17:44:54
71,leaf_Jiajie,Cry you a river,2019-12-27 04:08:25
72,leaf_Jiajie,4.23am can’t sleep even if hell froze over,2019-12-26 20:24:06
73,leaf_Jiajie,Need a drink. Need a break. Don’t need a life,2019-12-26 18:44:32
74,leaf_Jiajie,Need $$$,2019-12-26 09:52:12
75,leaf_Jiajie,Terminal Stupidity me,2019-12-25 11:50:05
76,leaf_Jiajie,And I wonder what difference do I make.,2019-12-23 18:11:20
77,leaf_Jiajie,"RT @HoldThisBeer: Hold my beer and watch me son. 

https://t.co/E4c41jCmsU",2019-12-23 18:09:17
78,leaf_Jiajie,Ranks. What are they? Who made them? Why is it created? Does it matter?,2019-12-21 19:24:08
79,leaf_Jiajie,Trashy mood.,2019-12-20 15:16:31
80,leaf_Jiajie,RT @UncleMohamz: He really played her and she believed everything 😂😂😂 https://t.co/qWJ34Tbbgr,2019-12-15 15:08:52
81,leaf_Jiajie,Sometimes I wonder is control the only way to cherish somebody,2019-12-15 15:07:54
82,leaf_Jiajie,@itschingwen 🤔,2019-12-13 14:56:14
83,leaf_Jiajie,RT @Voyboy: Me standing next to the wall while my jungler is doing Blue buff hoping he gives me it https://t.co/iQIrxVEBaT,2019-11-20 03:21:27
84,leaf_Jiajie,RT @MothershipSG: How to drink less milk tea for a healthier you https://t.co/5qRnIcDBcF,2019-11-20 03:21:06
85,leaf_Jiajie,RT @rfqxox: I’m gonna tell my kids that this was aladdin https://t.co/WJ6tqjcWAi,2019-11-20 03:18:53
86,leaf_Jiajie,RT @cakefacecutie: IM SCREAMIDG https://t.co/ez5JrxdAAC,2019-11-15 03:40:58
87,leaf_Jiajie,RT @TheComedyHumor: The ending killed me https://t.co/opJBkj184P,2019-11-07 11:07:41
88,leaf_Jiajie,"RT @_vicsimpson_: no one:

me at 3am in the living room: https://t.co/cWlnKqRW05",2019-09-03 09:34:50
89,leaf_Jiajie,RT @TheDankMemesFam: 😂🤣https://t.co/x9ZHVVQtzl,2019-08-31 10:26:32
90,leaf_Jiajie,RT @memetiddies: https://t.co/J6a1eySfn1,2019-07-28 12:13:02
91,leaf_Jiajie,RT @Ariel29163191: @FreeMemesKids 😂😂 https://t.co/7sh0ueIBnU,2019-07-09 08:14:15
92,leaf_Jiajie,Why do I bother integrating myself to feelings and emotions,2019-07-08 02:03:10
93,leaf_Jiajie,"RT @RILPERSONA: Donnie Yen wins. Flawless Victory. 

https://t.co/3GuSrvUGkS",2019-07-05 01:32:54
