created_at,text,retweet_count,favorite_count,lang
Fri Nov 08 06:12:51 +0000 2019,"['Samsung', 'Galaxy', 'Fold', 'Evaluation', '28', 'Days', 'Later']",0,0,en
Fri Nov 08 06:12:50 +0000 2019,"['RT', 'expressoshow', 'You', 'could', 'win', '1', 'of', '10', 'SamsungMobileSA', 'Galaxy', 'A30s', 'special', 'editions', 'What', 'are', 'your', '2', 'favourite', 'A30s', 'features', 'amp', 'why', 'Be', 'su']",86,0,en
Fri Nov 08 06:12:50 +0000 2019,"['RT', 'expressoshow', 'You', 'could', 'win', '1', 'of', '10', 'SamsungMobileSA', 'Galaxy', 'A30s', 'special', 'editions', 'What', 'are', 'your', '2', 'favourite', 'A30s', 'features', 'amp', 'why', 'Be', 'su']",86,0,en
Fri Nov 08 06:12:49 +0000 2019,"['SAMSUNG', 'FUNDA', 'COVER', 'DE', 'SILICONA', 'PARA', 'SAMSUNG', 'GALAXY', 'S10', 'PLUS', 'AZUL', '599', '00']",0,0,in
Fri Nov 08 06:12:47 +0000 2019,"['RT', 'SamsungIndia', 'Bhavinchampane1', 'You', 've', 'just', 'unlocked', 'the', 'power', 'of', 'creativity', 'Now', 'shoot', 'epic', 'pictures', 'and', 'videos', 'and', 'edit', 'on', 'the', 'go', 'with']",1,0,en
Fri Nov 08 06:12:47 +0000 2019,"['RT', 'nesanechka', 'Доход', 'организаций', 'в', 'процентах', 'южнокорейского', 'ВВП', '1', 'Samsung', '13', '1', '211', '94', 'млрд', '2', 'Hyundai', '5', '3', '85', '25', 'млрд', '3', 'L']",187,0,ru
Fri Nov 08 06:12:46 +0000 2019,"['AUKEY', 'Bateria', 'Externa', '20000mAh', 'Power', 'Bank', 'con', '2', 'Entrada', '2', 'Salidas', 'USB', '3', '4A', 'para', 'iPhone', 'X', '8', '7', '6s', 'Samsung', 'S8', 'S8']",2,0,es
Fri Nov 08 06:12:46 +0000 2019,"['RT', 'LBSLENDER', 'SamsungMobileSA', 'expressoshow', 'casspernyovest', 'Well', 'there', 's', 'so', 'much', 'to', 'love', 'about', 'Samsung', 'but', 'for', 'me', 'especially', 'I', 'love', '1']",1,0,en
Fri Nov 08 06:12:45 +0000 2019,"['expressoshow', 'SamsungMobileSA', 'KatlegoMaboe', 'What', 'I', 'love', 'about', 'my', 'Samsung', 'A30', 'the', 'Triple', 'Lens', 'Camera', 'and', 'Long', 'Lasti']",0,0,en
Fri Nov 08 06:12:45 +0000 2019,"['RT', 'Shewithbutsoft', 'ซ', 'มซ', 'ง', 'ขอบค', 'ณคนไทย', 'ร', 'วมสร', 'างปรากฏการณ', 'Space', 'Selfie', 'เซลฟ', 'หล', 'ดขอบโลก', 'ชาวเน', 'ตไทยร', 'วมส', 'งร', 'ปเซลฟ', 'มากเป', 'นอ', 'นด', 'บท', '7', 'ของ']",189,0,th
Fri Nov 08 06:12:38 +0000 2019,"['expressoshow', 'SamsungMobileSA', 'KatlegoMaboe', 'I', 'love', 'the', '3', 'cameras', 'the', 'bigger', 'screen', 'as', 'well', 'as', 'Samsung', 'pay', 'as', 'it', 'm']",0,0,en
Fri Nov 08 06:12:38 +0000 2019,"['SamsungMobileSA', 'expressoshow', 'casspernyovest', 'Massive', 'battery', 'to', 'keep', 'the', 'phone', 'for', 'those', 'long', 'days', 'and', 'obviously']",0,0,en
Fri Nov 08 06:12:37 +0000 2019,"['expressoshow', 'SamsungMobileSA', 'KatlegoMaboe', 'My', 'favourite', 'two', 'features', 'in', 'Samsung', 'A30s', 'are', 'Ultra', 'Wide', 'Video', 'Mode']",0,0,en
Fri Nov 08 06:12:36 +0000 2019,"['SamsungMobileSA', 'expressoshow', 'casspernyovest', 'Well', 'there', 's', 'so', 'much', 'to', 'love', 'about', 'Samsung', 'but', 'for', 'me', 'especially', 'I']",1,1,en
Fri Nov 08 06:12:36 +0000 2019,"['RT', 'SamsungIndia', 'YatendarNagar', 'You', 've', 'just', 'unlocked', 'the', 'power', 'of', 'creativity', 'Now', 'shoot', 'epic', 'pictures', 'and', 'videos', 'and', 'edit', 'on', 'the', 'go', 'with', 't']",1,0,en
Fri Nov 08 06:12:36 +0000 2019,"['RT', 'FallonTonight', 'The', 'Tonight', 'Show', 'partners', 'with', 'SamsungMobileUS', 'to', 'help', 'surprise', '3', 'UT', 'Austin', 'students', 'with', 'Samsung', 'swag', 'and', 'pay', 'the', 'r']",297,0,en
Fri Nov 08 06:12:31 +0000 2019,"['RT', 'FallonTonight', 'The', 'Tonight', 'Show', 'partners', 'with', 'SamsungMobileUS', 'to', 'help', 'surprise', '3', 'UT', 'Austin', 'students', 'with', 'Samsung', 'swag', 'and', 'pay', 'the', 'r']",297,0,en
Fri Nov 08 06:12:31 +0000 2019,"['Samsung', 'GalaxyFold', 'Pre', 'booking', 're', 'opens', 'today', 'at', '12', '00', 'PM', 'Do', 'you', 'like', 'it', 'Samsung', 'Leave', 'your', 'c']",0,0,en
Fri Nov 08 06:12:28 +0000 2019,"['RT', 'expressoshow', 'You', 'could', 'win', '1', 'of', '10', 'SamsungMobileSA', 'Galaxy', 'A30s', 'special', 'editions', 'What', 'are', 'your', '2', 'favourite', 'A30s', 'features', 'amp', 'why', 'Be', 'su']",86,0,en
Fri Nov 08 06:12:27 +0000 2019,"['Do', 'Not', 'MISS', 'gt', 'gt', 'gt', 'Samsung', 'Galaxy', 'Note10', 'SM', 'N970U', '256GB', 'Aura', 'Black', 'Verizon', 'Single', 'SIM', 'has', 'been', 'published']",0,0,en
Fri Nov 08 06:12:20 +0000 2019,"['RT', 'Lucyfan007', 'iPhone', '11', 'Xiaomi', 'Redmi', 'Note', '8', 'y', 'más', 'smartphones', 'de', 'oferta', 'en', 'México', 'antes', 'del', 'Singles', 'Day']",2,0,es
Fri Nov 08 06:12:20 +0000 2019,"['RT', 'i_theindian', 'Partial', 'list', 'of', 'layoffs', 'in', '2019', 'Infosys', '12', '250', 'Cognizant', '12', '000', 'Capgemini', '500', 'HSBC', '200', 'Deutsche', 'Bank', '1', '000', 'Maruti', 'S']",93,0,ro
Fri Nov 08 06:12:19 +0000 2019,"['HSDPA', '850', '900', '1900', '2100', 'LTE', 'band', '1', '2100', '2', '1900', '3', '1800', '5', '850', '7', '2600', '8', '900']",0,0,und
Fri Nov 08 06:12:17 +0000 2019,"['RT', 'DaniDiniz12', 'galera', 'acabei', 'de', 'ser', 'assaltada', 'na', 'guarani', 'jacaripe', 'Serra', 'ES', 'se', 'alguém', 'tiver', 'em', 'mãos', 'e', 'puder', 'devolver', 'eu', 'agradeço', 'sam']",58,0,pt
Fri Nov 08 06:12:13 +0000 2019,"['RT', 'expressoshow', 'You', 'could', 'win', '1', 'of', '10', 'SamsungMobileSA', 'Galaxy', 'A30s', 'special', 'editions', 'What', 'are', 'your', '2', 'favourite', 'A30s', 'features', 'amp', 'why', 'Be', 'su']",86,0,en
Fri Nov 08 06:12:10 +0000 2019,"['RT', 'bIondiewasabi', 'when', 'she', 'tells', 'you', 'I', 'don', 't', 'usually', 'do', 'this', 'but', 'then', 'she', 'unhinges', 'her', 'jaw', 'like', 'a', 'Python', 'and', 'slurps', 'the', 'soul', 'out', 'your', 'me']",108,0,en
Fri Nov 08 06:12:10 +0000 2019,"['expressoshow', 'SamsungMobileSA', 'KatlegoMaboe', 'GalaxyALife', 'Where', 'to', 'begin', 'firstly', 'With', 'a', '4', '000mAh', 'battery', 'that', 'las']",0,0,en
Fri Nov 08 06:12:04 +0000 2019,"['RT', 'allconnect', 'Looking', 'for', 'a', 'budget', 'friendly', 'children', 's', 'tablet', 'Check', 'out', 'the', 'top', 'children', 's', 'tablets', 'for', '2019', 'Follow', 'us', 'on', 'Twitter', 'Allc']",129,0,en
Fri Nov 08 06:12:03 +0000 2019,"['RT', 'djkylebelize', 'DidYouKnow', 'that', 'Samsung', 'Exec', 'Swalé', 'Nunez', 'is', 'Belizean', 'Specifically', 'he', 's', 'from', 'Griga', 'Let', 's', 'start', 'a', 'thread', 'highlighting']",26,0,en
Fri Nov 08 06:12:02 +0000 2019,"['SrujanaLv', 'How', 'do', 'you', 'watch', 'these', 'things', 'please', 'All', 'these', 'links', 'lead', 'to', 'some', 'advertising', 'for', 'Samsung', 'Galaxy']",0,0,en
Fri Nov 08 06:11:53 +0000 2019,"['RT', 'expressoshow', 'You', 'could', 'win', '1', 'of', '10', 'SamsungMobileSA', 'Galaxy', 'A30s', 'special', 'editions', 'What', 'are', 'your', '2', 'favourite', 'A30s', 'features', 'amp', 'why', 'Be', 'su']",86,0,en
Fri Nov 08 06:11:53 +0000 2019,"['RT', 'expressoshow', 'You', 'could', 'win', '1', 'of', '10', 'SamsungMobileSA', 'Galaxy', 'A30s', 'special', 'editions', 'What', 'are', 'your', '2', 'favourite', 'A30s', 'features', 'amp', 'why', 'Be', 'su']",86,0,en
Fri Nov 08 06:11:49 +0000 2019,"['RT', 'iswag_ng', 'As', 'Taxify', 'guys', 'are', 'steady', 'getting', 'nacks', 'as', 'payment', 'option', 'Please', 'RETWEET', 'won', 't', 'take', 'a', 'second', 'iPhone', '6', '40k', '6s', '50k', 'iPhone']",341,0,en
Fri Nov 08 06:11:49 +0000 2019,"['Samsung', 'Menjadi', 'Handphone', 'yang', 'Diminati', 'Pelanggan', 'di', 'Erafone', 'Kota', 'Padang', 'via', 'tribunpadangcom']",0,0,in
Fri Nov 08 06:11:48 +0000 2019,"['RT', 'expressoshow', 'You', 'could', 'win', '1', 'of', '10', 'SamsungMobileSA', 'Galaxy', 'A30s', 'special', 'editions', 'What', 'are', 'your', '2', 'favourite', 'A30s', 'features', 'amp', 'why', 'Be', 'su']",86,0,en
Fri Nov 08 06:11:48 +0000 2019,"['expressoshow', 'SamsungMobileSA', 'KatlegoMaboe', 'Well', 'there', 's', 'so', 'much', 'to', 'love', 'about', 'Samsung', 'but', 'for', 'me', 'especially', 'I', 'l']",0,0,en
Fri Nov 08 06:11:45 +0000 2019,"['RT', 'ForBtsTaehyung2', 'TaehyungNews', 'BTSV', 'aged', '24', 'bought', 'a', 'luxury', 'villa', 'called', 'apelbaum', 'complex', 'in', 'Samsung', 'dong', 'Gangnam', 'gu', 'Seoul', 'for']",972,0,en
Fri Nov 08 06:11:43 +0000 2019,"['RT', 'FallonTonight', 'The', 'Tonight', 'Show', 'partners', 'with', 'SamsungMobileUS', 'to', 'help', 'surprise', '3', 'UT', 'Austin', 'students', 'with', 'Samsung', 'swag', 'and', 'pay', 'the', 'r']",297,0,en
Fri Nov 08 06:11:42 +0000 2019,"['expressoshow', 'SamsungMobileSA', 'KatlegoMaboe', 'My', 'absolute', 'favourite', 'facts', 'about', 'the', 'Samsung', 'Galaxy', 'A30s', 'is', 'its', 'great']",0,0,en
Fri Nov 08 06:11:33 +0000 2019,"['Samsung', 'Galaxy', 'Fold', 'भ', 'रत', 'म', 'प', 'र', 'ऑर', 'डर', 'क', 'ल', 'ए', 'ह', 'रह', 'उपलब', 'ध', 'ज', 'न', 'क', 'य', 'ह', 'क', 'मत']",0,0,hi
Fri Nov 08 06:11:31 +0000 2019,"['RT', 'bIondiewasabi', 'when', 'she', 'tells', 'you', 'I', 'don', 't', 'usually', 'do', 'this', 'but', 'then', 'she', 'unhinges', 'her', 'jaw', 'like', 'a', 'Python', 'and', 'slurps', 'the', 'soul', 'out', 'your', 'me']",108,0,en
Fri Nov 08 06:11:21 +0000 2019,"['RT', 'expressoshow', 'You', 'could', 'win', '1', 'of', '10', 'SamsungMobileSA', 'Galaxy', 'A30s', 'special', 'editions', 'What', 'are', 'your', '2', 'favourite', 'A30s', 'features', 'amp', 'why', 'Be', 'su']",86,0,en
Fri Nov 08 06:11:19 +0000 2019,"['Oh', 'My', 'God', 'Samsung', 'Disalip', 'Xiaomi', 'di', 'Pasar', 'Ponsel', 'Indonesia']",0,0,in
Fri Nov 08 06:11:18 +0000 2019,"['RT', 'FallonTonight', 'The', 'Tonight', 'Show', 'partners', 'with', 'SamsungMobileUS', 'to', 'help', 'surprise', '3', 'UT', 'Austin', 'students', 'with', 'Samsung', 'swag', 'and', 'pay', 'the', 'r']",297,0,en
Fri Nov 08 06:11:16 +0000 2019,"['RaiderNation', 'CNCO', 'LOLA', 'TheLittleMermaidLive', 'iphone', 'apple', 'samsung']",0,0,de
Fri Nov 08 06:11:13 +0000 2019,"['RT', 'kratonjogja', 'Sahabat', 'selama', 'berada', 'di', 'area', 'PameranSekaten2019', 'jangan', 'lupa', 'Upload', 'foto', 'terbaik', 'di', 'Instagram', 'berlatar', 'spot', 'favoritmu', 'Ber']",2,0,in
Fri Nov 08 06:11:12 +0000 2019,"['RT', 'Buzz_Access', 'BUZZ', 'BITES', 'BTS_twt', 'is', 'teaming', 'with', 'Casetify', 'to', 'globally', 'launch', 'a', 'new', 'tech', 'accessory', 'collection', 'which', 'contains', 'accessor']",1030,0,en
Fri Nov 08 06:11:00 +0000 2019,"['RT', 'DEADLINE', 'Disney', 'CEO', 'Bob', 'Iger', 'began', 'the', 'company', 's', 'quarterly', 'earnings', 'call', 'with', '10', 'minutes', 'of', 'remarks', 'about', 'what', 'he', 'has', 'described', 'as', 'the']",16,0,en
Fri Nov 08 06:10:58 +0000 2019,"['badsweiser04', 'Di', 'ko', 'sure', 'kay', 'naa', 'siya', 'samsung', 'settings', 'daan']",0,0,tl
