,User,Date,Tweets
479,TechCrunch,2019-10-30 23:49:09,Deadspin writers quit after being ordered to stick to sports  by  
480,TechCrunch,2019-10-30 22:41:17,Turning Google traffic into leads and whats new in SEO  by  
481,TechCrunch,2019-10-30 21:34:21,Zuckerberg defends political ads that will be 05 of 2020 revenue  by  
482,TechCrunch,2019-10-30 21:13:34,Apple beats on Q4 earnings after strong quarter for wearables services  by  
483,TechCrunch,2019-10-30 20:31:38,Latin America Roundup Uber acquires Cornershop Softbank invests in Buser Olist  
484,TechCrunch,2019-10-30 20:24:20,Facebook shares rise on strong Q3 users up 2 to 245B  by 
485,TechCrunch,2019-10-30 20:22:04,Government is a technology so fix it like one 
486,TechCrunch,2019-10-30 20:15:21,Jack Dorsey says Twitter will ban all political ads  by  
487,TechCrunch,2019-10-30 19:51:37,Forerunner Ventures newest bet is Curated a marketplace that matches pros with people buying highticket items 
488,TechCrunch,2019-10-30 19:35:05,Work permit delays disrupt foreign workers career plans  
489,TechCrunch,2019-10-30 19:23:48,Walmart Grocery now offers curbside alcohol pickup at 2000 US stores  by 
490,TechCrunch,2019-10-30 18:45:06,This robot relies on human reflexes to keep its balance  
491,TechCrunch,2019-10-30 18:44:15,Daily Crunch HBO Max will launch in May  by  
492,TechCrunch,2019-10-30 18:23:45,Government is a technology so fix it like one  
493,TechCrunch,2019-10-30 17:55:35,RT  The market share winners among delivery apps like Rappi UberEATS etc have yet to emerge but local LatAm investors are ban
494,TechCrunch,2019-10-30 17:51:05,A weeklong iOS App Store bug wiped out over 20M ratings  by  
495,TechCrunch,2019-10-30 17:03:46,Samsung ramps up its B2B partner and developer efforts  by  
496,TechCrunch,2019-10-30 17:01:42,Google launches TensorFlow Enterprise with longterm support and managed services  by 
497,TechCrunch,2019-10-30 16:32:54,Muy raises 15M to grow its new cloud kitchen concept  by  
498,TechCrunch,2019-10-30 15:30:00,Coming in at just 249 grams the Mavic Mini is the smallest Mavic drone yet Read more  
499,TechCrunch,2019-10-30 15:10:30,Facebook agrees to pay UK data watchdogs Cambridge Analytica fine but settles without admitting liability 
500,TechCrunch,2019-10-30 15:02:00,IoT security startup Particle has raised 40 million in its Series C round 
501,TechCrunch,2019-10-30 14:27:39,Apple TV will be free with an Apple Music student subscription  by  
502,TechCrunch,2019-10-30 14:11:13,Wearable spending forecasted to increase 27 in 2020  by  
503,TechCrunch,2019-10-30 14:02:28,Stampli raises 25 million in Series B to bring AI to invoice management  by  
504,TechCrunch,2019-10-30 13:11:35,Duality a security startup cofounded by the creator of homomorphic encryption raises 16M  by 
505,TechCrunch,2019-10-30 13:07:54,Exclusive Unencrypted pagers used across the UKs NHS are exposing sensitive medical data 
506,TechCrunch,2019-10-30 13:07:39,SiriusXM picks up voice control support on GoogleNest devices  by  
507,TechCrunch,2019-10-30 13:03:38,New startup Capital wants to reintroduce founders to venture debt  by  
508,TechCrunch,2019-10-30 13:03:24,Video news startup Brut raises 40M officially launches in the US  by  
509,TechCrunch,2019-10-30 13:03:07,DJI announces the smallest Mavic drone yet  by  
510,TechCrunch,2019-10-30 12:50:36,US search market needs a choice screen remedy now says DuckDuckGo  by  
511,TechCrunch,2019-10-30 12:04:40,Spotify launches a dedicated Kids app for Premium Family subscribers  by  
512,TechCrunch,2019-10-30 11:59:10,Volocopter unveils a new eVTOL drone for heavy lift cargo flights  by  
513,TechCrunch,2019-10-30 11:57:05,Klarna CEO Sebastian Siemiatkowski to speak at Disrupt Berlin shortly after raising 460 million 
514,TechCrunch,2019-10-30 11:38:44,Uber Freight expands app to Canada  by  
515,TechCrunch,2019-10-30 11:02:25,Field management software startup Workiz raises 5 million Series A  by  
516,TechCrunch,2019-10-30 10:31:54,Github removes Tsunami Democrtics APK after a takedown order from Spain  by  
517,TechCrunch,2019-10-30 09:38:28,Prosus Ventures leads 40M investment in Indian logistics startup ElasticRun  by  
518,TechCrunch,2019-10-30 08:52:28,Want a free Innovator pass to Disrupt Berlin 2019 Apply to volunteer  
519,TechCrunch,2019-10-30 08:33:04,RT  Exclusive Unencrypted pagers used across the UKs NHS are exposing health information and medical dataWe found one c
520,TechCrunch,2019-10-30 08:02:25,Lets have a word about what3words with Clare Jones at Disrupt Berlin  by  
521,TechCrunch,2019-10-30 07:01:52,ShareGrid acquires UK peertopeer film and camera rental community BorrowFox  by  
522,TechCrunch,2019-10-30 05:54:12,As Juul announces mass layoffs a new lawsuit alleges it shipped a million contaminated pods 
523,TechCrunch,2019-10-30 00:30:18,RT  Former Slack board observer Sarah Cannon of  has led the round for  a startup that plans to b
524,TechCrunch,2019-10-30 00:27:36,Founded by a former Uber exec Oliver Space wants to design and furnish apartments for busy professionals  by 
525,TechCrunch,2019-10-30 00:20:01,Slack investor Index Ventures backs Slack competitor Quill  by  
526,TechCrunch,2019-10-30 00:04:40,HBO Max will cost 1499 per month and will launch in May 2020  by  and 
527,TechCrunch,2019-10-29 23:53:39,Tencent leads 111M investment in Indias video streaming service MX Player  by  
528,TechCrunch,2019-10-29 23:03:09,Apples AirPods Pro set a pricey new standard for earbuds  by  
529,TechCrunch,2019-10-29 22:50:26,The slow death of Flash continues as Google begins to remove it from search  
530,TechCrunch,2019-10-29 22:08:55,With Sean Rad signed on as cofounder Good Today launches new tool for companywide donations 
531,TechCrunch,2019-10-29 21:32:34,Where top VCs are investing in cybersecurity 
532,TechCrunch,2019-10-29 21:22:35,Inspace manufacturing could prompt more startups to reach for the stars  by  
533,TechCrunch,2019-10-29 21:15:25,Big 3 cloud infrastructure earnings reach almost 22B this quarter  by  
534,TechCrunch,2019-10-29 21:14:09,Samsung teases a clamshell foldable form factor  by  
535,TechCrunch,2019-10-29 20:32:36,Walmart and Green Dot to jointly establish a new fintech accelerator Tailfin Labs  by 
536,TechCrunch,2019-10-29 20:05:39,Registration is open for TC Sessions Robotics  AI 2020  
537,TechCrunch,2019-10-29 19:45:51,The world has changed The growth stories dont sell anymore Marcelo Claure Chairman WeWorkOn last weeks 
538,TechCrunch,2019-10-29 19:31:00,Halos is developing an AI platform for single family homeowners called Dobby TCDisrupt 
539,TechCrunch,2019-10-29 19:24:40,RT  New WhatsApp has blamed  and sued  NSO Group for creating a zeroday calling exploit that targeted the mobile messagi
540,TechCrunch,2019-10-29 19:08:04,Extra Crunch expands into Poland the Netherlands Belgium Italy and Austria 
541,TechCrunch,2019-10-29 18:49:43,Tech giants still not doing enough to fight fakes says European Commission  by  
542,TechCrunch,2019-10-29 18:45:03,Waymo expands selfdriving services to include B2B car parts delivery trial  by  
543,TechCrunch,2019-10-29 18:38:25,Sony to shut down PlayStation Vue on January 30 2020  by 
544,TechCrunch,2019-10-29 18:36:32,The future of cybersecurity VC investing with Lightspeeds Arif Janmohamed  by  
