Tweets,Date
0,0
realDonaldTrump again is Projecting his own mismanagement of our country onto Business owners the has negatively impacted with his Trade War20190830 23595900000,2019-08-30
The Trade War Is Suddenly Getting Worse   via PIIE20190830 23591500000,2019-08-30
Now I get why Apple CEO Tim Cook went to the White House the rediculousness will be in Trumps reaction to the hit Apple is rich enough to take it Bloomberg Trump Trade War With China Will Hit Apple for Real This Weekend   via GoogleNews20190830 23584100000,2019-08-30
Trump Trade War With China Will Hit Apple for Real This Weekend  pictwittercomI6fd7hI0yy20190830 23571800000,2019-08-30
OnTrumpsToDoList Make racist comments from WAR account Increase deficit Attack FED Tweet out top secret pictures Make secret deal w Taliban Tell Americans China is paying for trade war Tell Americans wall is being built Buy more denture grip Sue Randy Rainbow for new video pictwittercomCqDijFWBPe20190830 23570700001,2019-08-30
Trade war US set to hit China with new wave of tariffs   news breaking video20190830 23570200000,2019-08-30
Thats almost the amount people pay because of the TrumpTax on American consumers with his tariffs that are causing an unwinnable trade war Thanks for bringing this to our attention  20190830 23564700000,2019-08-30
Trump touts his consumer tax that hes given to farmers hurt by his trade war Ive given 17 Billion from tariffs to our farmers The other name for this is redistribution of wealth also known as Socialism  20190830 23563600002,2019-08-30
Did we need a trade war or could deals have been made Unintended consequences are proof of a lack of any actual plan20190830 23555800000,2019-08-30
Delaney on hardball When China stopped buying our soybeans Brazilian farmers started fires to clear land to grow soybeans TradeWar20190830 23555600000,2019-08-30
if anyone wants a dumb little sketch that explains a little bit about why this trade war is stupid check out the video i made  23552600000,2019-08-30
Well I was right nearly on 2950 but that was a messy day Beyond trade war wins I am not seeing the upside catalyst20190830 23550500000,2019-08-30
Bloomberg Politics Baucus Says China and US Arent Any Closer to Deal Trade War Will Last Months Bloomberg Politics Baucus Says China and US Arent Any Closer to Deal Trade War Will Last Months  20190830 23550300000,2019-08-30
Trump flags and hats made in China are reportedly being held up at customs as trade war heats up  20190830 23545900000,2019-08-30
More trump lies from Trump here trying to justify his ineptness n screwing us over with his trade war20190830 23544900000,2019-08-30
Mimpi ketemu Donald trump dan minta foto Absurd banget Kebanyakan mantau trade war niaaak hahahah20190830 23544600000,2019-08-30
Trump TradeWar With China Will Hit Apple for Real This Weekend   via GoogleNews20190830 23544600000,2019-08-30
Trade war US set to hit China with new wave of tariffs  23544500000,2019-08-30
SPY Big News With his imaginary phone calls SPX QQQ IWM DJI AAPL TSLA FB AMZN GS JPM BAC C GOOGL SPOT XLE BA BABA UVXY LYFT CMG tradewar China TradeTalks tariffs currency manipulation phonecallthatneverhappend 20190830 23542800002,2019-08-30
Farmer on CNN If the trade war ends tomorrow it will still take us 68 years to recover20190830 23542300000,2019-08-30
This SOB gave our tax dollars to the farmers to secure their votes Never mind that his trade war is the cause of their financial woes20190830 23541800000,2019-08-30
Trump raised taxes on Americans by 30 billion with his trade war  and it will get worse Topbuzz 23540900000,2019-08-30
It is almost as ironic as all the MAGA crap being made in China Every time I see one I chuckle Because China is winning the trade war one idiot at a time20190830 23540600000,2019-08-30
The USA would be considered mad if votes against Trump changed midstreamthe world is in turmoila huge trade war  20190830 23540100000,2019-08-30
Trade war US set to hit China with new wave of tariffs   August 30 2019 at 1016PM via mikejulietbravo20190830 23533300000,2019-08-30
Democratic candidates are turning away from real issues Hong Kong and trade war with China They have no idea on how to deal with the threat We have to vote for Trump who is doing the dirty work for US Although big guys in Wall Street dont like it it is critical for future20190830 23531100001,2019-08-30
Trump says great unity at G7 summit despite tensions over his trade war with China   politics worldnews20190830 23530000000,2019-08-30
What motherfucking law Pardon who for the second time President of NK is not Trump Is giving billions in emergency farm aid during trade war What lie Enrich himself and family that is what people all work to do Nancy is the speaker not the president20190830 23523500000,2019-08-30
A strong dollar  less exports his trade war is actually helping the people hes making Americans fight Its like Russias Putin Trumps fight somehow always benefit the enemy20190830 23523200000,2019-08-30
We have interest only resets Exports to China downturn  rising construction unemployment  trade war escalation  international recession  retail down turn  falling fixed interest  this is half time the 2nd half is footy in a minefield 20190830 23514700000,2019-08-30
National Zoo hopes China trade war wont affect DCs pandas  20190830 23512300000,2019-08-30
North Dakota farmer says if Trump doesnt lose 100 percent of his farmbelt support over trade war people are kind of crazy  20190830 23511600000,2019-08-30
Trump Is Following Bushs War Playbook The president opposed the Iraq war as a candidate Now hes using Bushs bad arguments to support his trade war  ImpeachTrump ImpeachKavanaugh TheResistancepictwittercomrJ1u0iNhft20190830 23510900000,2019-08-30
This is all starting to unravel Trumps trade war debacle has Wall Street and farmers turning on him  20190830 235100000024,2019-08-30
2019 13 of large US companies with ops in China want to move all or some ops out Only 3 back to US 2015 before trump or trade war 12 leaving 5 back to US  20190830 23505900002,2019-08-30
REQUIRED WATCHING QAnon WWG1WGAWORLDWIDE Gen RobertSpalding On the HongKongProtest USChina Trade War  Pa  via YouTube 23505900000,2019-08-30
realDonaldTrump cut taxes then he started a trade war which increased the prices of many things we buy which cancels out the tax cuts He cut regulations enough to be able to say he cut regulations then he stopped And he hasnt cut spending Spends like a drunk sailor20190830 23505800000,2019-08-30
Welltheres a guaranteed loss for the Republicans  Everything tRump touches dies  Now hes trying to blame business owners for their losses under the Trade War  Maybethey should have filed for bone spurs  GOP WhiteHouse OfficialWHPress20190830 23502600000,2019-08-30
Trade war US set to hit China with new wave of tariffs  23501700000,2019-08-30
USChina Trade War Driving Retail Investors to Bitcoin Says EToro  pictwittercomUhla9jpvNV20190830 23494800000,2019-08-30
after Dorian go to China  wrap up this TradeWar please20190830 23494700000,2019-08-30
Maybe sell Puerto Rico to China will help trade war20190830 23493700000,2019-08-30
QAnon WWG1WGAWORLDWIDE Gen RobertSpalding On the HongKongProtest USChina Trade War  Pa  via YouTube20190830 23493300000,2019-08-30
If the tariffs are small and can be managed why not put them on items you your campaign and IvankaTrump have made there Then we would see how quickly you handle the trade war you created20190830 23485300000,2019-08-30
A terribly illuminating piece of intelligence for a party to any negotiation to possess about their adversary And Trump just gave it away Not only has he revealed his cards in this socalled trade war he just showed the Chinese how easy it would be to sink his presidency20190830 23483500000,2019-08-30
China Blinks as Asian Markets Tank Seeks Calm End to Trade War  20190830 23483500000,2019-08-30
Yes Its rather amazing to watch 247365 coverage of the POTUS Trump trade war but virtually ZERO coverage of the regulatory barriers that amount to precisely the same thing regularly employed by Eurozone China and many other countries They get a pass We get brickbats 20190830 23483400000,2019-08-30
He got absolutely nothing on China otherwise there wouldve been any form of success in the two years this trade war is running In meanwhile hes endangering the world economy and handing out aides to farmers to make up for his failing20190830 23481500000,2019-08-30
India Looking To Attract Foreign Automakers In The Midst Of USChina Trade War  Carscoops carscoops 20190830 23480100002,2019-08-30
For example instead of beating China into submission through the art of the deal hes sparked an international trade war that is actively hurting consumers Obamacare still exists And he has yet to build a wall at the southern border and make Mexico pay for it20190830 23475900000,2019-08-30
Trump Trade War With China Will Hit Apple for Real This Weekend  23474000000,2019-08-30
The SoCalled Trade War   wesbury is Da Man20190830 23473800000,2019-08-30
That stupid trade war back fired China can absorb the damage So now Trump cant use it for leverage for HK or anything Agreed no clear solution right now I support HK protest if they can keep it nonviolent  not impact citizens too much But its past that point now20190830 23473000000,2019-08-30
One More Thing National Zoo could lose Pandas over Trumps trade war  23473000000,2019-08-30
Trade Wars Signal Underlying Truths The volume of space dedicated to trade wars in the past few months is vast I would like to suggest another perspective questioning some common assumptions Agns JOLY SocGenUK via tradefinglobal TradeWar  pictwittercomJtaiAq7PpK20190830 23472600001,2019-08-30
They cant because its the biggest labour market in the world You are losing your trade war and punishing the American farmers at the same time Yiu are a fraud who never pays his debts20190830 23471500000,2019-08-30
Ha not all business owners run their businesses into the ground then file bankruptcy 5 times asshole He sure loves playing the blame Total inept dolt DonTheMoron Trump blames companies impacted by his trade war  POLITICO  20190830 23471300000,2019-08-30
Whiney baby needs an adult to fix his dumb trade war failure But you are correct Donny that businesses are smartly attributing it on your failed tariffs You should take some reading and comprehension classes20190830 23463300000,2019-08-30
USChina trade war is getting much worse How much worse Check out this pic  20190830 23461000000,2019-08-30
Donald Trumps trade war has Wall Street and farmers turning on him Its all starting to unravel SmartNews 20190830 23460900000,2019-08-30
Trade war US set to hit China with new wave of tariffs  BBC News  20190830 23455900000,2019-08-30
Tradewar optics worsen for USA china  23455300000,2019-08-30
TrumpDestroyingEconomy Its all starting to unravel Trumps trade war debacle has Wall Street and farmers turning on him   20190830 23452700000,2019-08-30
Trump blames companies impacted by his trade war  via politico20190830 23452600001,2019-08-30
Vacationing at Camp David on the taxpayer dime while farmers and businesses are suffering from your trade war  immigrant children with life threatening illnesses who need US medical care are getting deported Way to be in touch with the country TrumpResignNow TrumpRecession20190830 23451500000,2019-08-30
John Delaney Trumps trade war destroying Iowas economy Presidential Candidate and former Congressman John Delaney joins Hardball to talk about his 2020 run  pictwittercomBH9zyvrTTv20190830 23450400000,2019-08-30
Warren 2020 Trump is lying about his calls with China because his trade war is failing and hes scrambling We need a real plan to fix our economy before theres another downturn Ive got one YES SHE DOES  20190830 23445200000,2019-08-30
Trade war US set to hit China with new wave of tariffs  234439000015,2019-08-30
trade TVs to shoes This time consumers face pain of Trump tariffs President Donald Trumps trade war with China until now mainly an abstraction for American consumers is about to hit home Beginning Sunday the US government will begin collecting 15 tariffs on 112 b20190830 23442400000,2019-08-30
Its certainly a type of welfare payment at best Subsidies do exist in Keynesian economics but theyre generally not designed as political payments to an industry that youre in the process of wrecking via trade war You bring up an important point though Words are important20190830 23441400000,2019-08-30
China should to be held to account for its intellectual property abuses but the unilateral trade war wont help The US should adhere to a tried  true method for handling Chinas emergence as an autocratic superpower multilateral cooperation20190830 23432000002,2019-08-30
His Trade war For years before Trump came around politician like you were always saying the USA needed to take on China but its his war  20190830 23430100000,2019-08-30
Its unlikely POTUS will back down anytime soon on the tradewar NLP analysis shows Congress is more supportive than conventional wisdom suggest 20190830 23430100001,2019-08-30
TradeWar TariffMan TrumpIsAFraud Toymaker CEO If we move out of China Trump could just put a target on somebody elses back 23425800000,2019-08-30
Viva Commerce in Community TucsonStar USHCCFoundation CPLCdotORG wellness AP ImmigrationPolicy CEO2019 communitydevelopment usmexicoborder trade TradeWar  pictwittercom34rBch9op720190830 23424900000,2019-08-30
Consumers retailers farmers manufacturers and tech firms are all getting clobbered by tariffs in Trumps trade war   23421800000,2019-08-30
The SoCalled Trade War  20190830 23421600000,2019-08-30
MIDDLE OF A TRADE WAR Trump SLAMS US Companies AND Blames Them By Gr  via YouTubeRT RT RT20190830 23415500000,2019-08-30
Trump blames companies impacted by his trade war  POLITICO of course he does  20190830 23414200000,2019-08-30
Trump is now putting out fake information to boost the stock market that he remains invested in as president CNN reported Still Trump flashed signs of optimism this week that the trade war could be resolved saying hes received calls from Chinese officials saying they20190830 23413700000,2019-08-30
Trump Targets Chinas Century Old Debt In Latest Trade War Maneuver  via YouTube20190830 23404200000,2019-08-30
Texas is losing in Trumps trade war with China  20190830 23403900000,2019-08-30
thewashingtonpostWhite House mulls Rick Scotts idea to cut taxes by amount raised in tariffs through USChina trade war pictwittercomWeCrk5W7Yr20190830 23403700000,2019-08-30
Riiiight because PBOC gives two shits You fool Never get involved in a trade war in Asia with an independent central bank Macro Vizzini  20190830 23403500000,2019-08-30
Chutiyo US se to aaj bhi fast hai China se bhi better growth hai Although its global slowdown due to trade war  all major economies are suffering Congress is the reason India has been a developing country for 70 years Not a single INC leader deserves to run ANY office20190830 23403400000,2019-08-30
googlenewsEugene Robinson Trumps trade war with China may spell his electoral defeat pictwittercom2IKzmYzv4Y20190830 23401600000,2019-08-30
Wut Fires in Amazon rainforest are being fuelled by USChina trade war experts say  South China Morning Post  20190830 23400800000,2019-08-30
GOPHypocrisy Closing Sale 6 for 1 Party of PersonalResponsibility blames companies impacted by his trade war  via politico20190830 23400600000,2019-08-30
id1167582712447651841RT ewarren Trump is lying about his calls with China because his trade war is failing and hes scrambling We nee20190830 23400200000,2019-08-30
Small businesses have lost confidence in their abilities to expand because of the trade war according to this expert Heres how they are preparing for the next round of tariffs  pictwittercom3vDAVS1wjg20190830 23400000006,2019-08-30
JohnDelaney is the first candidate Ive heard connect the trade war  Trumps stupid tariffs to the AmazonFires FINALLY  someone gets it Democrats20190830 23392000000,2019-08-30
Didnt your fake Native American ass also claim Trump would lose a trade war with Mexico20190830 23390700000,2019-08-30
Since 2018 the trade war has proceeded in four stages The first six months of 2018 featured only a moderate increase in tariffs but now as we approach the end of 2019 the upcoming tariff changes are large and swift PIIEChartspictwittercomeTax2YETPd20190830 233901000034,2019-08-30
President Trump blames companies affected by his trade war  20190830 23381100000,2019-08-30
I thought the whole idea of the easy to win trade war was to bring manufacturing back to the US I guess realDonaldTrump lied about that too 20190830 23375700000,2019-08-30
Euro Falls to TwoYear Low Amid Trade Concerns Trump Ire Bet Trumps narcissism high really kicks in reading this the trade war between the worlds two largest economies rages on VoteBlueVoteForSanity 20190830 23375100003,2019-08-30
The 2016 Dom Platform called for a trade war with China sweetheart20190830 23373800000,2019-08-30
Oil shortselling is back in time for holiday trade war jitters  23372300000,2019-08-30
The trade war between the US and China will truly hit Apple this weekend   via technology20190830 23370900000,2019-08-30
Trump blames companies impacted by his trade war  via politico20190830 23365800000,2019-08-30
So why isnt he losing support with his trade war Economics are an after thought The reason a recession will barely hurt him These people dont really think immigrants are taking their jobs They just want to see misery Putting a robot in a cage doesnt have the same effect20190830 23365700000,2019-08-30
The best since the 1 Clinton handed to W  he wrecked then handed it to Obama who turned it back around  handed it to Trump who is busy wrecking it Trade war trickle down tax cut doubling the deficit20190830 23364200000,2019-08-30
realDonaldTrump at least with your trade war tanking the economy I happen to make 10g overnight Thanks pendejo20190830 23364100000,2019-08-30
How Trumps trade war with China caused the Amazon rainforest fires China quit buying soybeans from the US thus creating the demand for the biggest buyer of soybeans in the world to buy someplace else So farmers in Brazil started burning the rainforest to grow soybeans there20190830 233625000030,2019-08-30
So looks like you are saying this trade war hoax is just one big Circle Jerk20190830 23360100000,2019-08-30
realDonaldTrump GOP Trumps trade war with China is about to get worse maps show which states most affected  20190830 23353800000,2019-08-30
Why would they your moronic tarriffis n trade war would make their profit margin even worse20190830 23353200001,2019-08-30
How India may make big gains because of the USChina trade war  Gadgets Now  20190830 23351100000,2019-08-30
Trump is lying about his calls with China because his trade war is failing and hes scrambling We need a real plan to fix our economy before theres another downturn Ive got one  20190830 23350700006724,2019-08-30
We have been striking that hammer for over a year Of course it hurts China But what it has accomplished is what you would expect it to accomplish when you start a trade war unilaterally it has made them sign deals elsewhere The Russian soybean deal for example20190830 23344000000,2019-08-30
The selfinflicted Twitter trade wars arent bad Trump blames companies impacted by his trade war  POLITICO  23334800000,2019-08-30
Chinas Strategy Against Trump and America Trade War Huawei 5GGen R  via YouTube Must watch if you are involved in markets There will be no trade deal Chinas communist party already decided20190830 23330800001,2019-08-30
Trade group leader Roger Johnson said in a radio interview Thursday that it will take decades to reverse damage caused by Trump China he added is now a lost market for American farmers because of Trumps trade war  20190830 23323200001,2019-08-30
China Faces Economic Collapse and Decoupling From World Markets Expert Says trump china tradewar USA 20190830 23313600000,2019-08-30
As the trade war with top soybean supplier US drags on China is turning increasingly to South American producers such as Argentina to fill the gap  20190830 23311800003,2019-08-31
Trump blames companies impacted by his trade war  20190830 23311200000,2019-08-30
Trade war20190830 23310700000,2019-08-30
Vote him out he is supporting the destruction of your lives with this trade war 20190830 23310300000,2019-08-30
Trump said I gave the farmers billions We the taxpayers actually gave that money to the farmersafter Trumps trade war ruined their income this year20190830 23302600004,2019-08-30
CrookedLyingRacist realDonaldTrump trade war has WALL STREET and FARMERS TURNING ON HIM Its all starting to unravel  20190830 23291600001,2019-08-30
The USChina trade war and overall global economic instability caused BTC to drop to 9366 the Economy of Germany by 01 and the IFO Business Climate came in below forecast at 951 Learn more in PrimeXBTs weekly finance report BTC USD EURO 20190830 23285800001,2019-08-30
Trump blames companies impacted by his trade war  POLITICO SmartNews 23283800000,2019-08-30
As a resident of CA I could only wish this happened Booking my flight to Hong Kong Hey snopes this is satire BREAKING Trump ends US China trade war swaps Hong Kong for California in unprecedented deal  23282500000,2019-08-30
Its going to continue to disrupt our economy JohnDelaney on Trumps trade war Hardball20190830 23281400006,2019-08-30
TVs to Shoes This Time Consumers Face Pain of Trump Tariffs President Trumps trade war is about to hit home for millions of American consumers and small businesses that will pay higher prices for Chinese products starting September 1 2019  pictwittercom6QcJ6ytlAt20190830 23264000000,2019-08-30
WSJ businessinsider CNNBusiness business nytimesbusiness HarvardBiz svbizjournal BW BBCWorld Newsweek TIME washingtonpost PolitiFact NYSE Nasdaq DowJones CharlesSchwab federalreserve No one wins a TradeWar realDonaldTrump GOP jackgothacked20190830 23261400000,2019-08-30
US CHINA TRADE WAR REPORTS   Several links to reports from top consulting firms  trump presidenttrump tariffs wilburross traderelations internationalbusiness politics diplomacy wto worldtradeorganization commerce industrypictwittercom2iCGmUrLY420190830 23253800000,2019-08-30
The bottom line is that for the first time Trumps trade war is likely to directly raise prices for a lot of household budget items like clothing shoes toys and consumer electronics Bown wrote in an report ImpeachTheMF 20190830 23253400000,2019-08-30
Were in the middle of a trade war right now and its destroying Iowa and their economy JohnDelaney on HardballpictwittercomLgwtCUehn420190830 232457000030,2019-08-30
Trade war US set to hit China with new wave of tariffs  20190830 23242200000,2019-08-30
ChinaUS trade talk teams keeping effective communication China TradeWar TradeTalks TradeDeals tariffs trade China 23231400000,2019-08-30
The once profree trade GOP has embraced Trumps ruinous trade war This is another sign that the GOP has lost any semblance of a governing philosophy defending protectionism while claiming to be probusiness William Buckley  Milton Friedman are rolling over in their graves20190830 232311000023,2019-08-30
USA vs China TradeWar  Recent Developments  Avoiding SupplyChain Disruptions  trade tradecompliance logistics   MillerProctor 20190830 23224800000,2019-08-30
Trump blames companies impacted by his trade war  I wonder how many of those companies supported and helped get Benedict donald elected20190830 23221700000,2019-08-30
So here it goes the trade war with China is hurting Germany which is bringing the euro down which is hurting the us stock market because the dollar is up and we export less good job Trumpy with manipulating the economy20190830 23214300000,2019-08-30
Olhou pra cara da Trade War e riu  20190830 23214000000,2019-08-30
On the other hand Putin absolutely does want the trade war to continue Before it Russias ecoeconomy was floundering Now with them sending China agriitems fillingin for US it is booming Putin likly sends his thanx toevery chance he gets Now we understand his smile20190830 23212800000,2019-08-30
Has President Trumps trade war cost China three million jobs  BBC News So the RacistInChief lied about China foreignpolicy and racism do not mix 20190830 23212000000,2019-08-30
China US trade war driving investors to bitcoin  Decrypt  23210100001,2019-08-30
Trump blames companies impacted by his trade war saying theyre mismanaging their businesses Another low has been reached20190830 23201100000,2019-08-30
Trump blames companies impacted by his trade war  POLITICO  Poor poor Trump He hates it when people blame him for his mistakes so of course he blames them and everyone elseexcept himself  20190830 23195100000,2019-08-30
So maybe this is true or notTrump starts his trade war wChina China stops buying soy beans from us and turns to Brazil Brazil cant fill demand so they start burning down the Amazon to grow more soybeans Another example of Trump affecting the whole world Who knows Could be20190830 23194000000,2019-08-30
 RaniaKhalek nails it yet again USChina Trade War  20190830 23193200000,2019-08-30
Trade war US set to hit China with new wave of tariffs 20190830 23191300000,2019-08-30
If I used the logic of the left Id have to say all these critics of trumps trade war with China are stooges of the communist president xi jinping and are traitors and sleezebags But that would be stupid20190830 23190600000,2019-08-30
  China TradeWar20190830 23185400000,2019-08-30
The SoCalled Trade War  20190830 23182100000,2019-08-30
ForeignPolicy This week Mixed messages on the USChina trade war the return of Maoera paranoia and what keeps Chinese leaders up20190830 23174700000,2019-08-30
Farmers Trumps trade war leaves industry worse not better  20190830 23174200000,2019-08-30
Opinion  Trumps trade war could get him kicked out of office  20190830 23174000000,2019-08-30
Deep downTonya knows she will need the FreedomDividend in a few years when they fire her Plus Trumps trade war is hurting her Made in China yoga pants20190830 23173600001,2019-08-30
I guess the Mid Western farmers dont count right realDonaldTrump They cant stand your trade war which is driving their businesses into the ground and it will take years to rebuild under another President  20190830 23173400000,2019-08-30
Huh Trump blames companies impacted by his trade war  POLITICO  20190830 23172000000,2019-08-30
Why Trumps Trade War Could Be His Undoing    20190830 23165400000,2019-08-30
For the first time since Trump launched his trade war American households face price increases because many US companies say theyll be forced to pass on to customers the higher prices theyll pay on Chinese imports  20190830 23164200000,2019-08-30
Trumps trade war with China is about to get worse  these maps show which states could be most affected  Markets Insider  20190830 23161600000,2019-08-30
This is a stupid trade war Trump has sold the farmers out and Russia is winning How much longer will America cowtow to a man who has sold out their interests to Russia Trump McConnell Graham all being rewarded for their loyalty to Putin20190830 23154300000,2019-08-30
Worried about your 401K Dont you and your crime family make enough shorting the market when you tweet about the Chinese Trade War20190830 23152900000,2019-08-30
This is on you too  GOP for looking the other way ALL THIS TIME and letting the moron have free reign  realDonaldTrump  WhiteHouse MAGAs  HouseGOP FoxNews USChina trade war shows no sign of ending as new tariffs arrive  20190830 23152400000,2019-08-30
who has become the richest super power Now we understand why a TradeWar with China is STUPID20190830 23150400000,2019-08-30
hopefully this trade war goes global and signals the end of the multi national corporations that have suffocated any opportunity for small business and crushed the wageliving standard of the working class20190830 23150400000,2019-08-30
This is brilliant Watch this interview Toymaker CEO If we move out of China Trump could just put a target on somebody elses back  TradeWar TrumpTradeWar20190830 23150000000,2019-08-30
China Falls Out Of Fashion For Some US Brands   tradewar madeinchina20190830 23144600000,2019-08-30
China trade war drags consumer sentiment down to the lowest level in three years  20190830 23142500000,2019-08-30
Its unfortunate then that realDonaldTrump continues to alienate our allies while befriending our enemies and starting a trade war with China talktoyourpresident TrumpRecession ComplicitGOP NewNAFTA20190830 23141000000,2019-08-30
