Tweets,Date
0,0
Truce in USChina trade war as 2 rivals seek breakthrough  20190629 23592800000,2019-06-29
USChina trade war cease fire doesnt bridge differences  23591200000,2019-06-29
Success Farmers are going due to Trumps dopey trade war  hes giving them a socialist bail out US has fallen economically in worldwide measures national debt highest ever pictwittercomPA64z5kaw520190629 23585100000,2019-06-29
Chinese Tariff Rebate Plan How We Can Win the USChina Trade War  pictwittercomx1UBSPHx5b20190629 23583800000,2019-06-29
Thawing USChina Trade War Tensions Not Hurting Bitcoin  pictwittercomAIThug7c0I20190629 23583500000,2019-06-29
Trade war could wipe 455 billion off global GDP next year IMF warns  20190629 23573300000,2019-06-29
The article suggests Trumps negotiations will  save  the world from his self inflicted trade war costing a potential 12T How upside down is that Trumpism at its best20190629 23573200000,2019-06-29
The trade war is detrimental to national security China is nearly the largest refiner of rare earth elements We need those elements for jet engines  missile guidance systems The farmer may not recover for a generation20190629 23571500000,2019-06-29
The price of toys could go up by 15 and as many as 68000 out of the more than 691000 employees in the industry could lose their jobs tradewar business 20190629 23551000003,2019-06-29
Its a temporary timeout Trump and Xi agree to talks but offer no clear path to end trade war CNBC 20190629 23550900001,2019-06-29
Trump Xi call truce on trade war  pictwittercomnu7XMQ17s020190629 235441000010,2019-06-29
Checkout this weeks FutureSandwich webisode  The Future of Manufacturing isnt in China  its where ever you live Its coming home due to AI  robotics  Trumps Trade war is speeding it up  20190629 23544100000,2019-06-29
Way to ROCK the World Mr POTUS  Cannot say enough good things that have been accomplished thus far If the trade war with China is no longer perhaps we can rescind that 500Byr imbalance after all GOD BLESS YOU Sir20190629 23533700000,2019-06-29
USChina trade war cease fire doesnt bridge differences  23532700000,2019-06-29
second thought   Its a temporary timeout but offer no clear path to end USChina trade war  23512800002,2019-06-29
Watch that dummy come out of his easy to win trade war with LESS than he went in with20190629 23510100000,2019-06-29
What a trade war with China would do to Canada  Macleans    China travel20190629 23501000000,2019-06-29
Thawing USChina Trade War Tensions Not Hurting Bitcoin  CCN Markets  pictwittercom1qMk5S6Iyw20190629 23493500000,2019-06-29
Thawing USChina Trade War Tensions Not Hurting Bitcoin  20190629 23482400000,2019-06-29
That China is a bad actor on trade is not in dispute But the question is how do we get them to change A tariff trade war is not the right way20190629 23475800000,2019-06-29
Did Xi Jinping and Donald Trump just get a winwin The presidents of the worlds two biggest economies struck a truce in their trade war meeting on the sidelines of the G20 summit in Osaka Japan The biggest  20190629 23473100000,2019-06-29
Let me analyze this question By my tally so far China gets 1no new tariffs 2access to US tech for Huawei 3better visa treatments for Chinese students 4truce on tradewar resumption of talks US gets 1bigger purchases for farmers China  3 US 1 413 Your welcome20190629 23472100000,2019-06-29
US and China agree to continue TariffTalks Heres a timeline of how the TradeWar started  23471600000,2019-06-29
Ceasefire in USChina trade war doesnt bridge differences   pictwittercomTTqIs29QfD20190629 23470100000,2019-06-29
I would not take the truce as a sign that the trade war is going to be resolved soon After all there are plenty of contentious points from intellectual property rights to tech transfers  20190629 23454900000,2019-06-29
Winners And Losers In The USChina TradeWar  20190629 23453800000,2019-06-29
Trump Xi hold highstakes trade war talks at G20 in Japan  20190629 23452400000,2019-06-29
WATCH GVWires Jamie Ouverson explains tariffs the presidents tradewar and how some American companies used Trumps tariffs on Chinese goods as an opportunity to raise their prices and increase their profits  23450100000,2019-06-29
I did this I did that all me me me without consulting advisors because I ALONE can fix the trade war mess that I CREATED Arent I amazing20190629 23441600001,2019-06-29
Trump got his asked kicked by China now he wants to add Vietnam to the mix Trump may be getting ready to open a new front in his trade war against one of Chinas neighbors Vietnam  20190629 23431600000,2019-06-29
Trump says China trade talks back on track new tariffs on hold TradeTalks TradeWar tariffs TradeDeals trade 23411800000,2019-06-29
Trump bends over Pretends he won More contracts for the kids tho At G20 US and China reach a ceasefire in trade war  20190629 23410000000,2019-06-29
China never wanted to play fair and never will The whole farce that a deal is close is nothing more than BS to try to keep markets from another big selloff on trade war worries20190629 23401900000,2019-06-29
US CHINA TRADE WAR REPORTS   Several links to reports from top consulting firms  ustrade uschinatrade uschinatrade uschina uschinatradewar supplychains valuechains consulting logistics investing tradewar internationalbusinesspictwittercom5OnpZxyiG920190629 23401800000,2019-06-29
1 China Trade war and renewed negotiations thread Ive been told US is a pious Christian nation so lets follow Christs prescriptions for 2 min  practice selfcritique  introspection for this issue20190629 23400700000,2019-06-29
Yes  The democratic debates was amazing  But looking Trump lose the useless trade war with China is so boooooring  pictwittercomz0ohsAWv3H20190629 23400200000,2019-06-29
Its not a matter of feel You dont agree that the cost of tariffs on Chinese goods has fallen to American consumers And that American farmers who normally face financial concerns are worse because of the trade war20190629 23394100000,2019-06-29
The real trade war begin20190629 23385000000,2019-06-29
Global countries have been adapting to Trumps costly trade war  Bloomberg  June 2019  pictwittercomm7kZbQPxPF20190629 23383900000,2019-06-29
others the Pubs had been talking about and so they did Especially POC especially immigrants Here is the problem none of the Pubs other fiscaltradewar hawksslave to the rich policies ever helped those workers get a good job And they kept getting ignored watching PG 520190629 23382700000,2019-06-29
I see the graph more as an illustration of Trumps made up trade war with China Although imbalance is real his tactics or methods are not going to produce results favorable for USA  20190629 23375800000,2019-06-29
Wall Street was ready for the latest twist in the trade war Heres how experts think Trump and Xis trade truce will play out  pictwittercomygyfZlpkxN20190629 23365500000,2019-06-29
Global GDP cost of USChina trade war  bloomberg chart  June 2019 pictwittercomGnuAe0XrEo20190629 23362300000,2019-06-29
Trade War Be Damned Apple Is Moving Its Mac Pro Production to China  20190629 23362300002,2019-06-29
As usual backing down when face to face with someone he belittled andor bullied Speaks loudly carries a tiny stick Mt politico Trump stepped back from an escalation of his trade war with China that threatened to damage his 2020 reelection chances  23353500000,2019-06-29
Could China buying gold hurt the US bond market TradeWar Bonds Gold   via SmallCapsASX20190629 23352900000,2019-06-29
CeaseFire in USChina Trade War Doesnt Bridge Differences  20190629 23350000000,2019-06-29
Back on track China and US agree to restart trade talks  CBC News Truce in trade war as US agrees to hold off imposing new tariffs on Chinese goods  20190629 23345900003,2019-06-29
Trade war truce lifts mood boosts Hong Kongs home sales weekend  23341300000,2019-06-29
Excellent summary US business groups praise Trumps trade war truce but want an enforceable agreement with China  23335300001,2019-06-29
CeaseFire in USChina Trade War Doesnt Bridge Differences  20190629 23331300000,2019-06-29
Increase the trade war trying each other solutions are very far not close by undermine threat20190629 23331200000,2019-06-29
Trump and Xi Call Time For Now on Their Trade War  23330000000,2019-06-29
Chinas banks face cash crunch fears after authorities seize lender TradeWar Fed 23322800000,2019-06-29
American Farmers Are The Casualties Of The Trade War  23320600000,2019-06-29
You guys act like such emotional females Didnt Trump say similar things about President Xi But we are still in a trade war with him Maybe use your head and realize that it is simply a strategy Along the lines of keeping friends close and enemies closer20190629 23312000000,2019-06-29
Chile blames trade war after lithium exports to China fall 90   Business  17420190629 23310600000,2019-06-29
I cant wait for trump to get praise from his fanbase when stocks rise because he manufactured a trade war with China so he could end it and take the credit20190629 23305300000,2019-06-29
American Farmers Are The Casualties Of The Trade War  23300400004,2019-06-29
President Donald Trump and Chinas Xi Jinping are meeting in Osaka Japan as the trade war between two economic titans faces a critical junction  20190629 23300100002,2019-06-29
Truce in USChina Trade War as 2 Rivals Seek Breakthrough  pictwittercomwjs1rhsNbc20190629 23285700000,2019-06-29
Israel Wicked USA has announced that it will not impose new tariffs on the Dragon the Chinese goods at this stage and that talks between the two countries will resume in an attempt to find a way out of the trade war between the two largest economies 29062019 pictwittercomM6SHqlrh3Y20190629 23265200000,2019-06-29
Must read this The US has already lost this Trade War Chinese Fintech   von brettking auf LinkedIn20190629 23264800007,2019-06-29
You are caving into exactly what China wants Not 1 high tech company has requested we do business with a clear national security threat And China will never buy from our farmers the amounts of agriculture they did before your trade war Putin wont allow it20190629 23252500000,2019-06-29
5 Takeaways From the G20 Summit Easing Off the Trade War for Now  20190629 23244300000,2019-06-29
From what Ive read a trade war with India was looming Did daddy get that all fixed so quick20190629 23234200000,2019-06-29
But even though tariff escalation was postponed that doesnt signal peace Existing tariffs remain and this trade fight is anyway just the outward sign of a much bigger struggle   TradeWar20190629 23230600000,2019-06-29
Russia  China Keep Up Their Gold Buying In Q1 2019 Fed Bonds Gold Bitcoin TradeWar China RateCut 20190629 23224800000,2019-06-29
Is China Running Out Of Retaliatory Ammunition In The Trade War  Zero Hedge  20190629 23223500000,2019-06-29
Trump has no choice but to roll over for Xiand beg like a good little doggie and Xi knows it Election coming Election coming And the narcissist will do anything to pretend a trade war victory20190629 23223300000,2019-06-29
youre wrong Logic 101  anything absolutist like only is a fallacy Trump has already lost a ton of support even before he sparked trade war madness This is a dated stat imagine the numbers now pictwittercom57xBQsKTwH20190629 23221700000,2019-06-29
BTC Thawing USChina Trade War Tensions Not Hurting Bitcoin  pictwittercompxPoqUlUBu20190629 23214300002,2019-06-29
Wall Street was ready for the latest twist in the trade war Heres how experts think Trump and Xis trade truce will play out  20190629 23212600000,2019-06-29
Mahathir performed well in CNBC interview Resolve trade war by negotiation Mahathir asked several questions Why US hate Iran Why US provoke Iran Why US send war ships  drones into Straits of Hormuz Maha predicts World War if US attacks Iran  serious pictwittercomDAnoXIXaTC20190629 23212000000,2019-06-29
The biggest investor in Silicon valley is the Chinese The US is loosing that too How do they trade war helps America It does not  Period and neither does it help the American economy It creates unemployment and consumers pay more20190629 23210700000,2019-06-29
No new tariffs for now amid truce in USChina trade war  20190629 23210200000,2019-06-29
Ceasefire in USChina trade war doesnt bridge differences   There will never be a full truce Despicable xenophobic Trump hates China20190629 23205400000,2019-06-29
Thawing USChina Trade War Tensions Not Hurting Bitcoin  pictwittercomteqlmtw1Eq20190629 23200500000,2019-06-29
the Insiders interview is with big Birmo former education minister who was Liberal campaign spokesman now trade minister He is talking in intangibles The USChina trade war would be worse he explains if the G20 hadnt achieved whatever it was that got done20190629 231906000013,2019-06-29
Stock Markets Before and After the Trade War  23184800000,2019-06-29
No deal Dealmaster President Still nothing but hot air and a trade war20190629 23182400000,2019-06-29
Ceasefire in USChina trade war doesnt bridge differences  20190629 23181500000,2019-06-29
It wasnt for everyone Youre still justifying using socialism to take from the many and give to the few in order to checks notes fight a trade war with China I dont like socialism especially when its used to benefit small groups of politically connected people20190629 23173000000,2019-06-29
Recession looms in Singapore as trade war weighs on economy says Maybank Kim Eng  The Straits Times  pictwittercomqke5MyIb2C20190629 23173000000,2019-06-29
Interpretation Truth is A trade war with China was not a WINNER  20190629 23172700000,2019-06-29
Truce in USChina trade war as 2 rivals seek breakthrough  20190629 23165500000,2019-06-29
Now you are going to buff up profile of Kim at DMZ just like you did with MBS Putin Xi all of whom are playing you Our allies only get abuse and bad deals tariffs  trade war Does your dictator club have membership cards20190629 23162700000,2019-06-29
MrPresident is look playful faces with President Sianyway is looks good for relationship between US and China in trade warhahahahahah20190629 23161800000,2019-06-29
He didnt have a choice His base may believe China is paying billions to us every day losing the trade war and are on the ropes the Chinese know better and they aint playing that shit He needs to stop lying all the time20190629 23155500000,2019-06-29
Soya beans save the trade war for a while at least20190629 23154500000,2019-06-29
Back On Track Donald Trump Xi Jinping Seal Trade War Truce Trump struck a conciliatory tone from his arrival in Japan for the summit despite saying Chinas economy was going down the tubes before he set out for Osaka  20190629 23154200000,2019-06-29
After a meeting with Xi Jinping at the G20 summit President Trump agreed to withhold new tariffs on Chinese goods in a tentative plan to end the trade war  23150000006,2019-06-29
We play a lot of regular season games in London in numerous sports and all we get in return is preseason matches TradeWar20190629 23145800000,2019-06-29
China Win tradewar20190629 23142200000,2019-06-29
Trade War Between US and China Not Hurting Bitcoin Price  20190629 23132000000,2019-06-29
WORLD NET DAILY reveals Chinese exporters dodge trade war shift production to lowcost nations  WND  20190629 23130400002,2019-06-29
China is more liar than Japan and the United States diplomacy world economy tradewar Trump China history20190629 23125300000,2019-06-29
The faithful will call Americas farmers patriots They are really victims of an ill conceived poorly executed fools errand The rest of us will pay spiralling prices This foolish and unnecessary trade war maybe the pin that pricks our economic  20190629 23123900000,2019-06-29
IdiotInChief DonaldTrump Brags About TradeDeal Negotiations With China It Will Be Give  Take America Gives China Takes Economy tradewar tariffs XiJinping FBRParty Ccot Qanon DerangedDonald ComplicitGOP CorruptGOP huaweibanpictwittercoms8hp0M0U9420190629 23121100001,2019-06-29
There are many wars which dont involve any violence Trade war culture war etc20190629 23121000000,2019-06-29
USChina trade war cease fire doesnt bridge differences  23120700000,2019-06-29
Down Under Australia Trumps ongoing trade war not just with CHINA but the whole world is going to send Australia into a recession SOON Australia relies on TRADE and the global market place to survive HE is destroying our economy and our country  20190629 23120600003,2019-06-29
Thawing USChina Trade War Tensions Not Hurting Bitcoin  20190629 23114900000,2019-06-29
Are those the same farmers that you used socialism to give them billions of dollars because your trade war with China caused them to stop buying crops What part of socialism dont you understand Trump Tax scam for the rich was socialism20190629 23114900000,2019-06-29
The Federal Reserve was nimble in changing interest rate policy as trade war and as real war fears heightened and the expansion is poised to continue into 2020 but the Feds model of the economy has20190629 23102000000,2019-06-29
Its a temporary timeout Trump and Xi agree to talks but offer no clear path to end trade war  CNBC Nothing is to happen in other words  This is the same old lies  20190629 23101000000,2019-06-29
Although theyve called a ceasefire to hostilities that doesnt mean that the war is over Niki Savva says not much progress has been made on the trade war between the United States and China at this weekends G20Summit in Japanpictwittercom45jyY81Ncx20190629 23100900004,2019-06-29
Public and Opinion Leaders Views on USChina Trade War Jun 27 2019 by ckafura  via ChicagoCouncil20190629 23100400001,2019-06-29
Trump claiming victory for putting out the fire he lit  China trade war InsidersABC20190629 23092000006,2019-06-29
Less Manstein plan and more Barbarossa Trade war will grind on20190629 23092000000,2019-06-29
My reaction upon realizing I only felt the effects on an international trade war when buying food for my pet  pictwittercomAv6YXMPrZt20190629 23055200000,2019-06-29
How can you have it both ways mr Schumer against trumps trade war and then when he starts to take steps to end it you chastise him for giving in20190629 23054500000,2019-06-29
Trump to allow US firms to sell technology to Huawei and promises farmers they would win from new talks in wideranging news conference   Sounds to me that China is winning the trade war With 2020 elections coming Trump had to blink20190629 23054400000,2019-06-29
Its a temporary timeout Trump and Xi agree to talks but offer no clear path to end trade war  23053500001,2019-06-29
The Trump DistractionDuJour of asking KimJongUn to meet at DMZ screams that hes covering for no progress with China CNBC Its a temporary timeout Trump and Xi agree to talks but offer no clear path to end trade war  but Monday WallStreet will know TrumpLost20190629 23053200000,2019-06-29
So is it mean the trade war between China and USA is over20190629 23050700000,2019-06-29
Back on track Trump Xi seal trade war truce  20190629 23044300000,2019-06-29
You lost the trade war If youre going to try to play chess first you must learn checkers hurry up before we lose anymore20190629 23042100000,2019-06-29
Yet the outlines of the tentative peace accordreached on Saturdaycould further cement a broad reshuffling of the global economic order that undermines Chinas decadeslong role as the worlds factory floor   TradeWar20190629 23040600000,2019-06-29
US business groups praise Trumps TradeWar truce but want an enforceable agreement with China 23032600000,2019-06-29
Its a temporary timeout Trump and Xi agree to talks but offer no clear path to end trade war  20190629 23025700000,2019-06-29
Ceasefire in USChina trade war doesnt bridge differences from AP 20190629 23025400000,2019-06-29
Trump on Saturday stepped back from an escalation of his trade war with China that threatened to damage his 2020 reelection chances  230104000017,2019-06-29
In 3 months time trade war resumes20190629 23002700000,2019-06-29
Trade War Has Damaged US Chip Industry in Ways a Deal May Never Fix  tech20190629 23000800000,2019-06-29
Dude This is the exact same result from your meeting in Dec 18 in which you just last month accused them of reneging on Just tweet that nothing has changed in the trade war you created and or not say anything at all Stop making it seem like you actually did anything pictwittercomSPAfTJ96S920190629 23000300000,2019-06-29
Donald Trump declares that USChina would resume trade talks TradeWar DonaldTrump XiJinping UnitedStates China G20 G20Summit G20OsakaSummit 20190629 23000000000,2019-06-29
designed and engineered in the US and includes USmade componentsManufacturing labor costs in Chinaremain much lower than in the US said Paul Gagnon a consumerelectronics analystBut Im glad if Tim Apple isnt paying excess attention to Trumps trade war20190629 22575900000,2019-06-29
 as the GOP tax scam kept the middle class tax rate near the same while giving hundreds of billions to the wealthy It also failed to spur growth On your moronic foreign policy claim Trump has failed at foreign diplomacy We are still in a trade war with China20190629 22570800000,2019-06-29
Trump to blame for neverending trade war with China He caved to China yesterdaynot a good sign20190629 22570000000,2019-06-29
Wall Street was ready for the latest twist in the trade war Heres how experts think Trump and Xis trade truce will play out  pictwittercompl2bSkbDZK20190629 22565800000,2019-06-29
Its a temporary timeout Trump and Xi agree to negotiations at some indeterminate time in the future but offer no clear path to end USChina trade war  CNBC   via GoogleNews20190629 22565300000,2019-06-29
If Trump is re elected expect a massive trade war and economic mayhem CNBC  20190629 22561000000,2019-06-29
Thawing USChina Trade War Tensions Not Hurting Bitcoin  pictwittercomOLrZHFqNmk20190629 22560300000,2019-06-29
Trade war escalation averted as USChina agree to resume talks  20190629 22554900000,2019-06-29
Thawing USChina Trade War Tensions Not Hurting Bitcoin Read here  CryptocurrencyNews News USPolitics UschinaTradeWarpictwittercom1RlJ9NBScf20190629 22551700000,2019-06-29
Temporary ceasefire in USChina trade war doesnt change anything or indicate a trade agreement can be reached anytime soon  20190629 22543500000,2019-06-29
5 Takeaways From the G20 Summit Easing Off Trumps China Trade War for Now  The New York Times  pictwittercom3hbQNIvjyQ20190629 22533300000,2019-06-29
Actually the tariffs are being paid by American consumers Chinese companies may end up selling less also to USA But as you can see trade war will wipe off a lot from US markets and put America into a recession and make USD weaker No one wins in trade wars20190629 22524500001,2019-06-29
President Donald Trump says is in no hurry for a deal with China G20 TradeWar  20190629 22520500000,2019-06-29
How countries are adapting to Donald Trumps costly trade war  225158000031,2019-06-29
Its a temporary timeout Trump and Xi agree to negotiations but offer no clear path to end USChina trade war  CNBC  pictwittercomnuDMikBsOs20190629 22514800000,2019-06-29
Truce struck in USChina trade war   If you can trust this its good news but the question remains can we  auspol20190629 22505600000,2019-06-29
Its a temporary timeout Trump and Xi agree to negotiations but offer no clear path to end USChina trade war  CNBC  pictwittercomTUsP7RP4e120190629 22504200000,2019-06-29
Negotiations still are to take place but a big development US tech firms had desperately lobbied for this  it may save Huaweis phone business outside US See earlier story   WSJ update   G20OsakaSummithuawei tradewar trump 20190629 22503100002,2019-06-29
Thawing USChina Trade War Tensions Not Hurting Bitcoin  20190629 22501900000,2019-06-29
Update on trade war with China  20190629 22500400000,2019-06-29
Its a temporary timeout Trump and Xi agree to negotiations but offer no clear path to end USChina trade war  pictwittercomdntC1eytDC20190629 22481300000,2019-06-29
Blackmores a2 Milk Treasury vulnerable to trade war  20190629 22471000000,2019-06-29
No new tariffs for now amid truce in USChina trade war  CBC News  20190629 22465300000,2019-06-29
A trade war now becoming a peaceful trade20190629 22453900000,2019-06-29
