Tweets,Date
0,0
Great Now do trade war induced farmer welfare20190330 23585000000,2019-03-30
WTO plans ruling in blow to Trumps trade war against EU  IS TOO FAR OVER REACHING 20190330 23561100000,2019-03-30
In 2018 the avg Minn farm had an income of 26055 an 8 decrease from 2017 Minn farmers in the lowest 20 averaged losing 72000 each The Trade war resulted in Minn Pork producers income falling from avg 101000 in 17 to 27739 in 2018  20190330 23554000000,2019-03-30
Mine is The yealthCurve inverted this time because there are signs of implications from the tradewar for Amerika that started it and that the last rate rise was to much and that the US can not handle a small rate rise towards a falling rate plateau20190330 23521500000,2019-03-30
What trade war20190330 23504500000,2019-03-30
Vietnams economy gains as companies flee China in trade war  20190330 23464900000,2019-03-30
My paycheck is barely changed My tax bill will be higher this year thanks to Mr Trump Re Jobs so far Trump hasnt messed up the Obama economy hopefully he wont but his trade war is a huge drag on the economy Wait lower bills I havent seen that pictwittercom3bmpKr9UY520190330 23425100000,2019-03-30
Iowans dont like socialismunless theyre getting billions from TraitorTrumps disastrous trade war  20190330 23352600004,2019-03-30
Unemployment is down labor participation rate is up Those lost jobs have simply moved to other industries The trade war is forcing China to negotiate with none of the dire impacts the Left hyperventilates about And ISIS is defeated whether you admit it or not20190330 23321900000,2019-03-30
Thank you for your question Here is the full article by Max Gulker The Trade War A OneYear Assessment  20190330 23313200001,2019-03-30
A warning ignored  like ALL the other warnings Brazils TradeWar Is a Warning to America  20190330 23254000000,2019-03-30
So glad he has solved North Koreas nukes and the trade war with China as well ending climate change and the war on coal and the war on Christmas Time to move on other matters toopresidential20190330 23225700000,2019-03-30
Now our farmers are flooded out and they cant even plant their crops Trump just bailed them out because of his stupid trade war Hes gonna have to turn right around and do it again or our farmers will perish20190330 23200000000,2019-03-30
US manufacturers have lost trillions and thousands have lost jobs because of that trade war People have lost jobs because of the tax cut since many corps spent it on buybacks Signs are pointing to a recession and time will tell Defeating ISIS is semantics and you know it20190330 23162400000,2019-03-30
Who Is Winning Trumps Trade War with China So Far Its Mexico  Bloomberg  20190330 23083100000,2019-03-27
No one ever wins a trade war  20190330 23033900000,2019-03-30
How the ongoing tradewar may affect COSCOSHIPPINGs bid for shipping supremacy  pictwittercomQhEoDbCifY20190330 23003100000,2019-03-30
Just like healthcare was easy the trade war was easy keeping factories open was easy The only easy thing is you opening your mouth to spew more lies20190330 22574200000,2019-03-30
minister is trying to start a trade war like Trump but he forgets that he lacks the weaponry for such a war He should stop telling tales that doesnt make sense and make sure the cashew nuts at the port are exported and alsothe man don finally export the yams he was bragging20190330 22570400000,2019-03-30
You mean like that trade war with Chinaor the real one with NKor the bodies that would pile up from the tax cutKrugmans prediction of recession we wont defeat ISIS and on and on Keep living in your fantasy world Well keep winning  20190330 22531900000,2019-03-30
Almost as easy as winning a trade war20190330 22501500000,2019-03-30
USChina soy trade war could destroy 13 million hectares of rainforest  20190330 22480000000,2019-03-30
US and China Got Into a Trade War and Mexico Won 20190330 22455000000,2019-03-27
We all work to have our Safety Net you can fix it but you do not have the right to repeal it Your so call Job Rate are 2 that not enough for 12 Million American in USA Jobs is walking out on USA Bc of Trump trade war with China See your short Victory was already plan2fail20190330 22364000001,2019-03-30
Hmmmtell that to the farmers that are losing markets to sell their produce in due to your trade war pictwittercom3v4hO3noPh20190330 22343600000,2019-03-30
If were getting stronger all over the world why arent we winning the Trump trade war and why does the federal government have to continue to subsidize farmers with taxpayer dollars because of this trade war20190330 22323000000,2019-03-30
We all lose in a trade war BlueUnity202020190330 22231500005,2019-03-30
The US needs to talk ForeignPolicy The US needs to talk TradeWar No Mexico Ambassadorwhere else are they missing But heh close the POEs to approx 2billion tradeday while complaining about people fleeing terrorism Escaping Venezuela  Bloomberg  20190330 22205500000,2019-03-30
