Tweets,Date
0,0
 JamesODonnellNY If you want to call it a trade war go ahead were winning realDonaldTrump NY1820181030 23594700000,2018-10-30
long but food for thought American chaos is already oozing over the border the trickle of refugees crossing after Voldemorts election has swollen to a flood a trade war is underway with a US trade representative  20181030 23583600000,2018-10-30
If you want to call it a trade war go ahead were winning realDonaldTrump20181030 23581000003,2018-10-30
Blame Trumps voluntary Trade War20181030 23561600000,2018-10-30
COSCO Shipping Ports Defies Trade War Fears  20181030 23560700000,2018-10-30
Remember the anonymous OpEd Shithole countries ParisAgreement pullout Irannucleardeal pullout tradewar tariffs on friends  allies Khashoggi brushoff PipeBombs brushoff Charlottesville 5000 falsehoods NorthKorea blunder RussiaGate putinsummit blunder Pittsburgh visit20181030 23555200000,2018-10-30
Yes Two prominent Chinese economists have broken with Communist party orthodoxy arguing that the trade war with the US is the result of Beijings stateled development model rather than Donald Trumps attempt to block Chinas rise   via FinancialTimes20181030 23552300000,2018-10-30
They are not waiting to see who is in office They are waiting to see how this trade war you started will go If you want jobs and stronger economy vote for dems They will stabelize this mess trump is creating wtax scams and trade wars20181030 23552000003,2018-10-30
US eyes more China tariffs if TrumpXi meeting fails reports Trade war may escalate unless progress made at meeting on the sidelines of Group of 20 leaders summit in November  pictwittercomxgDGp1C71520181030 23543300000,2018-10-30
Opponenta of the trade war were the same when Clinton tried to restrict Chinese IP theft back in the 1990s as they are now Wall Street bigbusiness executives and other members of the US elite who made good money trading with China Trade friction would rock the boat  SCMP20181030 23541100000,2018-10-30
Microchips are key to understanding Trumps trade war with China   via techreview20181030 23523700000,2018-10-30
Oil holds losses on escalating trade war  pictwittercompqYa7OETW720181030 23513300000,2018-10-30
We are the casualty in the Trade War TradeWar  20181030 23511100000,2018-10-30
Vietnam ministry of trade urges footwear manufacturers to invest and grow exports VietnameseLanguage Footwear TradeWar  pictwittercom7nPI3Kq5k220181030 23510200000,2018-10-30
US Companies in China Are Considering Relocating Manufacturing Due to Trade War Impacts  20181030 23505200000,2018-10-30
Wardlow is a suburbanite Hes never worked a day on a farm his entire life doesnt understand ag issues and supports Trumps disastrous trade war that is killing commodity prices and hurting small family farmers20181030 23492600000,2018-10-30
California Cheese Makers Hit Hard by USMexico Trade War  pictwittercom5Zn88ZWBkU20181030 23481200000,2018-10-30
Vietnam is Winning the USChina Trade War On the twoandahalfhour drive between Hanoi and the karst peaks of Halong Bay tourists barely see the countryside Industrial sprawl lines the road for most of the trip which comprises just one segment of  pictwittercomdW4FeuI6WH20181030 23480500000,2018-10-30
California Cheese Makers Hit Hard by USMexico Trade War  23480400001,2018-10-30
maddow trade war rages on take a look at my latest article published on TheNLJ  20181030 23471200000,2018-10-30
Twelve US execs explain how Trumps trade war affects the market and he never takes the blame   via YahooFinance20181030 23452600000,2018-10-30
All this for nothing  Trumps China Trade War Not Bringing Jobs Back To US via forbes 20181030 23452500000,2018-10-30
Worlds Biggest Derivatives Exchange Is Getting a Boost From Trade War  20181030 23443200000,2018-10-30
US planning tariffs on remaining 257 billion in Chinese goods report China TradeWar  20181030 23434000000,2018-10-30
American dairy farmers try to squeeze another 1 billion of Welfaretax payers money From Trump TradeWar tariffs Economy Midterms2018 GOPComplicit FBRParty TrumpTrain QArmyTrain HealthCare Collusion Vote 20181030 23420100000,2018-10-30
a truly potent weapon It highlights a potent weapon that China could use if the trade war persists slashing the 60 billion that Chinese consumers spend each year on American services such as travel and tourism  20181030 23404100000,2018-10-30
Next Months TrumpXi Meeting Could End the Trade War or Escalate It View and Comment Here  pictwittercomQqw8IFdLl520181030 23402900000,2018-10-30
Or continue the trade war have no plan and reality will hit the market and the fall will continue MidTermUpset20181030 23401400000,2018-10-30
Janet Yellen just mentioned that a US China trade war keeps her up at night Could this be keeping your clients up too Be prepared with our global risk model Find out more at our booth tomorrow SchwabIMPACTpictwittercomzshw34e8VZ20181030 23374000002,2018-10-30
Just a thought but if the news is fake prove it If you arent bought and paid for buy Russia make public your tax records If you arent trying to start a 3rd world war get our battleships out of Chinese waters and stop this ridiculous trade war Just a few thoughts20181030 23371000000,2018-10-30
Claims he can executive action the 14th amendment Besides a Trade War a Tax cut for Billionaires and a massive debt what else has this pretend President and corrupt Congress produced20181030 23362900000,2018-10-30
You honestly cant be this dumb How do you protect their industryby PAYING THEM The farmers need MARKETS not handouts Wasting BILLIONS to fight a trade war makes NO SENSE if at the end you are spending money to keep said industry afloat20181030 23353100000,2018-10-30
Chinese Yuan Hit its Lowest Point Versus the US Dollar a        B   AllTimeLow TradeWar UsDollar YaunpictwittercomzQwEnGGvYR20181030 23323800000,2018-10-30
So what He has driven all our allies away embraced dictators started a trade war divided the country with racist homophobic dog whistles and spent much more than he saved on golf trips20181030 23323200000,2018-10-30
Hahaha now trade war between R n D 20181030 23304600000,2018-10-30
Are you armed to fight this tradewar Check out my newest article  20181030 23303500002,2018-10-30
