,0,0
0,China's Profit Warnings Signal More Gloom for the Economy: #China #ChineseEconomy #ChineseStocks #earnings #EarningsSeason #TradeWar https://www.bloomberg.com/news/articles/2019-07-30/china-s-profit-warnings-signal-more-gloom-for-the-economy …2019-07-30 23:59:45+00:000,2019-07-30
1,The biggest story in the world got barely any play in the first debates Will the China-U.S. trade war come up at all in Detroit? #DemDebatehttps://bloom.bg/2SU9Wfn2019-07-30 23:58:59+00:004,2019-07-30
2,"Then you'll LIKE #MoscowMich and #traitorTrump ROB #KentuckyFarmers and #AmericanFarmers ""trade wars are easy to win."" THERE was no #TradeWar before they STARTED ONE . Who are the VICTIMS? #American #Farmers LOST. NOT #Globalist #republicanspic.twitter.com/sTkTrk5za32019-07-30 23:58:05+00:000",2019-07-30
3,Trump shafted family farmers to give trade war bailouts to huge corporate farms instead: report https://www.rawstory.com/2019/07/trump-shafted-family-farmers-to-give-trade-war-bailouts-to-huge-corporate-farms-instead-report/#.XUDZcAFBcfI.twitter …2019-07-30 23:57:41+00:000,2019-07-30
4,"China-U.S. trade war, Korean Peninsula to top agenda https://youtu.be/e--FA-EsrIU via @YouTube2019-07-30 23:57:30+00:000",2019-07-30
5,Trump launches a trade war and you launch a sticker2019-07-30 23:57:18+00:000,2019-07-30
6,"Missals firing in N.Korea NO deal, obstruction of justice 3 times clearly in the Mueller Report, racist attacks on 4 Congressional women and Cummings, tax cuts making the wealthy richer, Iran is a fools game, trade war costing billions to consumers, 2 more mass shootings. FAIL!2019-07-30 23:56:38+00:000",2019-07-30
7,Rising tensions in the South China Sea and the fallout from the USA-PRC trade war are set to dominate talks this week as top diplomats converge in Bangkok for a key #ASEAN summit - @BloombergAsiahttps://www.japantimes.co.jp/news/2019/07/30/asia-pacific/politics-diplomacy-asia-pacific/rising-tensions-south-china-sea-cast-shadow-asean-summit-bangkok/#.XUDXPS1L1QI …2019-07-30 23:55:20+00:002,2019-07-30
8,"More than 50% of federal aid meant to help American farmers cope with the negative impacts of the U.S.-China trade war went to the largest & wealthiest farms. 82 farmers received $500K or more, while the bottom 80% accepted payments averaging less than $5K.https://www.axios.com/trump-trade-relief-biggest-richest-farmers-f84534d9-2448-4b36-81e6-5089060bc03e.html …2019-07-30 23:54:01+00:000",2019-07-30
9,Well you gonna bring Recession soon.Because of the Trade War. You will Ruin our Country. pic.twitter.com/Z9AbRUUlHw2019-07-30 23:53:59+00:000,2019-07-30
10,"Trump threat to tax French wine completely moronic, minister says https://www.bbc.com/news/world-europe-49168687 … Our allies are fed up with Trump. #TrumpEffect #TradeWar #Wine2019-07-30 23:52:48+00:000",2019-07-30
11,"Oh yeah. Sorry. Far better to... a) allow China to hold innocent hostages in response to operation of rule of law in Canada b) allow China to wage a one sided trade war against half of Canada, completely unchecked c) spy on us with their shitty @huawei gear. Great plan!2019-07-30 23:52:30+00:000",2019-07-30
12,What’s at stake in US-China trade war https://ig.ft.com/us-china-tariffs/ … via @FinancialTimes2019-07-30 23:52:26+00:001,2019-07-30
13,1. Please point to the part of usmca that references soybeans. 2. Would “outstanding tariff issues” include the gop trade war with China? 3. Are you ready to back your constituents and call to end this harmful trade war?2019-07-30 23:51:53+00:001,2019-07-30
14,He’s got a secret plan to end the trade war? https://twitter.com/rickwtyler/status/1156335790680616960 …2019-07-30 23:50:45+00:001,2019-07-30
15,"""South Korea’s economy, Asia’s fourth-largest, is facing multiple headwinds, including... the US-China trade war."" Trade is complicated. https://twitter.com/ftemergingmkts/status/1156349491882221568 …2019-07-30 23:48:58+00:000",2019-07-30
16,"#TradeWars Will Macau #casinos be targeted in US-China trade war? The odds are shortening for #SheldonAdelson, #Trump's 'Patron-in-Chief' ""All their concessions, along with those of three #Macau and #HongKong operators, will expire in June 2022 ..."" https://www.msn.com/en-sg/money/topstories/will-macau-casinos-be-targeted-in-us-china-trade-war-the-odds-are-shortening-for-sheldon-adelson-trumps-patron-in-chief/ar-AACzAI8 …pic.twitter.com/bCQKZdHxRH2019-07-30 23:48:21+00:004",2019-07-30
17,#环球时报Editorial：Time for sincerity from US in trade talks with China #tradewar http://www.globaltimes.cn/content/1159786.shtml …pic.twitter.com/caS0su9e012019-07-30 23:47:28+00:0011,2019-07-30
18,"#VC investment in #China has consistently decreased year after year. Investors credit the fall to factors such as lack of #innovation in new Chinese #techstartups, US-China #tradewar worries, and cash burn concerns. #venturecapitalhttp://CVSoci.al/E~I5a47q2019-07-30 23:45:14+00:000",2019-07-30
19,"Ahead of tonight’s debate, see where the Democratic candidates stand on foreign-policy issues including the trade war with China, climate change, the U.S. role within international institutions, and its involvement in Afghanistan. https://buff.ly/2ymrxTR pic.twitter.com/v3vunpFi0N2019-07-30 23:45:01+00:007",2019-07-30
20,THAILAND Trump tweets threaten to disrupt US-China trade talks: SHANGHAI: Chinese and US trade negotiators will bid to bring an end a year-long trade war that has seen both tariffs and insults flung between the world's two largest economies when… http://dlvr.it/R9N9zd2019-07-30 23:43:07+00:000,2019-07-30
21,"Regardless what peoples say that TRUMP is a liar, if what you said is true, why did you start the trade war for, US was doing great even without trade war？Does it sound that the world will be a better place without you in it? Don't feed public with lies bro, it won't last.2019-07-30 23:43:04+00:000",2019-07-30
22,"Republicans blocked $250 million for election security measures in FY2019. But they have no problem giving farmers nearly $30 BILLION bc of the damage caused by Trump’s trade war. Most recipients are wealthy farmers, so that may be why the @GOP approves.https://www.usatoday.com/story/news/politics/2018/08/01/republicans-block-money-election-security/884438002/ …2019-07-30 23:41:57+00:000",2019-07-30
23,"Pastor Dip Shit, It's your president that looks up to 3 dollar dictators like Putin and Kim Jung un. It's your president that's ruining an entire industry with his trade war and every white domestic terrorist name check him by acting. So eat a dick with your ugly AF wife. https://twitter.com/pastorlocke/status/1156253936426332163 …2019-07-30 23:41:45+00:001",2019-07-30
24,Neither chinabashing hawks nor panda-phile will bring the more-than-trade war btn China-US to an end. Dumping Washington's mentality of interventionism is only way out. https://twitter.com/RonPaul/status/1156314282809856000 …2019-07-30 23:41:26+00:000,2019-07-30
25,"Asia stocks set to trade lower as investors await Fed rate decision: Stocks in Asia were poised to trade lower on Wednesday amid dampened expectations for a resolution to the U.S.-China trade war. Meanwhile, investors await the U.S. Federal Reserve's… http://dlvr.it/R9N9mt2019-07-30 23:40:37+00:000",2019-07-30
26,"Trump inherited a healthy economy. He does not get the credit for the economy. If anything, his massive borrowing and trade war will undermine this economy. But you go ahead with your delusions.2019-07-30 23:40:03+00:000",2019-07-30
27,It’s not a $500k.$250k cap. All producers receiving payment must meet AGI thresholds. Payment is only on planted acres for 2019. 2018 MFP is based on grain produced where the farmer took way below cost of prod due to trade war. @USDA is allowed to access this $w/o Cong approval2019-07-30 23:39:08+00:000,2019-07-30
28,Translation: every US citizen (adult or child) is chipping in $25 so that #trump can buy back the farmers' votes lost due to his trade war folly https://reut.rs/2YgrcBG2019-07-30 23:38:47+00:000,2019-07-30
29,‘Powell has been Trumped’: The Fed steps into Trump’s trade war https://droolindog.net/2019/07/30/powell-trump-trade-interest-rates-1625961/ …pic.twitter.com/4K1jQlxKg52019-07-30 23:37:01+00:000,2019-07-30
30,Trump shafted family farmers to give trade war bailouts to huge corporate farms instead: https://www.rawstory.com/2019/07/trump-shafted-family-farmers-to-give-trade-war-bailouts-to-huge-corporate-farms-instead-report/ …2019-07-30 23:36:23+00:000,2019-07-30
31,Perhaps...I don't have data on that part...would that be more qualitative at this point based on speculation (trade war data) since we are in the midst of the crisis?2019-07-30 23:35:54+00:000,2019-07-30
32,"Whoever has the risk incurred by the trade war gets the money, except for people that don’t need the money. It’s pretty simple. If you make too much money, you don’t get the payment. Was a breakthrough policy set by @SecretarySonny, who has done a great job despite tough sitch2019-07-30 23:35:20+00:000",2019-07-30
33,How much did the Trump administration pay Washington farms to make up for the trade war? https://www.theolympian.com/news/business/article233274185.html …2019-07-30 23:34:34+00:001,2019-07-30
34,Trump shafted family farmers to give trade war bailouts to huge corporate farms instead: report - https://www.rawstory.com/2019/07/trump-shafted-family-farmers-to-give-trade-war-bailouts-to-huge-corporate-farms-instead-report/ …2019-07-30 23:34:27+00:000,2019-07-30
35,"As trade talk resume but no deal in sight, @realDonaldTrump lashes out at China ‘rip off’ - https://finance.yahoo.com/news/trump-cites-problem-china-trade-112755780.html?soc_src=social-sh&soc_trk=tw … - #China #tradewar2019-07-30 23:31:50+00:000",2019-07-30
36,When are China’s official PMI and Aussie CPI data and how could they affect AUD/USD? https://s68mv.app.goo.gl/Vnuwa #AUDUSD #PMI #CPI #EconomicIndicator #TradeWar2019-07-30 23:31:38+00:001,2019-07-30
37,My take is RUT had strength today due to Trump Trade war escalatory comments. Trump is laying the groundwork for 10% tariff on the remaining 300B in Chinese products and RUT does well since its companies are not impacted by the China trade war. Same reason IWM was up last year2019-07-30 23:30:01+00:000,2019-07-30
38,PROMISES MADE=PROMISES BROKEN!! Trump shafted family farmers to give trade war bailouts to huge corporate farms instead: report – Raw Story #TrumpLiesEveryTimeHeSpeaks #VoteBlueToEndThisNightmare #DumpTrump2020 #ResistTogether https://www.rawstory.com/2019/07/trump-shafted-family-farmers-to-give-trade-war-bailouts-to-huge-corporate-farms-instead-report/ …2019-07-30 23:29:35+00:000,2019-07-30
39,Trump flags and hats made in China are reportedly being held up at customs as trade war heats up https://www.businessinsider.com/trump-flags-hats-made-in-china-held-at-customs-trade-war-2018-7 …2019-07-30 23:29:28+00:000,2019-07-30
40,"Trying to dodge and weeve on the broke promises of trump. He’s added 8 TRILLION to the debt. “Business man” my ass. Or let’s talk about the wall, the failed trade war, or the many other broken promises of Donald J. Trump. Or should I say drumf, because that was their last name.2019-07-30 23:28:28+00:000",2019-07-30
41,"In the interim, how much more money will he pledge to farmers who have been struggling to survive thanks to his trade war?2019-07-30 23:27:55+00:000",2019-07-30
42,Woohoo....they rang a bell. Anything of importance you'd like to discuss today? Shooting in CA Racism in the White House The @GOP created humanitarian crisis Trumps trade war Election interference #PutinsMitch Nothing? #ComplicitGOP #doyourjob2019-07-30 23:26:54+00:001,2019-07-30
43,Trump shafted family farmers to give trade war bailouts to huge corporate farms instead: report – Raw Story https://www.rawstory.com/2019/07/trump-shafted-family-farmers-to-give-trade-war-bailouts-to-huge-corporate-farms-instead-report/ …2019-07-30 23:25:47+00:000,2019-07-30
44,"""Mr. President, Thank you for saving the economy by having a trade war with China and cutting my tax refund. We have the best economy ever and everything is fine. It's such a shame that we have a horrible poverty problem that Democrats aren't fixing by demonizing illegals."" https://twitter.com/ScottPresler/status/1155559148110700546 …2019-07-30 23:24:58+00:001",2019-07-30
45,US-China trade war = no American 'freedom gas' to world's biggest growth market. https://twitter.com/IEA/status/1156148640550928384 …2019-07-30 23:24:36+00:000,2019-07-30
46,"Y'all seem to like Socialism! Government money paid to farmers without receiving goods. Farmers, please admit that some Socialism is good. Repubs and Dems agree. Not to be confused with Communism, which is a horse of a different color! Hope trade war ends soon. God bless farms!2019-07-30 23:24:34+00:000",2019-07-30
47,"RepublicOns are in charge of the entire country and look at the mess they've made - trade war, rising prices, farm subsidies, deficit exploded, allies insulted, decades of environmental regulations wiped and the most unqualified, corrupt cabinet in U.S. history.2019-07-30 23:23:51+00:000",2019-07-30
48,I've been searching for a quantitative analysis on how the US-China trade war has resulted in losses for the American LNG export industry and can't find anything. Point me in the right direction?2019-07-30 23:23:01+00:000,2019-07-30
49,"US tariffs on Chinese imports have helped Samsung which makes many smartphones in Vietnam. Others are also moving to Vietnam, some to India. Hardly any to the US. #China #tradewar https://www.nytimes.com/2019/07/30/technology/trump-trade-war-vietnam.html?action=click&module=Well&pgtype=Homepage&section=Technology …2019-07-30 23:22:48+00:000",2019-07-30
50,Trump shafted family farmers to give trade war bailouts to huge corporate farms instead: report - https://www.rawstory.com/2019/07/trump-shafted-family-farmers-to-give-trade-war-bailouts-to-huge-corporate-farms-instead-report/ …2019-07-30 23:21:29+00:000,2019-07-30
51,"President Trump Warns China Not to Wait For 2020 U.S. Election to Make Trade Deal https://www.agriculture.com/markets/newswire/update-2-trump-warns-china-not-to-wait-for-2020-us-election-to-make-trade-deal …. ""As I said before no deal till 2020, as the Chinese know he won't win in 2020! This art of the deal won't work for him this time."" #Agriculture ##Grains #TradeWar2019-07-30 23:21:10+00:000",2019-07-30
52,"More than half of farm bailout payments meant to alleviate the effects of the U.S.'s ongoing trade war with China went to bigger, wealthier farms, according to a study from the Environmental Working Group. The analysis of the first…https://lnkd.in/gVhgtBn https://lnkd.in/gt68wCd2019-07-30 23:20:21+00:000",2019-07-30
53,Well ....you are the one playing trade war. They have no reason to trust anything you say or do because you tore up the iran deal and nafta for no reason. There is no agreement because of your illegal tariffs.2019-07-30 23:19:54+00:000,2019-07-30
54,Is this anything like giving farmers money after he screwed them with his trade war?2019-07-30 23:18:13+00:000,2019-07-30
