,0,0
0,Trade War Starts Changing Manufacturers in Hard-to-Reverse Ways https://nyti.ms/2KeXBQI2019-05-30 23:59:47+00:000,2019-05-30
1,"And from now on by order of decree...Mexican Rice will now be called ""Freedom"" rice #tariffs #tradewar https://twitter.com/Reuters/status/1134247158578917376 …2019-05-30 23:59:42+00:000",2019-05-30
2,Think trump understands!Trump’s trade war is forcing American manufacturers to move production out of China — and into Mexico instead of the US https://www.rawstory.com/2019/05/trumps-trade-war-is-forcing-american-manufacturers-to-move-production-out-of-china-and-into-mexico-instead-of-the-us/#.XPBuF1ZWAJY.twitter …2019-05-30 23:59:27+00:001,2019-05-30
3,One trade war was too boring for captain spanky https://twitter.com/OptionsMike/status/1134247594715168774 …2019-05-30 23:59:24+00:000,2019-05-30
4,Trade War Status: oh it is ON. https://twitter.com/realDonaldTrump/status/1134240653926232064 …2019-05-30 23:59:21+00:0042,2019-05-30
5,"We have been losing the trade war, particularly with China, for decades. The goal is for a favorable outcome.2019-05-30 23:59:20+00:000",2019-05-30
6,"Via @IvisonJ: ""It’s apparent Trump has decided to pacify his northern neighbours in order to concentrate on a more portentous trade war with China. Why then would Canada PM Trudeau deliberately antagonize the White House"" on abortion? https://nationalpost.com/opinion/john-ivison-desperate-trudeau-antagonizes-pence-over-abortion-to-score-political-points/amp?video_autoplay=true&__twitter_impression=true …2019-05-30 23:59:15+00:002",2019-05-30
7,"Great another trade war. Prices will go up for Americans again. BTW, it's not Mexico's responsibility to stop people from entering the United States of America. #MoronInChief #GovernNotTweet2019-05-30 23:59:14+00:000",2019-05-30
8,"@WhiteHouse What about the trade war with China which is now turning into a technological block, you are better to circumvent the value of embargo then worrying about the Muller report.2019-05-30 23:59:12+00:000",2019-05-30
9,"China accuses US of 'economic terrorism' as trade war tensions escalate https://www.cnn.com/2019/05/30/asia/china-us-peoples-daily-trade-war-intl/index.html … Must be remember that China has engaged in economic warfare for decades. The US has to act now with pain, or do nothing now but have much more pain when it does act.2019-05-30 23:59:07+00:000",2019-05-30
10,"Trade War with China isn't going so well especially since they hold leverage against us as has been discussed recently in the press so let's escalate one with Mexico. You know, just in case the coming Global Recession wasn't going to be bad enough.2019-05-30 23:59:00+00:000",2019-05-30
11,We are in a full blown trade war with 2 of our 3 biggest trading partners. https://twitter.com/AFP/status/1134247669399019520 …2019-05-30 23:58:56+00:00100,2019-05-30
12,"Great another trade war. Prices will go up for Americans again. BTW, it's not Mexico's responsibility to stop people from entering the United States of America. #MoronInChief #GovernNotTweet2019-05-30 23:58:30+00:000",2019-05-30
13,China taunts US over trade war: 'Don’t say we didn’t warn you' https://americanmilitarynews.com/2019/05/china-taunts-us-over-trade-war-dont-say-we-didnt-warn-you/ … via @amermilnews2019-05-30 23:58:30+00:000,2019-05-30
14,Trade war beginning at the top of the Everything Bubble. This’ll be one for the history books.2019-05-30 23:58:21+00:000,2019-05-30
15,A trade war with Mexico would not cost us nearly as much as illegal immigrants do every year.2019-05-30 23:57:52+00:000,2019-05-30
16,"Mexican Deputy Foreign Minister Seade has stated that if the US follows through with its tariffs then Mexico would respond ""strongly"" #USDMXN #tradewar #tariffs2019-05-30 23:57:48+00:001",2019-05-30
17,#Construction #LaborShortage #RealEstateDevelopmemt #TradeWar #CRE #commercialrealestatehttps://lnkd.in/gEdaBZQ2019-05-30 23:57:42+00:000,2019-05-30
18,You are absolutely out of your mind if you think a damn tariff is going to even marginally stop illegal immigration. This ain’t a trade war!2019-05-30 23:57:37+00:000,2019-05-30
19,Single oil tanker could be factor in China trade war and Iran tensions - https://e-news.us/single-oil-tanker-could-be-factor-in-china-trade-war-and-iran-tensions/ …pic.twitter.com/zGOFhXy6bB2019-05-30 23:57:16+00:000,2019-05-30
20,US China Trade War: ’Trump is Not Going to Back Down… This is a War of Values’—Curtis Ellis https://www.youtube.com/watch?v=oSjlGNaWPbc&feature=share …2019-05-30 23:57:03+00:000,2019-05-30
