,0,0
0,". @JamesODonnellNY: ""If you want to call it a trade war go ahead: we're winning."" @realDonaldTrump #NY182018-10-30 23:59:47+00:000",2018-10-30
1,"long, but food for thought... ""American chaos is already oozing over the border: the trickle of refugees crossing after Voldemort’s election has swollen to a flood; a trade war is underway, with a US trade representative... https://thewalrus.ca/americas-next-civil-war/ …2018-10-30 23:58:36+00:000",2018-10-30
2,“If you want to call it a trade war go ahead: we’re winning.” @realDonaldTrump2018-10-30 23:58:10+00:003,2018-10-30
3,Blame Trump's voluntary Trade War.2018-10-30 23:56:16+00:000,2018-10-30
4,COSCO Shipping Ports Defies Trade War Fears https://www.porttechnology.org/news/cosco_shipping_ports_defies_trade_war_fears#.W9jvile_yD4.twitter …2018-10-30 23:56:07+00:000,2018-10-30
5,Remember the anonymous #OpEd #Shithole countries #ParisAgreement pullout #Irannucleardeal pullout #tradewar tariffs on friends & allies #Khashoggi brushoff #PipeBombs brushoff #Charlottesville 5000+ falsehoods #NorthKorea blunder #RussiaGate #putinsummit blunder #Pittsburgh visit2018-10-30 23:55:52+00:000,2018-10-30
6,"Yes ""Two prominent Chinese economists have broken with Communist party orthodoxy, arguing that the trade war with the US is the result of Beijing’s state-led development model rather than Donald Trump’s attempt to block China’s rise"""" https://www.ft.com/content/6a5c9258-db3d-11e8-9f04-38d397e6661c … via @FinancialTimes2018-10-30 23:55:23+00:000",2018-10-30
7,They are not waiting to see who is in office. They are waiting to see how this trade war you started will go. If you want jobs and stronger economy vote for dems. They will stabelize this mess trump is creating w/tax scams and trade wars!2018-10-30 23:55:20+00:003,2018-10-30
8,US eyes more China tariffs if Trump-Xi meeting fails: reports: Trade war may escalate unless progress made at meeting on the sidelines of Group of 20 leaders' summit in November. http://bit.ly/2RpXjqt pic.twitter.com/xgDGp1C7152018-10-30 23:54:33+00:000,2018-10-30
9,"Opponenta of the trade war were the same when Clinton tried to restrict Chinese IP theft back in the 1990s as they are now: Wall Street, big-business executives and other members of the US “elite”, who made good money trading with China. Trade friction would rock the boat - SCMP2018-10-30 23:54:11+00:000",2018-10-30
10,Microchips are key to understanding Trump’s trade war with China https://www.technologyreview.com/the-download/612356/microchips-are-key-to-understanding-trumps-trade-war-with-china/?utm_campaign=social_button&utm_source=twitter&utm_medium=social&utm_content=2018-10-30 … via @techreview2018-10-30 23:52:37+00:000,2018-10-30
11,Oil holds losses on escalating trade war http://www.thestar.com.my/business/business-news/2018/10/31/oil-holds-losses-on-escalating-trade-war/ …pic.twitter.com/pqYa7OETW72018-10-30 23:51:33+00:000,2018-10-30
12,We are the casualty in the Trade War #TradeWar https://www.cnbc.com/2018/10/29/us-plans-new-257-billion-china-tariff-wave-if-trump-xi-trade-talks-fail.html …2018-10-30 23:51:11+00:000,2018-10-30
13,Vietnam ministry of trade urges footwear manufacturers to invest and grow exports #VietnameseLanguage #Footwear #TradeWar http://bit.ly/2Q4RLSb pic.twitter.com/7nPI3Kq5k22018-10-30 23:51:02+00:000,2018-10-30
14,U.S. Companies in China Are Considering Relocating Manufacturing Due to Trade War Impacts http://fortune.com/2018/10/29/trade-war-impacts-survey/ …2018-10-30 23:50:52+00:000,2018-10-30
