,0,0
0,Federal aid to farmers hurt by Trump's trade war has now *doubled the entire cost of the 2009 auto bailout.* And the entire cost of Trump's farm bailout has been paid for by American businesses via tariffs. China has not paid one dime of those tariffs. https://amp.axios.com/farmers-income-insurance-federal-aid-bankruptcies-5a05b8cb-3348-447b-8bac-ee718fd409fd.html?__twitter_impression=true …2019-10-31 23:58:46+00:00330,2019-10-31
1,Bloomberg's latest take on trade war right here! pic.twitter.com/X3bZYVAptR2019-10-31 23:58:30+00:001,2019-10-31
2,"A,D,H key DODFBIIT Interesting that the IT is yelling about trade war negotiations. https://twitter.com/RonaldKirk16/status/1184228841021235200 …2019-10-31 23:58:08+00:000",2019-10-31
3,Oh and how are coal and manufacturing doing? I thought those industries would be revived on his 1st day. How is the economy? Growth at under 2%. How is that trade war going? Did the farmers make any gains? Trump is a fraud. You got had.2019-10-31 23:57:49+00:000,2019-10-31
4,"Stocks in Asia to Drop on Trade War, Economic Data: Markets Wrap https://bloom.bg/2JDKfwa2019-10-31 23:57:47+00:000",2019-10-31
5,"A lot of the symptoms of trade war between the US and China is created by democrats... raise taxes, protectionism, leftism... Trump does not follow this sway. VOTE REPUBLICAN...2019-10-31 23:55:35+00:000",2019-10-31
6,NB: this is why you're losing the trade war.2019-10-31 23:55:05+00:000,2019-10-31
7,America will lose the trade war. Why? Arrogance2019-10-31 23:54:20+00:000,2019-10-31
8,Trade War Update: 3 Charts Show Why China’s Back Is Against The Wall https://defenceplanet.com/index.php?threads/trade-war-update-3-charts-show-why-china%E2%80%99s-back-is-against-the-wall.831/ …2019-10-31 23:54:17+00:000,2019-10-31
9,". @SenJoniErnst . @ChuckGrassley ""farm aid from Trump’s trade war has cost more than double the 2009 auto bailout"".2019-10-31 23:52:47+00:000",2019-10-31
10,"Lots of fun @YahooFinance on #halloween2019 Talked @Specialty_Food #candy business #halloweentreats #KaliOrehxi How climate change, trade war impact candy industry https://finance.yahoo.com/video/climate-change-trade-war-impact-170851936.html?soc_src=community&soc_trk=tw …pic.twitter.com/r2Wpblj2Ty2019-10-31 23:52:46+00:000",2019-10-31
11,Oh hell.... Now every bit of reporting about him is gonna be... FLORIDA MAN STARTS TRADE WAR FLORIDA MAN THINKS CANADA IS A STATE2019-10-31 23:52:22+00:000,2019-10-31
12,"Sorry, but this is your party...have you heard? Your trade war is bankrupting farmers. Your tax bill has destroyed the economic momentum. The GDP is 1.9, which you said was an emergency! You’re doing all the things Putin told you to do. He must be very pleased with his purchase!2019-10-31 23:51:34+00:000",2019-10-31
13,Dont forget your trade war sir. I think you know better than us. Your a bussiness man a succesfull one. Right?2019-10-31 23:51:34+00:000,2019-10-31
14,And the trade war with the word isn't?2019-10-31 23:51:20+00:000,2019-10-31
15,"Trump’s trade war has killed 300,000 jobs https://finance.yahoo.com/news/trumps-trade-war-has-killed-300000-jobs-194717808.html …2019-10-31 23:50:41+00:000",2019-10-31
16,Hot off the press: “Child Health Imprints Series A round; AI driving tests in India” http://newsletter.asiaainews.com/archive/207824 (via @revue) #AsiaAI #AI #China #India #Singapore #healthcare #tradewar #robotics #AIpolicy2019-10-31 23:50:16+00:001,2019-10-31
17,trump tariffs are hurting farmers. New China deal is basically a rumor. There have been many of those since this easy trade war began. https://twitter.com/ILFarmBureau/status/1190048381802098688 …2019-10-31 23:49:45+00:000,2019-10-31
18,"“Nothing but pain for American farming and manufacturing, and vague promises that would only restore trade levels with China back to where they were before Trump’s irresponsible trade war.”2019-10-31 23:49:29+00:004",2019-10-31
19,Using the office of the President to enrich you and your family. Stealing money from the military to build your Vanity Wall. Cutting taxes for the rich and corporations. Raising prices with your trade war.2019-10-31 23:47:41+00:000,2019-10-31
