,User,Date,Tweets
0,BBCTech,2019-10-24 12:44:24,RBS pulls Samsung Galaxy S10 app over security flaw 
1,BBCTech,2019-10-17 08:55:51,Any fingerprint unlocks Galaxy S10 Samsung warns 
2,BBCTech,2019-09-05 13:03:46,Samsung Galaxy Fold UK launch date revealed 
3,BBCTech,2019-08-07 20:03:12,Galaxy Note 10 Samsung hopes to strike the right Note 
4,BBCTech,2019-07-25 14:34:57,RT  Samsung says the Galaxy Fold will go on sale in September after faulty screens delayed the launch 
5,BBCTech,2019-07-04 10:44:04,Samsung sued over waterresistant phone claims 
6,BBCTech,2019-06-17 14:57:23,Samsung TVs should be regularly viruschecked the company says 
7,BBCTech,2019-04-30 12:08:48,Samsung unveils TV that can switch to vertical mode 
8,BBCTech,2019-04-22 11:09:03,Samsung Galaxy Fold launch events delayed in China 
9,BBCTech,2019-04-17 21:14:53,Samsungs folding phone breaks for reviewers 
10,BBCTech,2019-04-16 06:56:03,RT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold 
11,BBCTech,2019-02-24 13:53:47,RT  Our folding phone is bigger and better than Samsungs says Huawei 
12,BBCTech,2019-02-21 09:26:21,Samsung on whether you can end calls on the GalaxyFold by snapping it shut like the old flip phones 
13,BBCTech,2019-02-21 09:24:47,RT  Important can I answer calls with the phone unfolded and then hang up by snapping it shut   Samsung
14,BBCTech,2019-02-20 22:50:59,Samsung Galaxy Fold The internet reacts 
15,BBCTech,2019-02-20 19:31:29,Samsung reveals Galaxy Fold and S10 5G 
16,BBCTech,2019-01-08 00:29:11,CES 2019 Samsung adds rival Apples iTunes to smart TVs 
17,BBCTech,2019-01-07 18:29:49,RT  Samsung has revealed a 75in 190cm television made of modular panels you can rearrange  CES2019 
18,BBCTech,2018-12-10 14:21:36,Huawei Honor View20 and Samsung A8s have holepunch cameras 
19,BBCTech,2018-12-03 14:21:46,Samsung Nigeria tweets update using Apple iPhone 
20,BBCTech,2018-11-23 12:45:46,Samsung apologises to sick factory workers 
21,BBCTech,2018-11-07 21:55:17,RT  After 5 years of talking about folding devices Samsung unveiled theirs at SDC18 
22,BBCTech,2018-11-01 13:52:00,Samsung agrees to payouts after worker deaths 
23,BBCTech,2018-10-24 12:01:43,Apple and Samsung fined by Italian authorities over slow phones 
24,BBCTech,2018-09-05 10:54:36,Samsung Time for folding smartphones 
25,BBCTech,2018-08-09 15:33:49,Samsung Galaxy Note 9 warns of wonky photos 
26,BBCTech,2018-07-31 14:18:03,Why is Samsungs Galaxy S9 flagship struggling 
27,BBCTech,2018-05-31 11:49:00,Samsung wont be forced to update old phones 
28,BBCTech,2018-05-25 04:33:42,Apple awarded 539m in US patent case against Samsung 
29,BBCTech,2018-05-14 14:41:52,AppleSamsung patent battle revived in California court 
30,BBCTech,2018-02-25 19:32:43,Samsung Galaxy S9 gets super slowmo and AR emojis 
31,BBCTech,2018-02-25 17:39:19,Samsung Galaxy S9 focuses on the camera 
32,BBCTech,2018-02-21 15:17:07,Samsung Galaxy S9 smartphone images leaked by MWC app 
48,BBCTech,2018-02-21 00:30:33,Guardians of the Galaxy Vol 2 Visual effects revealed 
